Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NJ
08054,NJ,6.63,,11/07/2014,,
08884,NJ,3.825,,08/22/2014,,
07036,NJ,4.335,,10/13/2014,,
07922,NJ,8.25,,12/09/2014,,
08534,NJ,9.625,,12/23/2014,,
07470,NJ,8.829,,12/17/2014,,
08807,NJ,10.2,,08/11/2014,,
08046,NJ,7,,12/09/2014,,
08234,NJ,10.2,,12/01/2014,,
07083,NJ,2.94,,09/25/2014,,
08758,NJ,9.18,,12/19/2014,,
08205,NJ,6.375,,11/19/2014,,
07644,NJ,10.965,,10/27/2014,,
08757,NJ,7.905,,11/05/2014,,
08060,NJ,8.25,,12/04/2014,,
08527,NJ,8.8,,12/30/2014,,
08701,NJ,11,,05/16/2014,,
07045,NJ,12.25,,06/03/2014,,
08757,NJ,3.315,,09/30/2014,,
08527,NJ,8.25,,05/21/2014,,
08876,NJ,4.75,,05/21/2014,,
07006,NJ,12,,09/08/2014,,
08054,NJ,7.14,,09/08/2014,,
08043,NJ,6.885,,09/25/2014,,
07057,NJ,3.57,,08/11/2014,,
08021,NJ,4.32,,05/21/2014,,
08520,NJ,7,,12/26/2014,,
08505,NJ,7.65,,12/17/2014,,
07722,NJ,3.57,,10/21/2014,,
08046,NJ,11.22,,09/16/2014,,
07739,NJ,5.5,,12/24/2014,,
07005,NJ,7.65,,09/22/2014,,
07470,NJ,4.95,47037.58551,09/08/2005,,
07022,NJ,5,,07/07/2014,,
08865,NJ,10.2,94875.28797,06/18/2007,,
08225,NJ,15.3,,10/14/2014,,
08087,NJ,9.8,,02/17/2014,,
07105,NJ,9.6,116921.5479,08/04/2005,,
08251,NJ,6.02,56614.61909,08/24/2006,,
07747,NJ,8,,05/07/2012,,
08345,NJ,8.46,76190.22134,11/22/2006,,
08512,NJ,9,,03/26/2012,,
07866,NJ,5.55,,03/23/2012,,
08865,NJ,4,35519.10901,05/21/2007,,
08048,NJ,7.68,,11/16/2011,,
07885,NJ,6.513,62308.42834,06/13/2005,,
08551,NJ,5.18,53863.5655,06/15/2006,,
07733,NJ,8.575,96766.10252,09/13/2006,,
07726,NJ,13.125,181218.1297,07/27/2007,,
07727,NJ,2.24,21948.25706,09/23/2004,,
08835,NJ,5.39,,01/23/2014,,
07059,NJ,4.752,51014.19505,07/09/2008,,
08210,NJ,10.71,,05/21/2014,,
07746,NJ,5.33,48923.84259,11/09/2005,,
07039,NJ,10.26,146807.5895,01/15/2003,,
07017,NJ,2.4,21632.85066,08/26/2008,,
08343,NJ,7.92,,04/08/2013,,
08863,NJ,2.695,,07/03/2014,,
08536,NJ,6,49531.25715,03/15/2010,,
08512,NJ,8.745,93360.00483,02/27/2006,,
08742,NJ,1.6,15401.25776,06/20/2006,,
08221,NJ,9.24,86441.16871,12/21/2007,,
08721,NJ,8.16,,09/23/2014,,
08520,NJ,5.678,55344.63564,10/20/2004,,
07054,NJ,7.05,,05/13/2013,,
08872,NJ,5,,07/03/2014,,
08854,NJ,6,,02/17/2014,,
08701,NJ,8.5,,12/18/2013,,
08205,NJ,5.635,,03/20/2014,,
07719,NJ,6.012,53375.80674,02/22/2006,,
08723,NJ,6,59964.79156,08/02/2004,,
08008,NJ,2.26,,07/29/2008,,
08004,NJ,3.18,,07/23/2014,,
08826,NJ,7,,08/05/2014,,
07110,NJ,4.9,49183.13578,10/26/2006,,
07757,NJ,4.67,,05/30/2008,,
07203,NJ,2.4,21588.01137,08/28/2007,,
07762,NJ,6.93,67594.6238,12/23/2005,,
08863,NJ,4.165,,03/10/2014,,
08091,NJ,7.75,,05/02/2014,,
07853,NJ,10.02,94931.85923,08/25/2005,,
08360,NJ,9.68,93966.47095,01/04/2007,,
07722,NJ,10.5,102395.0289,09/21/2006,,
08757,NJ,4.75,,05/21/2014,,
08701,NJ,6.5,,07/08/2014,,
08844,NJ,5.04,44684.66885,12/04/2008,,
08835,NJ,4,,10/06/2014,,
08037,NJ,4.3,,11/07/2011,,
07825,NJ,4.08,43272.75609,11/06/2006,,
07649,NJ,4.08,39708.36751,04/02/2007,,
08096,NJ,7.25,,01/07/2013,,
08844,NJ,6.97,,09/25/2008,,
08753,NJ,7.84,,11/13/2013,,
07940,NJ,5.25,,09/15/2014,,
08701,NJ,5.04,,12/22/2010,,
08902,NJ,3.185,,07/03/2014,,
08527,NJ,9.89,88946.90725,05/21/2007,,
08817,NJ,10.5,,02/28/2013,,
07204,NJ,5.6,49119.99709,07/23/2008,,
07054,NJ,6.46,62936.30644,06/28/2006,,
08690,NJ,9.66,58242.31314,08/23/2010,,
08221,NJ,5.64,,10/24/2012,,
07726,NJ,9.76,98941.90607,08/31/2004,,
08817,NJ,3.995,,01/23/2014,,
08759,NJ,5.88,,07/23/2014,,
07083,NJ,4.41,,03/27/2014,,
08807,NJ,8.4,72131.11369,05/01/2007,,
08830,NJ,7.2,72607.01935,04/13/2004,,
07860,NJ,9.35,88754.4149,06/28/2006,,
08759,NJ,7.84,,01/24/2014,,
08057,NJ,5.04,,04/29/2014,,
08873,NJ,5.04,,01/24/2014,,
08742,NJ,8.5,68846.56006,05/02/2008,,
08043,NJ,1.336,13185.32758,11/05/2004,,
08081,NJ,5.28,,06/07/2013,,
07670,NJ,5.511,58126.62732,12/15/2005,,
08226,NJ,5.33,49111.14018,10/25/2007,,
08037,NJ,7.7,66316.26703,08/17/2006,,
08050,NJ,5.6,96719.43299,08/10/2005,,
08854,NJ,6.5,,03/20/2014,,
08844,NJ,3,,07/31/2014,,
08087,NJ,9.88,95760.56008,07/20/2005,,
08054,NJ,9.5,,11/04/2014,,
07849,NJ,5,,12/09/2014,,
07663,NJ,3.08,23784.03764,11/30/2006,,
07832,NJ,8,73650.15354,01/21/2009,,
08822,NJ,4.509,39740.69828,07/11/2007,,
08084,NJ,5.559,,12/31/2014,,
08723,NJ,6.63,,08/21/2014,,
08317,NJ,10.08,93042.63094,01/08/2009,,
07726,NJ,9.45,89606.12466,12/21/2007,,
07753,NJ,3.15,22905.01386,09/04/2008,,
07456,NJ,0.8,,07/13/2006,,
08094,NJ,20,,06/25/2014,,
08098,NJ,20.4,,06/23/2014,,
08232,NJ,5.355,,08/05/2014,,
08527,NJ,8.25,,05/02/2014,,
08098,NJ,14.28,,12/23/2014,,
07419,NJ,10.02,94931.85923,08/17/2005,,
08830,NJ,5.46,35581.26929,06/10/2010,,
07042,NJ,9.86,93402.04467,04/20/2006,,
07825,NJ,14.1,,10/17/2012,,
07013,NJ,4.465,,11/08/2013,,
08311,NJ,4.9,40085.42847,04/21/2008,,
08205,NJ,6.12,,12/01/2014,,
07040,NJ,6.37,,07/09/2014,,
07663,NJ,2,,09/19/2014,,
07740,NJ,6.65,72051.89139,03/30/2007,,
08087,NJ,4.995,47230.476,05/11/2005,,
08619,NJ,7,65629.65431,07/23/2008,,
08742,NJ,4.676,44108.3594,06/03/2005,,
08234,NJ,9.18,,08/05/2014,,
08106,NJ,6.48,,02/08/2013,,
08551,NJ,9.8,88325.04467,12/03/2004,,
07657,NJ,5.88,,10/24/2013,,
08080,NJ,5.28,55810.95258,04/27/2006,,
08081,NJ,8.085,,03/13/2014,,
07621,NJ,3.2,29940.52644,01/08/2007,,
08048,NJ,8.12,,10/09/2014,,
08520,NJ,8.4,71568.51825,06/29/2005,,
08527,NJ,7.2,72247.94125,01/21/2004,,
07931,NJ,17.08,151339.0215,12/30/2005,,
07712,NJ,10,92960.37248,10/11/2007,,
08201,NJ,7.35,,03/14/2014,,
08722,NJ,7.395,,07/03/2014,,
08534,NJ,8.4,92602.82599,06/18/2007,,
08853,NJ,10.4,93082.15365,01/16/2009,,
08527,NJ,5.25,,03/04/2014,,
08753,NJ,9.86,88789.03351,03/02/2006,,
07001,NJ,4.9,,11/04/2013,,
07960,NJ,5,,03/13/2014,,
08826,NJ,10,95478.57526,11/08/2007,,
08872,NJ,5.39,,05/08/2014,,
07737,NJ,3.6,29350.83622,09/02/2008,,
07930,NJ,9.35,73721.76394,06/05/2008,,
07719,NJ,5.5,,06/16/2014,,
08822,NJ,2.912,27878.43082,11/21/2006,,
08816,NJ,3.29,,07/09/2014,,
07603,NJ,3.76,,10/14/2010,,
07407,NJ,7.65,,09/26/2014,,
07008,NJ,5.865,,10/28/2014,,
07852,NJ,6.3,63401.15951,11/02/2005,,
08534,NJ,9.66,90234.92125,10/13/2005,,
08560,NJ,21.5,,12/06/2010,,
08346,NJ,6.375,,04/23/2014,,
08872,NJ,10.78,,04/21/2014,,
08833,NJ,10,,02/13/2008,,
07836,NJ,7,67348.90994,04/23/2007,,
07663,NJ,6.615,,09/05/2014,,
08817,NJ,7.99,,03/10/2014,,
08107,NJ,7.395,,06/04/2014,,
08533,NJ,5.76,57144.02766,10/20/2004,,
08721,NJ,4.81,,09/29/2010,,
07825,NJ,7.98,81232.6004,01/22/2005,,
08501,NJ,9.86,88001.96378,09/07/2005,,
07825,NJ,6.825,61277.06382,12/05/2007,,
07737,NJ,2.8,26548.51225,06/22/2005,,
08501,NJ,9.45,94295.53855,12/07/2006,,
07920,NJ,2.64,23721.52227,11/02/2005,,
08205,NJ,7.35,,03/20/2014,,
07960,NJ,6.58,,08/12/2011,,
08640,NJ,10.8,,11/08/2013,,
08833,NJ,10.14,,04/30/2008,,
07721,NJ,5.1,,06/03/2014,,
07731,NJ,4.509,43403.64118,03/24/2005,,
08812,NJ,4.992,48845.41821,03/27/2007,,
08226,NJ,2.288,23753.15602,05/13/2008,,
08886,NJ,10.125,87828.66111,06/02/2008,,
08701,NJ,8.35,93400.40787,01/04/2007,,
08822,NJ,10,93415.99443,01/14/2009,,
08722,NJ,8.16,,05/21/2014,,
08081,NJ,11.7,94935.03326,07/22/2010,,
08804,NJ,13.5,,12/12/2014,,
08807,NJ,4.25,,05/02/2014,,
07203,NJ,5.88,,03/27/2014,,
08037,NJ,9.018,79409.59287,11/02/2005,,
07083,NJ,2.45,,09/23/2014,,
08831,NJ,8.775,,11/04/2011,,
08321,NJ,5.2,49241.088,05/23/2006,,
08036,NJ,4.2,28520.08084,04/26/2010,,
07728,NJ,10.53,,12/24/2014,,
08234,NJ,3.675,36039.77668,08/13/2004,,
08234,NJ,6.125,,02/28/2014,,
08873,NJ,5.88,,11/12/2013,,
08330,NJ,8.415,,08/05/2014,,
07666,NJ,2.5,,08/26/2014,,
08260,NJ,7.824,77659.70734,04/20/2007,,
08540,NJ,11,,09/12/2013,,
