Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MN
55082,MN,3.87,61937.02773,09/02/2010,,
55428,MN,39.96,356434.1474,12/15/2010,,
55124,MN,3.1,26824.2183,10/23/2006,,
55104,MN,2.025,15978.6057,10/21/2010,,
56041,MN,3.6,33924.1714,11/05/2009,,
55736,MN,3.7,45951.35274,03/15/2010,,
55749,MN,2.22,17476.94166,06/29/2010,,
56001,MN,9.75,161659.697,06/27/2008,,
56327,MN,7.56,67745.28257,08/24/2010,,
55127,MN,2.1,22739.06037,05/04/2007,,
56619,MN,3.44,32774.33685,07/15/2010,,
55056,MN,10.08,84211.86314,10/29/2010,,
55987,MN,3.42,25711.55911,01/23/2006,,
55804,MN,2.528,14211.6556,08/31/2004,,
55051,MN,3.96,54137.68917,06/08/2005,,
56304,MN,5.16,25944.19085,09/10/2010,,
55126,MN,4.7,31406.32727,10/27/2010,,
56118,MN,4.14,40468.80628,06/14/2010,,
56288,MN,3.68,39969.19138,06/30/2010,,
55125,MN,10.12,66374.8306,01/05/2011,,
55001,MN,8.6,78976.34065,08/11/2010,,
55720,MN,3.15,26314.28416,07/10/2008,,
55987,MN,5.06,36522.79675,09/01/2010,,
55089,MN,7.56,22494.00058,01/15/2010,,
56470,MN,5.184,35216.5729,11/02/2009,,
55431,MN,5.375,50178.7131,06/23/2010,,
55442,MN,18.72,310801.3014,12/31/2008,,
56063,MN,2.925,38628.62272,06/15/2009,,
55318,MN,4.68,30129.48649,12/07/2010,,
55042,MN,5.25,36342.07333,10/06/2010,,
55129,MN,5.52,34036.92682,08/09/2010,,
56481,MN,2.1,17967.77324,11/12/2009,,
55744,MN,2.1,17410.55697,08/25/2006,,
55057,MN,2.76,29808.61824,10/06/2010,,
56464,MN,5.184,35216.5729,11/05/2009,,
55119,MN,3.15,28619.7211,07/14/2010,,
55612,MN,1.98,19812.60145,10/02/2007,,
55123,MN,4.84,44221.9853,12/23/2009,,
56087,MN,4.14,40330.77147,10/04/2010,,
55113,MN,9.03,32311.64063,11/12/2010,,
55803,MN,4.34,39839.21864,01/30/2006,,
55802,MN,0.51,5483.795623,04/28/2010,,
55118,MN,10.111,91737.89251,10/25/2010,,
55082,MN,5.67,36829.23874,08/02/2010,,
55803,MN,3.58,30377.66216,01/15/2010,,
55912,MN,2.925,36816.89782,02/04/2009,,
55406,MN,1.72,20589.32026,09/01/2010,,
55331,MN,4.995,38363.41352,07/28/2010,,
55116,MN,2.53,19604.45393,06/28/2010,,
55439,MN,9.84,120322.0847,02/27/2009,,
55112,MN,4.995,38523.06057,08/13/2010,,
55987,MN,5.06,36522.79675,09/01/2010,,
55082,MN,2.72,27901.56842,07/01/2007,,
55123,MN,5.16,44545.48945,10/30/2009,,
56209,MN,5.16,43436.00494,04/15/2010,,
55438,MN,4.83,45461.00685,08/25/2010,,
56063,MN,3.01,36053.33038,01/13/2010,,
55378,MN,6.72,61890.38901,12/22/2009,,
55757,MN,3.69,34429.9828,06/20/2010,,
56601,MN,3.36,30835.79875,08/19/2010,,
55374,MN,4.995,38687.88831,08/31/2010,,
55406,MN,3.68,26418.87883,09/15/2010,,
55387,MN,5.04,32271.53505,08/10/2010,,
56470,MN,2.07,16981.17317,05/25/2010,,
55910,MN,2.1,18344.42766,08/17/2006,,
55901,MN,1.95,30693.17003,01/23/2009,,
55116,MN,0.84,8922.616785,09/15/2010,,
56374,MN,2.1,21827.17459,08/06/2009,,
55604,MN,3.69,38197.52267,11/20/2009,,
55607,MN,8.4,75724.65926,05/21/2008,,
55113,MN,4.5,43300.31937,06/14/2010,,
55116,MN,2.82,25902.52817,05/19/2010,,
55082,MN,2.8,20859.08877,08/14/2006,,
55379,MN,4.995,37915.80051,08/24/2010,,
55985,MN,3.68,35964.68215,07/16/2010,,
55606,MN,1.02,16982.87794,11/13/2009,,
55343,MN,3.76,32920.68971,05/15/2010,,
55604,MN,1.4,15744.44429,07/01/2008,,
55001,MN,3.22,21627.72799,10/25/2010,,
55803,MN,2.05,21925.17678,12/22/2009,,
55033,MN,3.68,47014.70166,09/13/2010,,
55735,MN,2.8,35855.20732,08/09/2008,,
55409,MN,5.4,42107.55701,11/30/2009,,
56601,MN,2.1,24736.17232,01/16/2009,,
55987,MN,5.06,37064.67801,09/01/2010,,
55337,MN,2.16,24289.30214,10/15/2007,,
55051,MN,5.18,39318.41952,12/17/2009,,
55987,MN,5.06,37877.4999,09/27/2010,,
56081,MN,19.35,154169.8325,12/29/2008,,
55756,MN,5.58,58456.57808,10/31/2009,,
55906,MN,2.59,20599.90064,06/08/2004,,
55987,MN,5.17,36939.84682,08/17/2010,,
55124,MN,2.04,22321.50557,12/14/2007,,
56082,MN,4.14,43227.54938,06/09/2010,,
56001,MN,4.14,41372.41515,07/24/2010,,
55109,MN,12.04,120461.2887,10/01/2009,,
55408,MN,4.4,40557.8208,09/28/2009,,
56336,MN,5.535,36724.55704,11/13/2009,,
55959,MN,5.06,32256.35355,08/14/2010,,
55112,MN,2.4,28124.72898,05/20/2010,,
55802,MN,6.3,58334.15072,12/18/2007,,
55304,MN,2.15,14673.76837,04/01/2010,,
55426,MN,12.22,77670.84443,05/28/2010,,
55126,MN,1.75,12830.94378,10/27/2010,,
55411,MN,5.9,16820.54285,10/01/2007,,
55971,MN,4.48,30461.52224,08/04/2009,,
55603,MN,2.16,22112.18209,10/01/2007,,
55082,MN,5.88,57231.97203,06/02/2010,,
56379,MN,3.63,45394.48961,08/09/2005,,
56087,MN,5.16,45249.37412,09/01/2009,,
55119,MN,4.5,35841.93793,06/14/2010,,
55812,MN,5.824,39202.94729,10/30/2008,,
55349,MN,4.14,40468.80628,06/07/2010,,
56464,MN,2.8,34152.96554,10/23/2009,,
55110,MN,1.4,11254.6048,05/16/2006,,
55979,MN,7.168,61417.27955,02/22/2009,,
56087,MN,4.14,44965.34031,06/24/2010,,
56387,MN,4.8,26604.30896,07/28/2010,,
56442,MN,3.38,38636.82121,06/30/2008,,
55379,MN,4.05,61774.61483,08/24/2010,,
56470,MN,3.44,37403.06839,05/24/2010,,
55107,MN,1.95,25179.62106,07/15/2010,,
56353,MN,6.8,65227.40091,12/07/2009,,
55044,MN,5.76,38237.5083,12/31/2009,,
55434,MN,5.17,34176.10296,05/26/2010,,
56501,MN,4.32,35589.22319,04/22/2009,,
55337,MN,2.52,29231.69247,11/19/2009,,
56438,MN,2.4,20282.38436,03/23/2005,,
55804,MN,2.05,22637.0609,02/27/2006,,
55082,MN,6.3,48586.34834,10/27/2010,,
56003,MN,2,22240.96912,07/31/2006,,
55395,MN,8.28,89911.70537,07/02/2010,,
55920,MN,6.048,46310.07914,02/19/2009,,
55001,MN,5.67,54175.04526,01/13/2010,,
55008,MN,10.08,126310.5622,11/06/2007,,
55407,MN,6.66,83020.96383,10/30/2008,,
55110,MN,10.34,75952.92989,01/07/2011,,
56481,MN,2.8,28103.0278,05/10/2010,,
55746,MN,3.69,40301.91563,11/30/2009,,
55057,MN,5.52,43033.05097,08/17/2010,,
55119,MN,4.515,37546.05916,06/25/2010,,
55720,MN,7.38,70636.33651,01/09/2009,,
55987,MN,5.06,37877.4999,09/23/2010,,
55123,MN,4.44,38422.50634,09/17/2009,,
55733,MN,2.8,28339.23275,01/15/2008,,
55116,MN,1.44,10582.0662,06/25/2008,,
55051,MN,3.96,54137.68917,06/08/2005,,
55771,MN,2,14694.74367,09/15/2007,,
55021,MN,5.6,44440.46255,04/10/2010,,
55414,MN,5.42,46761.76421,01/18/2011,,
56374,MN,4.83,40495.95926,06/17/2010,,
56567,MN,2.07,17157.22195,04/06/2010,,
55108,MN,2.82,26789.02137,05/01/2010,,
55406,MN,3.06,32093.72368,10/29/2003,,
55113,MN,9.9,64614.74512,10/14/2010,,
55406,MN,2.1,28659.89903,07/02/2010,,
55447,MN,4.9,34449.86537,07/09/2010,,
55044,MN,4.5,42942.40775,01/15/2009,,
55756,MN,6.4,85060.89674,06/26/2009,,
56374,MN,9.9,44410.23006,08/31/2010,,
55411,MN,1.224,16293.52038,09/13/2004,,
55449,MN,2.15,22586.93219,11/13/2009,,
55437,MN,3.96,40387.38478,10/23/2009,,
55337,MN,5.375,50907.49917,06/23/2010,,
55042,MN,3.36,30083.84282,01/10/2003,,
55016,MN,2.04,10853.88159,09/17/2010,,
56288,MN,5.52,60822.68254,06/30/2010,,
55987,MN,2.8,43675.97796,10/15/2009,,
55043,MN,8.1,69092.69471,10/01/2010,,
56347,MN,10.105,71833.76032,06/23/2010,,
55057,MN,5.25,35796.36917,07/23/2010,,
55108,MN,2.34,27061.46871,07/17/2010,,
55803,MN,2.672,25230.70834,12/01/2004,,
56304,MN,2.112,17894.45908,05/12/2009,,
55419,MN,3.01,29384.9585,06/21/2010,,
55044,MN,10.15,94900.70824,10/25/2010,,
55304,MN,6.5,42570.44718,06/01/2010,,
55001,MN,4.23,30290.29278,10/14/2010,,
56087,MN,5.52,53905.73055,05/19/2010,,
55604,MN,2.72,23569.40729,11/19/2010,,
55369,MN,37.95,253824.3171,12/01/2010,,
55987,MN,2.07,14878.95606,08/04/2010,,
55125,MN,5.6,46336.13017,08/19/2009,,
55073,MN,1.38,9780.612685,07/12/2010,,
55379,MN,4.14,22881.77625,08/24/2010,,
55068,MN,3,21109.58924,11/23/2009,,
56082,MN,7.56,67956.87047,12/15/2010,,
55047,MN,7.425,50334.26666,07/02/2010,,
55057,MN,4.62,71618.78714,11/20/2007,,
55987,MN,5.06,33119.64993,07/15/2010,,
56464,MN,2.1,16865.47651,09/22/2009,,
55406,MN,3.01,31370.38464,06/02/2010,,
55118,MN,3.01,28814.49023,08/19/2010,,
55391,MN,2.925,32661.83541,10/20/2008,,
55987,MN,5.06,39255.02583,08/09/2010,,
55802,MN,4.2,43423.05086,06/06/2010,,
55587,MN,1.075,11324.23808,01/15/2009,,
55744,MN,3.69,39218.31655,09/21/2009,,
55021,MN,9.66,98135.897,11/02/2010,,
56288,MN,1.84,20571.10013,06/30/2010,,
56310,MN,7.68,73885.62697,10/27/2010,,
55042,MN,4.5,64583.35509,10/11/2010,,
55987,MN,5.06,38630.5425,07/15/2010,,
56288,MN,5.376,39705.57376,07/30/2010,,
55350,MN,10.08,54079.7495,09/29/2010,,
55802,MN,2.08,23170.67676,08/06/2007,,
56304,MN,4.6,37140.54139,09/27/2010,,
55720,MN,3.136,26149.32098,07/12/2010,,
55606,MN,1.4,14519.54536,11/21/2009,,
55720,MN,5.04,40599.1406,06/07/2010,,
55044,MN,4.7,31966.64815,09/20/2011,,
55418,MN,5.17,35719.02199,12/01/2010,,
56001,MN,4.56,48449.93459,10/02/2006,,
