Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MN
55376,MN,40.0,,01/01/2007,,
55419,MN,9.75,,02/01/2007,,
55128,MN,40.0,,11/16/2010,,
55107,MN,21.06,175000.0,07/16/2012,,
55408,MN,10.0,88000.0,12/12/2011,,
55112,MN,5.5,,06/11/2012,,
55734,MN,11.4,90000.0,06/08/2012,,
55746,MN,1.6,9000.0,05/15/2012,,
55746,MN,1.3,9000.0,05/17/2011,,
55705,MN,2.1,14700.0,06/01/2011,,
56669,MN,2.4,16200.0,06/09/2011,,
56629,MN,6.0,36000.0,12/21/2011,,
55987,MN,0.5,2295.0,12/22/2011,,
55343,MN,11.28,,06/02/2011,,
55438,MN,30.36,,05/20/2011,,
55414,MN,38.4,230000.0,01/01/2012,,
55354,MN,10.24,,09/01/2010,,
55971,MN,38.4,205169.1,10/27/2011,,
55405,MN,2.6,35000.0,01/21/2006,,
55405,MN,101.0,343000.0,02/01/2012,,
55403,MN,5.0,40000.0,11/01/2005,,
55414,MN,9.8,,10/01/2011,,
55403,MN,40.0,192000.0,03/01/2012,,
55103,MN,1.98,35000.0,04/11/2012,,
55108,MN,1.98,35000.0,04/11/2012,,
55969,MN,39.84,184060.8,03/16/2012,,
55718,MN,8.4,60200.0,03/03/2011,,
56288,MN,4.935,29120.0,04/20/2011,,
56358,MN,4.0,56000.0,05/26/2011,,
56470,MN,3.52,29928.0,06/06/2011,,
56152,MN,9.996,82600.0,06/15/2011,,
56464,MN,5.184,29605.0,09/20/2011,,
55044,MN,4.7,30637.0,09/20/2011,,
55406,MN,1.75,12725.0,09/29/2011,,
55117,MN,2.66,,10/20/2011,,
55305,MN,6.25,34050.0,10/28/2011,,
56329,MN,4.8,,05/01/2008,,
55962,MN,8.0,51682.0,10/21/2010,,
55910,MN,2.0,16435.0,12/27/2011,,
55987,MN,4.0,19960.0,12/13/2011,,
55987,MN,1.5,7500.0,12/13/2011,,
55954,MN,1.5,8985.0,12/13/2011,,
55987,MN,0.75,4199.0,11/28/2011,,
55949,MN,5.52,30739.0,09/08/2011,,
55981,MN,8.28,42642.0,06/15/2011,,
55949,MN,5.64,31389.0,05/19/2011,,
56156,MN,4.2,,05/06/2011,,
55409,MN,25.0,,10/01/2011,,
55102,MN,82.0,629732.0,10/18/2011,,
55426,MN,12.22,,04/28/2010,,
55418,MN,0.67,,08/04/2011,,
55437,MN,5.06,,10/06/2010,,
55406,MN,5.06,,10/07/2010,,
55407,MN,5.06,,10/07/2010,,
55418,MN,5.06,,10/07/2010,,
55430,MN,5.06,,10/06/2010,,
55408,MN,10.0,90000.0,10/13/1997,,
55125,MN,40.0,290000.0,08/31/2011,,
55125,MN,40.0,290000.0,08/31/2011,,
55125,MN,40.0,290000.0,08/31/2011,,
55125,MN,10.0,65000.0,02/03/2011,,
55045,MN,10.0,73000.0,06/03/2010,,
56207,MN,10.416,,09/07/2010,,
55960,MN,8.3,,12/29/2010,,
55410,MN,9.18,84000.0,06/08/2007,,
55354,MN,10.28,,12/03/2010,,
55413,MN,10.0,,10/18/2006,,
55369,MN,72.0,,04/01/2008,,
55102,MN,9.8,,08/01/2008,,
56001,MN,10.34,,02/01/2011,,
55001,MN,12.24,65560.0,12/20/2010,,
55454,MN,10.0,,09/01/2010,,
55454,MN,39.79,,11/01/2010,,
55104,MN,36.8,178750,07/01/2009,,
55109,MN,10.0,,01/01/2011,,
55415,MN,12.19,,11/01/2010,,
55414,MN,39.96,330000.0,02/01/2011,,
55102,MN,1.4,,04/01/2007,,
55102,MN,8.8,,06/01/2003,,
55104,MN,10.0,55000.0,11/23/2005,,
55109,MN,34.0,195000.0,08/01/2005,,
55438,MN,40.0,300000.0,05/01/2007,,
55047,MN,38.0,255069.0,12/20/2010,,
55804,MN,2.1,25000.0,06/01/2009,,
56123,MN,13.8,73143.0,12/20/2010,,
56295,MN,16.1,102550.0,12/01/2010,,
55403,MN,600,2695000,11/19/2010,,
55409,MN,40.0,,04/24/2010,,
55406,MN,32.0,,06/01/2010,,
55741,MN,10.3,98825.0,09/01/2010,,
55987,MN,4.3,35000.0,09/01/2010,,
56515,MN,3.9,47000.0,03/16/2011,,
55111,MN,3.9,47000.0,01/18/2011,,
56685,MN,3.9,47000.0,06/01/2011,,
55033,MN,15.0,95543.0,12/29/2010,,
55128,MN,1.2,4500.0,04/16/2011,,
55718,MN,2.528,,09/01/2008,,
55347,MN,5.265,,11/30/2010,,
55113,MN,9.03,29864.0,11/12/2010,,
55118,MN,2.76,,10/28/2010,,
55431,MN,10.15,,10/22/2010,,
55992,MN,1.07,6451.0,10/10/2010,,
55060,MN,10.56,,09/30/2010,,
55379,MN,4.05,21101.0,08/24/2010,,
55987,MN,5.06,35950.0,09/27/2010,,
55405,MN,2.585,,10/06/2010,,
55987,MN,5.06,34950.0,08/31/2010,,
55987,MN,5.06,34950.0,09/10/2010,,
55987,MN,0.69,4799.0,09/03/2010,,
55987,MN,5.06,34950.0,08/31/2010,,
55959,MN,5.06,34950.0,08/27/2010,,
55987,MN,5.06,35950.0,08/13/2010,,
55959,MN,5.06,34950.0,08/13/2010,,
55987,MN,2.07,14469.0,07/31/2010,,
55987,MN,5.06,34950.0,07/26/2010,,
55969,MN,5.06,35950.0,07/19/2010,,
55987,MN,5.06,35950.0,07/02/2010,,
55987,MN,5.06,35950.0,07/01/2010,,
55051,MN,4.4,,10/01/2007,,
56481,MN,2.8,,07/20/2010,,
56470,MN,2.07,,08/02/2010,,
55707,MN,3.69,,09/08/2008,,
55123,MN,5.16,40677,12/08/2009,,
55033,MN,4.52,,07/02/2010,,
56437,MN,2.16,,01/29/2010,,
55960,MN,3.58,,03/30/2010,,
56118,MN,4.14,,07/19/2010,,
55802,MN,0.51,,07/16/2010,,
55119,MN,4.5,,07/19/2010,,
55419,MN,3.01,,07/19/2010,,
55406,MN,2.7,,07/02/2010,,
55720,MN,5.04,,07/20/2010,,
56374,MN,4.83,,07/19/2010,,
56310,MN,5.16,,07/19/2010,,
55802,MN,4.2,,07/14/2010,,
55337,MN,5.38,,07/28/2010,,
56334,MN,4.14,,07/19/2010,,
55406,MN,3.01,,07/19/2010,,
55417,MN,3.8,,07/19/2010,,
55113,MN,4.5,,07/19/2010,,
55082,MN,5.88,,07/19/2010,,
56470,MN,3.44,,07/19/2010,,
55051,MN,7.68,,06/17/2010,,
56514,MN,7.56,,04/19/2010,,
55431,MN,5.38,,07/20/2010,,
55112,MN,2.4,,06/17/2010,,
55089,MN,7.56,,04/19/2010,,
55736,MN,3.7,,04/19/2010,,
55123,MN,4.84,,04/07/2010,,
56567,MN,2.07,,05/11/2010,,
56209,MN,5.16,,06/17/2010,,
56531,MN,2.8,,06/17/2010,,
55316,MN,4.2,,05/11/2010,,
55449,MN,3.44,,03/10/2010,,
55378,MN,6.72,,05/11/2010,,
55116,MN,2.9,,04/19/2010,,
55027,MN,4.23,,06/17/2010,,
55068,MN,2.07,,04/07/2010,,
55434,MN,5.17,,07/02/2010,,
55606,MN,1.4,,04/22/2010,,
56283,MN,3.68,,04/22/2010,,
55756,MN,3.69,,07/29/2010,,
55803,MN,3.58,,03/02/2010,,
56087,MN,5.52,,07/28/2010,,
56253,MN,5.4,,05/26/2010,,
56252,MN,11.04,,05/26/2010,,
55044,MN,5.76,,03/17/2010,,
56481,MN,2.1,,12/18/2009,,
55405,MN,2.1,,02/08/2010,,
55057,MN,1.58,,02/16/2010,,
55304,MN,2.15,,06/17/2010,,
55987,MN,2.8,,01/18/2010,,
56373,MN,3.15,,01/28/2010,,
55437,MN,3.96,,11/25/2009,,
55408,MN,3.36,,11/20/2009,,
56041,MN,3.6,,12/18/2009,,
56087,MN,5.16,,10/09/2009,,
56353,MN,6.88,,01/18/2010,,
55449,MN,2.15,,12/22/2009,,
55746,MN,3.69,,12/21/2009,,
55051,MN,5.18,,01/30/2010,,
55123,MN,4.44,,11/23/2009,,
56464,MN,5.18,,12/19/2009,,
56470,MN,5.18,,12/18/2009,,
55956,MN,10.37,,12/21/2009,,
55104,MN,0.87,,01/11/2010,,
55346,MN,1.32,,11/25/2009,,
55073,MN,4.14,34227,12/18/2009,,
55408,MN,4.4,,12/01/2009,,
56063,MN,3.01,,04/07/2010,,
56087,MN,4.14,,10/09/2009,,
56283,MN,3.36,,01/28/2010,,
56464,MN,2.8,,12/21/2009,,
56464,MN,2.1,,12/10/2009,,
56087,MN,3.36,,10/06/2009,,
56438,MN,2.46,,12/18/2009,,
56336,MN,5.54,,02/08/2010,,
55726,MN,11.0,,09/16/2009,,
55744,MN,3.69,,10/28/2009,,
55082,MN,1.73,,08/06/2009,,
55106,MN,3.2,,06/12/2009,,
55719,MN,2.0,,03/05/2009,,
55076,MN,4.0,,06/16/2009,,
55902,MN,2.52,,10/28/2009,,
55812,MN,5.82,,05/04/2009,,
55803,MN,2.05,,02/10/2010,,
56001,MN,1.0,,09/25/2009,,
55587,MN,1.08,,01/21/2010,,
56303,MN,0.8,,05/04/2009,,
55901,MN,1.95,,05/04/2009,,
55439,MN,9.84,,08/06/2009,,
55116,MN,2.37,,01/21/2010,,
55442,MN,18.72,,07/23/2009,,
55756,MN,6.4,,08/18/2009,,
56063,MN,2.93,,09/14/2009,,
55126,MN,2.69,,02/19/2009,,
56374,MN,5.6,,01/08/2009,,
56304,MN,2.11,,10/09/2009,,
55912,MN,2.93,,08/06/2009,,
55719,MN,9.84,,05/05/2009,,
55024,MN,4.14,37989,02/17/2009,,
56501,MN,4.32,,05/11/2009,,
55406,MN,3.2,,03/24/2009,,
55904,MN,5.82,,09/15/2009,,
55712,MN,2.73,,11/17/2008,,
55971,MN,4.48,,09/10/2009,,
55979,MN,7.17,,03/13/2009,,
55057,MN,9.98,,09/10/2009,,
55047,MN,2.94,29322,02/26/2009,,
55069,MN,2.0,,11/03/2009,,
56601,MN,2.1,,10/08/2008,,
56087,MN,2.04,,11/07/2008,,
56464,MN,3.9,,11/14/2008,,
55735,MN,2.8,,08/12/2008,,
55369,MN,4.8,,03/04/2009,,
55330,MN,4.68,,12/05/2008,,
55044,MN,4.5,38300,02/17/2009,,
56477,MN,2.34,,11/17/2008,,
56758,MN,28.8,,02/12/2009,,
55109,MN,12.04,,12/07/2009,,
55721,MN,2.88,,08/19/2009,,
56716,MN,4.0,,11/10/2009,,
55720,MN,7.38,,02/25/2009,,
55720,MN,3.15,,05/15/2009,,
55407,MN,6.66,,02/17/2009,,
55744,MN,3.69,,09/11/2008,,
55407,MN,0.96,,12/19/2008,,
55082,MN,3.12,,10/25/2008,,
55116,MN,1.44,,09/18/2008,,
55107,MN,2.93,,08/22/2008,,
55408,MN,1.6,,02/27/2008,,
56288,MN,1.95,,09/12/2008,,
55407,MN,1.6,,02/06/2009,,
56359,MN,3.04,,01/08/2009,,
55107,MN,1.95,,04/29/2008,,
55345,MN,3.6,,12/12/2008,,
55408,MN,2.88,,04/09/2008,,
55331,MN,9.36,,12/09/2008,,
56438,MN,1.04,,05/18/2008,,
55316,MN,1.26,,05/22/2008,,
55127,MN,1.95,,01/14/2009,,
55718,MN,3.6,,05/23/2008,,
55413,MN,4.68,,04/09/2008,,
56037,MN,2.1,,12/18/2007,,
56477,MN,1.95,,01/16/2008,,
56477,MN,3.12,,01/16/2008,,
55446,MN,3.9,,06/18/2008,,
56401,MN,2.1,,11/20/2007,,
55806,MN,3.2,,01/16/2008,,
55105,MN,2.1,,11/07/2008,,
55744,MN,3.6,,01/16/2008,,
55604,MN,1.75,,01/16/2008,,
55411,MN,1.82,,12/18/2007,,
55612,MN,1.98,,10/16/2007,,
55126,MN,8.4,,10/25/2008,,
55127,MN,6.0,,10/25/2007,,
56201,MN,2.38,,05/20/2008,,
55804,MN,0.52,,04/29/2008,,
55771,MN,2.0,,10/16/2007,,
55008,MN,10.08,,11/30/2007,,
55017,MN,2.04,,06/25/2008,,
56442,MN,6.12,,05/20/2008,,
55803,MN,3.15,,12/18/2007,,
55804,MN,2.8,,10/17/2007,,
56001,MN,9.75,,10/08/2008,,
56442,MN,3.38,,09/18/2008,,
55771,MN,4.16,,11/15/2007,,
55328,MN,3.2,,06/18/2008,,
55082,MN,2.72,,08/03/2007,,
55024,MN,2.04,,01/16/2008,,
55733,MN,2.8,,02/27/2008,,
55046,MN,2.0,,10/17/2007,,
55616,MN,2.88,,12/15/2008,,
55337,MN,4.0,,09/24/2007,,
55812,MN,3.15,,02/27/2008,,
56444,MN,1.44,,07/01/2008,,
55963,MN,3.33,,08/06/2007,,
55603,MN,2.16,,09/14/2007,,
55604,MN,1.4,,08/12/2008,,
56387,MN,4.32,,07/10/2008,,
55449,MN,2.0,,08/16/2007,,
55419,MN,2.63,,05/20/2008,,
55126,MN,3.0,,08/03/2007,,
55912,MN,2.34,,11/20/2007,,
55438,MN,10.617,,07/17/2007,,
55405,MN,2.7,10350.0,05/25/2010,,
55771,MN,4.16,23662,09/01/2007,,
55407,MN,0.96,9781,06/25/2008,,
55033,MN,1.84,30605,01/11/2009,,
55411,MN,1.82,14845.3,10/01/2007,,
56321,MN,400.4,2900000,12/08/2009,,
55912,MN,2.34,14902,09/19/2007,,
55735,MN,2.8,38300,01/15/2009,,
55116,MN,2.53,17618.0,06/01/2010,,
56387,MN,4.32,30786,07/31/2007,,
55408,MN,2.88,,02/01/2008,,
55902,MN,2.7,35864,10/30/2008,,
56374,MN,2,29880,10/15/2009,,
56477,MN,1.95,,12/01/2007,,
56442,MN,6.12,47751,04/04/2008,,
56464,MN,3.9,49800,10/15/2009,,
55803,MN,2.05,17745,10/30/2008,,
55328,MN,3.2,31350,08/30/2007,,
55127,MN,6,,09/18/2007,,
56477,MN,3.12,,12/01/2007,,
55719,MN,9.84,31960,02/03/2009,,
55960,MN,3.3,41509,02/19/2009,,
55024,MN,2.04,19804,12/14/2007,,
55107,MN,3,19450,06/12/2007,,
56438,MN,1.04,,11/01/2007,,
55126,MN,8.4,69294,05/21/2008,,
55487,MN,95,900000,01/20/2009,,
55438,MN,10.617,,05/02/2007,,
55101,MN,3,27777,11/01/2007,,
55105,MN,2.1,,01/20/2008,,
55720,MN,7.38,75950,10/30/2008,,
55731,MN,9.36,115000,12/21/2007,,
55904,MN,6.05,51130,01/01/2008,,
55912,MN,2.93,32057,04/22/2009,,
55391,MN,3.976,30389,02/02/2010,,
55906,MN,6.105,45901.81,01/27/2010,,
55051,MN,4.4,67739.95,12/14/2007,,
55425,MN,1014.0,,08/28/2012,,
55413,MN,4.68,,01/10/2008,,
55803,MN,4.2,26118.21,10/01/2008,,
55108,MN,10.11,83500.0,02/25/2011,,
56288,MN,10.36,60000.0,02/25/2011,,
55438,MN,2.1,22145.0,02/25/2011,,
55104,MN,3.24,34995.0,12/10/2010,,
55318,MN,4.68,27895.0,12/07/2010,,
55347,MN,10.34,58421.0,12/07/2010,,
56241,MN,10.71,93800.0,12/03/2010,,
