Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NY
14468,NY,6.48,23266.97712,04/21/2014,,
13754,NY,7.848,48713.04701,06/03/2013,,
12054,NY,7.36,37147.83484,06/19/2014,,
10307,NY,6.54,32897.29217,08/20/2013,,
14840,NY,7.5,29675.20745,05/28/2013,,
13833,NY,14.07,70751.91226,12/31/2013,,
12125,NY,4.56,39260.54604,07/01/2008,,
12525,NY,3.36,8152.524724,02/18/2014,,
10314,NY,9.81,50814.98336,12/08/2014,,
14094,NY,9.25,40956.23199,07/30/2013,,
12110,NY,8.96,37592.89607,11/20/2014,,
12193,NY,8.625,49507.00185,09/30/2013,,
12066,NY,9.81,53119.40142,03/04/2014,,
12440,NY,7.95,27880.63588,06/28/2013,,
14471,NY,6.625,24788.12005,05/20/2014,,
10567,NY,7.5,35058.22351,09/30/2014,,
12076,NY,6.9,51164.50227,03/07/2013,,
11201,NY,45.36,260168.4721,09/27/2012,,
10512,NY,11.772,56662.69542,11/12/2013,,
14589,NY,2.94,15688.66844,04/22/2013,,
12580,NY,15.6,58987.12417,02/20/2014,,
14468,NY,1.92,11991.02561,07/08/2013,,
13618,NY,4.5,15643.80745,06/09/2014,,
14750,NY,7.2,32909.76664,11/12/2013,,
14420,NY,7,32283.74866,06/24/2013,,
10562,NY,9.45,82375.72259,02/12/2009,,
14221,NY,6.58,32614.5996,09/23/2011,,
14883,NY,7,35473.1383,07/24/2014,,
,NY,4,41960.99739,08/09/2006,,
10954,NY,7.2,32512.26065,03/08/2013,,
14502,NY,6.12,27884.27841,12/31/2013,,
13323,NY,6.89,27330.05811,08/28/2013,,
12546,NY,7.92,45375.94652,02/19/2013,,
12843,NY,6.36,25787.48444,10/31/2013,,
10607,NY,7.2,70363.91037,06/11/2009,,
13078,NY,7,26665.29356,12/10/2013,,
13033,NY,9.075,30534.02917,08/18/2014,,
13632,NY,7.2,27065.73578,12/13/2012,,
12095,NY,7.2,36429.84161,03/26/2013,,
13684,NY,3.445,11352.98057,10/17/2013,,
10980,NY,7.75,29304.50079,02/20/2014,,
14886,NY,7.848,40309.49081,05/16/2013,,
12166,NY,4.992,50427.669,09/08/2008,,
12525,NY,48.88,275656.227,07/18/2013,,
13650,NY,15,53205.70558,07/24/2013,,
14224,NY,5.8,21464.22889,10/24/2013,,
14013,NY,2.12,8836.881782,11/07/2013,,
13068,NY,7,26818.13871,05/07/2014,,
13068,NY,2.08,12457.31115,03/05/2014,,
12534,NY,5.25,46159.85281,03/17/2009,,
10307,NY,16.023,80782.11031,02/26/2014,,
13323,NY,7,29478.61874,11/12/2013,,
11368,NY,21.15,172259.7469,04/15/2013,,
10307,NY,14.49,74347.8803,08/21/2013,,
10314,NY,10.464,50420.313,08/05/2014,,
12009,NY,7.848,44813.86348,10/31/2013,,
10956,NY,5.232,29162.80731,07/29/2013,,
14817,NY,6.21,31106.28821,01/23/2014,,
10304,NY,8.175,38990.64277,07/30/2014,,
14011,NY,6.6,23097.9947,10/22/2014,,
13069,NY,12.24,49478.26586,07/17/2013,,
10924,NY,42.183,197968.6858,12/31/2013,,
13605,NY,2.65,12668.02514,07/26/2013,,
12180,NY,5.52,46846.28019,06/26/2008,,
11201,NY,1,8951.501035,09/12/2012,,
11218,NY,3.45,29397.19065,09/19/2014,,
14051,NY,9.4,35887.44727,04/26/2013,,
14150,NY,15.51,78924.82485,02/07/2012,,
10970,NY,7.44,36708.63089,02/25/2013,,
13080,NY,7.2,30202.5928,05/21/2013,,
12020,NY,7,27046.24448,06/13/2013,,
13903,NY,3,10448.62547,05/12/2014,,
10543,NY,8.19,75117.02079,10/09/2007,,
10308,NY,6.867,38995.65337,04/07/2014,,
12302,NY,6.63,23759.64023,09/18/2013,,
10705,NY,3.6,36741.85787,01/18/2008,,
14838,NY,7.2,34985.80307,02/14/2013,,
12047,NY,10.0,40000.0,02/21/2013,,
12866,NY,5.28,,07/19/2012,,
12865,NY,6.11,,08/20/2012,,
12850,NY,4.8,,08/15/2012,,
12850,NY,7.92,,08/07/2012,,
12804,NY,8.16,,07/17/2012,,
12771,NY,3.76,,08/21/2012,,
12603,NY,8.64,,09/04/2012,,
12603,NY,6.24,,08/13/2012,,
12603,NY,5.76,,07/09/2012,,
12601,NY,6.72,,10/10/2012,,
12601,NY,7.92,,07/30/2012,,
12590,NY,6.72,,10/10/2012,,
12590,NY,4.8,,09/05/2012,,
12589,NY,7.68,,09/12/2012,,
12570,NY,6.72,,09/17/2012,,
12566,NY,7.2,,09/05/2012,,
12566,NY,3.76,,07/11/2012,,
12561,NY,6.72,,10/09/2012,,
12561,NY,8.58,,09/18/2012,,
12561,NY,10.34,,09/12/2012,,
12561,NY,8.8,,09/05/2012,,
12553,NY,7.92,,10/03/2012,,
12553,NY,8.58,,09/24/2012,,
12553,NY,8.64,,09/05/2012,,
12553,NY,6.345,,08/28/2012,,
12550,NY,5.76,,09/11/2012,,
12550,NY,6.45,,07/09/2012,,
12550,NY,48.88,,06/29/2012,,
12549,NY,6.72,,09/05/2012,,
12548,NY,7.92,,10/02/2012,,
12546,NY,7.2,,09/10/2012,,
12545,NY,15.36,,07/31/2012,,
12542,NY,5.52,,09/05/2012,,
