Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NY
11201,NY,2.03463,23617.56,01/07/2008,,
11205,NY,4.657344,50040,10/29/2007,,
10454,NY,17.576163,179813,08/09/2008,,
12885,NY,1.81056,22072,01/17/2006,,
10465,NY,2.822952,30398,02/12/2009,,
12590,NY,4.001832,37836.5,12/19/2007,,
12440,NY,4.35456,46180,01/08/2008,,
12446,NY,1.9902,18392,04/26/2004,,
12992,NY,8.185023,68000,04/09/2004,,
14120,NY,4.439604,32760.6,09/02/2008,,
14850,NY,4.283552,53700,05/25/2006,,
12033,NY,5.5050975,49938,06/16/2009,,
12942,NY,2.07948,19567,12/20/2004,,
10025,NY,3.60612,37152,09/05/2008,,
10994,NY,4.173488,45758,10/13/2006,,
12935,NY,8.06624,80072,12/14/2006,,
12550,NY,3.337,34400,05/15/2009,,
14532,NY,2.509326,27361.38,03/30/2006,,
11375,NY,2.204658,25900,06/06/2003,,
11358,NY,2.44962,24000,10/04/2004,,
12106,NY,4.33188,47880,07/30/2009,,
12601,NY,12.027488,115016.66,06/19/2006,,
12023,NY,2.88,28149,06/11/2008,,
14886,NY,3.58236,30733,06/09/2004,,
10530,NY,44.182502,461500,05/15/2009,,
12180,NY,8.324283445,78276.01,03/02/2007,,
14502,NY,4.404078,41441.17,02/20/2009,,
12919,NY,8.37,68264,02/16/2006,,
12302,NY,3.46437,33740,09/04/2007,,
12719,NY,4.19475,38250,05/19/2008,,
10925,NY,8.423568,75365,09/11/2007,,
11211,NY,16.81878,182955,04/11/2007,,
12018,NY,8.44389,88009,06/14/2007,,
12561,NY,6.334848,54900,05/12/2009,,
12603,NY,3.9349,39550,04/24/2009,,
12204,NY,1.791834,18360,11/19/2008,,
12125,NY,6.55872,68080,03/25/2009,,
10520,NY,15,140000,05/01/2003,,
12812,NY,9.50832,95616,07/31/2003,,
12203,NY,2.35011,23900,10/27/2004,,
12053,NY,5.241816,45979,08/04/2006,,
12834,NY,4.67775,45616,03/27/2006,,
13865,NY,4.526184,43236,04/25/2005,,
10583,NY,7.48374,83228.4,04/10/2008,,
10965,NY,2.664801103,26247,01/18/2008,,
12567,NY,8.879208,89340,03/18/2009,,
12526,NY,3.46437,37615,08/13/2007,,
14889,NY,2.66822,28120,01/07/2008,,
10701,NY,21.85995,188377.85,05/01/2009,,
12060,NY,3.27936,35880,03/25/2009,,
10504,NY,4.824456,49100,06/01/2007,,
12440,NY,2.959026,29274,05/12/2006,,
12125,NY,6.06616,57922,03/26/2009,,
12502,NY,4.1533905,42287.5,02/19/2009,,
12561,NY,7.08282,68400,06/19/2009,,
14618,NY,1.7019,18476.33,01/18/2007,,
14086,NY,1.6779,15000,02/13/2007,,
12122,NY,2.756832,28446.98,03/02/2006,,
12983,NY,3.5853,33531,03/26/2009,,
12306,NY,4.24974,40799.96,10/26/2007,,
14867,NY,4.991298529,45316.5,06/04/2007,,
14850,NY,5.33644,54240,04/02/2007,,
13068,NY,2.258226,20755,06/19/2007,,
13865,NY,4.527495,45120,04/24/2009,,
14850,NY,3.381744,34682,01/23/2008,,
14580,NY,3.560049,33294.86,11/12/2008,,
12943,NY,2.045628,30822,11/14/2007,,
14850,NY,1.54728,17331,05/10/2004,,
12809,NY,9.09924,88873,09/10/2008,,
12306,NY,5.46234,61227,01/08/2008,,
14466,NY,7.89522,63643,11/14/2005,,
12029,NY,4.41,14277.0,07/25/2005,,
12157,NY,6.52456,65751,03/23/2009,,
14850,NY,1.542376,18419.32,08/04/2006,,
13348,NY,2.105392,20961.64,07/06/2004,,
12484,NY,3.591,35575,01/08/2008,,
12529,NY,2.16594,21672,08/12/2009,,
12981,NY,8.185023,51500,11/03/2003,,
13152,NY,8.314488,82300,04/30/2007,,
12564,NY,6.5267565,66865,08/26/2009,,
12492,NY,4.439604,44594,07/14/2009,,
12065,NY,4.43275983,42960,11/03/2008,,
12843,NY,3.74736,56059.15,09/22/2008,,
14420,NY,5.072382,48351.47,02/05/2007,,
12553,NY,6.3072975,55375,05/12/2009,,
14512,NY,4.89342,44756.12,02/20/2009,,
12529,NY,2.953071,27000,06/09/2006,,
14514,NY,4.21728,43050.16,05/21/2008,,
12175,NY,3.54756,37429.53,10/19/2006,,
14850,NY,2.469924,29448.52,09/05/2006,,
12832,NY,4.89342,46086,11/12/2008,,
14086,NY,19.57368,184709.52,05/14/2009,,
12027,NY,4.523904,43885.22,08/24/2005,,
12601,NY,8.879208,90589,05/15/2009,,
12603,NY,12.405744,113448,12/05/2006,,
11238,NY,2.83311,35670,06/18/2007,,
12583,NY,3.591,35525,03/04/2008,,
12809,NY,3.864315,36206.1,06/09/2008,,
12053,NY,3.841992,30712,11/07/2008,,
14850,NY,4.54962,44454,02/23/2009,,
14850,NY,2.85768,35122.05,05/29/2008,,
14891,NY,2.7956355,29700,06/29/2005,,
10992,NY,2.699424,23200,02/16/2007,,
12401,NY,2.66251,24560,12/26/2003,,
12401,NY,2.50047,26955,10/26/2007,,
10014,NY,3.8846535,40700,10/21/2008,,
12477,NY,6.362112,51500,05/05/2008,,
14541,NY,2.433996,20608,04/03/2006,,
12148,NY,3.681792,36039.92,12/05/2006,,
12440,NY,6.054048,62920,09/27/2006,,
12589,NY,9.249175,89200,06/09/2008,,
10604,NY,2.456032,23580.36,04/28/2005,,
10567,NY,6.328976,64800,02/24/2009,,
12037,NY,2.626344,25199.98,03/13/2008,,
12009,NY,7.37856,67444,03/23/2009,,
13850,NY,4.486104,44600,05/13/2009,,
12513,NY,3.195012,35932,12/26/2003,,
11377,NY,5.84766,62229,06/11/2009,,
12516,NY,7.872192,83303.92,05/12/2009,,
13031,NY,3.195048,26157.99,03/11/2008,,
10280,NY,22.114224,299000,09/23/2008,,
12992,NY,4.81656,74001,05/15/2009,,
10987,NY,9.460173704,83100,08/10/2006,,
12601,NY,4.38792,48824.95,07/30/2009,,
14512,NY,2.054556,21537.79,06/13/2007,,
12521,NY,5.919472,56780,06/27/2008,,
13905,NY,5.004342,51100,05/08/2006,,
14850,NY,4.89888,59144.89,04/21/2008,,
11953,NY,5.25,33000,11/18/2008,,
12529,NY,4.45794,49350,07/30/2009,,
12561,NY,2.705472,27940,03/30/2005,,
14850,NY,6.328976,62619.61,12/18/2008,,
10282,NY,16.899696,253350,10/15/2007,,
14150,NY,26.3736,192192,05/13/2009,,
14850,NY,1.764345,23460,06/11/2008,,
10960,NY,3.606057,35557,11/15/2006,,
12106,NY,4.24974,40799.96,04/16/2008,,
12123,NY,6.52456,57048,10/27/2008,,
12561,NY,5.537854,54800,08/06/2008,,
12018,NY,2.359232,27807,03/26/2009,,
13820,NY,8.314488,93300,02/26/2007,,
10509,NY,4.930941667,48653,11/15/2007,,
12545,NY,2.50047,35650,02/12/2008,,
14572,NY,3.6256815,33507.5,05/26/2006,,
10520,NY,5.891034286,52800,01/25/2008,,
12578,NY,3.591,38400,08/20/2007,,
12061,NY,5.5050975,49310,10/22/2008,,
14052,NY,24.752832,192192,08/26/2009,,
12075,NY,3.94212,38235,06/01/2007,,
14701,NY,5.4,43200,07/01/2009,,
13057,NY,3.27936,30240.81,08/26/2009,,
10994,NY,4.80816,45504,07/17/2007,,
10536,NY,8.916075,80920,02/19/2008,,
10598,NY,6.1047,58910,01/17/2008,,
10583,NY,44.182502,447357.03,01/16/2009,,
12571,NY,10.449792,92450,05/03/2005,,
10549,NY,7.16472,58887,04/30/2004,,
12572,NY,1.849835,20100,08/11/2008,,
10703,NY,3.21489,33210,01/18/2008,,
12571,NY,7.08282,68040,05/01/2009,,
10016,NY,22.02039,224915,02/13/2009,,
10901,NY,2.959026,32164,11/26/2007,,
14040,NY,4.535295,40750,06/16/2008,,
12198,NY,4.89342,45796,11/03/2008,,
12065,NY,4.214415,42014,06/19/2008,,
14011,NY,4.439604,42840,07/30/2009,,
10989,NY,6.835752,61553,05/08/2006,,
10918,NY,4.0896,37980,06/16/2008,,
12204,NY,1.448448,17668,12/28/2005,,
11351,NY,3.107889,36060,08/14/2009,,
14546,NY,8.314488,77200,11/24/2006,,
12027,NY,5.02362,47135,06/05/2007,,
12601,NY,5.71536,50512,09/17/2007,,
10804,NY,4.7304,58073,08/27/2007,,
12567,NY,3.34488,31200,04/30/2004,,
10598,NY,3.26228,31648,06/30/2009,,
13652,NY,3.066624,37335,11/07/2003,,
12203,NY,2.135189,20056,01/12/2009,,
10535,NY,2.47194,24066,10/29/2003,,
12147,NY,7.127434195,70970,08/10/2005,,
10940,NY,8.43125,71367.5,12/17/2007,,
12477,NY,6.9223175,68725,03/18/2009,,
12866,NY,2.068115,22680,08/27/2007,,
12193,NY,3.583668,36468,03/19/2009,,
12302,NY,4.325004,40478.7,07/15/2009,,
10916,NY,8.92551,88000,08/12/2009,,
12516,NY,7.946928,83303.92,05/12/2009,,
13431,NY,3.35956,32890.26,03/02/2006,,
10920,NY,14.76048,138230.4,05/15/2009,,
12921,NY,4.84218,50862,06/01/2009,,
12529,NY,5.549505,51450,05/20/2008,,
11416,NY,13.388544,191365,03/18/2008,,
12942,NY,5.53392,51266,03/26/2009,,
12471,NY,8.57304,85320,10/09/2007,,
12581,NY,4.353888,41180,09/13/2004,,
10989,NY,5.179538,46309,03/25/2008,,
12054,NY,2.583308,26492.1,06/13/2005,,
12010,NY,8.314488,82300,09/04/2008,,
12054,NY,3.68928,40319,05/01/2009,,
14850,NY,1.764345,18725,05/07/2009,,
12570,NY,5.499648,56555,11/06/2006,,
14469,NY,3.210432,46617.94,02/22/2008,,
12188,NY,3.670065,34933,06/16/2009,,
11355,NY,24.271808,475000,01/31/2008,,
10583,NY,2.82282,31726,05/22/2009,,
13904,NY,5.066145,43200,12/12/2006,,
12484,NY,3.94212,37235,02/26/2007,,
12066,NY,2.959736,29916,04/24/2008,,
12815,NY,4.027086,45813,01/11/2007,,
14850,NY,3.381744,35182,10/27/2008,,
12580,NY,18.17575,169300,11/12/2008,,
13753,NY,2.668032,29924.97,03/24/2009,,
13740,NY,1.097712,10526.36,06/08/2006,,
12159,NY,2.626344,28034.98,01/29/2007,,
12866,NY,1.83024,21454,10/16/2008,,
12561,NY,7.08282,68400,06/30/2009,,
12942,NY,3.093728,30917,02/13/2006,,
12865,NY,4.439604,42197,11/03/2008,,
12060,NY,3.785756,34451,07/31/2006,,
13438,NY,4.681728,41938.95,07/26/2007,,
14883,NY,5.96448,58000,06/30/2009,,
11418,NY,21.99168,258650,07/10/2008,,
12429,NY,13.48368263,131580,02/17/2009,,
10543,NY,1.78605,17425,11/26/2007,,
12540,NY,43.565067,390115.7,10/06/2008,,
13812,NY,4.157244,45330,09/23/2008,,
14847,NY,1.02393,20403.25,05/12/2008,,
10954,NY,4.80816,46836,03/29/2007,,
12491,NY,3.5232,36075,10/03/2008,,
14757,NY,10.770732,81900,01/10/2008,,
12075,NY,4.25061,36663.55,06/13/2008,,
12477,NY,3.864315,35500,03/04/2008,,
10580,NY,3.260736,42283,11/07/2008,,
12771,NY,6.38498698,55982,10/09/2008,,
12308,NY,4.462848,42838,12/14/2007,,
13862,NY,7.38024,73854,09/22/2008,,
14032,NY,3.435708,25501.93,07/30/2009,,
10580,NY,2.50047,23077.5,12/10/2007,,
12514,NY,27.022086,340626,11/20/2007,,
13778,NY,1.98816,32605.9,08/25/2009,,
10502,NY,2.81463,29221.4,07/28/2006,,
14472,NY,3.578688,34979.34,07/30/2009,,
14882,NY,2.883336,26780,08/14/2009,,
10583,NY,5.40876,69472,05/15/2009,,
12538,NY,6.554567945,68675,07/18/2007,,
12523,NY,4.33188,42680,11/30/2007,,
12873,NY,8.353227473,79093.92,02/15/2007,,
10543,NY,2.85768,29840,11/06/2007,,
12569,NY,5.685966,57856,05/15/2006,,
12546,NY,7.301988,78790,03/05/2007,,
12401,NY,12.16998,124000,08/10/2004,,
14850,NY,1.76832,18702,10/03/2003,,
12561,NY,2.186816,28560,09/25/2006,,
14886,NY,5.072616,50219.5,04/30/2007,,
12473,NY,3.9349,39150,11/07/2008,,
12534,NY,4.5052125,46250,05/15/2009,,
12521,NY,2.90654,30867,07/30/2008,,
12601,NY,2.71584,28097,07/14/2005,,
12572,NY,2.675904,26740,04/08/2004,,
12583,NY,11.20392,100761,04/17/2007,,
12834,NY,12.686688,132645,08/30/2004,,
12198,NY,3.864315,37916,08/31/2007,,
12831,NY,4.89342,45906,03/25/2009,,
12180,NY,3.68928,34605,10/22/2008,,
12205,NY,5.549505,49507,10/22/2008,,
14607,NY,1.887462,23048.96,06/09/2009,,
10990,NY,2.2878,23300,08/13/2003,,
12453,NY,4.439604,42681,03/26/2009,,
14060,NY,3.560049,44490.47,05/29/2009,,
14454,NY,1.883808,20723.33,10/09/2007,,
14420,NY,1.887462,8880,08/26/2009,,
14424,NY,4.091148,44499.51,06/09/2009,,
14867,NY,3.95561,43190.93,08/25/2009,,
12804,NY,1.6226,17127,01/16/2009,,
12174,NY,4.45794,44625.01,06/16/2009,,
12110,NY,2.101652,23862,06/27/2008,,
12110,NY,2.77315,23800,07/07/2006,,
12546,NY,8.93025,97000,01/08/2008,,
11238,NY,5.76072,63390,12/10/2007,,
10922,NY,7.029373,63503,04/30/2008,,
12059,NY,8.183028,92500,09/11/2007,,
12494,NY,2.128536,22800,12/30/2008,,
10941,NY,6.9223175,69125,07/01/2008,,
12866,NY,1.736108,18860,05/23/2008,,
14722,NY,24.931808,231880,09/02/2008,,
14513,NY,4.703384,42960,01/31/2006,,
12921,NY,8.34768,57500,03/28/2005,,
12409,NY,4.439604,48480,02/19/2009,,
12303,NY,3.785756,31027.96,12/21/2006,,
12758,NY,3.970944,38931.53,07/03/2008,,
12193,NY,4.24788,55125.01,08/26/2009,,
12571,NY,3.329703,32944,05/01/2009,,
12446,NY,4.325004,46800,03/18/2009,,
12202,NY,2.8564,55228.1,07/08/2008,,
13753,NY,1.585512,17693,10/20/2004,,
14817,NY,6.94944,79190.08,08/30/2007,,
12123,NY,3.152736,45625,02/09/2004,,
12157,NY,3.578904,39328,03/01/2007,,
14850,NY,8.58927,83805,06/16/2009,,
12018,NY,7.34013,63454,10/22/2008,,
12944,NY,1.23525,17788,10/19/2006,,
12019,NY,5.1183225,44361,01/02/2009,,
13864,NY,6.637152,56480,04/04/2006,,
12817,NY,5.104512,50748,05/22/2009,,
12545,NY,12.16998,125850,02/01/2005,,
12942,NY,3.34584,46077,03/08/2007,,
12589,NY,3.164488,32350,10/28/2008,,
12444,NY,5.020704,53489,11/13/2007,,
13473,NY,4.78548,45190.64,06/30/2009,,
14883,NY,7.98864,106078.2,05/10/2005,,
12087,NY,9.067152,90250,08/12/2009,,
12498,NY,2.7031275,29400,05/14/2009,,
12945,NY,2.249984,22846,03/08/2006,,
12580,NY,7.5088,81400,12/11/2006,,
12484,NY,4.257072,48000,10/29/2007,,
14850,NY,3.509612085,30165,09/28/2007,,
10562,NY,37.626225,352358,03/07/2008,,
13045,NY,17.89344,152400,08/12/2009,,
10566,NY,3.58704,37614,03/05/2008,,
12809,NY,9.6012,82320.17,03/05/2007,,
12758,NY,1.308084,16651,01/30/2007,,
11215,NY,2.688336,26405,04/16/2008,,
10027,NY,1.635105,16896.4,02/13/2006,,
12018,NY,5.1183225,37706,10/27/2008,,
13901,NY,4.486104,46600,05/15/2009,,
11231,NY,3.291255,32120,01/06/2004,,
13796,NY,4.669056,51729.88,06/26/2009,,
12833,NY,7.697088,72268,01/18/2008,,
10990,NY,3.95561,41170,06/16/2009,,
10973,NY,4.2973875,39000,08/26/2009,,
12448,NY,6.487506,68400,12/05/2008,,
12037,NY,4.400704,41080,02/13/2006,,
12592,NY,7.586369,90720,05/14/2009,,
13411,NY,8.613864,81788,05/15/2009,,
10977,NY,3.121335,32641,09/11/2007,,
12572,NY,4.439604,41435,03/31/2008,,
12561,NY,15.52004282,134297,06/30/2009,,
12565,NY,2.896896,30977,10/13/2005,,
12572,NY,3.142056,38132,07/29/2004,,
14901,NY,2.04786,20338.88,09/05/2006,,
12020,NY,2.922885,30082,04/25/2007,,
13126,NY,4.486104,45050,06/26/2009,,
12136,NY,3.938976,39779.97,08/13/2008,,
10510,NY,7.968051,83458,08/23/2007,,
12193,NY,1.91766,20695,10/13/2006,,
14080,NY,8.314488,89500,03/22/2007,,
12567,NY,5.60196,56875,02/26/2007,,
10707,NY,2.959736,29467,07/07/2008,,
14889,NY,2.509326,26959.75,08/29/2006,,
12815,NY,4.439604,44358,04/14/2008,,
12581,NY,11.33244,115400,01/31/2006,,
13342,NY,3.828384,44462.68,01/12/2009,,
12211,NY,2,32510.0,02/11/2004,,
10002,NY,2.029632,24576,11/24/2003,,
14883,NY,2.928366,33096,10/03/2003,,
12487,NY,5.60196,56475,02/22/2007,,
10543,NY,7.072845,66296,10/09/2007,,
14886,NY,1.78605,31724.21,10/09/2007,,
14006,NY,4.439604,39567,08/25/2009,,
12469,NY,3.384,33192,03/30/2007,,
12561,NY,5.062152857,49840,04/26/2006,,
12209,NY,1.791834,18360,03/23/2009,,
12401,NY,12.15324,144000,10/09/2003,,
10598,NY,5.123412,49960,11/02/2006,,
10566,NY,3.347136,32697,07/30/2009,,
10590,NY,5.417198069,52685.87,02/25/2008,,
11104,NY,3.42771,35800,10/26/2006,,
12526,NY,2.430648,28380,12/18/2003,,
10510,NY,6.49782,64575.05,05/15/2008,,
13646,NY,3.828384,38998.98,06/30/2009,,
14886,NY,1.596492,16844.89,07/12/2005,,
12992,NY,8.34768,57472,11/02/2004,,
14850,NY,2.297472,22600,04/18/2006,,
14470,NY,7.32672,53646.08,06/09/2009,,
12144,NY,5.5050975,49093,10/22/2008,,
10543,NY,7.91122,70500,08/26/2009,,
12804,NY,2.128536,21390,06/23/2009,,
12446,NY,4.33188,46080,01/08/2008,,
12553,NY,2.7122,24640,06/16/2008,,
12866,NY,8.595,92957.27,06/01/2009,,
12149,NY,5.549505,53161,10/28/2008,,
14127,NY,1.887462,20942.58,10/21/2008,,
12572,NY,3.92757,48863,07/31/2007,,
12461,NY,3.164488,32050,07/14/2008,,
10607,NY,4.279716,43061,10/15/2007,,
12546,NY,3.192984,33840,05/20/2005,,
13045,NY,3.490784,35027.84,08/27/2008,,
14850,NY,4.125888,43206,12/10/2007,,
12184,NY,3.808455,37482,02/22/2008,,
12054,NY,0.775368,8000,02/26/2004,,
12572,NY,10.99224,88000,10/10/2006,,
14204,NY,2,9000,11/12/2009,,
12430,NY,2.69892,24000,03/22/2007,,
12123,NY,2.854495,27502,11/19/2008,,
14512,NY,4.89342,44756.12,02/19/2009,,
10536,NY,8.82125325,90000,08/15/2007,,
10527,NY,5.90200875,52526,11/07/2007,,
13617,NY,2.429904,21214.1,08/04/2004,,
12404,NY,4.249665,46400,09/27/2006,,
10310,NY,4.170285,42084,10/27/2008,,
10512,NY,4.472309789,46813,11/16/2007,,
14850,NY,3.658032,51927.33,08/25/2009,,
10930,NY,2.74911,31148,01/08/2008,,
13676,NY,1.496025,15895,06/07/2004,,
14886,NY,3.072384,35067.24,05/14/2007,,
12518,NY,5.199614237,53200,04/04/2006,,
10990,NY,3.813264,35995,09/06/2007,,
12484,NY,8.589672,82235,07/17/2007,,
14059,NY,5.919472,52419,08/26/2009,,
14805,NY,3.039687,30637.1,07/12/2006,,
10701,NY,2.390712,25160,09/24/2003,,
14024,NY,2.589769,24255,08/01/2008,,
13159,NY,5.858268,61600,07/19/2007,,
14707,NY,2.509326,27140,10/23/2007,,
10706,NY,4.288332,40478,04/16/2008,,
10538,NY,5.142293,53313,05/01/2009,,
10540,NY,7.804632,74000,03/19/2008,,
10536,NY,5.099598,51196,10/31/2008,,
14850,NY,1.597728,30640,06/27/2005,,
14883,NY,9.74673,91863.15,05/05/2008,,
12578,NY,4.552704,49615,09/22/2006,,
12033,NY,3.47472,34835,05/23/2007,,
11230,NY,4.17384,33821,02/15/2006,,
12065,NY,3.970944,38672.38,05/12/2008,,
12134,NY,3.225768,42960,08/08/2007,,
14526,NY,1.6836,24485.3,03/22/2007,,
11205,NY,8.73252,114325,05/14/2009,,
14091,NY,1.883808,25052.63,02/15/2008,,
12572,NY,6.29584,61245,07/03/2008,,
12204,NY,1.791834,18359.25,05/14/2009,,
14850,NY,5.33644,51440,06/18/2007,,
14883,NY,1.440576,18618.6,01/28/2005,,
12943,NY,4.325004,43304,01/16/2009,,
13810,NY,3.939936,46310,02/16/2007,,
12037,NY,4.89342,52440,06/09/2009,,
12414,NY,3.591,32800,02/12/2008,,
10607,NY,1.390068,15598.47,01/28/2009,,
12839,NY,5.5050975,52953,06/16/2009,,
12809,NY,8.879208,85167,01/08/2008,,
12204,NY,1.791834,18360,03/13/2008,,
12020,NY,2.109426,22475,09/11/2006,,
14058,NY,5.3400735,43183.57,06/26/2009,,
12553,NY,42.45263948,389115.7,10/06/2008,,
10965,NY,2.83128,25325,07/31/2006,,
10468,NY,44.62848,486300.81,06/30/2009,,
12010,NY,5.5050975,49673,10/22/2008,,
12942,NY,2.301684,24923.12,02/13/2009,,
12886,NY,7.4214,72977,01/24/2005,,
12603,NY,3.591,35400,07/17/2007,,
10990,NY,7.7,31370,03/04/2016,,
12540,NY,4.96,33410,03/09/2016,,
12553,NY,253.26,632810,03/01/2016,,
12550,NY,25.01,89120,12/30/2015,,
12583,NY,20.13,67110,12/10/2015,,
12486,NY,5.32,25050,12/03/2015,,
12033,NY,12.6,42520,11/26/2015,,
10969,NY,57.66,169050,11/05/2015,,
13317,NY,7.44,32820,10/15/2015,,
12582,NY,24.0,87030,10/11/2015,,
13120,NY,44.02,157880,09/30/2015,,
13143,NY,18.6,23219,09/23/2015,,
14527,NY,13.64,46010,09/22/2015,,
12524,NY,9.15,37520,09/09/2015,,
13159,NY,14.88,39885,08/27/2015,,
13673,NY,70.5,205600,08/06/2015,,
13126,NY,8.96,35900,07/27/2015,,
13081,NY,9.24,34410,08/03/2015,,
12571,NY,20.13,63800,07/17/2015,,
12553,NY,97.2,284300,03/17/2015,,
12920,NY,26.88,111400,01/16/2015,,
13673,NY,49.5,140550,06/30/2015,,
13126,NY,9.0,35900,06/05/2015,,
13126,NY,8.96,32040,06/12/2015,,
14522,NY,9.9,30690,05/18/2015,,
12481,NY,11.4,45840,05/08/2015,,
13317,NY,9.0,35970,04/24/2015,,
14812,NY,7.2,31420,05/15/2015,,
14522,NY,199.8,473800,05/01/2015,,
13045,NY,1061.0,3000000.0,05/09/2014,,
12525,NY,41.373051,350020,12/22/2008,,
14895,NY,4.317555,47400,11/07/2008,,
11363,NY,3.058209,35640,03/28/2007,,
12304,NY,4.89342,44763,05/22/2009,,
12120,NY,7.36155,72596,09/04/2007,,
13045,NY,2.95935,28800,11/02/2004,,
10590,NY,4.82972,47065,11/07/2008,,
13021,NY,4.157244,43800,10/22/2007,,
10594,NY,11.59179,122400,12/10/2008,,
12580,NY,11.61088,105000,05/10/2005,,
12569,NY,7.08282,70296,05/12/2009,,
10607,NY,6.328976,64109.4,06/11/2009,,
14850,NY,1.54728,15501,10/17/2003,,
12833,NY,5.803944,56622,10/19/2006,,
12534,NY,3.9349,40170,08/14/2009,,
12498,NY,2.66067,27700,03/21/2008,,
12572,NY,2.433996,24680,05/14/2004,,
14850,NY,2.091712,23517.67,03/30/2006,,
12075,NY,3.681496,38219.95,07/30/2009,,
12843,NY,2.068115,22925,10/09/2007,,
10605,NY,44.182502,461500,05/14/2009,,
12525,NY,3.67536,39375,06/20/2006,,
12942,NY,4.17384,37325,11/30/2004,,
12401,NY,2.322176,25178.78,02/12/2009,,
10018,NY,4.488075,48240,12/15/2004,,
14467,NY,3.828384,41047.46,10/15/2007,,
12110,NY,3.7842255,48313.81,10/15/2007,,
12561,NY,4.1533905,42656,03/19/2009,,
12517,NY,2.430648,28365,12/16/2003,,
12401,NY,5.949531,57002,04/14/2006,,
12309,NY,2.373175,19320,08/04/2008,,
12747,NY,3.039687,29709.87,12/11/2006,,
10514,NY,7.09512,68800,02/26/2007,,
12073,NY,7.37856,68315,03/26/2009,,
14618,NY,3.164488,19790,11/12/2008,,
12433,NY,4.9945545,48387,03/19/2009,,
12580,NY,2.987712,30935,09/25/2006,,
14701,NY,16.517304,132300,03/27/2008,,
11414,NY,8.957179,67917,06/24/2009,,
14056,NY,2.721177,25200,06/16/2008,,
10528,NY,3.361176,29991.92,07/12/2007,,
14032,NY,3.794688,34730.38,10/22/2008,,
14042,NY,2.721177,25200,08/01/2008,,
12412,NY,4.288332,49960,07/15/2009,,
12567,NY,3.591,37925,10/29/2007,,
14470,NY,1.605216,24824.7,04/24/2006,,
12018,NY,4.0565,43808,05/23/2008,,
13031,NY,2.315328,20734,05/15/2009,,
13120,NY,15.74034376,217000,04/03/2008,,
12477,NY,4.20582,38775,10/08/2008,,
12561,NY,5.933415,57950,09/17/2008,,
14616,NY,5.95071,65804.4,09/14/2006,,
13053,NY,5.32683,52600,02/01/2005,,
13210,NY,19.23264,246000,01/11/2008,,
12029,NY,5.02362,57991,01/18/2008,,
14850,NY,4.283552,45220,09/08/2006,,
12197,NY,4.27524,48514,08/06/2007,,
12540,NY,5.975424,63195,10/09/2007,,
14850,NY,2.974884,32500,12/30/2003,,
12095,NY,11.424384,119675,03/18/2008,,
13068,NY,2.536308,25718,05/17/2007,,
11377,NY,31.955648,400000,08/23/2006,,
12056,NY,3.39105,33550,11/26/2007,,
12572,NY,5.66622,56433,02/22/2008,,
13417,NY,3.810807,38900,07/28/2008,,
10591,NY,4.136832,56090,04/09/2009,,
12309,NY,8.5503875,74796,06/16/2009,,
12193,NY,13.807152,135792,01/31/2005,,
13320,NY,3.397536,37667.35,12/03/2007,,
14221,NY,4.746732,40350.76,05/26/2009,,
12962,NY,3.568896,37689,05/14/2008,,
14850,NY,1.75152,31981,08/04/2004,,
13131,NY,10.176816,76529,03/16/2009,,
13078,NY,8.394710769,91968.3,06/14/2007,,
12572,NY,7.15023,71840,02/22/2006,,
12572,NY,17.758416,162578,02/06/2009,,
12534,NY,9.869487264,97512,12/30/2008,,
12561,NY,3.361176,32955,07/31/2007,,
13862,NY,8.314488,82300,05/12/2008,,
12550,NY,4.439604,45360,12/03/2008,,
12571,NY,8.879208,88153,10/27/2008,,
10533,NY,3.578688,36349.5,07/15/2009,,
12561,NY,8.879208,91600,10/06/2008,,
12534,NY,3.77055,37720,09/02/2008,,
12873,NY,1.83768,26587,02/19/2008,,
12082,NY,3.98008,50904.01,11/15/2005,,
12061,NY,3.47472,35319,05/30/2007,,
12962,NY,2.07948,23794,06/13/2005,,
13786,NY,3.12174,32470,12/06/2007,,
12581,NY,5.71536,56480,02/01/2008,,
14572,NY,2.649942,27639.08,01/29/2007,,
13471,NY,3.828384,42885.12,11/19/2008,,
12062,NY,4.89342,43815,10/22/2008,,
12583,NY,12,92000,04/21/2005,,
12061,NY,4.681728,48724,08/20/2007,,
12074,NY,4.462848,42890,09/17/2007,,
12572,NY,1.921752,18375,09/29/2003,,
12054,NY,4.05384,40104,07/11/2007,,
14850,NY,3.621996,35626,12/05/2008,,
10968,NY,5.099598,47822,03/20/2006,,
12566,NY,4.0683,39420.01,02/09/2009,,
14527,NY,2.66822,26940,10/03/2006,,
12561,NY,9.105408,85955,06/19/2006,,
10701,NY,42.950934,430370,06/01/2009,,
12056,NY,4.681728,45120,02/07/2007,,
12174,NY,8.182512,80952,09/24/2007,,
10455,NY,13.318812,145908,05/15/2009,,
12916,NY,2.07948,22850,07/05/2005,,
14850,NY,5.33644,51440,01/29/2007,,
12828,NY,5.53392,52473,03/26/2009,,
10523,NY,2.335242,24766,01/10/2008,,
12019,NY,3.664496,38465,08/27/2007,,
12921,NY,8.185023,68000,11/25/2003,,
12498,NY,6.393156,75850,09/07/2007,,
14850,NY,2.350658,21469,10/18/2006,,
10303,NY,40.591152,469075,05/08/2009,,
10037,NY,4.54962,48550,03/26/2009,,
