Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MA
02110,MA,4.41,20515.5,01/24/2012,,
02186,MA,7.05,53439.0,09/17/2012,,
01921,MA,5.64,23406.0,01/24/2012,,
02131,MA,7.68,40548.16,01/24/2012,,
02128,MA,5.17,21455.0,01/24/2012,,
01701,MA,7.755,25030.0,01/24/2012,,
01451,MA,5.88,39420.0,01/25/2012,,
01379,MA,5.0,25184.0,06/07/2012,,
02054,MA,8.325,38128.5,01/24/2012,,
01776,MA,3.29,14311.0,01/24/2012,,
01301,MA,4.05,22842.0,01/24/2012,,
02150,MA,6.72,28559.94,01/24/2012,,
02360,MA,5.28,24140.0,01/24/2012,,
02124,MA,4.23,18189.0,01/24/2012,,
01803,MA,7.52,30456.0,01/24/2012,,
02148,MA,4.32,17928.0,01/24/2012,,
01824,MA,4.6,21850.0,01/24/2012,,
02472,MA,2.34,14605.5,01/05/2012,,
02630,MA,4.935,32995.0,01/05/2012,,
02186,MA,5.875,23406.0,01/05/2012,,
02128,MA,3.29,15134.0,01/11/2012,,
01230,MA,7.0,29697.61,01/11/2012,,
02341,MA,8.695,65908.1,01/11/2012,,
02330,MA,5.76,26956.8,01/11/2012,,
01093,MA,9.6,54375.0,06/07/2012,,
01756,MA,4.875,31081.25,01/11/2012,,
02359,MA,5.64,35995.0,01/06/2012,,
01068,MA,4.7,30795.0,01/05/2012,,
01050,MA,7.52,44995.0,01/05/2012,,
02345,MA,4.7,30995.0,01/05/2012,,
01507,MA,8.16,40762.0,09/05/2012,,
01543,MA,7.92,36000.0,01/11/2012,,
02563,MA,5.17,28981.0,01/11/2012,,
02536,MA,4.6,30490.0,04/03/2012,,
01951,MA,8.64,52366.0,06/13/2012,,
01057,MA,6.44,51183.8,01/05/2012,,
02127,MA,3.29,18204.0,01/11/2012,,
01534,MA,9.87,74814.6,01/05/2012,,
02341,MA,7.99,46300.0,01/05/2012,,
02360,MA,6.37,26181.2,12/22/2011,,
01824,MA,7.14,32844.0,12/22/2011,,
01257,MA,4.76,25500.0,12/22/2011,,
01002,MA,3.0,10601.46,12/20/2011,,
01720,MA,1.0,11426.0,12/20/2011,,
01810,MA,2.0,22092.0,12/21/2011,,
02575,MA,1.0,17180.0,12/20/2011,,
02535,MA,2.0,20400.0,12/20/2011,,
02575,MA,11.0,76268.0,12/20/2011,,
02557,MA,2.0,11400.0,12/20/2011,,
02030,MA,8.0,10503.0,12/20/2011,,
02186,MA,2.0,8600.0,12/20/2011,,
01983,MA,2.0,6200.0,12/20/2011,,
02536,MA,2.0,9100.0,12/20/2011,,
02332,MA,2.0,9800.0,12/20/2011,,
02332,MA,2.0,10057.0,12/20/2011,,
02637,MA,2.0,9675.0,12/22/2011,,
02536,MA,2.0,10325.0,12/20/2011,,
02568,MA,2.0,10580.0,12/21/2011,,
01056,MA,2.0,8990.0,12/20/2011,,
02668,MA,2.0,9075.0,12/01/2011,,
01702,MA,7.52,32976.0,09/10/2012,,
02155,MA,2.0,6900.0,11/21/2011,,
02532,MA,6.11,33050.0,12/14/2011,,
02143,MA,5.4,41742.0,12/07/2011,,
01451,MA,2.22,9324.0,12/14/2011,,
02472,MA,4.14,26553.0,04/02/2012,,
01451,MA,7.77,35742.0,12/14/2011,,
01890,MA,3.5,17605.0,01/27/2012,,
01890,MA,5.76,28651.0,03/20/2012,,
01890,MA,3.5,17780.0,06/19/2012,,
02130,MA,2.585,19594.3,12/16/2011,,
02726,MA,5.64,35995.0,12/14/2011,,
