Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MA
01507,MA,3.75,15535.0,10/26/2012,,
02634,MA,4.32,22550.4,10/18/2012,,
01011,MA,4.5,21100.0,08/21/2012,,
01339,MA,4.9,22800.0,09/07/2012,,
02459,MA,3.57,14299.25,08/22/2012,,
01073,MA,5.17,21868.69,09/18/2012,,
01902,MA,3.36,16716.0,08/27/2012,,
01235,MA,3.12,15522.0,08/23/2012,,
01072,MA,6.6,32835.0,09/14/2012,,
02131,MA,7.35,28665.0,08/30/2012,,
02052,MA,7.8,38890.0,07/13/2012,,
02067,MA,3.84,19510.47,08/29/2012,,
01002,MA,4.905,25853.0,10/03/2012,,
02766,MA,3.5,14253.75,09/14/2012,,
02189,MA,5.06,24300.0,08/13/2012,,
02176,MA,3.315,12947.75,11/16/2012,,
01915,MA,6.24,41057.26,09/14/2012,,
02155,MA,4.0,15419.25,12/20/2012,,
01801,MA,9.18,36720.0,08/24/2012,,
01237,MA,2.585,15300.0,08/21/2012,,
02747,MA,3.36,16716.0,09/11/2012,,
01056,MA,6.24,31044.0,09/10/2012,,
02127,MA,5.1,20674.25,10/03/2012,,
01007,MA,5.64,28059.0,09/04/2012,,
02367,MA,4.5,16875.0,10/17/2012,,
02540,MA,5.16,27658.0,11/02/2012,,
02180,MA,6.0,22500.0,10/24/2012,,
02532,MA,3.04,20824.0,12/04/2012,,
01062,MA,5.25,25425.0,09/14/2012,,
01038,MA,5.76,24997.27,10/26/2012,,
01237,MA,3.525,25284.75,12/06/2012,,
01701,MA,8.64,42984.0,09/11/2012,,
01069,MA,5.33,23345.0,09/14/2012,,
01821,MA,4.7,31345.0,08/16/2012,,
02790,MA,4.08,20400.0,08/10/2012,,
02126,MA,6.0,23119.25,07/31/2012,,
02539,MA,6.72,23248.4,10/10/2012,,
01810,MA,3.12,21466.0,08/28/2012,,
02568,MA,7.92,47600.0,08/09/2012,,
02360,MA,5.88,23251.25,11/28/2012,,
01566,MA,8.25,37655.0,10/09/2012,,
01730,MA,5.0,28500.0,10/22/2012,,
01527,MA,4.14,29098.0,08/13/2012,,
02743,MA,3.06,20808.0,09/13/2012,,
02143,MA,7.848,43948.0,09/10/2012,,
02563,MA,4.8,24480.0,09/13/2012,,
02653,MA,5.76,27878.4,09/19/2012,,
02543,MA,5.88,33810.0,09/13/2012,,
02081,MA,6.5,29325.0,07/27/2012,,
02126,MA,4.08,15931.25,09/24/2012,,
01606,MA,4.8,22128.0,08/24/2012,,
01060,MA,3.92,23297.0,08/28/2012,,
02139,MA,2.35,16695.0,08/20/2012,,
02642,MA,5.76,28108.8,09/06/2012,,
02135,MA,2.86,14228.25,12/13/2012,,
01970,MA,3.36,16716.0,08/20/2012,,
02130,MA,3.3,16417.5,08/16/2012,,
02445,MA,6.615,44651.0,08/09/2012,,
01720,MA,5.39,34124.4,08/28/2012,,
01773,MA,5.04,23160.0,08/06/2012,,
02649,MA,5.4,28960.0,07/26/2012,,
01730,MA,4.23,17554.5,07/16/2012,,
02132,MA,4.5,16875.0,09/07/2012,,
02747,MA,6.63,33150.0,11/16/2012,,
02568,MA,5.04,25956.0,09/14/2012,,
01886,MA,9.4,57090.0,09/04/2012,,
02770,MA,9.6,40800.0,09/17/2012,,
01906,MA,5.76,26704.0,07/12/2012,,
01569,MA,2283.26,8320000.0,06/01/2012,,
01945,MA,2.688,21399.0,06/03/2011,,
01945,MA,5.4,38000.0,11/19/2010,,
02149,MA,241.345,1014040.0,06/29/2012,,
01906,MA,149.695,681128.0,06/27/2012,,
01532,MA,171.08,754198.0,07/03/2012,,
01537,MA,23.265,116922.0,07/02/2012,,
01501,MA,23.265,116922.0,06/28/2012,,
02302,MA,27.495,137226.0,07/03/2012,,
01702,MA,1.85,12672.5,04/27/2012,,
01930,MA,3.42,23427.0,06/19/2012,,
02465,MA,6.84,46854.0,05/01/2012,,
02364,MA,54.88,,04/20/2012,,
01341,MA,9.84,60232.0,06/15/2012,,
02048,MA,6.76,30704.0,05/23/2012,,
01742,MA,5.635,35995.0,06/14/2012,,
02186,MA,2.8,10000.0,08/24/2011,,
02021,MA,9.75,47768.0,05/24/2012,,
01420,MA,16.92,76989.0,06/01/2012,,
01950,MA,4.5,17325.0,09/05/2012,,
01951,MA,5.886,32354.0,09/07/2012,,
01026,MA,10.0,43292.0,10/19/2012,,
02446,MA,5.0,18769.25,09/12/2012,,
02738,MA,5.16,26285.71,10/04/2012,,
02072,MA,7.0,26269.25,07/31/2012,,
02135,MA,5.5,20644.25,08/16/2012,,
02176,MA,4.5,16894.25,10/18/2012,,
01010,MA,5.39,32340.0,08/27/2012,,
02132,MA,6.5,24375.0,08/20/2012,,
02459,MA,5.5,20644.25,09/17/2012,,
02771,MA,6.0,22819.25,08/28/2012,,
02747,MA,6.72,33432.0,08/20/2012,,
01721,MA,5.04,27216.0,07/26/2012,,
01223,MA,5.25,24900.0,07/23/2012,,
01944,MA,6.75,27900.0,09/14/2012,,
02666,MA,7.848,39763.0,10/15/2012,,
02124,MA,5.76,28656.0,10/01/2012,,
01010,MA,4.32,25125.05,09/14/2012,,
01776,MA,6.16,30596.0,08/27/2012,,
02330,MA,8.64,42984.0,09/19/2012,,
01050,MA,3.0,15000.0,10/16/2012,,
01338,MA,3.0,19287.0,07/23/2012,,
02330,MA,6.867,35687.0,10/23/2012,,
01721,MA,5.5,20644.25,10/19/2012,,
02169,MA,4.0,15619.25,07/30/2012,,
02420,MA,5.28,22777.0,08/21/2012,,
01566,MA,4.578,25179.0,12/05/2012,,
02136,MA,5.0,19269.25,01/04/2013,,
02630,MA,9.156,46072.0,08/14/2012,,
02653,MA,4.578,25337.0,08/31/2012,,
01035,MA,8.82,44441.0,10/19/2012,,
01002,MA,6.48,36387.84,08/09/2012,,
01106,MA,4.9,31360.0,07/18/2012,,
01089,MA,5.88,39690.0,07/18/2012,,
02462,MA,3.12,15522.0,09/05/2012,,
01201,MA,4.8,33600.0,09/28/2012,,
02719,MA,7.14,27865.25,08/24/2012,,
01503,MA,4.0,17980.0,08/27/2012,,
01462,MA,6.0,30656.0,08/08/2012,,
02557,MA,8.82,61240.0,11/06/2012,,
02631,MA,3.6,17980.0,08/08/2012,,
02740,MA,4.18,20301.5,08/16/2012,,
02748,MA,6.12,31600.0,09/11/2012,,
01701,MA,4.59,23990.4,08/29/2012,,
02180,MA,2.88,12528.0,08/16/2012,,
01475,MA,5.355,26678.0,08/08/2012,,
01462,MA,8.28,45500.0,07/30/2012,,
02748,MA,3.57,19252.0,09/11/2012,,
02155,MA,3.5,13144.25,12/20/2012,,
01504,MA,6.0,22819.25,07/30/2012,,
02465,MA,4.5,16875.0,10/19/2012,,
02124,MA,4.5,16894.25,07/27/2012,,
02136,MA,3.5,13144.25,11/29/2012,,
01532,MA,6.0,10812.0,08/27/2012,,
02633,MA,6.125,35440.79,07/17/2012,,
02739,MA,6.615,36382.0,11/13/2012,,
02130,MA,5.355,29662.0,08/30/2012,,
02726,MA,2.4,11940.0,08/15/2012,,
02145,MA,2.88,14328.0,10/17/2012,,
01702,MA,9.156,48995.0,09/04/2012,,
01984,MA,9.88,46900.0,08/03/2012,,
02648,MA,8.82,44541.0,08/03/2012,,
02056,MA,6.0,22519.25,09/06/2012,,
01519,MA,30.24,143000.0,10/01/2010,,
02035,MA,34.65,,09/12/2011,,
02649,MA,10.12,59416.27,10/12/2011,,
02649,MA,10.12,59416.27,10/07/2011,,
01027,MA,2260.7,11427145.6,06/01/2012,,
02601,MA,47.94,286168.75,06/20/2012,,
01721,MA,30.55,151650.0,06/19/2012,,
02601,MA,2.76,9081.25,03/15/2012,,
02061,MA,217.0,,06/01/2012,,
02048,MA,12.75,59650.0,05/22/2012,,
02642,MA,6.345,31714.2,08/24/2012,,
02790,MA,7.14,37333.5,08/10/2012,,
02568,MA,4.7,30315.0,08/22/2012,,
02132,MA,5.0,18769.25,07/18/2012,,
02539,MA,5.405,36214.0,08/22/2012,,
01027,MA,6.615,35978.0,08/23/2012,,
01590,MA,4.8,23880.0,08/23/2012,,
02747,MA,8.16,40596.0,07/31/2012,,
02127,MA,4.08,16483.25,09/17/2012,,
01760,MA,2.4,11940.0,08/22/2012,,
02771,MA,13.26,57681.0,11/29/2012,,
02715,MA,5.17,35414.5,10/03/2012,,
01337,MA,9.81,58737.0,08/13/2012,,
01760,MA,3.57,13942.25,08/27/2012,,
01519,MA,7.92,39402.0,08/27/2012,,
01462,MA,5.04,27846.0,08/08/2012,,
01886,MA,5.17,35975.0,07/20/2012,,
02131,MA,3.0,11269.25,07/27/2012,,
02131,MA,4.0,15019.25,09/12/2012,,
02050,MA,6.72,33432.0,09/17/2012,,
02360,MA,7.2,35820.0,09/12/2012,,
01462,MA,6.25,29062.5,08/22/2012,,
02124,MA,9.8,42759.25,09/06/2012,,
02061,MA,7.14,28165.25,09/04/2012,,
01370,MA,8.385,44793.0,09/10/2012,,
01886,MA,6.12,28560.0,09/25/2012,,
02492,MA,6.72,33432.0,08/27/2012,,
02468,MA,8.575,44528.0,08/07/2012,,
02703,MA,10.0,45120.0,10/10/2012,,
02703,MA,4.8,23880.0,08/15/2012,,
02719,MA,3.92,21668.0,07/18/2012,,
01913,MA,3.57,15280.0,01/13/2012,,
02360,MA,6.867,43373.0,08/20/2012,,
01463,MA,4.0,23480.0,09/28/2012,,
02633,MA,9.87,40000.0,07/17/2012,,
02649,MA,6.24,28308.0,08/14/2012,,
02072,MA,9.156,46146.0,07/19/2012,,
02703,MA,5.1,25950.0,07/26/2012,,
02645,MA,7.25,32100.0,08/09/2012,,
02739,MA,4.4,21890.0,09/12/2012,,
01930,MA,3.25,21550.0,07/16/2012,,
02726,MA,4.32,21492.0,08/08/2012,,
02072,MA,5.1,25500.0,08/17/2012,,
02638,MA,5.55,50088.75,12/17/2012,,
02563,MA,6.12,24187.25,08/24/2012,,
02124,MA,6.12,26017.25,08/09/2012,,
02534,MA,8.33,39990.0,08/14/2012,,
02766,MA,5.72,28457.0,08/27/2012,,
02330,MA,5.2,30900.0,08/30/2012,,
02053,MA,6.24,31044.0,08/01/2012,,
01921,MA,8.33,52479.0,08/03/2012,,
01821,MA,4.08,19883.0,08/27/2012,,
01420,MA,3.57,20277.0,07/31/2012,,
02474,MA,5.232,29037.0,11/06/2012,,
01701,MA,4.8,21120.0,09/10/2012,,
01803,MA,6.84,40766.4,08/16/2012,,
02136,MA,3.5,14700.0,09/20/2012,,
01915,MA,3.84,17433.6,09/06/2012,,
01027,MA,6.15,28746.0,07/27/2012,,
01240,MA,4.48,30409.0,08/20/2012,,
02126,MA,4.165,16868.25,08/06/2012,,
02127,MA,4.23,17977.5,09/18/2012,,
01930,MA,6.615,27783.0,10/03/2012,,
01985,MA,5.355,21687.75,10/15/2012,,
01741,MA,9.0,63055.0,08/03/2012,,
01535,MA,5.0,18769.25,10/17/2012,,
02061,MA,2.35,16450.0,07/16/2012,,
02494,MA,4.8,22400.0,10/26/2012,,
02642,MA,6.867,33225.0,08/08/2012,,
01701,MA,6.5,36285.0,07/02/2012,,
02131,MA,4.59,17920.25,08/24/2012,,
02124,MA,7.14,28879.25,08/22/2012,,
01370,MA,3.6,19735.0,09/17/2012,,
01890,MA,5.5,38230.0,07/26/2012,,
02131,MA,3.42,26436.6,09/25/2012,,
02420,MA,5.52,25912.95,08/16/2012,,
02067,MA,2.28,13588.8,11/16/2012,,
01225,MA,7.0,43260.0,07/17/2012,,
01520,MA,7.44,32652.0,09/07/2012,,
02056,MA,14.7,72030.0,06/20/2012,,
02081,MA,6.75,41700.0,08/16/2012,,
01543,MA,8.28,36018.0,07/30/2012,,
02186,MA,6.0,22800.0,12/12/2012,,
01301,MA,4.32,23213.0,07/26/2012,,
02021,MA,8.415,23409.0,08/09/2012,,
01905,MA,6.12,24487.25,08/27/2012,,
01844,MA,8.82,51508.0,07/10/2012,,
01010,MA,5.04,25474.0,07/20/2012,,
01230,MA,5.355,24830.0,07/30/2012,,
02163,MA,591.5,,06/01/2012,,
02747,MA,1296.0,5113757.0,05/25/2012,,
02056,MA,282.0,,05/18/2012,,
01756,MA,100.0,,05/21/2012,,
02481,MA,3.36,24714.0,08/23/2010,,
01833,MA,5.72,24310.0,06/06/2012,,
02532,MA,14.58,58658.0,05/11/2012,,
01034,MA,2.88,17625.0,05/08/2012,,
01938,MA,5.76,32000.0,05/31/2012,,
01453,MA,28.6,136000.0,04/24/2012,,
02189,MA,16.83,104450.0,04/05/2012,,
01742,MA,4.9,25995.0,05/23/2012,,
01742,MA,4.41,23875.0,05/30/2012,,
02478,MA,0.94,4000.0,05/07/2012,,
01450,MA,7.14,42829.77,05/31/2012,,
01201,MA,329.94,1400000.0,06/01/2012,,
02780,MA,15.3,71980.0,05/04/2012,,
02540,MA,8.415,50490.0,11/19/2012,,
02452,MA,5.1,23106.0,08/20/2012,,
01007,MA,5.04,24956.0,07/12/2012,,
02466,MA,3.84,15567.0,11/16/2012,,
01364,MA,7.848,41744.0,07/13/2012,,
02638,MA,2.5,13125.0,11/21/2012,,
01876,MA,4.9,29204.0,11/15/2012,,
02303,MA,3.29,14311.5,08/08/2012,,
02131,MA,4.9,20354.25,07/31/2012,,
01830,MA,4.8,19200.0,09/28/2012,,
02126,MA,5.39,22148.75,07/25/2012,,
02747,MA,6.63,33969.0,11/20/2012,,
01590,MA,11.772,61096.0,09/14/2012,,
02539,MA,5.76,19737.2,10/04/2012,,
01012,MA,6.76,28826.0,12/31/2012,,
02360,MA,358.8,1418812.0,03/30/2012,,
01801,MA,4.465,30585.25,05/15/2012,,
02026,MA,100.815,476290.0,05/29/2012,,
02719,MA,5.89,40346.5,05/15/2012,,
01844,MA,3.84,15262.51,08/27/2012,,
01037,MA,8.0,49336.0,06/29/2012,,
02093,MA,11.445,64550.0,07/18/2012,,
02703,MA,6.86,28102.25,08/27/2012,,
01257,MA,4.8,38400.0,08/23/2012,,
02653,MA,4.935,24140.0,07/19/2012,,
02743,MA,3.185,12931.1,08/24/2012,,
02474,MA,3.675,14883.75,08/15/2012,,
02360,MA,4.23,29652.0,08/09/2012,,
01002,MA,9.88,47979.49,08/17/2012,,
02131,MA,3.92,16195.25,07/24/2012,,
01720,MA,4.995,29770.2,07/20/2012,,
01062,MA,1.44,9228.75,06/28/2012,,
01908,MA,6.27,42949.5,07/30/2012,,
01543,MA,8.97,37700.0,08/08/2012,,
02136,MA,3.185,13249.6,07/30/2012,,
02119,MA,4.9,19864.25,07/18/2012,,
01772,MA,7.44,33224.0,07/25/2012,,
02019,MA,5.875,24381.25,07/11/2012,,
02790,MA,4.59,23409.0,08/13/2012,,
02090,MA,7.65,38785.5,09/28/2012,,
01057,MA,5.0,23250.0,06/28/2012,,
01569,MA,8.46,42750.0,06/19/2012,,
01238,MA,9.6,61439.0,07/25/2012,,
02630,MA,1.35,9047.5,06/05/2012,,
02140,MA,3.29,13654.0,08/29/2012,,
02140,MA,3.29,13654.0,07/17/2012,,
02138,MA,6.9,40986.0,10/12/2012,,
02790,MA,4.59,24314.0,06/18/2012,,
02460,MA,3.57,20598.58,08/09/2012,,
02127,MA,4.5,16894.25,07/16/2012,,
02140,MA,5.5,20944.25,07/17/2012,,
02459,MA,8.28,44600.0,08/14/2012,,
02379,MA,6.24,31044.0,08/28/2012,,
02492,MA,5.76,35328.0,12/19/2012,,
02790,MA,8.25,39362.0,08/15/2012,,
01748,MA,4.23,21474.5,07/10/2012,,
01776,MA,3.5,13125.0,06/27/2012,,
01062,MA,4.08,15931.25,08/27/2012,,
02634,MA,7.848,38775.0,10/15/2012,,
02129,MA,3.23,22125.5,05/15/2012,,
01370,MA,60.0,316615.0,04/01/2012,,
01253,MA,2.15,13600.0,03/16/2012,,
01450,MA,11.7,53025.0,03/12/2012,,
02536,MA,2.1,11435.0,03/29/2012,,
01201,MA,106.08,395571.0,05/03/2012,,
02662,MA,7.2,38500.0,04/30/2012,,
02738,MA,4.8,25200.0,05/02/2012,,
02720,MA,6.2,16000.0,04/12/2012,,
02725,MA,25.38,91000.0,05/16/2012,,
01886,MA,1121.12,5000000.0,04/09/2012,,
02576,MA,33.84,120000.0,05/08/2012,,
01151,MA,7.68,38400.0,04/03/2012,,
01373,MA,256.75,962813.0,05/01/2012,,
01085,MA,29.7,133900.0,04/11/2012,,
01801,MA,7.99,54731.5,05/08/2012,,
01801,MA,3.525,24146.25,05/08/2012,,
02180,MA,4.465,30585.25,05/08/2012,,
01801,MA,7.52,51512.0,05/08/2012,,
01801,MA,4.23,28975.5,05/07/2012,,
02739,MA,86.19,301842.0,04/19/2012,,
02056,MA,4.8,28505.0,05/08/2012,,
01005,MA,16.344,90872.0,03/15/2012,,
01930,MA,12.42,70348.0,03/23/2012,,
01035,MA,1.84,25000.0,01/13/2012,,
02119,MA,73.32,288093.0,03/08/2012,,
02128,MA,93.18,631390.0,12/28/2011,,
01760,MA,302.4,1258900.0,12/21/2011,,
01760,MA,116.1,483325.0,12/28/2011,,
02021,MA,51.07,400000.0,12/28/2011,,
02720,MA,111.475,458770.0,12/28/2011,,
02723,MA,226.07,930500.0,12/21/2011,,
02720,MA,76.375,314380.0,12/21/2011,,
02724,MA,161.915,666460.0,12/21/2011,,
02767,MA,51.935,246748.0,03/08/2012,,
02777,MA,3.84,24056.0,03/02/2012,,
02723,MA,11.75,72436.0,03/02/2012,,
02715,MA,50.76,260940.0,03/02/2012,,
02043,MA,3.68,29700.0,12/21/2011,,
02038,MA,19.8,99401.0,05/08/2012,,
02052,MA,2.15,18803.0,12/10/2010,,
01111,MA,245.28,1143364.0,01/24/2012,,
01238,MA,2.76,22080.0,02/16/2012,,
01757,MA,29.9,175602.0,01/23/2012,,
01801,MA,6.58,45073.0,04/27/2012,,
02180,MA,3.995,27365.75,04/27/2012,,
01801,MA,3.76,25756.0,04/27/2012,,
01801,MA,3.76,25756.0,04/27/2012,,
02180,MA,3.76,25756.0,04/20/2012,,
02180,MA,3.995,27365.75,04/18/2012,,
01420,MA,206.0,949000.0,02/15/2012,,
02721,MA,116.61,729270.0,03/15/2012,,
01749,MA,37.13,183474.0,12/19/2011,,
01810,MA,2.52,17262.0,05/01/2012,,
01721,MA,5.25,35962.5,04/30/2012,,
01741,MA,8.36,64630.0,01/31/2012,,
01523,MA,29.4,250000.0,04/24/2012,,
01107,MA,129.36,914746.0,03/12/2012,,
01970,MA,147.8,658886.0,04/12/2012,,
02740,MA,6.72,50125.0,11/10/2011,,
02330,MA,139.23,442000.0,03/15/2012,,
02453,MA,32.9,166000.0,11/17/2011,,
02535,MA,61.44,451412.0,02/29/2012,,
02130,MA,3.8,26030.0,04/19/2012,,
01760,MA,2.28,15618.0,04/19/2012,,
02130,MA,4.07,27879.5,04/13/2012,,
02474,MA,3.7,25345.0,03/29/2012,,
01342,MA,33.12,240217.0,02/04/2012,,
02121,MA,4.9,19864.25,07/16/2012,,
01420,MA,7.68,38208.0,10/02/2012,,
01420,MA,5.76,28656.0,08/22/2012,,
02132,MA,4.41,17879.75,07/18/2012,,
02459,MA,4.0,23702.0,09/04/2012,,
01581,MA,6.48,33760.8,07/30/2012,,
02747,MA,11.04,57491.4,08/15/2012,,
01420,MA,7.25,31560.0,06/12/2012,,
01073,MA,3.0,18459.96,07/10/2012,,
01440,MA,7.92,39402.0,08/13/2012,,
02642,MA,2.7,14920.0,08/13/2012,,
01038,MA,7.8,33980.0,07/05/2012,,
02726,MA,4.655,27743.8,08/29/2012,,
01473,MA,8.16,42572.64,07/20/2012,,
01474,MA,4.32,21492.0,09/28/2012,,
02053,MA,7.2,35820.0,08/01/2012,,
02127,MA,15.51,98460.0,02/02/2012,,
02127,MA,15.51,98460.0,01/18/2012,,
01840,MA,95.6,571526.0,03/15/2012,,
02139,MA,81.0,515051.0,01/30/2012,,
02663,MA,64.8,288810.0,04/05/2012,,
01434,MA,7.59,45540.0,02/15/2012,,
01075,MA,8.64,45926.0,04/11/2012,,
02445,MA,4.75,27250.0,01/12/2012,,
01772,MA,10.56,60192.0,01/24/2012,,
01430,MA,16.08,92701.2,11/21/2011,,
01913,MA,8.16,40596.0,08/15/2012,,
02421,MA,4.9,19845.0,07/18/2012,,
01913,MA,8.16,42513.6,07/30/2012,,
01886,MA,9.156,49422.0,06/28/2012,,
02702,MA,6.12,30664.0,07/23/2012,,
01970,MA,4.41,20699.99,09/04/2012,,
01028,MA,5.0,20400.0,07/11/2012,,
02136,MA,3.29,12678.25,07/19/2012,,
01747,MA,9.81,55230.0,06/15/2012,,
02675,MA,7.848,38440.0,10/15/2012,,
01367,MA,2.88,14400.0,06/27/2012,,
02324,MA,6.48,33760.8,07/20/2012,,
02138,MA,3.27,24740.0,06/29/2012,,
02169,MA,5.76,33000.0,12/07/2012,,
02653,MA,4.925,23856.0,07/16/2012,,
01570,MA,8.4,43764.0,08/28/2012,,
02451,MA,4.56,23767.6,07/19/2012,,
02465,MA,4.51,22923.0,06/12/2012,,
01093,MA,7.2,37905.03,06/15/2012,,
01810,MA,4.16,21258.0,06/25/2012,,
02144,MA,5.64,28059.0,11/30/2012,,
02131,MA,4.41,18179.75,07/13/2012,,
01355,MA,7.44,33596.0,07/10/2012,,
01720,MA,7.04,42685.0,05/11/2012,,
02771,MA,6.58,25991.0,05/31/2012,,
02458,MA,5.1,25818.5,07/26/2012,,
02122,MA,4.7,17554.5,07/13/2012,,
02333,MA,8.36,49825.0,07/20/2012,,
02021,MA,7.44,34224.0,06/20/2012,,
01754,MA,5.0,25500.0,07/24/2012,,
02333,MA,3.96,20631.6,07/16/2012,,
02532,MA,4.578,27389.0,07/16/2012,,
01740,MA,4.32,25770.0,10/11/2012,,
01532,MA,12.6,72450.0,01/24/2012,,
01880,MA,6.9,42200.0,12/09/2011,,
01504,MA,18.0,108000.0,02/28/2012,,
01035,MA,99.0,499500.0,03/30/2012,,
02136,MA,3.29,13818.0,07/25/2012,,
01776,MA,8.64,37152.0,08/03/2012,,
02140,MA,4.8,33286.0,09/13/2012,,
01062,MA,8.0,35600.0,07/30/2012,,
01002,MA,3.01,17392.0,07/23/2012,,
02124,MA,3.185,13377.0,01/03/2013,,
01002,MA,6.345,35806.0,12/20/2012,,
02472,MA,4.32,22507.2,04/27/2012,,
02176,MA,7.848,36907.32,07/11/2012,,
02739,MA,3.5,21875.0,07/31/2012,,
01821,MA,4.8,16570.0,07/19/2012,,
02645,MA,9.75,39000.0,07/19/2012,,
01431,MA,8.085,33063.5,08/23/2012,,
01746,MA,5.88,21848.75,06/12/2012,,
02170,MA,4.16,19469.0,06/05/2012,,
01038,MA,7.5,32641.88,07/13/2012,,
01095,MA,9.87,51422.7,08/03/2012,,
01462,MA,5.28,29301.6,08/14/2012,,
01903,MA,2.585,13467.85,08/23/2012,,
02155,MA,3.76,15604.0,08/08/2012,,
01970,MA,6.24,32511.3,07/30/2012,,
01230,MA,5.265,24670.0,07/20/2012,,
01543,MA,7.848,40690.0,07/20/2012,,
01033,MA,7.2,44798.0,07/31/2012,,
02571,MA,5.145,27165.0,07/03/2012,,
02338,MA,4.7,21996.0,10/17/2012,,
01027,MA,10.29,68040.0,09/05/2012,,
01364,MA,5.76,30009.6,08/09/2012,,
01464,MA,9.36,85831.2,09/05/2012,,
02770,MA,8.33,34569.5,08/22/2012,,
02375,MA,5.52,28759.2,07/30/2012,,
02126,MA,3.675,14920.5,07/13/2012,,
02360,MA,5.355,27576.0,09/10/2012,,
02176,MA,4.41,17860.5,08/20/2012,,
02139,MA,4.5,22995.0,08/28/2012,,
01775,MA,7.68,34128.0,06/22/2012,,
01752,MA,5.04,23234.4,10/09/2012,,
02747,MA,5.1,38283.5,10/11/2012,,
01702,MA,4.41,17860.5,07/13/2012,,
02703,MA,5.61,21898.25,07/20/2012,,
02136,MA,4.9,19864.25,07/25/2012,,
01501,MA,9.6,48000.0,07/18/2012,,
02176,MA,7.14,29698.9,08/23/2012,,
02125,MA,2.64,13754.4,08/16/2012,,
01951,MA,5.04,26258.4,08/08/2012,,
02421,MA,7.05,36730.5,07/18/2012,,
02126,MA,4.9,20599.25,07/16/2012,,
02190,MA,4.9,20188.0,08/03/2012,,
02563,MA,5.04,26258.4,07/16/2012,,
01730,MA,4.9,20354.25,08/31/2012,,
02131,MA,3.185,12899.25,06/18/2012,,
02124,MA,7.35,30386.75,08/27/2012,,
02472,MA,5.232,30032.0,09/07/2012,,
01431,MA,6.0,33966.0,09/06/2012,,
02126,MA,3.57,13942.25,09/07/2012,,
01073,MA,4.0,18960.0,07/31/2012,,
02723,MA,5.04,26258.4,08/29/2012,,
01504,MA,7.2,37512.0,07/30/2012,,
02169,MA,3.29,14311.5,05/24/2012,,
01518,MA,6.815,48659.0,09/04/2012,,
01095,MA,8.4,36180.0,06/25/2012,,
02451,MA,5.865,29325.0,09/17/2012,,
02748,MA,6.58,23970.0,09/19/2012,,
02666,MA,3.36,21230.0,06/22/2012,,
02176,MA,4.7,19505.0,06/15/2012,,
02769,MA,7.36,37529.0,07/02/2012,,
01453,MA,9.6,57792.0,10/05/2012,,
02151,MA,3.055,21460.0,06/13/2012,,
02557,MA,6.54,45780.0,12/07/2012,,
01073,MA,3.525,19916.0,08/21/2012,,
02630,MA,4.32,15897.6,09/24/2012,,
01824,MA,3.76,15604.0,06/05/2012,,
01752,MA,9.81,49050.0,08/03/2012,,
01452,MA,9.43,39349.0,07/20/2012,,
02630,MA,7.44,34224.0,10/02/2012,,
02540,MA,7.2,33120.0,05/31/2012,,
01581,MA,14.95,63750.0,10/10/2012,,
02740,MA,5.355,28775.0,07/02/2012,,
02056,MA,4.8,25008.0,07/30/2012,,
01913,MA,5.145,20837.25,06/21/2012,,
01225,MA,5.61,32616.0,04/27/2012,,
01730,MA,2.16,11253.6,08/22/2012,,
01002,MA,6.125,32946.0,07/24/2012,,
02116,MA,2.5,16995.0,08/08/2012,,
01951,MA,5.04,24656.0,06/12/2012,,
01002,MA,4.935,25793.0,09/20/2012,,
02543,MA,5.4,28690.0,06/13/2012,,
01902,MA,5.28,27508.8,09/24/2012,,
01002,MA,10.78,51622.0,06/21/2012,,
02568,MA,5.76,39220.0,07/18/2012,,
02777,MA,6.885,33737.0,08/08/2012,,
01701,MA,6.12,27540.0,08/07/2012,,
02703,MA,2.805,21503.0,10/26/2012,,
01075,MA,9.0,41449.0,04/10/2012,,
01746,MA,1.05,8116.5,03/22/2012,,
02124,MA,5.405,37000.0,02/16/2012,,
01907,MA,67.62,333367.0,01/06/2012,,
01005,MA,985.6,3552617.17,03/01/2012,,
01005,MA,985.6,3652309.07,03/01/2012,,
01585,MA,373.75,1775313.0,03/28/2012,,
02478,MA,3.055,15916.55,02/06/2012,,
01507,MA,2.115,11019.15,12/27/2011,,
02019,MA,3.04,23499.2,03/23/2012,,
01341,MA,24.96,154677.0,02/27/2012,,
01890,MA,18.72,121283.0,03/08/2012,,
02169,MA,6.24,31200.0,07/02/2012,,
02030,MA,14.88,94425.0,09/17/2012,,
02743,MA,9.6,53900.0,06/01/2012,,
02139,MA,4.7,19975.0,06/18/2012,,
02176,MA,5.04,24756.0,06/13/2012,,
01032,MA,5.04,25000.0,06/07/2012,,
02540,MA,8.624,45450.0,07/27/2012,,
01550,MA,6.0,31800.0,06/07/2012,,
02649,MA,5.04,27820.0,07/25/2012,,
02124,MA,3.185,13237.0,08/10/2012,,
01826,MA,3.33,25740.9,07/17/2012,,
02122,MA,6.86,28102.25,07/17/2012,,
02338,MA,8.64,38880.0,07/30/2012,,
01027,MA,2.88,20246.0,07/10/2012,,
01951,MA,6.72,47712.0,07/30/2012,,
02467,MA,4.9,20164.25,06/12/2012,,
01473,MA,6.72,30650.0,06/04/2012,,
02126,MA,3.92,18620.75,08/09/2012,,
01845,MA,10.32,45924.0,06/25/2012,,
02453,MA,6.54,34900.0,06/20/2012,,
