Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
79912,TX,0.94,4888.0,11/29/2011,,
79936,TX,1.88,15040.0,11/29/2011,,
79936,TX,3.96,10600.0,11/29/2011,,
79936,TX,5.17,32500.0,11/29/2011,,
79912,TX,6.58,32242.0,11/29/2011,,
75766,TX,6.345,37100.0,11/29/2011,,
75703,TX,14.85,76726.0,11/29/2011,,
79932,TX,6.58,61060.0,11/30/2011,,
79912,TX,10.24,64500.0,11/30/2011,,
79932,TX,5.06,30461.2,11/30/2011,,
79821,TX,6.6,36300.0,11/30/2011,,
79911,TX,2.82,16615.0,11/30/2011,,
79912,TX,3.91,23560.0,11/30/2011,,
79912,TX,2.76,16747.0,11/30/2011,,
79932,TX,6.58,42770.0,11/30/2011,,
79912,TX,10.24,64500.0,11/30/2011,,
79912,TX,9.4,64017.0,11/30/2011,,
79912,TX,4.935,28898.0,11/30/2011,,
79932,TX,5.06,30049.0,11/30/2011,,
79902,TX,9.89,53864.0,11/30/2011,,
79925,TX,7.2,45360.0,11/30/2011,,
79936,TX,2.99,17818.0,11/30/2011,,
79925,TX,1.075,7895.0,11/30/2011,,
79932,TX,10.06,57683.0,11/30/2011,,
79922,TX,9.66,60625.0,11/30/2011,,
75603,TX,16.796,76300.0,11/30/2011,,
76054,TX,9.99,32053.91,12/01/2011,,
76065,TX,10.29,102900.0,12/01/2011,,
75154,TX,10.29,102900.0,12/01/2011,,
75165,TX,10.08,153770.0,12/01/2011,,
75089,TX,5.145,51450.0,12/02/2011,,
75154,TX,10.29,102900.0,12/02/2011,,
75154,TX,10.29,102900.0,12/02/2011,,
76065,TX,10.08,102900.0,12/02/2011,,
76107,TX,2.58,20588.0,12/02/2011,,
76065,TX,9.03,72059.0,12/02/2011,,
76034,TX,9.66,46592.0,12/04/2011,,
75043,TX,10.29,102900.0,12/04/2011,,
76179,TX,10.08,100800.0,12/04/2011,,
76708,TX,5.28,39000.0,12/04/2011,,
79936,TX,5.06,12650.0,12/05/2011,,
77611,TX,17.28,57769.0,12/05/2011,,
76182,TX,9.165,73136.7,12/05/2011,,
75006,TX,11.04,72034.0,12/05/2011,,
75214,TX,7.2,37675.0,12/06/2011,,
78674,TX,4.68,16280.44,12/06/2011,,
75165,TX,9.03,72059.4,12/06/2011,,
76036,TX,3.515,21565.13,12/06/2011,,
76052,TX,3.515,21565.13,12/06/2011,,
75062,TX,101.64,483436.89,12/06/2011,,
79922,TX,3.22,8850.0,12/07/2011,,
75503,TX,4.1,28175.0,12/07/2011,,
75501,TX,4.1,28175.0,12/07/2011,,
75554,TX,4.1,28175.0,12/07/2011,,
75604,TX,9.6,49000.0,12/07/2011,,
75473,TX,9.89,52624.0,12/07/2011,,
76065,TX,12.22,41900.0,12/07/2011,,
75230,TX,5.76,48300.0,12/07/2011,,
75248,TX,11.0,44447.14,12/07/2011,,
75032,TX,11.28,48000.0,12/07/2011,,
75217,TX,10.29,102900.0,12/07/2011,,
75089,TX,10.29,102900.0,12/07/2011,,
75703,TX,7.92,33500.0,12/07/2011,,
75701,TX,19.44,83000.0,12/07/2011,,
76513,TX,10.8,64891.13,12/07/2011,,
75287,TX,2.585,20628.0,12/07/2011,,
76053,TX,4.73,37745.0,12/07/2011,,
76548,TX,7.32,30171.0,12/08/2011,,
76108,TX,8.97,35505.0,12/08/2011,,
78681,TX,7.92,35640.0,12/08/2011,,
76054,TX,6.02,48039.6,12/08/2011,,
79912,TX,2.4,5950.0,12/09/2011,,
79936,TX,30.36,192032.0,12/11/2011,,
78681,TX,3.525,23400.0,12/19/2011,,
77662,TX,7.05,34650.0,12/21/2011,,
77705,TX,8.46,61160.0,12/21/2011,,
79510,TX,10.8,79715.0,12/21/2011,,
75601,TX,14.4,65000.0,12/26/2011,,
76513,TX,9.675,38694.65,12/28/2011,,
76384,TX,10.8,104258.41,12/29/2011,,
77546,TX,10.12,52388.84,12/31/2011,,
77302,TX,10.12,58684.77,12/31/2011,,
76936,TX,9.75,158115.0,12/31/2011,,
76936,TX,9.75,158115.0,12/31/2011,,
77382,TX,4.14,17497.14,01/24/2012,,
78248,TX,4.9,24681.5,06/09/2008,,
78223,TX,16000.0,,11/04/2010,,
78653,TX,34000,120000000,12/20/2011,,
76244,TX,4.16,21840.0,12/14/2011,,
76247,TX,8.28,46386.0,05/05/2011,,
77710,TX,8.46,,12/29/2011,,
77662,TX,7.1,,12/19/2011,,
77664,TX,5.64,,09/29/2011,,
77632,TX,6.56,,09/11/2011,,
77611,TX,3.24,15000.0,08/09/2011,,
77632,TX,6.0,30000.0,12/28/2010,,
77713,TX,6.3,47000,09/09/2010,,
79915,TX,30.0,180000.0,02/01/2011,,
79904,TX,20.13,114000.0,07/01/2011,,
79901,TX,20.13,114000.0,07/01/2011,,
79901,TX,36.96,241000.0,12/28/2011,,
79902,TX,108.416,557600.0,12/22/2011,,
79902,TX,76.384,422400.0,12/22/2011,,
79925,TX,1.8,12000.0,07/14/2010,,
79932,TX,10.472,66400.0,12/08/2010,,
79934,TX,2.87,15612.56,04/17/2010,,
79934,TX,2.05,13423.58,11/28/2009,,
78749,TX,7.7,54000.0,07/18/2009,,
75022,TX,10.12,38011.0,03/11/2010,,
79556,TX,19.0,,07/01/2011,,
75092,TX,8.06,,10/13/1997,,
78006,TX,0.62,2000.0,03/05/2011,,
78745,TX,7.56,64864.44,11/03/2008,,
78754,TX,3.36,,02/09/2007,,
78750,TX,3.06,21416.25,06/29/2006,,
78704,TX,3.328,21977.03,05/25/2006,,
78746,TX,1.872,13565.94,06/20/2006,,
78730,TX,3.34,19972.69,06/02/2006,,
78731,TX,3.006,20853.39,06/22/2006,,
78746,TX,2.625,17779.22,06/29/2006,,
78759,TX,3.328,22475.24,01/31/2007,,
78731,TX,3.06,20600.87,06/16/2006,,
78704,TX,3.006,19682.0,05/31/2006,,
78746,TX,3.15,20217.29,06/16/2006,,
78731,TX,3.4,20977.88,02/24/2006,,
79605,TX,3.5,23026.0,02/24/2010,,
78566,TX,10.0,53636.0,02/24/2010,,
77659,TX,5.0,30000.0,03/02/2010,,
76036,TX,3.5,27844.57,03/05/2010,,
77301,TX,5.25,31902.26,03/10/2010,,
77365,TX,1.1,10500.0,03/12/2010,,
77365,TX,1.05,10500.0,03/12/2010,,
78332,TX,2.59,11895.0,03/23/2010,,
78332,TX,2.0,12000.0,04/01/2010,,
75570,TX,10.08,53600.0,04/05/2010,,
77546,TX,11.2,61985.05,04/07/2010,,
78573,TX,10.752,62358.64,04/12/2010,,
79601,TX,10.08,68040.0,04/14/2010,,
78043,TX,30.45,146690.25,05/06/2010,,
77868,TX,10.5,77734.36,05/07/2010,,
78373,TX,6.36,32580.0,05/10/2010,,
78596,TX,5.16,35393.33,05/17/2010,,
79830,TX,3.15,20956.5,06/01/2010,,
79830,TX,3.525,19173.0,06/07/2010,,
77318,TX,3.15,20612.0,06/14/2010,,
79932,TX,4.84,33611.0,06/14/2010,,
79912,TX,1.84,12880.0,06/15/2010,,
79831,TX,10.56,67784.88,06/16/2010,,
79912,TX,4.4,35689.0,06/21/2010,,
77632,TX,5.04,34550.0,06/29/2010,,
79912,TX,3.96,27720.0,07/01/2010,,
77632,TX,9.8,54566.12,07/08/2010,,
79907,TX,5.04,33667.2,07/08/2010,,
79912,TX,3.87,27090.0,07/08/2010,,
79912,TX,4.2,28896.0,07/08/2010,,
79821,TX,5.98,41664.0,07/12/2010,,
79925,TX,1.76,12320.0,07/12/2010,,
77659,TX,2.52,9937.5,07/14/2010,,
77546,TX,9.9,53000.0,07/18/2010,,
79912,TX,5.4,25000.0,07/20/2010,,
79830,TX,2.82,11720.54,07/21/2010,,
75662,TX,11.28,57809.0,07/26/2010,,
78504,TX,2.1,10500.0,07/30/2010,,
75480,TX,4.0,24524.92,07/30/2010,,
75503,TX,5.9,37626.13,08/02/2010,,
77871,TX,9.66,34030.5,08/02/2010,,
79915,TX,10.08,69249.6,08/03/2010,,
77625,TX,2.52,12000.0,08/09/2010,,
76310,TX,7.74,52646.4,08/13/2010,,
78102,TX,3.22,17573.93,08/16/2010,,
79936,TX,2.2,15898.0,08/23/2010,,
79912,TX,5.04,34624.8,08/26/2010,,
75156,TX,10.32,61405.0,08/31/2010,,
77382,TX,4.4,21809.5,08/31/2010,,
76543,TX,6.88,40243.71,09/01/2010,,
78573,TX,10.32,58750.0,09/06/2010,,
77385,TX,4.2,16800.0,09/09/2010,,
77385,TX,4.62,18480.0,09/09/2010,,
78575,TX,11.52,55400.0,09/15/2010,,
78852,TX,3.6,18113.94,09/17/2010,,
79912,TX,10.12,58092.29,09/23/2010,,
76133,TX,3.08,15900.0,09/28/2010,,
77445,TX,9.66,43888.0,09/28/2010,,
79928,TX,2.2,16230.0,09/28/2010,,
78577,TX,5.52,37550.0,09/29/2010,,
78665,TX,101.64,553660.8,10/05/2010,,
75503,TX,5.76,16838.23,10/05/2010,,
78596,TX,9.9,61255.98,10/05/2010,,
77380,TX,6.48,67657.39,10/05/2010,,
79830,TX,3.68,24840.0,10/19/2010,,
76371,TX,45.825,311396.84,10/20/2010,,
75601,TX,76.5,297654.61,11/01/2010,,
79830,TX,2.35,12819.65,11/02/2010,,
76179,TX,10.08,84470.7,11/03/2010,,
75287,TX,6.02,50447.6,11/03/2010,,
75230,TX,4.3,36034.0,11/03/2010,,
76034,TX,10.08,84470.4,11/05/2010,,
75002,TX,6.84,38870.0,11/09/2010,,
75075,TX,1.32,9729.0,11/10/2010,,
75075,TX,9.89,65039.0,11/10/2010,,
79925,TX,2.2,15400.0,11/12/2010,,
75051,TX,100.8,511100,05/05/2010,,
75050,TX,50.4,272700,05/05/2010,,
75501,TX,2.88,16958.35,11/17/2010,,
75051,TX,11.88,59400.0,11/18/2010,,
75051,TX,17.82,89100.0,11/18/2010,,
75051,TX,17.82,89100.0,11/19/2010,,
76210,TX,99.84,459954.52,11/24/2010,,
79556,TX,10.12,53000.0,11/30/2010,,
79843,TX,5.46,31000.0,11/30/2010,,
76901,TX,9.66,38000.0,12/01/2010,,
76934,TX,9.66,38000.0,12/01/2010,,
77304,TX,4.2,22589.76,12/01/2010,,
76357,TX,2.82,22900.0,12/03/2010,,
76531,TX,2.64,22550.0,12/04/2010,,
76021,TX,6.93,58073.4,12/06/2010,,
79932,TX,5.236,34621.52,12/06/2010,,
75023,TX,2.1,11525.0,12/07/2010,,
76248,TX,2.0,13395.0,12/09/2010,,
76021,TX,5.59,46844.2,12/10/2010,,
75060,TX,5.46,45754.8,12/10/2010,,
76034,TX,9.46,79274.8,12/10/2010,,
75019,TX,5.59,46844.2,12/10/2010,,
79912,TX,10.34,60748.66,12/10/2010,,
79830,TX,10.12,80780.0,01/07/2011,,
79830,TX,50.83,394507.0,01/07/2011,,
79830,TX,2.82,17500.0,01/10/2011,,
77632,TX,6.0,10000.0,01/13/2011,,
79734,TX,9.9,52470.0,01/17/2011,,
77385,TX,4.62,18480.0,01/18/2011,,
78749,TX,7.7,54000.0,07/13/2009,,
75074,TX,8.1,48600.0,02/15/2010,,
75173,TX,2.5,23500,03/31/2007,,
75048,TX,3.04,29049.06,12/15/2009,,
76051,TX,2.16,12805.71,12/28/2009,,
75758,TX,10.8,58808,01/09/2010,,
75703,TX,2,26460,05/22/2009,,
78245,TX,5.4,25774.03,04/07/2010,,
75801,TX,10.08,61152,08/07/2009,,
75023,TX,3,24933.34,07/24/2009,,
75173,TX,1.5,18000,10/31/2007,,
75961,TX,10.8,67188,08/22/2009,,
76051,TX,6,44000,07/23/2009,,
76043,TX,8.2,97920,11/15/2009,,
78723,TX,3.5,15540,01/19/2010,,
75119,TX,6.3,78750,11/15/2009,,
76209,TX,3.3,27579,11/15/2009,,
78043,TX,8.4,42722,01/31/2010,,
77447,TX,215.6,1300000,12/31/2009,,
77058,TX,28,400000,06/04/2007,,
78210,TX,2.45,,05/28/2009,,
76020,TX,6.3,45000,10/28/2009,,
78723,TX,4.995,23196,01/06/2010,,
78254,TX,4,,02/20/2009,,
78745,TX,21.12,125022,03/11/2005,,
77401,TX,2.87,19870.8,03/28/2009,,
76108,TX,3.6,31010,11/15/2009,,
75006,TX,4.2,33218,08/15/2009,,
75706,TX,10.8,54627,11/14/2009,,
78230,TX,5.4,23846.78,01/15/2010,,
76017,TX,2.1,15750,11/15/2009,,
78752,TX,17.85,109036,02/01/2006,,
77401,TX,2.87,17238,03/28/2009,,
75762,TX,3.15,28350,10/10/2009,,
75703,TX,2.31,20790,05/09/2009,,
78259,TX,5.46,27871.2,05/05/2010,,
75087,TX,4.688,26650,07/01/2009,,
75706,TX,10.8,55000,12/19/2009,,
78015,TX,10.8,51001.27,05/10/2010,,
76107,TX,1.1,8320,11/15/2009,,
75234,TX,3.1,30934,07/01/2009,,
78253,TX,20.64,157500,05/05/2010,,
78215,TX,200,1350000,06/09/2009,,
78232,TX,4.86,21891.92,05/19/2010,,
76681,TX,7.02,59718,08/15/2009,,
78043,TX,30.45,146690,05/09/2010,,
75137,TX,1.29,10000.0,10/03/2010,,
78735,TX,6.0,20625.0,12/27/2012,,
78735,TX,7.5,27360.0,12/27/2012,,
78732,TX,5.75,18151.0,12/13/2012,,
78732,TX,2.9,7839.06,12/07/2012,,
78721,TX,6.0,19074.0,11/29/2012,,
78735,TX,5.72,18218.0,12/21/2012,,
78702,TX,15.18,45905.0,12/21/2012,,
78747,TX,7.5,27160.0,12/27/2012,,
78748,TX,6.86,24468.0,12/21/2012,,
78736,TX,4.9,18015.0,12/07/2012,,
78749,TX,5.0,18165.0,11/29/2012,,
78732,TX,7.0,25386.0,11/15/2012,,
78738,TX,5.0,16000.0,11/01/2012,,
78617,TX,5.0,29975.0,12/07/2012,,
78746,TX,5.28,16368.0,12/21/2012,,
78759,TX,4.5,13950.0,11/28/2012,,
78727,TX,4.56,14330.0,11/29/2012,,
78759,TX,7.5,18725.0,11/20/2012,,
78746,TX,7.5,27390.0,11/15/2012,,
78745,TX,4.0,15600.0,12/13/2012,,
78735,TX,5.28,16368.0,12/21/2012,,
78759,TX,7.5,33369.0,12/13/2012,,
78735,TX,2.94,11465.0,11/20/2012,,
78759,TX,6.0,21288.0,11/15/2012,,
78653,TX,7.5,24000.0,12/13/2012,,
78735,TX,5.25,29988.0,12/07/2012,,
78741,TX,3.5,10920.0,11/20/2012,,
78723,TX,6.11,21166.0,11/29/2012,,
78729,TX,6.58,23300.0,11/15/2012,,
78749,TX,6.345,22100.0,11/28/2012,,
78746,TX,4.68,14265.0,12/13/2012,,
78748,TX,7.5,22125.0,11/20/2012,,
78748,TX,5.0,15000.0,11/20/2012,,
78735,TX,2.5,10463.0,12/13/2012,,
78729,TX,5.0,18050.0,11/20/2012,,
78759,TX,6.5,23871.0,12/13/2012,,
78738,TX,6.72,21968.0,11/29/2012,,
78732,TX,4.0,12525.0,11/08/2012,,
78702,TX,3.36,12398.03,12/07/2012,,
78756,TX,6.75,25938.0,11/20/2012,,
78746,TX,7.8,24148.52,11/29/2012,,
78744,TX,4.16,13000.0,12/07/2012,,
78748,TX,5.0,15950.0,12/07/2012,,
78748,TX,7.28,22750.0,12/07/2012,,
78748,TX,4.5,14175.0,10/25/2012,,
78738,TX,5.0,32452.0,10/04/2012,,
78757,TX,3.75,16366.0,12/21/2012,,
78745,TX,4.0,12125.0,10/19/2012,,
78733,TX,7.5,27317.1,12/07/2012,,
78748,TX,8.0,29929.0,12/07/2012,,
78741,TX,7.5,23900.0,10/17/2012,,
78745,TX,6.5,21074.0,12/21/2012,,
78735,TX,5.0,15268.0,10/19/2012,,
78704,TX,7.92,56575.0,10/10/2012,,
78738,TX,7.848,37032.24,12/13/2012,,
78734,TX,7.5,26400.0,10/19/2012,,
78733,TX,7.0,22750.0,11/20/2012,,
78733,TX,6.63,21170.0,12/07/2012,,
78733,TX,7.5,28125.0,11/08/2012,,
78734,TX,6.5,19594.89,11/08/2012,,
78746,TX,8.25,30112.5,10/25/2012,,
78732,TX,2.7,6734.0,11/28/2012,,
78732,TX,6.0,22647.08,11/08/2012,,
78750,TX,5.25,18675.0,11/01/2012,,
78733,TX,10.29,39068.0,12/13/2012,,
78731,TX,7.8,26993.0,11/28/2012,,
78732,TX,7.0,25200.0,10/25/2012,,
78723,TX,10.965,38577.05,10/17/2012,,
78731,TX,6.5,22100.0,11/20/2012,,
78749,TX,7.0,23800.0,11/08/2012,,
78732,TX,5.39,17063.0,11/28/2012,,
78727,TX,5.635,18246.0,11/08/2012,,
78732,TX,7.5,26375.0,09/20/2012,,
78723,TX,5.0,17325.0,10/10/2012,,
78759,TX,7.5,25500.0,11/08/2012,,
78746,TX,15.81,53597.32,11/15/2012,,
78746,TX,7.5,29150.0,11/20/2012,,
78735,TX,5.1,17950.0,11/08/2012,,
78759,TX,5.232,26042.32,11/08/2012,,
78759,TX,6.3,22898.0,11/29/2012,,
78727,TX,5.635,18246.0,11/08/2012,,
78752,TX,5.28,18111.96,12/27/2012,,
78749,TX,6.63,20885.0,10/19/2012,,
78738,TX,6.375,20603.75,11/08/2012,,
78702,TX,5.0,19250.0,10/17/2012,,
78732,TX,12.0,49210.5,10/10/2012,,
78731,TX,6.12,19500.0,11/01/2012,,
78702,TX,7.5,28125.0,10/10/2012,,
78732,TX,7.5,28750.0,09/13/2012,,
78732,TX,7.5,29500.0,09/20/2012,,
78748,TX,6.25,23563.0,09/13/2012,,
78753,TX,5.5,21650.0,09/13/2012,,
78748,TX,5.145,16721.0,11/08/2012,,
78732,TX,5.559,26734.91,11/28/2012,,
78749,TX,5.04,18256.01,10/19/2012,,
78734,TX,5.355,19897.5,12/07/2012,,
78735,TX,5.0,18700.0,11/01/2012,,
78704,TX,7.905,27152.21,11/15/2012,,
78727,TX,5.0,18750.0,09/13/2012,,
78759,TX,7.5,28375.0,11/20/2012,,
78747,TX,7.5,28125.0,10/19/2012,,
78738,TX,7.25,24891.8,10/19/2012,,
78749,TX,3.36,11770.0,10/17/2012,,
78732,TX,5.94,24705.0,11/01/2012,,
78733,TX,6.25,30277.0,10/19/2012,,
78727,TX,5.0,20000.0,10/19/2012,,
78733,TX,6.24,22340.0,10/19/2012,,
78703,TX,7.5,28125.0,08/16/2012,,
78730,TX,7.905,27900.0,12/07/2012,,
78738,TX,7.75,27747.5,09/27/2012,,
78734,TX,8.4,24480.0,10/17/2012,,
78749,TX,5.04,16451.6,10/17/2012,,
78724,TX,3.0,24000.0,10/17/2012,,
78729,TX,2.25,18750.0,09/13/2012,,
78746,TX,7.92,34074.0,10/25/2012,,
78759,TX,5.0,31000.0,11/28/2012,,
78732,TX,3.29,18670.75,09/13/2012,,
78745,TX,6.0,36000.0,11/28/2012,,
78749,TX,5.0,31000.0,11/28/2012,,
78748,TX,5.0,16250.0,11/20/2012,,
78738,TX,8.25,34330.31,11/20/2012,,
78738,TX,7.595,24225.0,12/13/2012,,
78758,TX,4.5,18750.0,09/13/2012,,
78703,TX,7.68,26000.0,10/10/2012,,
78723,TX,4.5,17200.0,09/20/2012,,
78732,TX,6.24,23085.75,11/29/2012,,
78748,TX,8.0,23400.0,08/23/2012,,
78732,TX,7.5,29125.0,09/20/2012,,
78758,TX,3.42,14751.74,09/20/2012,,
78738,TX,4.59,17917.55,12/07/2012,,
78757,TX,6.25,20439.99,11/08/2012,,
78738,TX,7.595,24684.0,12/13/2012,,
78733,TX,6.0,24300.0,12/21/2012,,
78758,TX,4.75,18875.0,10/25/2012,,
78744,TX,6.25,23563.0,08/16/2012,,
78733,TX,7.84,27400.0,10/25/2012,,
78753,TX,3.0,11250.0,10/25/2012,,
78733,TX,4.41,15015.0,10/25/2012,,
78732,TX,6.25,21151.77,09/27/2012,,
78748,TX,7.75,28481.25,08/23/2012,,
78723,TX,5.25,20768.0,09/20/2012,,
78731,TX,2.1,8732.28,08/23/2012,,
78704,TX,8.82,37882.0,10/19/2012,,
78744,TX,7.35,29315.0,10/10/2012,,
78732,TX,7.0,26548.2,08/23/2012,,
78704,TX,8.82,29850.0,08/09/2012,,
78759,TX,2.0,5000.0,11/29/2012,,
78723,TX,6.125,22642.0,10/10/2012,,
78735,TX,7.5,28250.0,09/06/2012,,
78733,TX,7.0,26200.0,10/25/2012,,
78732,TX,6.25,20938.0,10/10/2012,,
78748,TX,6.5,24375.0,08/23/2012,,
78744,TX,5.0,18875.0,08/16/2012,,
78652,TX,7.5,28250.0,08/23/2012,,
78747,TX,6.25,23438.0,08/16/2012,,
78735,TX,6.44,26928.51,10/19/2012,,
78745,TX,7.65,29209.2,11/01/2012,,
78744,TX,5.39,20213.0,10/10/2012,,
78733,TX,6.0,24300.0,09/20/2012,,
78734,TX,7.99,30000.0,10/17/2012,,
78744,TX,3.6,12820.0,10/10/2012,,
78735,TX,6.3,22994.13,08/23/2012,,
78732,TX,6.0,23147.08,09/06/2012,,
78734,TX,6.24,40000.0,10/10/2012,,
78748,TX,5.0,22625.0,11/01/2012,,
78746,TX,6.25,23750.0,10/10/2012,,
78745,TX,6.63,23250.0,07/19/2012,,
78733,TX,6.37,30776.17,11/20/2012,,
78734,TX,6.25,21875.0,10/17/2012,,
78727,TX,5.5,21075.0,08/16/2012,,
78723,TX,6.24,18830.93,09/27/2012,,
78735,TX,6.37,20295.95,11/29/2012,,
78748,TX,5.28,16632.0,11/20/2012,,
78759,TX,6.0,23470.0,08/16/2012,,
78732,TX,6.0,24300.0,09/06/2012,,
78746,TX,6.25,24420.43,10/17/2012,,
78723,TX,1.0,3150.02,09/06/2012,,
78759,TX,6.25,24513.0,08/16/2012,,
78704,TX,5.75,19350.0,09/06/2012,,
78746,TX,5.5,20625.0,08/30/2012,,
78754,TX,6.25,23350.0,08/09/2012,,
78735,TX,4.35,17360.31,12/21/2012,,
78735,TX,6.0,24305.25,09/20/2012,,
78727,TX,6.25,21875.0,09/20/2012,,
78732,TX,6.0,24905.25,08/23/2012,,
78731,TX,5.5,18315.0,09/06/2012,,
78750,TX,3.06,15966.0,10/10/2012,,
78736,TX,6.0,24905.25,10/25/2012,,
78732,TX,5.4,22459.0,09/06/2012,,
78738,TX,6.0,24300.0,08/16/2012,,
78732,TX,4.35,17360.31,08/30/2012,,
78734,TX,6.0,22900.0,08/16/2012,,
78749,TX,5.5,19250.0,11/15/2012,,
78732,TX,6.0,24300.0,09/13/2012,,
78746,TX,6.0,28212.04,08/30/2012,,
78735,TX,5.39,20372.1,07/26/2012,,
78735,TX,6.24,18750.0,09/06/2012,,
78738,TX,5.5,20626.38,10/17/2012,,
78732,TX,6.24,24305.25,09/27/2012,,
78732,TX,6.0,24300.0,08/23/2012,,
78617,TX,5.25,19813.0,08/02/2012,,
78732,TX,5.8,23727.08,08/23/2012,,
78736,TX,6.0,24905.25,09/27/2012,,
78732,TX,6.0,23100.0,08/16/2012,,
78730,TX,6.0,23350.0,11/08/2012,,
78757,TX,5.28,25000.0,08/23/2012,,
78727,TX,6.37,21875.0,08/30/2012,,
78733,TX,5.39,18326.0,08/02/2012,,
78746,TX,6.25,33723.0,08/23/2012,,
78741,TX,5.25,19938.0,08/02/2012,,
78747,TX,6.25,23438.0,08/16/2012,,
78746,TX,5.0,16600.0,10/10/2012,,
78733,TX,6.25,20313.0,10/25/2012,,
78733,TX,6.25,20313.0,09/13/2012,,
78733,TX,6.25,20313.0,08/16/2012,,
78750,TX,6.0,23300.0,08/16/2012,,
78733,TX,4.41,14994.0,08/23/2012,,
78744,TX,6.25,21875.0,09/13/2012,,
78758,TX,6.0,24305.0,08/23/2012,,
78732,TX,5.0,18225.0,07/26/2012,,
78745,TX,6.37,20833.17,09/13/2012,,
78733,TX,5.88,21600.0,07/05/2012,,
78738,TX,5.5,22275.0,08/23/2012,,
78748,TX,6.25,25317.97,08/16/2012,,
78750,TX,6.25,27121.0,08/23/2012,,
78733,TX,6.37,20313.0,09/06/2012,,
78738,TX,6.25,21875.0,09/27/2012,,
78750,TX,6.5,22150.0,08/16/2012,,
78617,TX,6.63,24850.0,07/12/2012,,
78727,TX,8.36,31057.53,08/16/2012,,
78734,TX,6.25,23563.0,07/19/2012,,
78730,TX,5.145,29988.0,08/23/2012,,
78733,TX,6.25,20313.0,09/13/2012,,
78747,TX,6.0,22500.0,07/05/2012,,
78733,TX,6.25,20313.0,10/10/2012,,
78757,TX,6.25,23750.0,07/26/2012,,
78733,TX,4.75,17908.1,09/20/2012,,
78724,TX,6.0,22500.0,07/05/2012,,
78758,TX,5.5,20750.0,07/05/2012,,
78732,TX,5.5,22275.0,09/20/2012,,
78735,TX,4.8,17261.97,11/29/2012,,
78735,TX,6.25,25312.5,09/20/2012,,
78731,TX,6.0,24300.0,12/27/2012,,
78735,TX,5.25,22137.5,10/19/2012,,
78738,TX,6.0,24300.0,09/20/2012,,
78738,TX,6.0,22897.08,10/19/2012,,
78732,TX,6.0,24300.0,07/12/2012,,
78759,TX,6.27,23965.0,08/30/2012,,
78723,TX,6.25,23563.0,06/20/2012,,
78733,TX,5.76,24300.0,09/06/2012,,
78738,TX,5.8,23147.08,07/26/2012,,
78759,TX,6.25,18810.0,08/23/2012,,
78732,TX,6.0,24300.0,07/19/2012,,
78738,TX,6.0,24300.0,08/16/2012,,
78733,TX,5.5,22275.0,08/16/2012,,
78732,TX,6.0,23147.08,08/09/2012,,
78748,TX,6.37,24524.5,06/07/2012,,
78731,TX,4.5,16200.0,08/23/2012,,
78745,TX,5.5,19250.0,08/23/2012,,
78735,TX,6.0,24300.0,09/20/2012,,
78735,TX,6.0,24300.0,09/20/2012,,
78727,TX,6.25,21875.0,08/16/2012,,
78748,TX,5.145,16721.0,07/12/2012,,
78734,TX,6.25,23438.0,06/20/2012,,
78727,TX,4.75,18063.0,08/23/2012,,
78730,TX,7.5,20395.56,10/25/2012,,
78732,TX,6.0,24300.0,09/13/2012,,
78759,TX,4.25,16188.0,08/02/2012,,
78733,TX,6.0,23142.0,08/30/2012,,
78732,TX,12.0,24300.0,09/20/2012,,
78748,TX,6.125,24377.5,05/30/2012,,
78733,TX,7.26,26381.76,07/26/2012,,
78732,TX,5.0,20000.0,07/19/2012,,
78732,TX,5.04,20253.69,08/09/2012,,
78735,TX,6.25,23438.0,06/07/2012,,
78733,TX,9.6,35076.61,07/26/2012,,
78744,TX,6.0,20625.0,06/07/2012,,
78759,TX,6.25,23563.0,06/07/2012,,
78739,TX,7.0,23438.0,06/20/2012,,
78733,TX,4.5,17360.31,09/13/2012,,
78732,TX,4.35,17360.31,07/12/2012,,
78732,TX,6.0,23147.08,07/19/2012,,
78738,TX,6.0,24300.0,08/09/2012,,
78749,TX,6.08,24000.0,08/16/2012,,
78738,TX,6.0,23334.75,08/09/2012,,
78732,TX,5.8,23147.08,07/19/2012,,
78732,TX,6.0,24300.0,07/05/2012,,
78617,TX,6.0,24300.0,08/23/2012,,
78753,TX,4.0,15000.0,07/05/2012,,
78745,TX,5.75,23363.0,10/19/2012,,
78732,TX,6.0,23147.08,07/12/2012,,
78748,TX,6.0,27000.0,07/26/2012,,
78732,TX,6.0,23334.75,09/06/2012,,
78738,TX,6.25,25278.5,07/12/2012,,
78732,TX,6.0,23334.75,06/20/2012,,
78732,TX,4.75,18525.0,10/17/2012,,
78732,TX,6.24,24571.81,07/19/2012,,
78723,TX,6.24,25045.4,07/19/2012,,
78745,TX,4.75,16625.0,08/23/2012,,
78732,TX,9.25,20313.0,06/20/2012,,
78735,TX,5.76,20870.29,08/23/2012,,
78754,TX,6.25,23437.0,05/17/2012,,
78732,TX,5.75,18687.93,12/13/2012,,
78738,TX,11.0,39461.68,07/26/2012,,
78746,TX,4.0,14400.0,08/23/2012,,
78733,TX,6.0,24600.0,09/27/2012,,
78730,TX,6.24,23000.0,07/12/2012,,
78746,TX,6.588,29812.62,09/13/2012,,
78735,TX,6.25,23563.0,06/07/2012,,
78745,TX,6.24,25081.23,07/12/2012,,
