Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TX
75090,TX,4.32,24366.98,03/27/2009,,
75021,TX,2.1,16792.0,03/27/2009,,
75214,TX,3.5,3652.0,04/15/2009,,
76035,TX,6.525,48820.0,04/24/2009,,
76180,TX,5.76,41000.0,06/01/2009,,
76645,TX,10.08,71580.0,06/09/2009,,
75633,TX,32.0,288678.57,06/15/2009,,
75092,TX,4.5,35590.0,06/20/2009,,
75125,TX,10.08,66800.0,07/04/2009,,
75098,TX,4.5,31860.0,07/14/2009,,
75093,TX,1.125,8195.0,07/15/2009,,
75125,TX,4.05,27720.0,08/10/2009,,
75247,TX,101.64,,08/11/2009,,
76020,TX,6.3,47725.0,08/21/2009,,
75007,TX,5.85,38420.0,09/01/2009,,
75075,TX,2.25,16675.0,09/23/2009,,
75074,TX,10.8,,10/15/2009,,
75275,TX,15.3,,11/18/2009,,
76043,TX,8.28,54324.0,12/02/2009,,
76247,TX,8.28,47840.0,12/04/2009,,
75154,TX,10.12,58447.61,12/11/2009,,
75173,TX,8.05,45100.0,12/11/2009,,
75904,TX,5.85,35275.0,12/15/2009,,
75023,TX,4.56,34800.0,12/22/2009,,
79707,TX,5.98,35500.0,12/23/2009,,
79707,TX,5.46,34500.0,12/23/2009,,
76033,TX,2.76,,01/01/2010,,
79601,TX,10.08,,04/05/2010,,
75093,TX,12.15,,04/19/2010,,
75075,TX,5.52,34320.0,04/23/2010,,
75214,TX,7.36,41584.0,05/14/2010,,
75138,TX,88.2,,08/20/2010,,
75138,TX,53.55,,08/20/2010,,
75138,TX,44.1,,08/20/2010,,
75093,TX,3.68,20200.0,09/10/2010,,
75050,TX,10.8,,09/20/2010,,
75013,TX,101.66,,09/23/2010,,
75050,TX,50.4,,09/24/2010,,
75230,TX,11.25,58335.0,09/24/2010,,
75087,TX,3.99,23540.0,09/30/2010,,
75050,TX,100.8,,10/29/2010,,
76109,TX,6.44,39975.0,11/01/2010,,
76084,TX,10.125,53302.95,12/07/2010,,
76087,TX,5.22,38200.0,12/22/2010,,
75189,TX,2.82,16900.0,12/22/2010,,
75455,TX,80.5,,12/28/2010,,
75770,TX,5.64,36050.0,01/17/2011,,
76063,TX,5.94,30600.0,02/14/2011,,
75021,TX,6.84,,03/18/2011,,
78701,TX,105.28,,04/30/2011,,
78701,TX,28.2,,04/30/2011,,
76102,TX,9.87,,04/30/2011,,
76115,TX,552.72,,05/01/2011,,
78741,TX,170.448,,07/25/2011,,
76102,TX,98.7,,07/31/2011,,
76248,TX,10.12,,08/10/2011,,
77429,TX,1.11,,08/15/2011,,
75069,TX,52.17,,08/19/2011,,
75491,TX,5.64,33276.0,08/26/2011,,
76426,TX,170.016,,09/27/2011,,
75082,TX,5.85,40535.63,10/03/2011,,
75211,TX,3.525,19387.5,10/07/2011,,
76365,TX,10.34,52925.0,10/11/2011,,
75662,TX,11.115,59089.0,10/12/2011,,
75013,TX,4.08,21431.0,10/21/2011,,
75052,TX,73.92,,10/26/2011,,
75243,TX,5.17,,10/26/2011,,
75002,TX,5.28,27675.0,10/28/2011,,
75229,TX,3.29,18095.0,11/08/2011,,
75007,TX,2.53,13770.0,11/09/2011,,
79602,TX,10.12,,11/18/2011,,
75214,TX,7.2,37675.0,11/22/2011,,
75235,TX,31.395,,12/02/2011,,
77404,TX,26.52,,12/14/2011,,
75491,TX,3.84,26110.0,12/16/2011,,
76087,TX,2.76,15800.0,12/16/2011,,
75081,TX,22.75,,12/19/2011,,
76084,TX,5.875,30400.0,02/03/2012,,
75006,TX,30.55,,03/01/2012,,
75006,TX,30.55,,03/01/2012,,
76248,TX,8.97,,03/02/2012,,
76207,TX,5.64,,03/12/2012,,
75211,TX,1.645,9050.0,04/11/2012,,
78154,TX,46.08,,04/25/2012,,
75243,TX,8.46,,06/04/2012,,
76665,TX,1.44,,06/13/2012,,
75024,TX,5.145,36315.0,07/25/2012,,
75458,TX,1.96,10362.0,09/24/2012,,
76108,TX,47.04,,09/25/2012,,
75202,TX,42.84,,11/01/2012,,
79601,TX,11.76,,12/06/2012,,
75074,TX,8.0,,05/03/2013,,
75209,TX,11.76,,05/24/2013,,
75006,TX,16.17,,06/14/2013,,
75062,TX,14.0,,08/05/2013,,
75080,TX,226.92,,08/06/2013,,
75041,TX,3.12,,08/28/2013,,
75050,TX,14.0,,09/23/2013,,
75093,TX,1.5,,10/31/2013,,
75025,TX,440.16,,11/06/2013,,
76051,TX,275.52,,11/06/2013,,
75234,TX,258.72,,11/06/2013,,
75082,TX,264.11,,11/12/2013,,
79916,TX,8.64,,11/15/2013,,
75235,TX,5.0,,11/15/2013,,
79754,TX,119.0,,01/15/2014,,
79754,TX,59.5,,01/15/2014,,
78231,TX,23.04,,01/15/2014,,
77032,TX,81.855,,02/15/2014,,
75078,TX,10.0,34986.0,03/24/2014,,
78258,TX,4.16,16557.0,05/08/2013,,
77055,TX,5.0,7500.0,10/19/2011,,
76244,TX,5.0,18211.41,02/19/2013,,
75305,TX,3.5,15822.39,12/17/2012,,
75254,TX,9.75,29250.0,04/04/2013,,
75087,TX,3.0,14335.66,05/03/2013,,
75048,TX,5.1,19354.51,06/26/2013,,
75125,TX,9.8,35809.22,09/06/2013,,
75053,TX,5.5,22605.15,02/28/2013,,
75075,TX,3.75,17180.58,08/13/2013,,
76543,TX,4.5,18621.12,03/08/2013,,
75228,TX,8.25,29987.06,02/27/2013,,
75023,TX,4.5,18659.87,05/14/2013,,
75135,TX,9.75,36664.44,05/09/2013,,
76244,TX,5.0,18745.13,02/01/2013,,
75126,TX,5.232,25575.26,08/27/2013,,
75048,TX,7.5,26635.16,05/09/2013,,
75074,TX,5.5,20982.5,03/10/2014,,
75074,TX,10.0,34225.92,03/10/2014,,
75075,TX,2.5,7766.5,03/03/2014,,
75093,TX,4.5,14288.4,03/03/2014,,
75093,TX,5.5,17463.6,03/03/2014,,
75093,TX,3.25,10096.45,02/24/2014,,
75075,TX,2.5,7766.5,02/24/2014,,
75075,TX,4.0,12426.4,02/24/2014,,
75074,TX,8.0,24852.8,02/17/2014,,
75074,TX,6.0,18639.6,02/17/2014,,
75075,TX,4.5,14288.4,02/10/2014,,
75075,TX,8.75,27182.75,02/10/2014,,
75023,TX,4.75,13918.45,02/03/2014,,
75023,TX,4.5,13979.7,02/03/2014,,
75035,TX,5.0,18975.0,02/03/2014,,
75075,TX,4.0,12426.4,01/27/2014,,
75075,TX,5.0,15533.0,01/27/2014,,
75230,TX,7.25,26565.6,01/27/2014,,
75023,TX,7.0,21746.2,01/20/2014,,
75023,TX,5.5,17463.6,01/20/2014,,
75034,TX,7.0,23000.0,01/20/2014,,
75024,TX,5.0,15876.0,01/13/2014,,
75025,TX,7.5,23814.0,01/13/2014,,
75025,TX,9.0,27959.4,01/06/2014,,
75025,TX,3.0,9525.6,01/06/2014,,
75069,TX,3.33,8844.0,12/07/2012,,
75220,TX,15.84,31600.0,12/07/2011,,
75220,TX,30.36,133407.62,09/09/2010,,
75022,TX,11.04,17500.0,08/01/2012,,
75022,TX,10.12,28000.0,10/04/2011,,
78221,TX,41000.0,,12/18/2013,,
76691,TX,2.4,6000.0,11/28/2012,,
76691,TX,2.4,6000.0,11/28/2012,,
75054,TX,3.4,13600.0,08/01/2012,,
78259,TX,9.43,56051.54,12/28/2012,,
78254,TX,6.96,23316.0,12/28/2012,,
78254,TX,8.16,27657.44,12/28/2012,,
78251,TX,7.28,25928.82,12/28/2012,,
78259,TX,1.44,10500.0,12/28/2012,,
78261,TX,1.44,10500.0,12/28/2012,,
78261,TX,1.44,10500.0,12/28/2012,,
78259,TX,13.2,37285.78,12/28/2012,,
78260,TX,7.14,28560.0,12/26/2012,,
78244,TX,1.48,6669.0,12/26/2012,,
78223,TX,1.92,8688.01,12/26/2012,,
78260,TX,7.52,36472.0,12/26/2012,,
78258,TX,7.5,35227.0,12/26/2012,,
78258,TX,7.75,36720.0,12/26/2012,,
78258,TX,5.8,22040.0,12/21/2012,,
78233,TX,13.92,37000.0,12/17/2012,,
78251,TX,28.91,119955.0,12/17/2012,,
78254,TX,28.91,119955.0,12/17/2012,,
78212,TX,35.64,153195.86,12/17/2012,,
78258,TX,20.88,61596.0,12/17/2012,,
