Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AK
99712,AK,2.5,8000,03/05/2014,,
99701,AK,12.0,,03/12/2014,,
99645,AK,3.84,8000.0,01/01/2013,,
99645,AK,5.17,,06/05/2012,,
99654,AK,2.88,,08/15/2011,,
99709,AK,15.0,,06/25/2007,,
99712,AK,6.0,,07/23/2012,,
99712,AK,5.52,,07/31/2012,,
99709,AK,4.7,,07/18/2012,,
99712,AK,4.14,,07/04/2012,,
99709,AK,4.32,,09/14/2012,,
99676,AK,4.0,20000.0,04/15/2012,,
99701,AK,2.8,,03/15/2011,,
99701,AK,3.5,,12/10/2008,,
99645,AK,4.32,,05/13/2011,,
99712,AK,3.5,,06/04/2007,,
99737,AK,1.65,22000.0,09/18/2009,,
99676,AK,6.0,,03/06/2011,,
99501,AK,17.28,110000.0,05/25/2011,,
99730,AK,4.3,31307.11,06/23/2010,,
99709,AK,5.76,,08/02/2010,,
99701,AK,5.0,40000.0,10/11/2010,,
