Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IA
52353,IA,4.8,,07/16/2013,,
52353,IA,16.2,,07/16/2013,,
52353,IA,3.5,,05/03/2013,,
52353,IA,17.8,,06/02/2013,,
50468,IA,8.4,,08/07/2013,,
52356,IA,13.5,,06/01/2013,,
52353,IA,12.0,,06/11/2013,,
50220,IA,5.0,,06/01/2013,,
50112,IA,10.8,,05/01/2013,,
50002,IA,26.0,,09/01/2013,,
50046,IA,4.8,,04/01/2013,,
52317,IA,4.2,,04/18/2013,,
52531,IA,8.1,,04/01/2013,,
50216,IA,3.6,,04/10/2013,,
52353,IA,12.0,,03/01/2013,,
52353,IA,15.0,,03/01/2013,,
52353,IA,15.0,,03/01/2013,,
52353,IA,33.0,,03/01/2013,,
50401,IA,20.0,,05/24/2013,,
50548,IA,11.0,,10/20/2012,,
50548,IA,11.0,40000.0,10/17/2012,,
52314,IA,30.0,116900.0,01/17/2014,,
52205,IA,12.0,43154.0,12/01/2013,,
52310,IA,15.0,52262.0,12/01/2013,,
52402,IA,7.0,26600.0,11/27/2013,,
52240,IA,12.0,41600.0,10/25/2013,,
52302,IA,12.0,41000.0,10/15/2013,,
52404,IA,3.0,12000.0,09/27/2013,,
52404,IA,4.0,17000.0,09/27/2013,,
52333,IA,5.5,19000.0,09/23/2013,,
52172,IA,1.0,4000.0,07/09/2012,,
52101,IA,3.0,21000.0,06/15/2012,,
52172,IA,2.0,12000.0,09/08/2010,,
52162,IA,1.0,7000.0,01/03/2011,,
52001,IA,4.0,,03/14/2011,,
52001,IA,2.5,,06/01/2010,,
52002,IA,25.0,130000.0,12/07/2011,,
52068,IA,150.0,670000.0,12/02/2011,,
52001,IA,25.0,132500.0,11/25/2011,,
52001,IA,200.0,1020000.0,11/18/2011,,
52001,IA,10.0,65000.0,08/01/2011,,
52001,IA,25.0,132500.0,07/15/2011,,
52003,IA,7.9,44600.0,05/16/2011,,
50319,IA,45.54,274000.0,06/30/2011,,
50158,IA,15.8,,10/27/2008,,
50614,IA,206.4,2522625.0,08/18/2010,,
52101,IA,22.44,,05/12/2013,,
52205,IA,2.2,32000,08/23/2007,,
52209,IA,6,25000,12/31/2012,,
52101,IA,281.25,1200000.0,10/21/2012,,
52404,IA,2.11,16000.0,08/08/2012,,
52404,IA,6.5,28000,08/09/2012,,
52404,IA,4.8,18000.0,04/16/2012,,
52205,IA,6.5,20000,02/18/2012,,
52247,IA,1.8,10475.0,05/27/2010,,
50043,IA,5.6,64800,06/29/2009,,
