Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
86351,AZ,10.0,49528.75,12/14/2006,,
86305,AZ,191.1,,12/08/2006,,
85139,AZ,6.8,53534.48,12/06/2006,,
85122,AZ,3.507,23429.49,09/20/2006,,
85123,AZ,4.992,35604.0,08/23/2006,,
85937,AZ,1.32,28442.13,06/22/2006,,
85365,AZ,7.2,57679.0,05/04/2006,,
85122,AZ,4.0,30701.97,05/01/2006,,
85367,AZ,3.006,24589.0,04/03/2006,,
86305,AZ,191.1,,12/30/2005,,
86305,AZ,191.1,,12/30/2005,,
86305,AZ,191.1,,09/14/2005,,
85364,AZ,82.1,,09/03/2005,,
85367,AZ,3.24,,07/12/2005,,
85367,AZ,1.336,10019.74,06/08/2005,,
86305,AZ,189.0,,06/08/2005,,
85364,AZ,5.01,30243.25,04/22/2005,,
86305,AZ,172.8,,04/08/2005,,
85365,AZ,5.01,27922.52,02/09/2005,,
85123,AZ,3.15,25200.0,01/28/2005,,
86305,AZ,172.8,,10/04/2004,,
86305,AZ,175.8,,10/04/2004,,
85541,AZ,5.92,50551.95,07/02/2004,,
85331,AZ,0.6,,02/07/2004,,
86305,AZ,57.6,,02/04/2004,,
86305,AZ,117.6,,06/30/2003,,
86305,AZ,151.2,,06/30/2003,,
86305,AZ,151.2,,06/30/2003,,
86305,AZ,151.2,,06/30/2003,,
85007,AZ,126.0,,06/01/2003,,
86305,AZ,151.2,,05/07/2003,,
86305,AZ,151.2,,05/07/2003,,
86305,AZ,151.2,,05/07/2003,,
86305,AZ,151.2,,05/07/2003,,
85003,AZ,7.9,,04/07/2003,,
85122,AZ,2.22,13337.0,03/10/2003,,
86305,AZ,151.2,,02/03/2003,,
86305,AZ,121.0,,02/03/2003,,
86305,AZ,151.2,,12/01/2002,,
86305,AZ,128.5,,12/01/2002,,
85122,AZ,1.248,8865.14,04/09/2002,,
85255,AZ,144.0,,04/01/2002,,
85255,AZ,158.5,,04/01/2002,,
85364,AZ,121.0,,01/01/2002,,
86301,AZ,228.5,,04/01/2001,,
85281,AZ,41.0,,04/01/2001,,
85233,AZ,144.0,,02/01/2001,,
85281,AZ,110.3,,10/01/1999,,
85307,AZ,89.6,,10/01/1999,,
85281,AZ,24.7,,06/01/1999,,
85281,AZ,110.3,,04/01/1998,,
86046,AZ,1.5,14800.0,06/01/2008,,
85118,AZ,4.94,14700.0,06/10/2013,,
85739,AZ,7.92,39402.0,08/22/2012,,
85739,AZ,9.36,39402.0,11/08/2012,,
85739,AZ,7.92,39402.0,09/12/2012,,
85653,AZ,6.37,26308.1,09/10/2012,,
85614,AZ,6.72,33432.0,09/10/2012,,
85653,AZ,2.695,10505.25,09/05/2012,,
85711,AZ,2.616,16323.0,09/17/2012,,
85653,AZ,5.88,23520.0,10/30/2012,,
85653,AZ,5.88,23814.0,09/18/2012,,
85742,AZ,10.08,37300.0,11/12/2012,,
85658,AZ,6.86,28674.8,11/30/2012,,
85641,AZ,11.04,44160.0,11/08/2012,,
85742,AZ,9.156,42888.0,11/06/2012,,
85614,AZ,5.94,29551.0,11/06/2012,,
85743,AZ,4.578,22300.0,11/07/2012,,
85739,AZ,6.867,34657.0,11/26/2012,,
85743,AZ,9.156,41388.0,11/06/2012,,
85743,AZ,7.848,43949.0,11/05/2012,,
85658,AZ,5.75,21314.0,10/23/2012,,
85653,AZ,4.9,20335.0,10/15/2012,,
85739,AZ,7.848,33750.0,10/24/2012,,
85653,AZ,3.92,16072.0,10/08/2012,,
85653,AZ,5.886,27370.0,12/06/2012,,
85739,AZ,3.84,9950.0,10/26/2012,,
85653,AZ,10.56,52536.0,10/18/2012,,
85738,AZ,2.88,14328.0,11/16/2012,,
85614,AZ,5.64,19522.0,10/30/2012,,
85738,AZ,5.28,26268.0,11/09/2012,,
85739,AZ,4.32,21492.0,11/15/2012,,
85735,AZ,8.829,49442.0,10/23/2012,,
85653,AZ,5.88,23540.0,12/03/2012,,
85641,AZ,9.81,47579.0,10/30/2012,,
85739,AZ,6.24,31044.0,11/19/2012,,
85629,AZ,6.72,43680.0,11/08/2012,,
85658,AZ,6.37,23569.0,12/21/2012,,
85739,AZ,8.64,42984.0,12/14/2012,,
85641,AZ,7.92,39402.0,11/26/2012,,
85743,AZ,2.88,14160.83,12/03/2012,,
85375,AZ,2.004,16323.73226,06/27/2005,,
85298,AZ,15,65677.0744,05/08/2014,,
85748,AZ,11.28,65063.57873,08/19/2010,,
85653,AZ,5.88,24284.4,08/27/2012,,
85735,AZ,5.886,28273.0,10/09/2012,,
85746,AZ,9.36,46566.0,11/26/2012,,
85629,AZ,4.578,21359.0,08/24/2012,,
85641,AZ,3.6,17910.0,08/27/2012,,
85742,AZ,6.72,33432.0,08/15/2012,,
85739,AZ,10.791,55154.0,08/21/2012,,
85658,AZ,9.81,44000.0,09/26/2012,,
85746,AZ,11.025,55125.0,07/25/2012,,
85641,AZ,5.232,26160.0,07/25/2012,,
85623,AZ,6.867,34453.0,07/25/2012,,
85742,AZ,10.29,50421.0,07/25/2012,,
85736,AZ,9.36,46566.0,10/11/2012,,
85658,AZ,11.772,47088.0,12/20/2012,,
85614,AZ,5.232,24856.0,09/06/2012,,
85614,AZ,6.24,31044.0,07/30/2012,,
85641,AZ,6.72,33432.0,07/26/2012,,
85739,AZ,3.12,18950.0,08/07/2012,,
85658,AZ,9.156,45746.0,10/04/2012,,
85658,AZ,7.848,38847.6,12/20/2012,,
85742,AZ,13.734,59600.0,09/06/2012,,
85641,AZ,10.464,45000.0,08/07/2012,,
85658,AZ,5.232,25636.0,10/08/2012,,
85653,AZ,6.72,25200.0,07/09/2012,,
85746,AZ,5.232,24852.0,08/07/2012,,
85739,AZ,5.886,29135.0,10/24/2012,,
85653,AZ,9.555,39653.0,10/08/2012,,
85641,AZ,4.578,20963.0,08/16/2012,,
85653,AZ,3.185,13154.05,10/15/2012,,
85658,AZ,9.156,46238.0,10/29/2012,,
85653,AZ,5.39,22099.0,07/09/2012,,
85746,AZ,11.772,58271.0,11/07/2012,,
85739,AZ,9.0,30132.75,07/19/2012,,
85658,AZ,4.9,20237.0,06/14/2012,,
85623,AZ,8.325,41650.0,06/05/2012,,
85739,AZ,5.76,22464.0,06/20/2012,,
85742,AZ,8.16,70000.0,03/30/2012,,
85629,AZ,4.08,28464.73,08/08/2012,,
85739,AZ,8.085,29841.88,03/19/2012,,
85746,AZ,2.16,15200.0,10/19/2012,,
85622,AZ,3.22,13545.0,03/07/2012,,
85757,AZ,3.12,14040.0,02/17/2012,,
85653,AZ,6.24,25896.0,01/03/2012,,
85739,AZ,7.92,25000.0,02/10/2012,,
85739,AZ,6.86,29195.7,01/03/2012,,
85653,AZ,9.555,35457.47,01/03/2012,,
85739,AZ,5.76,29298.0,02/02/2012,,
85658,AZ,9.87,51820.0,05/02/2012,,
85622,AZ,10.08,37506.0,11/15/2012,,
85736,AZ,21.62,88600.0,09/25/2012,,
85635,AZ,6.63,,12/26/2012,,
85650,AZ,11.04,,12/21/2012,,
85643,AZ,9.0,,12/05/2012,,
85624,AZ,4.16,,12/05/2012,,
85615,AZ,4.0,,12/12/2012,,
85643,AZ,3.2,,12/05/2012,,
85635,AZ,7.0,,12/19/2012,,
85602,AZ,4.32,,09/20/2012,,
85615,AZ,4.0,,10/17/2012,,
85650,AZ,2.5,,12/12/2012,,
85650,AZ,6.63,,10/31/2012,,
85635,AZ,7.285,,09/26/2012,,
85650,AZ,6.0,32400.0,10/03/2012,,
85615,AZ,6.25,36960.0,09/12/2012,,
85041,AZ,15.3,67122.37777,10/21/2014,,
85635,AZ,3.0,21309.11,10/31/2012,,
85635,AZ,10.0,18456.62,09/12/2012,,
85635,AZ,5.0,16170.0,08/15/2012,,
85625,AZ,5.0,36277.8,12/05/2012,,
85635,AZ,5.94,12199.8,11/07/2012,,
85624,AZ,3.06,15535.0,09/05/2012,,
85650,AZ,5.76,35700.0,07/25/2012,,
85625,AZ,4.08,23391.09,08/24/2012,,
85650,AZ,8.0,21057.0,12/13/2012,,
85650,AZ,4.7,35746.0,10/31/2012,,
85650,AZ,9.0,10900.0,05/09/2012,,
85638,AZ,1.41,1499.82,09/20/2012,,
85615,AZ,8.93,30438.0,08/29/2012,,
85625,AZ,2.0,8030.7,04/13/2012,,
85615,AZ,3.44,25278.0,12/05/2012,,
85650,AZ,4.08,7337.0,08/08/2012,,
