Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=AZ
85375,AZ,4.32,21492.0,12/12/2012,,
86305,AZ,4.32,21492.0,12/12/2012,,
85308,AZ,10.56,52536.0,12/12/2012,,
85308,AZ,9.6,47760.0,12/12/2012,,
85375,AZ,6.48,32238.0,12/12/2012,,
85375,AZ,6.24,31044.0,12/12/2012,,
85254,AZ,5.76,28656.0,12/12/2012,,
85338,AZ,3.36,16716.0,12/12/2012,,
85388,AZ,12.22,67807.0,12/12/2012,,
85379,AZ,4.32,28080.0,12/12/2012,,
85379,AZ,5.232,36600.0,12/12/2012,,
85374,AZ,4.32,34219.0,12/12/2012,,
86335,AZ,120.96,,12/12/2012,,
86335,AZ,47.52,,12/12/2012,,
86335,AZ,47.52,,12/12/2012,,
85086,AZ,7.848,45000.0,12/11/2012,,
85085,AZ,10.464,50750.0,12/11/2012,,
85086,AZ,6.867,33000.0,12/11/2012,,
85087,AZ,8.25,31869.75,12/11/2012,,
85308,AZ,8.829,47682.0,12/11/2012,,
85301,AZ,9.156,44991.0,12/11/2012,,
85383,AZ,4.16,9591.0,12/11/2012,,
85085,AZ,11.27,37826.45,12/11/2012,,
85281,AZ,5.61,19303.45,12/11/2012,,
85086,AZ,11.772,50149.0,12/11/2012,,
86326,AZ,9.156,40702.0,12/11/2012,,
85388,AZ,13.08,60168.0,12/11/2012,,
85086,AZ,9.156,43948.0,12/11/2012,,
85086,AZ,13.08,62784.0,12/11/2012,,
85086,AZ,5.232,25375.0,12/11/2012,,
85304,AZ,7.92,38412.0,12/11/2012,,
85086,AZ,13.08,63484.0,12/11/2012,,
85331,AZ,3.84,19104.0,12/11/2012,,
85541,AZ,6.72,33432.0,12/11/2012,,
85266,AZ,13.44,66864.0,12/11/2012,,
86325,AZ,4.56,22686.0,12/11/2012,,
85382,AZ,5.76,28656.0,12/11/2012,,
86326,AZ,3.36,16716.0,12/11/2012,,
85086,AZ,10.464,52255.5,12/11/2012,,
85379,AZ,6.24,31044.0,12/10/2012,,
85395,AZ,4.18,11280.0,12/10/2012,,
85326,AZ,6.86,20189.0,12/10/2012,,
85338,AZ,3.8,11280.0,12/10/2012,,
85338,AZ,3.8,11280.0,12/10/2012,,
85395,AZ,3.8,11280.0,12/10/2012,,
85338,AZ,3.8,11280.0,12/10/2012,,
85338,AZ,6.3,21105.0,12/10/2012,,
85395,AZ,5.04,17320.2,12/10/2012,,
85365,AZ,13.44,48100.0,12/10/2012,,
85365,AZ,13.44,49500.0,12/10/2012,,
85032,AZ,437.57,1655199.0,12/10/2012,,
85032,AZ,1131.76,4413864.0,12/10/2012,,
85364,AZ,17.658,87407.0,12/10/2012,,
85128,AZ,8.64,42984.0,12/10/2012,,
85326,AZ,5.76,28656.0,12/10/2012,,
85396,AZ,8.64,42984.0,12/10/2012,,
85338,AZ,14.4,71640.0,12/10/2012,,
85024,AZ,8.64,42984.0,12/10/2012,,
85901,AZ,5.28,26268.0,12/10/2012,,
85255,AZ,7.695,38412.0,12/10/2012,,
85338,AZ,9.156,46695.61,12/10/2012,,
85015,AZ,5.232,27500.0,12/10/2012,,
85396,AZ,6.24,38532.0,12/10/2012,,
85638,AZ,300.96,,12/10/2012,,
85638,AZ,133.38,,12/10/2012,,
85396,AZ,1.84,7920.0,12/08/2012,,
85355,AZ,9.24,46566.0,12/07/2012,,
85338,AZ,5.4,16470.0,12/07/2012,,
85541,AZ,9.0,30587.09,12/07/2012,,
86314,AZ,3.185,10829.0,12/07/2012,,
85122,AZ,13.44,46636.8,12/07/2012,,
86326,AZ,2.695,9440.0,12/07/2012,,
86314,AZ,5.39,20212.5,12/07/2012,,
85254,AZ,4.9,18620.0,12/07/2012,,
85122,AZ,160.74,636000.0,12/07/2012,,
85122,AZ,984.48,3896000.0,12/07/2012,,
85122,AZ,710.64,2840000.0,12/07/2012,,
85122,AZ,803.04,3212000.0,12/07/2012,,
85122,AZ,1243.2,5000000.0,12/07/2012,,
85122,AZ,410.4,1672000.0,12/07/2012,,
85260,AZ,8.085,37240.0,12/07/2012,,
85379,AZ,15.84,77610.0,12/07/2012,,
86314,AZ,6.0,29850.0,12/07/2012,,
85254,AZ,13.44,66864.0,12/07/2012,,
85027,AZ,8.64,42984.0,12/07/2012,,
85086,AZ,4.32,21492.0,12/07/2012,,
86314,AZ,5.76,28656.0,12/07/2012,,
85022,AZ,5.52,27462.0,12/07/2012,,
85027,AZ,11.52,57312.0,12/07/2012,,
86322,AZ,8.97,44625.75,12/07/2012,,
86301,AZ,4.32,21492.0,12/07/2012,,
85024,AZ,10.56,52536.0,12/07/2012,,
85020,AZ,9.36,46566.0,12/07/2012,,
85308,AZ,5.76,28656.0,12/07/2012,,
85310,AZ,6.72,33432.0,12/07/2012,,
86303,AZ,2.64,13134.0,12/07/2012,,
86303,AZ,11.76,58506.0,12/07/2012,,
86327,AZ,3.43,18865.0,12/07/2012,,
85260,AZ,10.78,64248.8,12/07/2012,,
85501,AZ,274.4,,12/07/2012,,
85501,AZ,699.86,,12/07/2012,,
85379,AZ,7.92,39402.0,12/06/2012,,
85379,AZ,4.8,23880.0,12/06/2012,,
85395,AZ,6.48,31044.0,12/06/2012,,
85338,AZ,12.48,62088.0,12/06/2012,,
85326,AZ,7.92,39402.0,12/06/2012,,
85361,AZ,7.92,42984.0,12/06/2012,,
85361,AZ,3.27,16500.0,12/06/2012,,
85379,AZ,10.56,32152.0,12/06/2012,,
85326,AZ,8.085,25468.0,12/06/2012,,
85338,AZ,8.085,26276.0,12/06/2012,,
85083,AZ,6.86,23113.0,12/06/2012,,
85388,AZ,6.37,23569.0,12/06/2012,,
85603,AZ,3.76,14217.0,12/06/2012,,
85028,AZ,211.5,824850.0,12/06/2012,,
85254,AZ,210.09,819351.0,12/06/2012,,
85374,AZ,12.04,48384.0,12/06/2012,,
85338,AZ,6.3,27405.0,12/06/2012,,
85388,AZ,10.464,48134.0,12/06/2012,,
85374,AZ,10.791,49639.0,12/06/2012,,
85374,AZ,5.886,27076.0,12/06/2012,,
85379,AZ,5.886,28841.0,12/06/2012,,
85374,AZ,9.81,48560.0,12/06/2012,,
86326,AZ,6.24,31044.0,12/06/2012,,
85374,AZ,7.92,39402.0,12/06/2012,,
85395,AZ,8.64,42984.0,12/06/2012,,
85388,AZ,7.92,39402.0,12/06/2012,,
85374,AZ,5.76,28656.0,12/06/2012,,
85395,AZ,10.08,50148.0,12/06/2012,,
85395,AZ,10.56,52536.0,12/06/2012,,
85379,AZ,9.36,46566.0,12/06/2012,,
85379,AZ,13.44,66864.0,12/06/2012,,
86326,AZ,4.08,20298.0,12/06/2012,,
85340,AZ,11.52,57312.0,12/06/2012,,
85387,AZ,7.44,37014.0,12/06/2012,,
85395,AZ,7.92,39402.0,12/06/2012,,
85388,AZ,7.92,39402.0,12/06/2012,,
85388,AZ,3.36,16716.0,12/06/2012,,
85338,AZ,3.12,15522.0,12/06/2012,,
85374,AZ,9.81,49059.0,12/06/2012,,
86327,AZ,9.156,46300.0,12/06/2012,,
85023,AZ,9.81,50541.0,12/06/2012,,
86326,AZ,3.43,18865.0,12/06/2012,,
86001,AZ,4.655,27743.8,12/06/2012,,
85338,AZ,4.32,27495.0,12/06/2012,,
85603,AZ,116.62,,12/06/2012,,
85603,AZ,157.78,,12/06/2012,,
85603,AZ,411.6,,12/06/2012,,
85023,AZ,13.44,45696.0,12/05/2012,,
85023,AZ,6.867,34335.0,12/05/2012,,
85024,AZ,11.445,57797.5,12/05/2012,,
85375,AZ,10.08,47760.0,12/05/2012,,
85383,AZ,7.92,39402.0,12/05/2012,,
85383,AZ,13.68,68058.0,12/05/2012,,
85308,AZ,7.02,34924.5,12/05/2012,,
85367,AZ,3.0,8471.48,12/05/2012,,
85367,AZ,3.0,8471.48,12/05/2012,,
85367,AZ,3.0,8471.48,12/05/2012,,
85367,AZ,2.94,8471.48,12/05/2012,,
85367,AZ,2.94,8471.48,12/05/2012,,
85338,AZ,3.04,9740.0,12/05/2012,,
85338,AZ,3.04,9740.0,12/05/2012,,
86327,AZ,3.92,14112.0,12/05/2012,,
85387,AZ,15.696,69000.0,12/05/2012,,
85296,AZ,7.848,34767.0,12/05/2012,,
85006,AZ,7.848,35816.64,12/05/2012,,
85023,AZ,9.156,42118.0,12/05/2012,,
85396,AZ,1.84,8510.0,12/05/2012,,
85396,AZ,1.84,8510.0,12/05/2012,,
85396,AZ,1.84,8510.0,12/05/2012,,
85396,AZ,2.76,12954.0,12/05/2012,,
85396,AZ,2.76,12954.0,12/05/2012,,
85396,AZ,2.76,12954.0,12/05/2012,,
85338,AZ,14.3,68058.0,12/05/2012,,
85375,AZ,7.2,34626.0,12/05/2012,,
85374,AZ,9.156,45322.0,12/05/2012,,
85086,AZ,7.848,38848.0,12/05/2012,,
85086,AZ,13.44,66864.0,12/05/2012,,
85086,AZ,7.92,39402.0,12/05/2012,,
85365,AZ,5.76,28656.0,12/05/2012,,
86301,AZ,3.6,17910.0,12/05/2012,,
85087,AZ,7.92,39402.0,12/05/2012,,
85086,AZ,11.76,58506.0,12/05/2012,,
85364,AZ,8.64,42984.0,12/05/2012,,
85383,AZ,7.92,39402.0,12/05/2012,,
85086,AZ,9.36,46566.0,12/05/2012,,
86004,AZ,4.8,23880.0,12/05/2012,,
85132,AZ,9.6,47760.0,12/05/2012,,
85086,AZ,10.56,52536.0,12/05/2012,,
85375,AZ,8.64,42984.0,12/05/2012,,
86323,AZ,7.92,39402.0,12/05/2012,,
85383,AZ,7.26,36118.5,12/05/2012,,
85383,AZ,7.26,36118.5,12/05/2012,,
85383,AZ,5.72,28457.0,12/05/2012,,
85383,AZ,7.92,39402.0,12/05/2012,,
85383,AZ,6.96,36432.0,12/05/2012,,
85020,AZ,6.72,47559.0,12/05/2012,,
85374,AZ,6.867,34421.0,12/04/2012,,
85355,AZ,7.2,24480.0,12/04/2012,,
85355,AZ,5.39,31146.0,12/04/2012,,
85304,AZ,6.72,33432.0,12/04/2012,,
85308,AZ,9.36,46566.0,12/04/2012,,
85351,AZ,4.32,21492.0,12/04/2012,,
85388,AZ,9.156,42118.0,12/04/2012,,
85374,AZ,6.86,19930.0,12/04/2012,,
85028,AZ,4.86,17518.0,12/04/2012,,
85374,AZ,10.791,49393.0,12/04/2012,,
85374,AZ,9.81,45126.0,12/04/2012,,
85374,AZ,7.848,36101.0,12/04/2012,,
85023,AZ,4.8,23280.0,12/04/2012,,
85024,AZ,5.76,27936.0,12/04/2012,,
85304,AZ,6.24,30264.0,12/04/2012,,
85032,AZ,4.32,21492.0,12/04/2012,,
85379,AZ,7.92,39402.0,12/04/2012,,
85379,AZ,7.92,39402.0,12/04/2012,,
85254,AZ,10.56,52536.0,12/04/2012,,
85028,AZ,8.085,48186.6,12/04/2012,,
85351,AZ,6.44,51391.2,12/04/2012,,
85051,AZ,8.64,42984.0,12/03/2012,,
85308,AZ,6.72,33432.0,12/03/2012,,
85027,AZ,4.32,21492.0,12/03/2012,,
85338,AZ,3.8,11280.0,12/03/2012,,
85338,AZ,9.4,29926.0,12/03/2012,,
85395,AZ,8.36,27468.0,12/03/2012,,
85395,AZ,5.13,17699.0,12/03/2012,,
85029,AZ,10.464,50717.0,12/03/2012,,
86314,AZ,30.084,147000.0,12/03/2012,,
85087,AZ,5.76,28656.0,12/03/2012,,
85024,AZ,6.72,33432.0,12/03/2012,,
85085,AZ,9.36,46566.0,12/03/2012,,
85023,AZ,4.8,23880.0,12/03/2012,,
85083,AZ,7.92,39402.0,12/03/2012,,
85326,AZ,7.2,35820.0,12/03/2012,,
85023,AZ,9.36,46566.0,12/03/2012,,
85022,AZ,6.72,33432.0,12/03/2012,,
85032,AZ,6.72,33432.0,12/03/2012,,
85007,AZ,6.72,33432.0,12/03/2012,,
85020,AZ,413.25,3770849.0,12/03/2012,,
85375,AZ,7.92,39402.0,11/30/2012,,
85375,AZ,8.64,42984.0,11/30/2012,,
85374,AZ,5.145,19185.08,11/30/2012,,
85541,AZ,7.848,38377.0,11/30/2012,,
85374,AZ,10.464,52320.0,11/30/2012,,
85374,AZ,10.464,52000.0,11/30/2012,,
85379,AZ,11.772,47088.0,11/30/2012,,
85255,AZ,8.82,25565.0,11/30/2012,,
85266,AZ,3.92,14388.2,11/30/2012,,
85374,AZ,10.464,48560.0,11/30/2012,,
85032,AZ,9.81,46761.0,11/30/2012,,
85365,AZ,11.52,55092.0,11/30/2012,,
85255,AZ,10.464,50277.0,11/30/2012,,
85364,AZ,7.695,37320.0,11/30/2012,,
85351,AZ,4.578,22203.0,11/30/2012,,
85259,AZ,6.867,34000.0,11/30/2012,,
85375,AZ,12.48,62088.0,11/30/2012,,
85032,AZ,6.72,33432.0,11/30/2012,,
85331,AZ,10.8,53730.0,11/30/2012,,
85260,AZ,8.64,42984.0,11/30/2012,,
85331,AZ,9.6,47760.0,11/30/2012,,
85375,AZ,6.72,33432.0,11/30/2012,,
85375,AZ,6.72,33432.0,11/30/2012,,
85122,AZ,7.2,35820.0,11/30/2012,,
85375,AZ,11.52,57312.0,11/30/2012,,
85374,AZ,9.36,46566.0,11/30/2012,,
85351,AZ,4.32,25080.0,11/30/2012,,
85365,AZ,6.72,40727.0,11/30/2012,,
85022,AZ,10.08,79576.0,11/30/2012,,
85375,AZ,7.68,39402.0,11/29/2012,,
85379,AZ,5.28,26268.0,11/29/2012,,
85373,AZ,6.72,33432.0,11/29/2012,,
85361,AZ,8.16,40922.34,11/29/2012,,
85395,AZ,4.18,12090.0,11/29/2012,,
85395,AZ,8.085,23500.0,11/29/2012,,
85338,AZ,3.04,9740.0,11/29/2012,,
85028,AZ,10.8,37500.0,11/29/2012,,
85032,AZ,3.84,13440.0,11/29/2012,,
85340,AZ,13.26,50000.0,11/29/2012,,
85338,AZ,9.156,40470.0,11/29/2012,,
85395,AZ,9.81,45126.0,11/29/2012,,
85338,AZ,6.867,32088.0,11/29/2012,,
85361,AZ,10.464,49704.0,11/29/2012,,
85122,AZ,10.464,50227.0,11/29/2012,,
85308,AZ,9.156,43948.8,11/29/2012,,
85254,AZ,6.24,30264.0,11/29/2012,,
85351,AZ,2.4,11940.0,11/29/2012,,
85379,AZ,7.92,39402.0,11/29/2012,,
85541,AZ,2.88,14328.0,11/29/2012,,
85379,AZ,6.72,33432.0,11/29/2012,,
85355,AZ,3.84,19104.0,11/29/2012,,
85374,AZ,6.72,33432.0,11/29/2012,,
85375,AZ,12.0,59700.0,11/29/2012,,
85122,AZ,11.52,57312.0,11/29/2012,,
85379,AZ,12.0,59700.0,11/29/2012,,
85331,AZ,4.32,21492.0,11/29/2012,,
85022,AZ,9.36,46566.0,11/29/2012,,
85032,AZ,4.56,25342.1,11/29/2012,,
86322,AZ,3.055,18207.8,11/29/2012,,
85395,AZ,7.285,43418.6,11/29/2012,,
85338,AZ,5.76,34502.0,11/29/2012,,
85254,AZ,497.28,3137421.37,11/29/2012,,
85254,AZ,500.64,3158620.17,11/29/2012,,
85382,AZ,9.36,46566.0,11/28/2012,,
85383,AZ,6.24,31044.0,11/28/2012,,
85379,AZ,7.92,51480.0,11/28/2012,,
85355,AZ,10.464,49180.8,11/28/2012,,
85355,AZ,5.28,51480.0,11/28/2012,,
85225,AZ,5.28,39402.0,11/28/2012,,
85255,AZ,24.99,73367.0,11/28/2012,,
85355,AZ,12.74,41405.0,11/28/2012,,
85260,AZ,6.86,24366.0,11/28/2012,,
85326,AZ,6.11,23829.0,11/28/2012,,
85022,AZ,12.25,49000.0,11/28/2012,,
85379,AZ,13.08,53366.0,11/28/2012,,
85028,AZ,7.848,36100.0,11/28/2012,,
85028,AZ,19.62,92214.0,11/28/2012,,
86314,AZ,6.24,31044.0,11/28/2012,,
85266,AZ,18.48,91938.0,11/28/2012,,
85032,AZ,5.52,27462.0,11/28/2012,,
85383,AZ,5.28,26268.0,11/28/2012,,
85390,AZ,9.36,46566.0,11/28/2012,,
86323,AZ,5.76,28656.0,11/28/2012,,
85382,AZ,4.32,21492.0,11/28/2012,,
85340,AZ,1.92,9552.0,11/28/2012,,
85355,AZ,5.28,26268.0,11/28/2012,,
85383,AZ,6.16,30646.0,11/28/2012,,
85383,AZ,7.26,36118.5,11/28/2012,,
85383,AZ,7.92,39402.0,11/28/2012,,
85233,AZ,9.156,45780.0,11/28/2012,,
85326,AZ,10.464,52483.2,11/28/2012,,
85374,AZ,5.28,34320.0,11/28/2012,,
85351,AZ,10.464,53273.6,11/27/2012,,
85351,AZ,11.772,60860.0,11/27/2012,,
85308,AZ,10.75,33667.46,11/27/2012,,
86305,AZ,4.9,18130.0,11/27/2012,,
85326,AZ,7.92,39402.0,11/27/2012,,
85374,AZ,4.41,13350.0,11/27/2012,,
86326,AZ,2.07,7250.0,11/27/2012,,
86326,AZ,9.8,34543.0,11/27/2012,,
85396,AZ,1.84,7920.0,11/27/2012,,
85326,AZ,15.696,67689.0,11/27/2012,,
85326,AZ,14.715,67689.0,11/27/2012,,
85364,AZ,9.81,45126.0,11/27/2012,,
85388,AZ,14.715,67689.0,11/27/2012,,
85396,AZ,2.76,12954.0,11/27/2012,,
85374,AZ,13.08,61476.0,11/27/2012,,
86325,AZ,20.928,101500.0,11/27/2012,,
85322,AZ,9.6,46560.0,11/27/2012,,
85028,AZ,5.886,28841.4,11/27/2012,,
85338,AZ,8.46,42088.5,11/27/2012,,
85326,AZ,9.36,46566.0,11/27/2012,,
85338,AZ,9.36,46566.0,11/27/2012,,
85326,AZ,4.32,21492.0,11/27/2012,,
85338,AZ,9.36,46566.0,11/27/2012,,
85395,AZ,8.64,42984.0,11/27/2012,,
85326,AZ,9.36,46566.0,11/27/2012,,
85338,AZ,6.72,33432.0,11/27/2012,,
85374,AZ,8.64,42984.0,11/27/2012,,
85326,AZ,8.64,42984.0,11/27/2012,,
85308,AZ,9.156,46407.36,11/27/2012,,
85374,AZ,6.58,35913.77,11/27/2012,,
85301,AZ,5.64,32477.0,11/27/2012,,
85333,AZ,114.24,,11/27/2012,,
85333,AZ,329.48,,11/27/2012,,
85128,AZ,5.28,34320.0,11/26/2012,,
85139,AZ,7.92,23072.0,11/26/2012,,
85355,AZ,9.156,43491.0,11/26/2012,,
85387,AZ,11.772,57682.8,11/26/2012,,
85375,AZ,6.867,33304.95,11/26/2012,,
85375,AZ,6.867,52875.9,11/26/2012,,
85395,AZ,3.8,11280.0,11/26/2012,,
85338,AZ,3.8,11280.0,11/26/2012,,
85395,AZ,2.6,8491.0,11/26/2012,,
85020,AZ,13.86,51106.0,11/26/2012,,
85395,AZ,2.34,9607.0,11/26/2012,,
85396,AZ,2.34,9650.0,11/26/2012,,
85396,AZ,2.34,10015.0,11/26/2012,,
85374,AZ,9.156,42118.0,11/26/2012,,
85387,AZ,9.156,43800.0,11/26/2012,,
85387,AZ,13.734,67809.9,11/26/2012,,
85387,AZ,6.867,34071.0,11/26/2012,,
85364,AZ,5.76,28656.0,11/26/2012,,
86305,AZ,9.36,46566.0,11/26/2012,,
85338,AZ,3.36,16716.0,11/26/2012,,
85338,AZ,3.36,16716.0,11/26/2012,,
85338,AZ,3.36,16716.0,11/26/2012,,
85338,AZ,3.36,16716.0,11/26/2012,,
85338,AZ,9.156,46232.36,11/26/2012,,
85395,AZ,1.56,9607.0,11/26/2012,,
85281,AZ,166.38,1199175.0,11/26/2012,,
85287,AZ,138.6,1120314.0,11/26/2012,,
85287,AZ,65.82,585360.0,11/26/2012,,
85029,AZ,550.13,5021712.0,11/26/2012,,
85281,AZ,69.3,813287.0,11/26/2012,,
85388,AZ,8.64,42984.0,11/21/2012,,
85388,AZ,7.92,39402.0,11/21/2012,,
85379,AZ,3.84,19104.0,11/21/2012,,
85395,AZ,4.32,21492.0,11/21/2012,,
85383,AZ,7.92,39402.0,11/21/2012,,
85255,AZ,9.18,25957.0,11/21/2012,,
85014,AZ,26.32,98637.0,11/21/2012,,
85351,AZ,9.8,37240.0,11/21/2012,,
85390,AZ,15.51,59378.0,11/21/2012,,
85374,AZ,11.772,54151.0,11/21/2012,,
85395,AZ,6.54,30084.0,11/21/2012,,
85395,AZ,5.886,27076.0,11/21/2012,,
85374,AZ,6.867,32373.0,11/21/2012,,
85387,AZ,11.772,57006.0,11/21/2012,,
85308,AZ,9.156,44864.4,11/21/2012,,
85387,AZ,7.848,38549.0,11/21/2012,,
85032,AZ,9.156,45322.0,11/21/2012,,
85374,AZ,5.886,29136.0,11/21/2012,,
85387,AZ,6.72,33432.0,11/21/2012,,
86326,AZ,7.92,39402.0,11/21/2012,,
85351,AZ,7.92,39402.0,11/21/2012,,
85338,AZ,4.32,21492.0,11/21/2012,,
85351,AZ,9.36,46566.0,11/21/2012,,
85395,AZ,7.2,35820.0,11/21/2012,,
85375,AZ,3.84,19104.0,11/21/2012,,
85375,AZ,5.76,28656.0,11/21/2012,,
85338,AZ,5.76,28656.0,11/21/2012,,
85379,AZ,8.64,42984.0,11/21/2012,,
85351,AZ,2.88,14328.0,11/21/2012,,
85383,AZ,5.28,26268.0,11/21/2012,,
85374,AZ,8.64,42984.0,11/21/2012,,
85351,AZ,3.84,19104.0,11/21/2012,,
85374,AZ,9.36,46566.0,11/21/2012,,
85374,AZ,6.24,31044.0,11/21/2012,,
85338,AZ,3.36,16716.0,11/21/2012,,
85338,AZ,3.36,16716.0,11/21/2012,,
85383,AZ,7.26,36118.5,11/21/2012,,
85383,AZ,7.92,39402.0,11/21/2012,,
85383,AZ,7.26,36118.5,11/21/2012,,
85383,AZ,7.26,36118.5,11/21/2012,,
85383,AZ,8.58,42685.5,11/21/2012,,
85361,AZ,5.28,43587.0,11/21/2012,,
85022,AZ,6.24,24292.32,11/20/2012,,
85053,AZ,6.72,19488.0,11/20/2012,,
85087,AZ,8.829,38000.0,11/20/2012,,
86351,AZ,7.92,29656.75,11/20/2012,,
85260,AZ,6.86,26406.0,11/20/2012,,
85308,AZ,11.445,52875.0,11/20/2012,,
85367,AZ,5.232,24328.0,11/20/2012,,
85296,AZ,9.156,43491.0,11/20/2012,,
86326,AZ,3.91,19104.0,11/20/2012,,
85085,AZ,5.04,25074.0,11/20/2012,,
85022,AZ,7.92,39402.0,11/20/2012,,
85086,AZ,6.72,33432.0,11/20/2012,,
86325,AZ,7.92,39402.0,11/20/2012,,
86351,AZ,6.24,31044.0,11/20/2012,,
86336,AZ,4.32,21492.0,11/20/2012,,
85308,AZ,6.96,34626.0,11/20/2012,,
86351,AZ,6.867,34200.0,11/20/2012,,
85259,AZ,8.16,43796.19,11/20/2012,,
85122,AZ,5.5,20248.0,11/19/2012,,
85259,AZ,20.8,60025.0,11/19/2012,,
85260,AZ,16.17,64680.0,11/19/2012,,
85310,AZ,8.829,37250.0,11/19/2012,,
85364,AZ,7.695,35280.0,11/19/2012,,
85387,AZ,9.81,45616.0,11/19/2012,,
85387,AZ,9.156,42665.0,11/19/2012,,
85364,AZ,4.8,23280.0,11/19/2012,,
85254,AZ,14.388,70501.2,11/19/2012,,
85364,AZ,5.76,28562.0,11/19/2012,,
85310,AZ,265.44,2320000.0,11/19/2012,,
85310,AZ,215.04,1880000.0,11/19/2012,,
85301,AZ,1.44,8297.0,11/16/2012,,
85306,AZ,7.28,21392.2,11/16/2012,,
85345,AZ,5.28,34320.0,11/16/2012,,
85335,AZ,5.76,30184.1,11/16/2012,,
85383,AZ,11.772,57117.0,11/16/2012,,
85375,AZ,8.085,23650.0,11/16/2012,,
85367,AZ,3.0,8471.48,11/16/2012,,
85367,AZ,2.94,8471.48,11/16/2012,,
85367,AZ,2.94,8471.48,11/16/2012,,
85367,AZ,2.94,8471.48,11/16/2012,,
86325,AZ,6.72,19725.0,11/16/2012,,
85396,AZ,6.86,22810.1,11/16/2012,,
85259,AZ,6.72,23184.0,11/16/2012,,
85028,AZ,10.8,37500.0,11/16/2012,,
85338,AZ,7.35,27930.0,11/16/2012,,
85326,AZ,2.34,10287.0,11/16/2012,,
85254,AZ,9.156,42118.0,11/16/2012,,
85306,AZ,5.76,27936.0,11/16/2012,,
85396,AZ,9.156,45322.0,11/16/2012,,
85320,AZ,7.848,39000.0,11/16/2012,,
85374,AZ,10.08,50148.0,11/16/2012,,
85375,AZ,10.56,52536.0,11/16/2012,,
85396,AZ,6.72,33432.0,11/16/2012,,
85396,AZ,7.92,39402.0,11/16/2012,,
85388,AZ,7.92,39402.0,11/16/2012,,
85375,AZ,6.24,31044.0,11/16/2012,,
85396,AZ,6.24,31044.0,11/16/2012,,
85014,AZ,7.92,39402.0,11/16/2012,,
85320,AZ,9.156,46000.0,11/16/2012,,
85260,AZ,5.39,28938.24,11/16/2012,,
85326,AZ,5.28,29909.0,11/16/2012,,
85308,AZ,6.11,36415.6,11/16/2012,,
86336,AZ,8.82,52567.2,11/16/2012,,
85326,AZ,9.165,54623.4,11/16/2012,,
85343,AZ,99.47,,11/16/2012,,
85343,AZ,250.39,,11/16/2012,,
85387,AZ,6.5,24300.0,11/15/2012,,
85388,AZ,10.464,50925.0,11/15/2012,,
85374,AZ,6.867,31400.0,11/15/2012,,
85028,AZ,9.18,28300.15,11/15/2012,,
85367,AZ,3.76,11886.0,11/15/2012,,
85396,AZ,1.84,7920.0,11/15/2012,,
85396,AZ,1.84,7920.0,11/15/2012,,
85365,AZ,3.12,13524.0,11/15/2012,,
85374,AZ,9.156,43491.0,11/15/2012,,
85028,AZ,9.156,43949.0,11/15/2012,,
85253,AZ,13.08,64746.0,11/15/2012,,
86322,AZ,6.0,29850.0,11/15/2012,,
86322,AZ,6.72,33432.0,11/15/2012,,
85361,AZ,13.2,65670.0,11/15/2012,,
85233,AZ,10.08,50148.0,11/15/2012,,
86326,AZ,4.32,21492.0,11/15/2012,,
85029,AZ,7.92,39402.0,11/15/2012,,
85387,AZ,13.08,65884.0,11/15/2012,,
85351,AZ,10.464,53538.0,11/15/2012,,
85379,AZ,8.74,52090.4,11/15/2012,,
85028,AZ,3.36,21840.0,11/15/2012,,
85258,AZ,280.5,2120390.0,11/15/2012,,
85259,AZ,278.8,2228485.0,11/15/2012,,
85258,AZ,285.6,2312532.0,11/15/2012,,
85326,AZ,6.86,19764.0,11/14/2012,,
85022,AZ,8.82,25665.0,11/14/2012,,
85032,AZ,9.945,31021.0,11/14/2012,,
86314,AZ,9.6,31700.0,11/14/2012,,
85351,AZ,8.46,28003.0,11/14/2012,,
85396,AZ,8.82,31251.0,11/14/2012,,
85395,AZ,7.65,27413.16,11/14/2012,,
86314,AZ,2.94,10730.0,11/14/2012,,
85022,AZ,6.615,24214.0,11/14/2012,,
85266,AZ,7.35,29003.0,11/14/2012,,
85395,AZ,2.34,9607.0,11/14/2012,,
85086,AZ,13.734,62490.0,11/14/2012,,
85338,AZ,15.696,73003.0,11/14/2012,,
85266,AZ,9.81,46205.0,11/14/2012,,
85395,AZ,13.734,65177.0,11/14/2012,,
85254,AZ,13.08,63315.0,11/14/2012,,
85255,AZ,7.92,38412.0,11/14/2012,,
85379,AZ,6.72,32592.0,11/14/2012,,
85173,AZ,6.72,32599.0,11/14/2012,,
85374,AZ,9.156,45322.0,11/14/2012,,
85395,AZ,6.867,33992.0,11/14/2012,,
85382,AZ,9.36,46566.0,11/14/2012,,
85381,AZ,7.92,39402.0,11/14/2012,,
86305,AZ,6.24,31044.0,11/14/2012,,
85375,AZ,4.32,21492.0,11/14/2012,,
86314,AZ,6.72,33432.0,11/14/2012,,
86314,AZ,6.48,32238.0,11/14/2012,,
86301,AZ,5.76,28656.0,11/14/2012,,
85374,AZ,5.76,28656.0,11/14/2012,,
85382,AZ,6.72,33432.0,11/14/2012,,
85355,AZ,9.24,45969.0,11/14/2012,,
85383,AZ,9.36,46566.0,11/14/2012,,
85326,AZ,5.04,25074.0,11/14/2012,,
86305,AZ,9.36,46566.0,11/14/2012,,
85331,AZ,9.36,46566.0,11/14/2012,,
