Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=LA
70129,LA,4.1,,06/07/2012,,
70127,LA,4.1,,06/07/2012,,
70128,LA,4.1,,06/07/2012,,
70127,LA,4.1,,06/07/2012,,
70126,LA,4.1,,06/07/2012,,
70128,LA,4.1,,06/07/2012,,
70119,LA,4.1,,06/07/2012,,
70118,LA,4.1,,06/07/2012,,
70118,LA,4.1,,06/07/2012,,
70131,LA,4.1,,05/31/2012,,
70131,LA,4.1,,05/31/2012,,
70119,LA,4.1,,05/30/2012,,
70127,LA,4.1,,05/30/2012,,
70127,LA,4.1,,05/30/2012,,
70127,LA,4.1,,05/30/2012,,
70119,LA,4.1,,05/30/2012,,
70128,LA,4.1,,05/30/2012,,
70056,LA,4.1,,05/22/2012,,
70072,LA,4.1,,05/22/2012,,
70056,LA,4.1,,05/22/2012,,
70122,LA,4.1,,05/15/2012,,
70122,LA,4.1,,05/15/2012,,
70119,LA,4.1,,05/15/2012,,
70122,LA,4.1,,05/15/2012,,
70127,LA,4.1,,05/15/2012,,
70128,LA,4.1,,05/15/2012,,
70117,LA,4.1,,05/10/2012,,
70127,LA,4.1,,05/10/2012,,
70122,LA,4.1,,05/10/2012,,
70127,LA,4.1,,05/10/2012,,
70122,LA,4.1,,05/10/2012,,
70126,LA,4.1,,05/10/2012,,
70122,LA,4.1,,05/10/2012,,
70128,LA,4.1,,05/10/2012,,
70122,LA,4.1,,05/10/2012,,
70126,LA,4.1,,05/10/2012,,
70131,LA,4.1,,05/09/2012,,
70131,LA,4.1,,05/09/2012,,
70122,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70117,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70122,LA,4.1,,05/02/2012,,
70126,LA,4.1,,04/25/2012,,
70126,LA,4.1,,04/25/2012,,
70128,LA,4.1,,04/25/2012,,
70126,LA,4.1,,04/25/2012,,
70435,LA,5.52,64000.0,12/28/2009,,
70002,LA,2.52,17000.0,02/10/2010,,
70047,LA,13.05,81000.0,10/26/2010,,
71220,LA,105.6,570000.0,11/22/2010,,
70125,LA,3.36,28000.0,04/08/2008,,
70115,LA,3.01,26000.0,03/10/2008,,
70810,LA,4.07,,09/01/2010,,
70769,LA,5.0,,12/27/2010,,
70808,LA,11.84,,12/30/2010,,
70815,LA,4.07,,12/03/2010,,
70510,LA,24.42,,11/19/2010,,
70770,LA,12.6,,05/20/2009,,
70541,LA,10.08,,08/11/2010,,
70003,LA,9.5,,05/06/2009,,
70719,LA,9.4,,09/16/2009,,
70461,LA,6.9,,11/09/2009,,
71303,LA,6.3,,12/26/2008,,
70448,LA,6.3,,01/12/2009,,
71362,LA,6.3,,08/18/2009,,
70119,LA,4.9,,08/07/2009,,
70403,LA,3.6,,06/02/2009,,
70431,LA,3.5,,07/20/2009,,
70726,LA,3.15,,08/05/2009,,
70466,LA,3.15,,04/09/2009,,
70503,LA,3.15,,12/09/2008,,
70815,LA,3.15,,04/03/2009,,
70807,LA,3.15,,08/19/2009,,
70815,LA,3.15,,04/29/2009,,
70722,LA,3.15,,06/30/2009,,
70776,LA,3.15,,03/23/2009,,
70577,LA,3.15,,04/23/2009,,
70114,LA,3.15,,03/11/2009,,
70503,LA,2.99,,11/09/2009,,
70808,LA,2.9,,10/14/2010,,
70816,LA,2.76,,12/31/2009,,
70456,LA,2.5,,01/23/2009,,
70806,LA,2.1,,07/09/2009,,
71315,LA,2.0,,03/01/2005,,
70806,LA,1.47,,09/28/2009,,
70808,LA,1.0,,10/09/2009,,
70466,LA,8.82,,01/19/2011,,
70119,LA,5.88,,01/19/2011,,
70808,LA,5.88,,01/14/2011,,
70808,LA,6.58,,08/18/2010,,
70819,LA,3.45,,08/05/2010,,
70808,LA,3.53,,07/22/2010,,
70435,LA,3.45,,02/23/2010,,
70114,LA,6.3,,01/06/2009,,
70726,LA,6.3,,01/01/2009,,
70808,LA,2.5,,01/01/2009,,
70808,LA,2.3,,01/01/2009,,
70813,LA,3.15,,12/30/2008,,
70817,LA,3.15,,12/16/2008,,
70806,LA,2.5,,10/15/2008,,
70806,LA,3.15,,10/13/2008,,
70005,LA,3.15,,10/10/2008,,
70433,LA,3.15,,10/08/2008,,
70115,LA,6.3,,10/01/2008,,
70601,LA,1.0,,10/01/2008,,
70518,LA,3.15,,07/01/2008,,
70791,LA,3.15,,03/07/2008,,
70005,LA,2.4,,02/07/2008,,
70127,LA,1.0,,01/15/2008,,
70447,LA,3.15,,01/09/2008,,
70129,LA,3.15,,01/04/2008,,
70003,LA,0.5,,07/05/2007,,
70582,LA,2.4,,07/02/2007,,
70420,LA,0.4,,01/24/2006,,
70808,LA,4.68,20000.0,07/07/2010,,
70114,LA,3.15,26700,10/01/2008,,
70816,LA,3.15,,10/13/2008,,
70461,LA,6.9,,12/16/2009,,
70119,LA,4.9,,10/02/2009,,
70447,LA,7.59,,12/07/2009,,
71303,LA,6.9,,11/02/2009,,
70129,LA,3.15,,06/10/2008,,
70518,LA,3.15,,07/01/2008,,
70431,LA,3.5,,10/22/2009,,
70117,LA,2.1,,08/20/2009,,
70005,LA,2.4,,08/13/2008,,
70458,LA,3.9,,01/01/2009,,
70815,LA,3.15,,05/27/2009,,
70122,LA,5.0,,09/29/2008,,
70115,LA,6.3,,11/06/2008,,
70130,LA,420.0,,10/01/2012,,
70114,LA,6.3,,07/02/2008,,
71315,LA,2.0,,03/01/2005,,
70806,LA,2.1,,08/26/2009,,
70466,LA,3.15,,05/06/2009,,
70570,LA,14.2,,04/27/2009,,
70808,LA,2.5,,01/01/2009,,
71303,LA,3.15,,12/30/2008,,
70471,LA,3.15,,07/02/2008,,
70719,LA,9.4,,12/08/2009,,
70601,LA,1.0,,08/25/2008,,
71303,LA,6.3,,03/12/2009,,
70815,LA,3.15,,06/12/2009,,
70503,LA,2.99,,12/08/2009,,
70005,LA,3.15,,05/21/2009,,
70806,LA,2.5,,10/15/2008,,
70776,LA,3.15,,04/07/2009,,
70448,LA,6.3,,08/14/2009,,
70808,LA,3.5,,05/19/2008,,
70737,LA,1.0,,10/05/2009,,
70452,LA,2.5,,07/13/2009,,
70117,LA,2.52,,08/20/2009,,
70003,LA,9.5,,06/08/2009,,
70817,LA,3.15,,06/30/2008,,
70769,LA,6.44,,11/30/2009,,
70433,LA,3.15,,10/08/2008,,
