Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05660,VT,4.56,40865,11/17/2005,,
05352,VT,1.6,10287.45,12/16/2000,,
05472,VT,2494.69,,09/04/2013,,
05401,VT,1.44,12428,07/02/2004,,
05403,VT,2.338,16502.82,05/28/2004,,
05201,VT,1.2,18150.0,08/23/2004,,
05602,VT,1.92,16959.99,03/19/2004,,
05855,VT,2.28,15760,07/01/2005,,
05401,VT,5.5,26950,10/22/2004,,
05868,VT,3,16910,12/17/2004,,
05767,VT,3.08,24980,10/08/2004,,
05055,VT,5.76,46520,10/22/2004,,
05363,VT,2.88,26359.92,02/25/2005,,
05764,VT,3.84,18780.0,11/12/2012,,
05456,VT,3.36,22060.0,09/04/2012,,
05701,VT,59.8,195000.0,08/17/2012,,
05405,VT,1.4,9800.0,06/25/2012,,
05655,VT,2.4,12982.5,11/07/2012,,
05443,VT,50.4,352800.0,10/31/2012,,
05346,VT,52.92,300000.0,06/06/2012,,
05735,VT,28.8,140300.0,07/03/2012,,
05403,VT,5.04,17000.0,09/16/2012,,
05403,VT,32.16,135989.0,08/24/2012,,
05401,VT,91.875,317007.0,02/08/2012,,
05408,VT,137.445,588728.0,02/08/2012,,
05641,VT,9.2,46000.0,12/29/2012,,
05346,VT,5.76,18924.0,12/26/2012,,
05602,VT,3.27,15860.0,12/18/2012,,
05491,VT,11.76,73320.0,12/22/2012,,
05753,VT,5.88,36600.0,12/31/2012,,
05473,VT,2.88,13399.0,12/13/2012,,
05667,VT,5.886,17643.0,11/19/2012,,
05301,VT,5.0,21750.0,12/29/2012,,
05076,VT,5.5,23760.0,12/11/2012,,
05753,VT,8.67,38250.0,11/27/2012,,
05301,VT,8.82,39690.0,12/31/2012,,
05346,VT,5.88,26460.0,12/31/2012,,
05468,VT,4.578,24021.0,11/12/2012,,
05462,VT,3.924,11987.0,12/19/2012,,
05663,VT,5.886,17105.0,11/03/2012,,
05446,VT,5.232,27800.0,11/05/2012,,
05735,VT,4.59,22480.0,12/26/2012,,
05495,VT,3.27,19574.0,11/05/2012,,
05602,VT,4.6,17636.0,11/21/2012,,
05301,VT,8.33,44149.0,12/21/2012,,
05201,VT,5.64,33600.0,11/30/2012,,
05676,VT,3.924,21727.0,10/29/2012,,
05468,VT,5.232,29853.0,10/29/2012,,
05346,VT,7.35,33475.0,11/30/2012,,
05477,VT,4.578,13590.0,11/16/2012,,
05468,VT,7.848,42739.0,10/27/2012,,
05489,VT,3.924,11958.0,11/28/2012,,
05677,VT,5.04,25558.0,11/09/2012,,
05363,VT,4.41,19712.0,11/19/2012,,
05602,VT,5.88,31164.0,11/30/2012,,
05477,VT,2.16,15535.0,12/28/2012,,
05651,VT,5.76,32472.0,11/29/2012,,
05667,VT,7.5,26840.0,11/01/2012,,
05446,VT,6.213,31000.0,10/19/2012,,
05602,VT,6.867,33285.0,10/19/2012,,
05733,VT,1.53,7300.0,11/19/2012,,
05055,VT,9.18,39800.0,11/09/2012,,
05201,VT,5.64,35950.0,10/20/2012,,
05495,VT,6.0,23641.08,10/30/2012,,
05156,VT,2.94,17391.0,12/05/2012,,
05033,VT,6.0,25600.0,11/09/2012,,
05452,VT,6.37,24570.0,12/11/2012,,
05906,VT,3.675,16635.0,11/09/2012,,
05445,VT,6.37,26085.0,11/09/2012,,
05257,VT,4.6,31450.0,10/15/2012,,
05660,VT,4.578,14049.0,10/15/2012,,
05672,VT,8.175,41498.0,10/11/2012,,
05494,VT,7.848,24804.0,12/04/2012,,
05477,VT,4.9,29630.0,11/08/2012,,
05468,VT,5.886,29754.0,12/17/2012,,
05672,VT,3.27,18123.0,10/10/2012,,
05680,VT,3.924,22777.0,10/29/2012,,
05660,VT,5.232,13788.0,10/25/2012,,
05452,VT,5.886,31645.0,10/24/2012,,
05465,VT,3.27,19232.0,10/25/2012,,
05674,VT,9.156,22628.0,11/09/2012,,
05452,VT,6.24,30883.0,10/24/2012,,
05489,VT,4.578,12777.0,10/12/2012,,
05201,VT,5.64,35962.0,08/09/2012,,
05468,VT,6.867,37090.0,10/09/2012,,
05477,VT,11.445,56720.0,10/08/2012,,
05403,VT,3.924,11930.0,10/08/2012,,
05301,VT,3.84,15360.0,10/19/2012,,
05495,VT,11.772,62377.0,12/03/2012,,
05143,VT,4.41,26693.0,12/24/2012,,
05495,VT,7.848,43682.0,10/08/2012,,
05468,VT,3.924,19230.0,10/10/2012,,
