Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=VT
05091,VT,58.8,411600.0,03/19/2012,,
05640,VT,46.44,118965.0,01/26/2012,,
05401,VT,24.48,155608.0,01/30/2012,,
05001,VT,2522.52,10500000.0,10/19/2012,,
05482,VT,4,33638,08/30/2007,,
05356,VT,4.8,41120,06/09/2009,,
05487,VT,7.02,72228,07/17/2008,,
05702,VT,4.1,40031,10/12/2007,,
05735,VT,1.32,11000,07/12/2007,,
05676,VT,100.1,,08/14/2009,,
05701,VT,50.16,400000.0,01/15/2010,,
05068,VT,2199.26,11000000.0,07/31/2012,,
05101,VT,3.68,19688.0,01/01/2011,,
05673,VT,5.06,29297.0,01/04/2011,,
05346,VT,4.6,27042.0,01/04/2011,,
05158,VT,3.78,23400.0,01/04/2011,,
05757,VT,2.38,17411.42,01/05/2011,,
05055,VT,8.28,40632.18,01/05/2011,,
05660,VT,7.2,32605.57,01/06/2011,,
05465,VT,4.83,27431.0,01/06/2011,,
05068,VT,2.07,15139.99,01/10/2011,,
05828,VT,3.22,17862.0,01/11/2011,,
05340,VT,4.05,23045.0,01/11/2011,,
05661,VT,2.76,19509.0,01/12/2011,,
05060,VT,2.3,15315.0,01/13/2011,,
05495,VT,2.05,12095.0,01/14/2011,,
05445,VT,5.04,36857.0,01/14/2011,,
05346,VT,12.6,103500.0,01/14/2011,,
05602,VT,3.6,28821.0,01/17/2011,,
05061,VT,2.3,15318.0,01/17/2011,,
05677,VT,3.15,19500.0,01/24/2011,,
05651,VT,3.68,25698.0,01/24/2011,,
05401,VT,25.425,144710.0,01/24/2011,,
05829,VT,2.53,16445.0,01/26/2011,,
05495,VT,5.04,28280.0,01/27/2011,,
05486,VT,9.03,76202.0,01/27/2011,,
05075,VT,4.14,30424.37,01/28/2011,,
05403,VT,2.1,8765.54,01/31/2011,,
05401,VT,36.19,216920.0,01/31/2011,,
05077,VT,5.88,44529.0,01/31/2011,,
05346,VT,3.45,22117.0,02/03/2011,,
05403,VT,5.06,28462.0,02/08/2011,,
05085,VT,11.25,67613.0,02/08/2011,,
05033,VT,10.12,59760.0,02/10/2011,,
05733,VT,10.56,52694.0,02/11/2011,,
05055,VT,5.98,31601.5,02/11/2011,,
05495,VT,7.38,26346.6,02/14/2011,,
05674,VT,5.04,36968.0,02/16/2011,,
05301,VT,5.29,29836.0,02/16/2011,,
05667,VT,3.44,31237.87,02/17/2011,,
05068,VT,15.18,76923.08,02/17/2011,,
05601,VT,2.87,19864.0,02/18/2011,,
05753,VT,20.16,142197.12,02/21/2011,,
05751,VT,6.345,45300.0,02/22/2011,,
05478,VT,12.6,77490.0,02/22/2011,,
05701,VT,1.64,9519.96,02/23/2011,,
05676,VT,2.87,16933.0,03/03/2011,,
05086,VT,2.3,14480.0,03/07/2011,,
05742,VT,3.96,34750.0,03/08/2011,,
05079,VT,5.17,27024.5,03/08/2011,,
05055,VT,4.6,24696.8,03/08/2011,,
05676,VT,6.66,36630.0,03/09/2011,,
05763,VT,4.14,25398.9,03/15/2011,,
05495,VT,8.4,67200.0,03/16/2011,,
05827,VT,8.4,67200.0,03/17/2011,,
05770,VT,1.05,5996.0,03/17/2011,,
05482,VT,8.4,67200.0,03/17/2011,,
05353,VT,6.9,46161.0,03/17/2011,,
05058,VT,6.72,36909.45,03/18/2011,,
05757,VT,4.2,28181.2,03/22/2011,,
05482,VT,8.51,45183.0,03/22/2011,,
05445,VT,8.4,67200.0,03/24/2011,,
05651,VT,4.2,33600.0,03/25/2011,,
05495,VT,4.2,33600.0,03/25/2011,,
05473,VT,4.2,33600.0,03/25/2011,,
05452,VT,6.75,31225.0,03/26/2011,,
05753,VT,4.2,33600.0,03/28/2011,,
05660,VT,4.92,23370.0,03/28/2011,,
05674,VT,2.3,15131.39,03/29/2011,,
05495,VT,8.14,38176.6,03/31/2011,,
05682,VT,7.2,58988.0,04/04/2011,,
05641,VT,4.07,21627.0,04/04/2011,,
05491,VT,6.345,35513.0,04/06/2011,,
05401,VT,3.33,19647.0,04/06/2011,,
05346,VT,1.98,12582.0,04/06/2011,,
05676,VT,2.22,13320.0,04/08/2011,,
05303,VT,6.11,27180.0,04/08/2011,,
05465,VT,4.2,30450.0,04/11/2011,,
05446,VT,3.15,25200.0,04/11/2011,,
05656,VT,7.35,58800.0,04/12/2011,,
05346,VT,2.82,11324.06,04/14/2011,,
05038,VT,3.24,17095.57,04/14/2011,,
05403,VT,3.6,22400.0,04/18/2011,,
05346,VT,3.78,19500.0,04/18/2011,,
05671,VT,7.77,37064.0,04/19/2011,,
05658,VT,8.4,67200.0,04/19/2011,,
05495,VT,4.44,21534.0,04/19/2011,,
05345,VT,11.73,64867.0,04/20/2011,,
05495,VT,4.32,20088.0,04/21/2011,,
05819,VT,2.76,17940.0,04/23/2011,,
05677,VT,4.1,19475.0,04/25/2011,,
05091,VT,10.56,61538.46,04/26/2011,,
05047,VT,0.92,12065.91,04/27/2011,,
05827,VT,3.15,25200.0,04/28/2011,,
05826,VT,4.2,33600.0,04/28/2011,,
05495,VT,8.4,67200.0,04/28/2011,,
05495,VT,7.35,58800.0,04/28/2011,,
05660,VT,4.1,22950.0,04/29/2011,,
05495,VT,5.94,37719.0,04/29/2011,,
05672,VT,15.48,94802.0,05/02/2011,,
05701,VT,1.15,10044.8,05/03/2011,,
05494,VT,10.08,59800.0,05/03/2011,,
05867,VT,5.06,31878.0,05/04/2011,,
05487,VT,8.4,67200.0,05/04/2011,,
05846,VT,2.52,16000.0,05/05/2011,,
05843,VT,5.17,51417.0,05/06/2011,,
05495,VT,4.92,28260.0,05/06/2011,,
05851,VT,4.6,30498.0,05/09/2011,,
05474,VT,4.8,29572.0,05/09/2011,,
05346,VT,3.45,22325.0,05/09/2011,,
05036,VT,2.76,17516.0,05/09/2011,,
05495,VT,4.44,21534.0,05/10/2011,,
05346,VT,3.45,22325.0,05/10/2011,,
05753,VT,2.3,16438.0,05/11/2011,,
05495,VT,5.55,27317.5,05/11/2011,,
05346,VT,4.41,25305.0,05/11/2011,,
05872,VT,2.76,20500.0,05/12/2011,,
05677,VT,2.87,17333.0,05/13/2011,,
05495,VT,4.2,33600.0,05/17/2011,,
05495,VT,4.92,23370.0,05/18/2011,,
05822,VT,1.38,10230.0,05/19/2011,,
05403,VT,8.4,67200.0,05/20/2011,,
05676,VT,4.05,21759.0,05/23/2011,,
05148,VT,2.1,31879.54,05/23/2011,,
05676,VT,4.1,19875.0,05/25/2011,,
05495,VT,8.4,67200.0,05/25/2011,,
05469,VT,3.15,22050.0,05/25/2011,,
05777,VT,1.05,11747.0,05/26/2011,,
05701,VT,2.94,19193.0,05/26/2011,,
05346,VT,1.56,9240.0,05/26/2011,,
05403,VT,147.84,785747.98,05/27/2011,,
05660,VT,7.38,34474.0,05/28/2011,,
05495,VT,4.2,33600.0,05/31/2011,,
05465,VT,8.4,58800.0,05/31/2011,,
05356,VT,13.2,81785.0,05/31/2011,,
05495,VT,4.1,19922.58,06/02/2011,,
05661,VT,3.7,24104.46,06/03/2011,,
05452,VT,6.24,40384.0,06/03/2011,,
05143,VT,2.58,23560.0,06/03/2011,,
05839,VT,1.96,10322.0,06/07/2011,,
05660,VT,3.36,22034.66,06/07/2011,,
05476,VT,4.1,19875.0,06/08/2011,,
05495,VT,4.92,23370.0,06/10/2011,,
05072,VT,5.52,28460.53,06/13/2011,,
05672,VT,34.4,75149.0,06/14/2011,,
05753,VT,9.46,59452.0,06/15/2011,,
05495,VT,6.15,29213.0,06/16/2011,,
05482,VT,5.76,28475.0,06/16/2011,,
05851,VT,3.33,22474.0,06/18/2011,,
05085,VT,2.76,19153.0,06/18/2011,,
05495,VT,4.92,23370.0,06/20/2011,,
05030,VT,10.12,54451.0,06/20/2011,,
05753,VT,4.2,29400.0,06/21/2011,,
05676,VT,3.7,20700.0,06/21/2011,,
05495,VT,6.3,50400.0,06/21/2011,,
05461,VT,7.35,58800.0,06/21/2011,,
05059,VT,6.44,36064.0,06/21/2011,,
05445,VT,4.2,29400.0,06/22/2011,,
05091,VT,8.28,,06/22/2011,,
05677,VT,16.8,117600.0,06/23/2011,,
05661,VT,5.55,42992.82,06/27/2011,,
05495,VT,5.16,24740.0,06/27/2011,,
05346,VT,11.04,94000.0,06/27/2011,,
05031,VT,2.76,17416.0,06/28/2011,,
05676,VT,6.3,50400.0,06/29/2011,,
05495,VT,5.4,26190.0,06/29/2011,,
05346,VT,4.6,38547.0,06/29/2011,,
05149,VT,4.14,25414.27,06/29/2011,,
05065,VT,4.23,23840.0,06/29/2011,,
05667,VT,4.2,33982.0,06/30/2011,,
05489,VT,4.8,23636.0,06/30/2011,,
05495,VT,4.2,33600.0,07/01/2011,,
05701,VT,5.16,30774.84,07/04/2011,,
05677,VT,4.51,21422.0,07/07/2011,,
05676,VT,3.15,22050.0,07/07/2011,,
05660,VT,6.15,30112.0,07/07/2011,,
05827,VT,1.85,14508.76,07/08/2011,,
05362,VT,6.11,39719.0,07/08/2011,,
05042,VT,8.28,50597.0,07/08/2011,,
05495,VT,29.12,165000.0,07/11/2011,,
05676,VT,4.1,19475.0,07/12/2011,,
05401,VT,40.768,224650.0,07/12/2011,,
05156,VT,16.92,95217.0,07/12/2011,,
05843,VT,6.765,34868.0,07/13/2011,,
05059,VT,8.28,59578.24,07/13/2011,,
05401,VT,26.91,137241.0,07/14/2011,,
05824,VT,8.28,47610.0,07/15/2011,,
05462,VT,5.17,23250.0,07/15/2011,,
05676,VT,4.2,26629.0,07/18/2011,,
05676,VT,2.46,14514.0,07/18/2011,,
05461,VT,8.64,38516.0,07/18/2011,,
05465,VT,11.04,77280.0,07/19/2011,,
05495,VT,4.92,23370.0,07/20/2011,,
05477,VT,13.76,76476.54,07/20/2011,,
05301,VT,2.94,14960.0,07/21/2011,,
05677,VT,7.4,31434.0,07/22/2011,,
05462,VT,8.4,67200.0,07/22/2011,,
05461,VT,4.2,33600.0,07/22/2011,,
05445,VT,4.95,23512.0,07/22/2011,,
05346,VT,2.94,14660.0,07/22/2011,,
05465,VT,8.64,45000.0,07/25/2011,,
05669,VT,5.4,30000.0,07/27/2011,,
05660,VT,1.665,11223.0,07/27/2011,,
05001,VT,5.98,30455.82,07/27/2011,,
05842,VT,3.76,30000.0,07/28/2011,,
05487,VT,3.6,19462.0,07/28/2011,,
05048,VT,11.04,67974.0,07/28/2011,,
05843,VT,4.2,29400.0,07/29/2011,,
05640,VT,4.5,22139.0,07/29/2011,,
05491,VT,4.2,33600.0,07/29/2011,,
05445,VT,4.05,25312.0,07/29/2011,,
05489,VT,6.3,50400.0,08/01/2011,,
05468,VT,4.9,25067.0,08/01/2011,,
05468,VT,4.2,29400.0,08/01/2011,,
05345,VT,11.28,66640.0,08/01/2011,,
05474,VT,1.41,11276.0,08/04/2011,,
05445,VT,2.96,14460.0,08/04/2011,,
05048,VT,4.6,23027.0,08/04/2011,,
05660,VT,4.1,25625.0,08/05/2011,,
05301,VT,5.64,20869.0,08/05/2011,,
05673,VT,5.4,25650.0,08/08/2011,,
05482,VT,4.92,24170.0,08/08/2011,,
05482,VT,4.1,19475.0,08/09/2011,,
05819,VT,2.82,20100.0,08/11/2011,,
05445,VT,4.5,21375.0,08/11/2011,,
05482,VT,2.05,12095.0,08/12/2011,,
05354,VT,11.28,66640.0,08/12/2011,,
05346,VT,28.2,179400.0,08/12/2011,,
05839,VT,3.6,26864.0,08/13/2011,,
05775,VT,3.22,21735.0,08/15/2011,,
05301,VT,3.22,20522.0,08/15/2011,,
05462,VT,3.15,25200.0,08/16/2011,,
05401,VT,0.675,2040.0,08/16/2011,,
05086,VT,5.16,51305.0,08/16/2011,,
05403,VT,28.905,139700.0,08/17/2011,,
05403,VT,2.07,17294.0,08/17/2011,,
05680,VT,3.7,29984.0,08/18/2011,,
05482,VT,4.92,23370.0,08/18/2011,,
05032,VT,2.82,27960.0,08/18/2011,,
05445,VT,2.7,15930.0,08/19/2011,,
05363,VT,5.64,33334.0,08/19/2011,,
05346,VT,2.82,31457.0,08/19/2011,,
05602,VT,4.2,29400.0,08/22/2011,,
05482,VT,2.22,13098.0,08/22/2011,,
05077,VT,9.9,69847.0,08/22/2011,,
05445,VT,4.5,21375.0,08/23/2011,,
05445,VT,8.4,67200.0,08/23/2011,,
05445,VT,4.0,19400.0,08/25/2011,,
05346,VT,6.11,32383.0,08/26/2011,,
05820,VT,1.48,10956.12,08/27/2011,,
05255,VT,2.35,15890.0,08/28/2011,,
05826,VT,4.2,29400.0,08/29/2011,,
05860,VT,8.28,57191.91,08/31/2011,,
05482,VT,11.7,53235.0,08/31/2011,,
05482,VT,2.025,11947.5,08/31/2011,,
05101,VT,3.78,18000.0,08/31/2011,,
05468,VT,5.52,38500.0,09/02/2011,,
05346,VT,16.92,99760.0,09/06/2011,,
05851,VT,5.88,29450.0,09/08/2011,,
05737,VT,3.6,25440.9,09/08/2011,,
05674,VT,4.2,33600.0,09/08/2011,,
05301,VT,1.44,8580.0,09/12/2011,,
05143,VT,2.3,12600.0,09/12/2011,,
05826,VT,5.06,28943.0,09/13/2011,,
05661,VT,3.0,16502.0,09/13/2011,,
05647,VT,5.74,31570.0,09/13/2011,,
05462,VT,3.52,20000.0,09/13/2011,,
05443,VT,5.64,32546.71,09/13/2011,,
05351,VT,7.99,43945.0,09/13/2011,,
05461,VT,6.075,28356.25,09/15/2011,,
05445,VT,4.5,21375.0,09/15/2011,,
05301,VT,5.4,29650.0,09/15/2011,,
05301,VT,4.05,21700.0,09/15/2011,,
05819,VT,4.2,29400.0,09/18/2011,,
05660,VT,4.1,25625.0,09/19/2011,,
05445,VT,2.7,15930.0,09/19/2011,,
05660,VT,4.05,19237.5,09/22/2011,,
05445,VT,4.95,23512.5,09/23/2011,,
05482,VT,4.05,19237.5,09/26/2011,,
05461,VT,5.0,22500.0,09/26/2011,,
05458,VT,5.0,26169.0,09/26/2011,,
05101,VT,4.83,30188.0,09/26/2011,,
05446,VT,7.392,36921.0,09/27/2011,,
05445,VT,3.33,19647.0,09/27/2011,,
05262,VT,15.51,65000.0,09/28/2011,,
05461,VT,5.52,44160.0,09/29/2011,,
05091,VT,3.22,19295.57,09/30/2011,,
05841,VT,2.22,10730.26,10/03/2011,,
05819,VT,3.33,22910.0,10/03/2011,,
05445,VT,2.7,15930.0,10/03/2011,,
05654,VT,11.75,52706.0,10/05/2011,,
05301,VT,6.11,61577.0,10/05/2011,,
05674,VT,9.0,42414.0,10/06/2011,,
05301,VT,2.76,13650.0,10/07/2011,,
05663,VT,6.75,34141.0,10/08/2011,,
05757,VT,6.37,38322.72,10/10/2011,,
05156,VT,11.28,66640.0,10/10/2011,,
05758,VT,8.82,43232.7,10/12/2011,,
05676,VT,5.4,33750.0,10/12/2011,,
05664,VT,1.26,9622.0,10/12/2011,,
05482,VT,6.15,29212.5,10/12/2011,,
05602,VT,6.16,39834.0,10/14/2011,,
05477,VT,4.62,22500.0,10/14/2011,,
05450,VT,8.4,58800.0,10/15/2011,,
05445,VT,4.5,21375.0,10/17/2011,,
05055,VT,5.4,38421.0,10/17/2011,,
05495,VT,4.2,33600.0,10/18/2011,,
05482,VT,6.0,28500.0,10/18/2011,,
05661,VT,16.56,115920.0,10/19/2011,,
05346,VT,5.52,39192.0,10/19/2011,,
05461,VT,4.95,23512.5,10/20/2011,,
05301,VT,5.52,27600.0,10/20/2011,,
05495,VT,5.18,26605.0,10/24/2011,,
05482,VT,4.2,33600.0,10/24/2011,,
05673,VT,8.4,67200.0,10/25/2011,,
05346,VT,33.84,199000.0,10/25/2011,,
05494,VT,9.0,45686.0,10/26/2011,,
05461,VT,4.0,21000.0,10/26/2011,,
05495,VT,3.75,18212.0,10/27/2011,,
05836,VT,1.92,22575.0,10/28/2011,,
05482,VT,5.5,28781.0,10/28/2011,,
05773,VT,5.64,23343.0,10/30/2011,,
05827,VT,4.2,33600.0,11/01/2011,,
05825,VT,5.52,44160.0,11/01/2011,,
05445,VT,6.075,28856.25,11/01/2011,,
05482,VT,6.15,29612.0,11/02/2011,,
05346,VT,11.28,61120.0,11/02/2011,,
05482,VT,5.1,28050.0,11/03/2011,,
05763,VT,5.64,39480.0,11/04/2011,,
05342,VT,5.64,40558.0,11/04/2011,,
05148,VT,11.28,75000.0,11/04/2011,,
05036,VT,5.64,19386.18,11/04/2011,,
05301,VT,33.84,164809.0,11/07/2011,,
05153,VT,5.98,23084.0,11/07/2011,,
05075,VT,5.64,39862.0,11/07/2011,,
05733,VT,4.23,20145.0,11/08/2011,,
05461,VT,4.5,21375.0,11/08/2011,,
05445,VT,4.2,33600.0,11/09/2011,,
05441,VT,5.28,42785.0,11/09/2011,,
05075,VT,2.4,15238.14,11/09/2011,,
05677,VT,2.925,17257.0,11/10/2011,,
05301,VT,15.275,56554.0,11/10/2011,,
05301,VT,3.76,19928.0,11/10/2011,,
05477,VT,58.8,411600.0,11/11/2011,,
05301,VT,5.28,26450.0,11/11/2011,,
05301,VT,33.84,140000.0,11/11/2011,,
05843,VT,4.2,33600.0,11/13/2011,,
05354,VT,5.52,40077.0,11/14/2011,,
05819,VT,4.0,24918.97,11/15/2011,,
05602,VT,4.73,18225.0,11/15/2011,,
05468,VT,6.12,28500.0,11/15/2011,,
05446,VT,7.5,38500.0,11/15/2011,,
05445,VT,2.1,11085.0,11/15/2011,,
05482,VT,4.0,19000.0,11/16/2011,,
05340,VT,6.345,36103.0,11/16/2011,,
05055,VT,3.45,22358.24,11/16/2011,,
05495,VT,4.68,22230.0,11/17/2011,,
05346,VT,11.28,79750.0,11/17/2011,,
05655,VT,1.05,7145.0,11/18/2011,,
05091,VT,3.68,24177.0,11/18/2011,,
05843,VT,4.2,29400.0,11/19/2011,,
05602,VT,4.16,19685.0,11/20/2011,,
05482,VT,4.5,21775.0,11/21/2011,,
05461,VT,5.46,25935.0,11/21/2011,,
05346,VT,6.24,29640.0,11/21/2011,,
05857,VT,5.52,44160.0,11/22/2011,,
05602,VT,5.28,27728.0,11/22/2011,,
05055,VT,4.84,33540.0,11/22/2011,,
05492,VT,1.5,11300.0,11/25/2011,,
05344,VT,1.84,7250.0,11/26/2011,,
05766,VT,4.2,29300.0,11/27/2011,,
05738,VT,6.345,29301.05,11/27/2011,,
05445,VT,4.0,19000.0,11/27/2011,,
05346,VT,5.64,34240.0,11/27/2011,,
05346,VT,33.12,184000.0,11/27/2011,,
05101,VT,3.78,23200.0,11/27/2011,,
05648,VT,2.4,8660.0,11/28/2011,,
05641,VT,7.59,38370.19,11/28/2011,,
05464,VT,4.2,29400.0,11/28/2011,,
05154,VT,5.64,39875.0,11/28/2011,,
05445,VT,3.0,17700.0,11/29/2011,,
05660,VT,5.25,26137.0,11/30/2011,,
05495,VT,5.25,24937.5,11/30/2011,,
05067,VT,12.24,,12/01/2011,,
05672,VT,22.56,157920.0,12/02/2011,,
05647,VT,5.76,40320.0,12/02/2011,,
05602,VT,2.5,21323.0,12/02/2011,,
05602,VT,3.5,20428.0,12/02/2011,,
05074,VT,5.17,28993.0,12/02/2011,,
05602,VT,3.08,22559.0,12/04/2011,,
05461,VT,4.0,19400.0,12/05/2011,,
05101,VT,5.52,16728.0,12/05/2011,,
05346,VT,3.76,19928.0,12/06/2011,,
05461,VT,4.23,19035.0,12/07/2011,,
05401,VT,2.25,60625.0,12/07/2011,,
05149,VT,3.29,18448.66,12/07/2011,,
05671,VT,5.265,24985.0,12/08/2011,,
05461,VT,5.25,24937.5,12/08/2011,,
05655,VT,0.896,5040.6,12/09/2011,,
05301,VT,12.22,57114.0,12/09/2011,,
05257,VT,1.92,10240.0,12/10/2011,,
05495,VT,7.0,32130.0,12/12/2011,,
05753,VT,5.64,30250.34,12/13/2011,,
05769,VT,4.92,31000.0,12/14/2011,,
05602,VT,4.14,15801.4,12/14/2011,,
05767,VT,1.41,,12/15/2011,,
05673,VT,42.0,336000.0,12/15/2011,,
05346,VT,5.0,19773.0,12/15/2011,,
05461,VT,6.12,41499.0,12/16/2011,,
05061,VT,5.16,42896.0,12/16/2011,,
05042,VT,6.0,40505.0,12/16/2011,,
05465,VT,33.84,219456.0,12/17/2011,,
05827,VT,4.2,33600.0,12/18/2011,,
05468,VT,7.65,46400.0,12/18/2011,,
05764,VT,34.56,207760.0,12/19/2011,,
05445,VT,8.4,67200.0,12/19/2011,,
05142,VT,5.76,33520.0,12/19/2011,,
05677,VT,16.8,134400.0,12/20/2011,,
05446,VT,16.94,70500.0,12/20/2011,,
05346,VT,5.64,39875.0,12/20/2011,,
05445,VT,4.0,19000.0,12/21/2011,,
05770,VT,58.8,411600.0,12/22/2011,,
05495,VT,4.32,20920.0,12/22/2011,,
05445,VT,4.2,24800.0,12/23/2011,,
05355,VT,2.82,12833.0,12/26/2011,,
05055,VT,4.0,18474.0,12/26/2011,,
05661,VT,4.2,27300.0,12/27/2011,,
05656,VT,4.2,33600.0,12/27/2011,,
05486,VT,4.2,31500.0,12/27/2011,,
05462,VT,10.0,62318.0,12/27/2011,,
05445,VT,10.5,47775.0,12/27/2011,,
05363,VT,3.84,21148.0,12/27/2011,,
05255,VT,16.92,95601.07,12/28/2011,,
05486,VT,8.28,37300.0,12/29/2011,,
05158,VT,22.08,176640.0,12/29/2011,,
05843,VT,2.07,14400.07,12/30/2011,,
05486,VT,2.76,17820.0,12/30/2011,,
05455,VT,10.0,55550.0,12/30/2011,,
05445,VT,7.0,21375.0,12/30/2011,,
05346,VT,2.585,14448.0,12/30/2011,,
05454,VT,4.48,27994.0,12/31/2011,,
05403,VT,2154.48,11987126.0,07/27/2011,,
05733,VT,5.04,32750.0,12/07/2009,,
05341,VT,4.56,19409.0,12/10/2009,,
05677,VT,2.52,15994.81,12/18/2009,,
05401,VT,5.04,32000.0,12/21/2009,,
05667,VT,3.6,42973.94,12/21/2009,,
05494,VT,5.1,32500.0,12/23/2009,,
05673,VT,5.04,34574.0,12/23/2009,,
05037,VT,6.3,38369.0,12/29/2009,,
05301,VT,5.16,43853.0,12/31/2009,,
05344,VT,3.2,20700.0,12/31/2009,,
05401,VT,2.4,11205.0,01/07/2010,,
05070,VT,1.2,9976.7,01/08/2010,,
05142,VT,4.14,25200.0,01/14/2010,,
05491,VT,3.36,14296.0,01/16/2010,,
05262,VT,4.8,31880.0,01/16/2010,,
05655,VT,1.38,4977.75,01/20/2010,,
05074,VT,3.36,15430.0,01/22/2010,,
05445,VT,1.075,8425.0,01/22/2010,,
05473,VT,4.86,23932.4,01/23/2010,,
05001,VT,1.84,13910.0,01/24/2010,,
05477,VT,4.0,29930.0,01/28/2010,,
05403,VT,3.36,22546.0,01/29/2010,,
05055,VT,5.04,31000.0,01/29/2010,,
05032,VT,4.41,15789.0,02/09/2010,,
05495,VT,5.04,32000.0,02/12/2010,,
05301,VT,5.7,29950.0,02/12/2010,,
05660,VT,4.2,21560.0,02/15/2010,,
05354,VT,4.5,29405.0,02/18/2010,,
05732,VT,2.016,21469.0,02/21/2010,,
05262,VT,3.01,18007.0,02/21/2010,,
05344,VT,3.4,26921.0,02/23/2010,,
05471,VT,3.36,24093.0,02/25/2010,,
05461,VT,4.1,31200.0,03/03/2010,,
05443,VT,5.376,42944.12,03/05/2010,,
05070,VT,3.2,29799.39,03/10/2010,,
05055,VT,2.4,20725.89,03/12/2010,,
05445,VT,5.04,35506.68,03/17/2010,,
05478,VT,3.78,26460.0,03/23/2010,,
05464,VT,7.0,48055.59,03/31/2010,,
05055,VT,3.2,19115.55,04/01/2010,,
05042,VT,5.76,21419.0,04/06/2010,,
05401,VT,2.52,18200.0,04/07/2010,,
05401,VT,2.94,36527.0,04/08/2010,,
05035,VT,6.3,28357.0,04/11/2010,,
05143,VT,8.385,51514.0,04/13/2010,,
05667,VT,4.05,27801.73,04/16/2010,,
05070,VT,3.84,21503.0,04/17/2010,,
05074,VT,3.84,22203.0,04/17/2010,,
05753,VT,2.66,21181.07,04/22/2010,,
05151,VT,5.76,34848.0,04/27/2010,,
05065,VT,2.4,18652.0,04/30/2010,,
05676,VT,2.76,18795.0,05/23/2010,,
05445,VT,7.8,62000.0,05/24/2010,,
05461,VT,5.04,29900.0,05/25/2010,,
05866,VT,5.17,29180.0,05/26/2010,,
05446,VT,3.36,40040.0,05/26/2010,,
05043,VT,4.92,39247.19,06/01/2010,,
05055,VT,4.6,28847.04,06/03/2010,,
05655,VT,3.42,23919.0,06/03/2010,,
05733,VT,8.16,44376.0,06/05/2010,,
05143,VT,1.68,18759.6,06/08/2010,,
05037,VT,8.28,56008.75,06/10/2010,,
05667,VT,5.25,35187.0,06/12/2010,,
05262,VT,4.32,40067.46,06/12/2010,,
05673,VT,3.68,31534.0,06/14/2010,,
05454,VT,3.36,23783.0,06/14/2010,,
05350,VT,10.8,65627.0,06/16/2010,,
05161,VT,5.04,42500.0,06/18/2010,,
05001,VT,2.4,15346.0,06/21/2010,,
05445,VT,3.84,22579.0,06/27/2010,,
05462,VT,3.96,25974.0,06/28/2010,,
05151,VT,1.2,17820.0,06/28/2010,,
05656,VT,3.075,23500.0,06/30/2010,,
05344,VT,3.51,22164.49,06/30/2010,,
05472,VT,5.06,26430.0,07/08/2010,,
05053,VT,2.64,19967.49,07/09/2010,,
05353,VT,7.14,32150.0,07/13/2010,,
05457,VT,3.9,31000.0,07/14/2010,,
05075,VT,0.76,0.0,07/14/2010,,
05403,VT,7.2,35228.0,07/14/2010,,
05821,VT,1.95,15225.0,07/14/2010,,
05401,VT,3.36,21684.0,07/15/2010,,
05495,VT,4.1,34476.33,07/15/2010,,
05363,VT,3.44,21296.0,07/16/2010,,
05346,VT,3.42,19550.0,07/16/2010,,
05839,VT,1.84,13432.6,07/18/2010,,
05477,VT,2.7,15500.0,07/22/2010,,
05352,VT,4.725,27942.0,07/22/2010,,
05677,VT,3.99,23468.0,07/23/2010,,
05641,VT,3.36,19358.0,07/23/2010,,
05472,VT,5.28,33632.47,07/23/2010,,
05301,VT,4.3,30121.0,07/27/2010,,
05446,VT,2.4,14880.0,07/29/2010,,
05674,VT,3.99,23227.0,07/29/2010,,
05777,VT,3.36,24516.0,07/29/2010,,
05482,VT,3.87,28416.0,07/30/2010,,
05201,VT,2.88,19123.0,08/02/2010,,
05676,VT,14.85,76923.0,08/02/2010,,
05354,VT,4.515,27982.0,08/03/2010,,
05767,VT,2.76,25062.39,08/08/2010,,
05651,VT,3.87,38415.94,08/08/2010,,
05477,VT,5.4,26074.0,08/09/2010,,
05354,VT,5.805,36302.0,08/13/2010,,
05443,VT,3.075,14456.23,08/15/2010,,
05753,VT,2.3,15096.0,08/17/2010,,
05001,VT,1.374,15027.81,08/17/2010,,
05465,VT,3.36,29741.0,08/20/2010,,
05035,VT,6.9,28105.0,08/23/2010,,
05075,VT,1.84,13364.0,08/24/2010,,
05651,VT,9.9,52767.0,08/24/2010,,
05672,VT,5.25,36971.94,08/30/2010,,
05345,VT,2.58,17228.0,08/31/2010,,
05733,VT,5.52,25198.27,09/03/2010,,
05446,VT,7.35,59670.84,09/03/2010,,
05055,VT,5.76,35595.0,09/07/2010,,
05156,VT,5.4,47948.0,09/08/2010,,
05445,VT,1.05,5900.0,09/09/2010,,
05486,VT,3.36,22550.0,09/09/2010,,
05602,VT,8.0,0.0,09/11/2010,,
05495,VT,21.6,112420.0,09/14/2010,,
05443,VT,1.344,13054.33,09/19/2010,,
05660,VT,5.4,66955.0,09/21/2010,,
05452,VT,3.22,18547.0,09/23/2010,,
05669,VT,5.52,32295.0,09/24/2010,,
05819,VT,6.3,33774.0,09/26/2010,,
05476,VT,30.36,146278.0,09/29/2010,,
05491,VT,3.15,23500.0,09/30/2010,,
05822,VT,1.84,13800.0,10/01/2010,,
05465,VT,9.66,48819.0,10/04/2010,,
05490,VT,7.74,43548.0,10/05/2010,,
