Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MI
49525,MI,9.72,79740.0,10/12/2010,,
48324,MI,3.44,22000.0,02/01/2011,,
48801,MI,2.25,24000.0,12/28/2010,,
48723,MI,2.25,24000.0,02/25/2010,,
48370,MI,10.56,68700.0,03/19/2010,,
48101,MI,2.25,21494.0,10/26/2010,,
49265,MI,1.125,14000.0,11/03/2010,,
48103,MI,19.8,71000.0,03/20/2011,,
48103,MI,3.4,13000.0,06/20/2010,,
49440,MI,30,,10/13/2003,,
48105,MI,4.92,22500.0,12/30/2010,,
49301,MI,2.0,8000.0,11/18/2010,,
49333,MI,4.928,28000.0,11/29/2010,,
49504,MI,1.488,,07/31/2009,,
48036,MI,4.8,,03/16/2011,,
48213,MI,19.8,,04/30/2011,,
48067,MI,38.64,,04/30/2011,,
48201,MI,19.6,,04/05/2010,,
48383,MI,15.6,,03/11/2010,,
48382,MI,2.4,,04/12/2010,,
48201,MI,0.26,,11/25/2009,,
48098,MI,3.9,,11/16/2009,,
48098,MI,6.9,,10/19/2009,,
48324,MI,3.7,,09/10/2009,,
48032,MI,19.7,,08/11/2009,,
48089,MI,1.3,,07/23/2009,,
48059,MI,2.0,,06/18/2009,,
48421,MI,3.075,,04/15/2009,,
48120,MI,1.4,,08/03/2010,,
49230,MI,20.1,,07/08/2010,,
48455,MI,3.7,,07/20/2010,,
48331,MI,15.2,,07/27/2010,,
48021,MI,1.8,,06/18/2010,,
48066,MI,1.8,,06/14/2010,,
49307,MI,3.7,,06/02/2010,,
48350,MI,12.3,,05/26/2010,,
48051,MI,4.1,,05/17/2010,,
48051,MI,8.6,,05/13/2010,,
48331,MI,4.1,,04/14/2010,,
48331,MI,0.21,,03/17/2010,,
48382,MI,1.5,,01/13/2010,,
48912,MI,53.5,600000.0,12/23/2008,,
49053,MI,158.8,,02/17/2010,,
49441,MI,150.0,650000.0,05/01/2010,,
49684,MI,40.2,239400.0,08/01/2010,,
49654,MI,2.0,,10/15/2008,,
49684,MI,15.0,,06/08/2009,,
49870,MI,5.533,40895.0,11/11/2010,,
49686,MI,4.032,30900.0,11/10/2009,,
48462,MI,3.01,21000.0,10/01/2009,,
48348,MI,3.87,24187.5,10/01/2010,,
49883,MI,1.6,,06/01/2008,,
49686,MI,4.0,,03/15/2007,,
49686,MI,8.0,,06/01/2006,,
49870,MI,5.53,,11/11/2010,,
49686,MI,4.0,30900.0,11/01/2009,,
48189,MI,3.2,44000.0,09/01/2006,,
48462,MI,13.16,62435.56,11/16/2010,,
49920,MI,2.0,50100.0,12/13/2010,,
49839,MI,1.0,,08/25/2010,,
49870,MI,2.0,50100.0,06/25/2010,,
49908,MI,2.0,50100.0,08/25/2010,,
49837,MI,2.0,50100.0,06/11/2010,,
49417,MI,4.2,21219.0,08/03/2010,,
49404,MI,18.96,77500.0,04/23/2010,,
48858,MI,21.6,96422.4,05/04/2010,,
48455,MI,19.8,121000.0,10/07/2010,,
49546,MI,1.41,,03/03/2011,,
49512,MI,149.6,,11/01/2010,,
49417,MI,7.59,,08/01/2010,,
49302,MI,11.28,,05/01/2010,,
49512,MI,149.5,,04/01/2010,,
49548,MI,149.46,,12/01/2009,,
49301,MI,8.46,,09/01/2009,,
49621,MI,2.1,14000.0,11/27/2010,,
49346,MI,4.3,,02/16/2011,,
48370,MI,4.5,,11/23/2010,,
49408,MI,3.0,,11/15/2010,,
49720,MI,4.0,,10/26/2010,,
49333,MI,5.0,,10/17/2010,,
49506,MI,5.0,,09/14/2010,,
49349,MI,5.5,,07/30/2010,,
49055,MI,2.0,,06/28/2010,,
49442,MI,2.0,,06/23/2010,,
48854,MI,4.0,,05/24/2010,,
48161,MI,4.0,,06/12/2010,,
49345,MI,2.0,,05/18/2010,,
49331,MI,10.0,,04/13/2010,,
49079,MI,2.0,,04/20/2010,,
48202,MI,10.0,,03/15/2010,,
48820,MI,4.0,,08/24/2009,,
49423,MI,1.4,,08/10/2009,,
49104,MI,4.3,,06/22/2009,,
49070,MI,2.0,,06/17/2009,,
49506,MI,8.1,,04/29/2009,,
49079,MI,3.3,,04/07/2009,,
49012,MI,2.0,,02/04/2009,,
49502,MI,10.0,,01/08/2009,,
49058,MI,5.0,,11/01/2008,,
49404,MI,2.0,,07/01/2008,,
49079,MI,2.0,,05/01/2008,,
49341,MI,3.0,,05/01/2008,,
49686,MI,1.76,8000.0,08/14/2010,,
48823,MI,1.26,9000.0,05/26/2010,,
48188,MI,2.118,25425.0,11/24/2010,,
48188,MI,1.226,18224.3,08/31/2010,,
49337,MI,6.0,,10/04/2010,,
49070,MI,2.1,15000.0,08/10/2009,,
48116,MI,4.6,21000.0,08/10/2010,,
48910,MI,2.1,17185.0,10/04/2010,,
48629,MI,4.7,32900.0,02/15/2010,,
48198,MI,2.28,17000,04/01/2009,,
48104,MI,10,100000,06/09/2008,,
49866,MI,10.25,89915,07/01/2009,,
49686,MI,8,90000,10/07/2006,,
48104,MI,10,90321,09/30/2008,,
49245,MI,15.68,48608,11/20/2009,,
