Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=HI
96822,HI,87.0,,01/23/2009,,
96822,HI,27.7,,12/29/2009,,
96822,HI,4.77,,04/23/2009,,
96822,HI,4.77,,04/23/2009,,
96822,HI,3.0,,09/09/2009,,
96822,HI,3.5,,08/17/2009,,
96822,HI,1.5,,08/28/2009,,
96822,HI,1.2,,09/15/2009,,
96822,HI,1.6,,04/03/2009,,
96822,HI,4.9,,01/27/2009,,
96822,HI,3.7,,04/03/2009,,
96822,HI,3.1,,09/15/2009,,
96822,HI,4.3,,06/03/2009,,
96822,HI,3.3,,09/28/2009,,
96822,HI,3.2,,11/25/2009,,
96822,HI,1.6,,12/08/2009,,
96822,HI,1.9,,09/25/2009,,
96822,HI,1.8,,10/30/2009,,
96822,HI,1.4,,06/30/2009,,
96822,HI,2.1,,08/24/2009,,
96822,HI,1.8,,12/07/2009,,
96822,HI,1.6,,11/10/2009,,
96822,HI,1.6,,10/15/2009,,
96822,HI,1.5,,02/11/2009,,
96822,HI,1.4,,07/28/2009,,
96822,HI,1.5,,03/03/2009,,
96822,HI,1.03,,03/25/2009,,
96822,HI,1.8,,04/07/2009,,
96822,HI,2.4,,11/25/2009,,
96822,HI,3.7,,12/14/2009,,
96822,HI,0.77,,01/06/2009,,
96822,HI,1.86,,06/30/2009,,
96822,HI,1.55,,03/03/2009,,
96822,HI,1.8,,10/30/2009,,
96822,HI,7.5,,10/27/2009,,
96822,HI,2.8,,04/07/2009,,
96822,HI,3.31,,08/25/2009,,
96822,HI,3.7,,10/26/2009,,
96822,HI,2.4,,06/03/2009,,
96822,HI,7.4,,02/23/2009,,
96822,HI,1.54,,05/05/2009,,
96822,HI,2.7,,05/20/2009,,
96822,HI,3.31,,04/03/2009,,
96822,HI,0.7,,03/30/2009,,
96822,HI,2.48,,02/11/2009,,
96822,HI,3.3,,06/23/2009,,
96822,HI,3.3,,10/01/2009,,
96822,HI,1.5,,04/23/2009,,
96822,HI,1.9,,10/30/2009,,
96822,HI,1.5,,06/03/2009,,
96822,HI,4.8,,10/27/2009,,
96822,HI,3.4,,11/10/2009,,
96822,HI,1.24,,02/23/2009,,
96822,HI,0.77,,07/09/2009,,
96822,HI,1.8,,10/30/2009,,
96822,HI,5.5,,07/13/2009,,
96822,HI,3.3,,05/21/2009,,
96822,HI,12.95,,01/15/2009,,
96822,HI,1.5,,06/30/2009,,
96822,HI,2.54,,04/14/2009,,
96822,HI,1.24,,02/23/2009,,
96822,HI,1.8,,11/10/2009,,
96822,HI,4.9,,03/11/2009,,
96822,HI,1.35,,02/11/2009,,
96822,HI,31.2,,01/02/2009,,
96822,HI,0.7,,08/28/2009,,
96822,HI,3.76,,02/24/2009,,
96822,HI,1.16,,05/05/2009,,
96822,HI,1.54,,01/16/2009,,
96822,HI,1.54,,12/18/2009,,
96822,HI,7.7,,10/27/2009,,
96822,HI,15.0,,10/27/2009,,
96822,HI,2.7,,03/16/2009,,
96822,HI,2.4,,01/16/2009,,
96822,HI,4.9,,03/16/2009,,
96822,HI,2.43,,10/14/2009,,
96822,HI,1.54,,06/30/2009,,
96822,HI,1.24,,04/23/2009,,
96822,HI,1.2,,08/17/2009,,
96822,HI,3.3,,07/22/2009,,
96822,HI,6.9,,10/14/2009,,
96822,HI,3.32,,09/10/2009,,
96822,HI,1.2,,10/27/2009,,
96822,HI,1.5,,01/22/2009,,
96822,HI,3.2,,08/04/2009,,
96822,HI,2.8,,12/14/2009,,
96822,HI,7.42,,08/17/2009,,
96822,HI,1.5,,11/25/2009,,
96822,HI,15.74,,10/02/2009,,
96822,HI,1.87,,12/22/2009,,
96822,HI,53.74,,03/12/2009,,
96822,HI,67.76,,03/12/2009,,
96822,HI,81.24,,03/12/2009,,
96822,HI,21.0,,03/12/2009,,
96822,HI,6.0,,09/28/2009,,
96822,HI,3.8,,10/01/2009,,
96822,HI,2.8,,10/14/2009,,
96822,HI,1.5,,05/21/2009,,
96822,HI,1.8,,12/22/2009,,
96822,HI,1.9,,03/06/2009,,
96822,HI,1.55,,02/11/2009,,
96822,HI,1.2,,04/03/2009,,
96822,HI,8.0,,08/17/2009,,
96822,HI,1.6,,11/10/2009,,
96822,HI,1.4,,08/24/2009,,
96822,HI,3.7,,11/25/2009,,
96822,HI,75.0,,03/09/2009,,
96822,HI,14.0,,03/09/2009,,
96822,HI,4.9,,05/21/2009,,
96822,HI,4.97,,04/03/2009,,
96822,HI,2.0,,09/28/2009,,
96822,HI,10.6,,05/06/2009,,
96822,HI,4.0,,09/28/2009,,
96822,HI,0.46,,06/22/2009,,
96822,HI,1.86,,07/28/2009,,
96822,HI,8.2,,10/01/2009,,
96822,HI,2.5,,03/04/2009,,
96822,HI,1.9,,12/04/2009,,
96822,HI,5.12,,08/05/2009,,
96822,HI,1.6,,11/24/2009,,
96822,HI,3.3,,03/24/2009,,
96822,HI,1.8,,12/22/2009,,
96822,HI,3.0,,04/23/2009,,
96822,HI,3.4,,03/16/2009,,
96822,HI,1.5,,10/30/2009,,
96822,HI,1.9,,08/05/2009,,
96822,HI,6.0,,09/28/2009,,
96822,HI,1.5,,10/30/2009,,
96822,HI,8.5,,07/17/2009,,
96822,HI,1.55,,06/03/2009,,
96822,HI,3.8,,08/07/2009,,
96822,HI,1.6,,11/25/2009,,
96822,HI,3.6,,02/11/2009,,
96822,HI,1.2,,09/28/2009,,
96822,HI,4.27,,09/21/2009,,
96822,HI,1.1,,03/03/2009,,
96822,HI,2.6,,11/24/2009,,
96822,HI,3.0,,04/23/2009,,
96822,HI,1.55,,05/21/2009,,
96822,HI,1.4,,12/01/2009,,
96822,HI,2.8,,08/24/2009,,
96822,HI,0.7,,01/22/2009,,
96822,HI,12.0,,03/23/2009,,
96822,HI,12.0,,03/23/2009,,
96822,HI,3.0,,12/02/2009,,
96822,HI,1.9,,08/05/2009,,
96822,HI,2.32,,06/30/2009,,
96822,HI,1.5,,07/13/2009,,
96822,HI,21.7,,05/06/2009,,
96822,HI,1.68,,09/10/2009,,
96822,HI,1.24,,03/11/2009,,
96822,HI,3.8,,09/09/2009,,
96822,HI,1.5,,09/10/2009,,
96822,HI,8.2,,04/07/2009,,
96712,HI,4.7,,06/16/2009,,
96712,HI,3.0,,11/24/2009,,
96712,HI,5.48,,03/25/2009,,
96712,HI,0.9,,11/25/2009,,
96706,HI,3.73,,04/01/2009,,
96706,HI,0.77,,04/27/2009,,
96706,HI,1.7,,07/28/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,1.1,,12/02/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,1.42,,12/02/2009,,
96706,HI,3.6,,10/30/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,2.4,,10/30/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,1.5,,12/04/2009,,
96706,HI,1.5,,06/03/2009,,
96706,HI,3.0,,05/06/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,2.4,,07/22/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,1.5,,06/15/2009,,
96706,HI,2.85,,01/27/2009,,
96706,HI,2.9,,10/16/2009,,
96706,HI,1.1,,12/02/2009,,
96706,HI,1.8,,10/14/2009,,
96706,HI,3.31,,04/14/2009,,
96706,HI,1.1,,09/25/2009,,
96706,HI,1.86,,08/05/2009,,
96706,HI,1.45,,04/14/2009,,
96706,HI,1.86,,04/14/2009,,
96706,HI,1.1,,10/19/2009,,
96706,HI,1.6,,06/03/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,1.1,,09/25/2009,,
96706,HI,2.78,,05/21/2009,,
96706,HI,4.5,,04/14/2009,,
96706,HI,1.4,,01/26/2009,,
96706,HI,1.5,,04/14/2009,,
96706,HI,2.6,,11/10/2009,,
96706,HI,1.1,,09/25/2009,,
96706,HI,3.2,,10/30/2009,,
96706,HI,5.2,,12/04/2009,,
96706,HI,1.1,,10/01/2009,,
96706,HI,4.5,,07/22/2009,,
96706,HI,1.1,,10/14/2009,,
96706,HI,1.1,,09/25/2009,,
96706,HI,1.5,,08/17/2009,,
96706,HI,1.1,,10/14/2009,,
96706,HI,1.1,,09/25/2009,,
96706,HI,1.1,,10/14/2009,,
96706,HI,3.6,,04/23/2009,,
96706,HI,4.1,,04/23/2009,,
96706,HI,1.8,,12/14/2009,,
96706,HI,0.7,,01/22/2009,,
96706,HI,1.1,,02/11/2009,,
96701,HI,1.5,,03/19/2009,,
96701,HI,0.9,,08/10/2009,,
96701,HI,1.0,,03/09/2009,,
96701,HI,2.5,,06/30/2009,,
96701,HI,2.8,,03/24/2009,,
96701,HI,0.7,,01/20/2009,,
96701,HI,1.7,,01/09/2009,,
96701,HI,7.96,,04/23/2009,,
96701,HI,1.2,,02/23/2009,,
96701,HI,6.6,,04/07/2009,,
96701,HI,3.42,,01/09/2009,,
96701,HI,1.5,,07/22/2009,,
96701,HI,3.5,,10/01/2009,,
96701,HI,1.24,,10/01/2009,,
96701,HI,1.8,,12/04/2009,,
96701,HI,8.49,,03/26/2009,,
96701,HI,1.24,,09/25/2009,,
96701,HI,2.23,,01/27/2009,,
96701,HI,2.22,,01/19/2009,,
96701,HI,7.7,,12/14/2009,,
96701,HI,1.8,,11/10/2009,,
96701,HI,1.5,,11/10/2009,,
96701,HI,1.5,,01/16/2009,,
96701,HI,1.55,,07/09/2009,,
96701,HI,47.14,,12/29/2009,,
96701,HI,51.63,,12/29/2009,,
96701,HI,2.14,,04/07/2009,,
96701,HI,1.7,,12/04/2009,,
96796,HI,216.0,,02/07/2008,,
96796,HI,15.0,,01/17/2008,,
96796,HI,175.0,,01/15/2008,,
96796,HI,3.2,,02/20/2006,,
96738,HI,2.3,,01/06/2010,,
96738,HI,2.66,,12/29/2009,,
96738,HI,2.85,,12/17/2009,,
96738,HI,4.0,,12/15/2009,,
96738,HI,1.14,,10/29/2009,,
96738,HI,3.5,,09/29/2009,,
96738,HI,1.68,,09/23/2009,,
96738,HI,1.4,,08/25/2009,,
96738,HI,1.4,,08/15/2009,,
96738,HI,1.4,,08/15/2009,,
96738,HI,2.25,,08/14/2009,,
96738,HI,1.4,,06/16/2009,,
96738,HI,1.8,,05/27/2009,,
96738,HI,1.75,,05/08/2009,,
96738,HI,7.0,,04/25/2009,,
96738,HI,3.0,,01/13/2009,,
96738,HI,8.0,,12/30/2008,,
96738,HI,30.0,,12/22/2008,,
96738,HI,1.55,,12/18/2008,,
96738,HI,1.55,,11/19/2008,,
96738,HI,2.6,,07/28/2008,,
96738,HI,2.5,,06/20/2008,,
96738,HI,300.0,,05/13/2008,,
96738,HI,110.0,,05/13/2008,,
96738,HI,110.0,,05/13/2008,,
96738,HI,90.0,,05/13/2008,,
96738,HI,5.0,,05/13/2008,,
96738,HI,20.0,,01/15/2008,,
96738,HI,6.0,,01/13/2008,,
96738,HI,45.0,,01/10/2008,,
96738,HI,45.0,,01/10/2008,,
96738,HI,45.0,,08/01/2006,,
96738,HI,45.0,,08/01/2006,,
96738,HI,3.2,,07/30/2006,,
96738,HI,2.5,,12/11/2003,,
96738,HI,3.0,,12/04/2001,,
96785,HI,3.06,,10/14/2008,,
96785,HI,3.4,,09/01/2008,,
96785,HI,4.5,,04/10/2008,,
96785,HI,1.6,,03/14/2008,,
96785,HI,1.28,,01/09/2008,,
96783,HI,0.16,,12/14/2009,,
96783,HI,1.04,,07/21/2009,,
96783,HI,3.0,,05/15/2009,,
96783,HI,3.8,,05/06/2006,,
96781,HI,2.1,,04/20/2009,,
96778,HI,1.7,,09/04/2009,,
96778,HI,2.25,,07/20/2009,,
96778,HI,2.6,,07/10/2009,,
96778,HI,1.75,,04/08/2009,,
96778,HI,2.5,,03/28/2009,,
96778,HI,24.0,,03/24/2009,,
96778,HI,3.5,,03/14/2009,,
96778,HI,25.0,,12/23/2008,,
96778,HI,1.8,,11/10/2008,,
96778,HI,2.25,,09/25/2008,,
96778,HI,1.4,,08/01/2008,,
96778,HI,49.0,,07/29/2008,,
96778,HI,4.05,,02/22/2008,,
96778,HI,20.0,,01/17/2008,,
96778,HI,9.0,,01/16/2008,,
96778,HI,1.05,,12/17/2007,,
96778,HI,20.0,,10/06/2006,,
96778,HI,9.0,,07/15/2005,,
96777,HI,3.0,,10/01/2009,,
96776,HI,1.7,,12/14/2009,,
96776,HI,7.2,,07/22/2009,,
96776,HI,4.2,,07/21/2009,,
96776,HI,2.88,,01/05/2009,,
96776,HI,4.0,,07/25/2008,,
96773,HI,3.5,,08/12/2009,,
96772,HI,3.2,,02/10/2009,,
96772,HI,2.8,,06/28/2008,,
96772,HI,4.62,,05/15/2008,,
96771,HI,4.2,,12/28/2009,,
96771,HI,1.9,,09/25/2009,,
96771,HI,0.41,,08/01/2009,,
96771,HI,1.72,,07/15/2009,,
96771,HI,2.0,,05/07/2009,,
96771,HI,4.05,,03/04/2009,,
96771,HI,16.1,,08/26/2008,,
96764,HI,1.4,,08/31/2009,,
96764,HI,1.32,,07/15/2008,,
96760,HI,3.0,,08/30/2009,,
96760,HI,3.0,,05/30/2009,,
96760,HI,7.0,,04/30/2009,,
96760,HI,3.85,,02/18/2009,,
96760,HI,1.9,,01/08/2009,,
96760,HI,1.8,,09/05/2008,,
96760,HI,2.1,,08/01/2008,,
96727,HI,2.05,,06/11/2007,,
96755,HI,5.4,,10/31/2008,,
96750,HI,1.75,,07/04/2008,,
96750,HI,5.53,,09/01/2007,,
96750,HI,2.5,,12/12/2006,,
96745,HI,40.0,,01/11/2008,,
96749,HI,3.4,,12/13/2009,,
96749,HI,2.5,,11/02/2009,,
96749,HI,6.0,,10/28/2009,,
96749,HI,2.25,,10/18/2009,,
96749,HI,4.0,,09/25/2009,,
96749,HI,0.875,,07/24/2009,,
96749,HI,1.5,,07/03/2009,,
96749,HI,7.0,,06/01/2009,,
96749,HI,1.4,,06/01/2009,,
96749,HI,2.4,,05/28/2009,,
96749,HI,3.1,,04/30/2009,,
96749,HI,4.2,,04/06/2009,,
96749,HI,3.85,,04/06/2009,,
96749,HI,2.25,,04/01/2009,,
96749,HI,4.2,,01/08/2009,,
96749,HI,2.1,,12/22/2008,,
96749,HI,75.0,,11/12/2008,,
96749,HI,2.25,,10/01/2008,,
96749,HI,1.35,,10/01/2008,,
96749,HI,1.4,,08/27/2008,,
96749,HI,2.04,,08/26/2008,,
96749,HI,1.8,,07/30/2008,,
96749,HI,5.53,,12/08/2007,,
96749,HI,5.53,,12/01/2007,,
96749,HI,2.87,,06/16/2007,,
96749,HI,2.8,,04/03/2007,,
96749,HI,4.0,,02/02/2007,,
96749,HI,4.0,,12/16/2006,,
96749,HI,5.2,,09/05/2006,,
96749,HI,3.87,,06/06/2006,,
96749,HI,3.0,,12/05/2005,,
96755,HI,3.8,,10/21/2009,,
96755,HI,3.4,,09/24/2009,,
96755,HI,2.32,,06/01/2009,,
96755,HI,3.5,,04/08/2009,,
96755,HI,12.48,,11/18/2008,,
96755,HI,3.0,,08/19/2008,,
96755,HI,3.0,,08/19/2008,,
96755,HI,1.65,,06/27/2008,,
96755,HI,3.08,,06/21/2008,,
96755,HI,1.8,,06/17/2008,,
96755,HI,3.06,,06/15/2008,,
96755,HI,3.0,,06/01/2008,,
96755,HI,3.74,,05/28/2008,,
96755,HI,2.5,,11/11/2003,,
96743,HI,1.72,,04/01/2007,,
96743,HI,5.0,,12/28/2009,,
96743,HI,1.8,,12/16/2009,,
96743,HI,1.84,,12/14/2009,,
96743,HI,2.76,,12/12/2009,,
96743,HI,7.1,,12/10/2009,,
96743,HI,10.0,,11/26/2009,,
96743,HI,7.7,,10/28/2009,,
96743,HI,2.24,,09/28/2009,,
96743,HI,2.14,,09/18/2009,,
96743,HI,14.8,,08/14/2009,,
96743,HI,3.86,,08/06/2009,,
96743,HI,10.78,,08/03/2009,,
96743,HI,4.2,,06/01/2009,,
96743,HI,1.35,,05/11/2009,,
96743,HI,1.75,,05/06/2009,,
96743,HI,7.0,,05/01/2009,,
96743,HI,1.8,,05/01/2009,,
96743,HI,5.4,,04/03/2009,,
96743,HI,2.8,,03/30/2009,,
96743,HI,0.775,,03/13/2009,,
96743,HI,7.0,,01/09/2009,,
96743,HI,3.0,,12/29/2008,,
96743,HI,1.75,,12/15/2008,,
96743,HI,4.05,,12/14/2008,,
96743,HI,8.0,,11/30/2008,,
96743,HI,21.0,,09/30/2008,,
96743,HI,5.0,,09/09/2008,,
96743,HI,1.32,,08/28/2008,,
96743,HI,5.0,,08/01/2008,,
96743,HI,3.6,,06/03/2008,,
96743,HI,15.0,,05/14/2008,,
96743,HI,2.0,,05/14/2008,,
96743,HI,1.4,,04/28/2008,,
96743,HI,7.6,,02/12/2008,,
96743,HI,2.5,,02/12/2008,,
96743,HI,7.2,,01/16/2008,,
96743,HI,4.56,,11/30/2007,,
96743,HI,30.0,,06/22/2007,,
96743,HI,20.0,,06/22/2007,,
96743,HI,5.2,,12/04/2006,,
96743,HI,4.9,,12/01/2006,,
96743,HI,3.44,,11/20/2006,,
96743,HI,5.2,,11/01/2006,,
96743,HI,5.14,,08/04/2006,,
96743,HI,3.8,,05/05/2006,,
96743,HI,3.8,,10/22/2005,,
96743,HI,2.5,,10/15/2003,,
96743,HI,5.0,,06/25/2003,,
96743,HI,2.5,,07/23/2002,,
96743,HI,7.2,,08/16/2001,,
96740,HI,4.83,,12/31/2009,,
96740,HI,12.0,,12/28/2009,,
96740,HI,12.0,,12/28/2009,,
96740,HI,2.7,,12/23/2009,,
96740,HI,2.3,,12/23/2009,,
96740,HI,11.2,,12/22/2009,,
96740,HI,5.94,,12/22/2009,,
96740,HI,5.25,,12/22/2009,,
96740,HI,6.65,,12/21/2009,,
96740,HI,1.87,,12/15/2009,,
96740,HI,50.0,,12/10/2009,,
96740,HI,1.4,,12/10/2009,,
96740,HI,1.4,,12/09/2009,,
96740,HI,2.76,,12/08/2009,,
96740,HI,1.61,,12/08/2009,,
96740,HI,1.3,,12/08/2009,,
96740,HI,3.5,,12/07/2009,,
96740,HI,3.0,,12/07/2009,,
96740,HI,2.8,,12/07/2009,,
96740,HI,2.1,,12/05/2009,,
96740,HI,3.42,,12/01/2009,,
96740,HI,2.88,,12/01/2009,,
96740,HI,8.22,,11/17/2009,,
96740,HI,3.6,,11/17/2009,,
96740,HI,7.87,,11/16/2009,,
96740,HI,1.75,,10/23/2009,,
96740,HI,1.6,,10/22/2009,,
96740,HI,1.4,,10/21/2009,,
96740,HI,2.88,,10/14/2009,,
96740,HI,91.0,,10/05/2009,,
96740,HI,2.1,,10/02/2009,,
96740,HI,2.1,,10/01/2009,,
96740,HI,2.1,,09/10/2009,,
96740,HI,1.0,,09/04/2009,,
96740,HI,2.1,,08/25/2009,,
96740,HI,5.25,,08/17/2009,,
96740,HI,1.75,,08/13/2009,,
96740,HI,5.5,,08/07/2009,,
96740,HI,1.55,,07/21/2009,,
96740,HI,21.0,,07/13/2009,,
96740,HI,1.8,,07/05/2009,,
96740,HI,1.75,,06/30/2009,,
96740,HI,4.2,,05/29/2009,,
96740,HI,2.95,,05/14/2009,,
96740,HI,5.0,,05/07/2009,,
96740,HI,3.5,,05/07/2009,,
96740,HI,7.0,,04/30/2009,,
96740,HI,5.0,,03/31/2009,,
96740,HI,1.8,,03/31/2009,,
96740,HI,56.0,,03/25/2009,,
96740,HI,5.4,,02/24/2009,,
96740,HI,1.35,,02/19/2009,,
96740,HI,1.35,,02/18/2009,,
96740,HI,7.0,,02/05/2009,,
96740,HI,6.0,,01/20/2009,,
96740,HI,7.0,,01/16/2009,,
96740,HI,3.0,,01/06/2009,,
96740,HI,100.0,,12/31/2008,,
96740,HI,36.0,,12/31/2008,,
96740,HI,36.0,,12/31/2008,,
96740,HI,36.0,,12/31/2008,,
96740,HI,36.0,,12/31/2008,,
96740,HI,36.0,,12/31/2008,,
96740,HI,36.0,,12/31/2008,,
96740,HI,24.0,,12/31/2008,,
96740,HI,24.0,,12/31/2008,,
96740,HI,24.0,,12/31/2008,,
96740,HI,18.0,,12/31/2008,,
96740,HI,18.0,,12/31/2008,,
96740,HI,18.0,,12/31/2008,,
96740,HI,18.0,,12/31/2008,,
96740,HI,3.9,,12/31/2008,,
96740,HI,2.4,,12/22/2008,,
96740,HI,7.0,,12/16/2008,,
96740,HI,3.0,,12/10/2008,,
96740,HI,0.77,,12/09/2008,,
96740,HI,9.6,,11/19/2008,,
96740,HI,3.4,,11/06/2008,,
96740,HI,1.55,,11/05/2008,,
96740,HI,1.6,,10/31/2008,,
96740,HI,1.6,,10/15/2008,,
96740,HI,1.6,,10/09/2008,,
96740,HI,4.0,,10/06/2008,,
96740,HI,1.35,,10/04/2008,,
96740,HI,700.0,,09/12/2008,,
96740,HI,1.57,,09/05/2008,,
96740,HI,1.8,,09/01/2008,,
96740,HI,3.2,,08/26/2008,,
96740,HI,16.8,,08/08/2008,,
96740,HI,3.0,,08/01/2008,,
96740,HI,3.87,,06/30/2008,,
96740,HI,2.6,,06/24/2008,,
96740,HI,3.62,,06/07/2008,,
96740,HI,1.9,,05/14/2008,,
96740,HI,50.0,,04/01/2008,,
96740,HI,3.0,,03/01/2008,,
96740,HI,200.0,,02/07/2008,,
96740,HI,680.0,,01/31/2008,,
96740,HI,2.1,,01/21/2008,,
96740,HI,1.4,,12/17/2007,,
96740,HI,21.0,,12/16/2007,,
96740,HI,4.51,,12/13/2007,,
96740,HI,3.0,,12/13/2007,,
96740,HI,7.0,,12/09/2007,,
96740,HI,33.0,,12/04/2007,,
96740,HI,33.0,,12/04/2007,,
96740,HI,70.0,,12/03/2007,,
96740,HI,7.5,,11/26/2007,,
96740,HI,1.23,,11/02/2007,,
96740,HI,4.51,,11/01/2007,,
96740,HI,4.0,,10/24/2007,,
96740,HI,2.1,,10/14/2007,,
96740,HI,6.0,,07/01/2007,,
96740,HI,5.76,,12/20/2006,,
96740,HI,2.5,,12/14/2006,,
96740,HI,3.8,,03/03/2006,,
96740,HI,5.5,,01/11/2006,,
96740,HI,3.8,,08/01/2005,,
96740,HI,6.0,,05/30/2005,,
96740,HI,2.25,,07/01/2004,,
96740,HI,10.0,,03/24/2003,,
96740,HI,3.0,,02/03/2003,,
96718,HI,0.72,,09/01/2009,,
96718,HI,0.9,,06/02/2004,,
96728,HI,2.25,,10/31/2009,,
96783,HI,6.0,,08/28/2009,,
96728,HI,3.0,,07/14/2009,,
96728,HI,1.35,,04/19/2009,,
96727,HI,4.8,,07/17/2009,,
96727,HI,3.15,,04/21/2009,,
96727,HI,4.0,,03/31/2009,,
96727,HI,1.55,,03/14/2009,,
96727,HI,3.6,,11/20/2008,,
96727,HI,1.8,,06/19/2008,,
96727,HI,5.12,,11/22/2007,,
96727,HI,13.75,,07/20/2007,,
96727,HI,10.4,,07/01/2007,,
96727,HI,3.0,,01/23/2007,,
96727,HI,13.7,,12/28/2006,,
96726,HI,1.8,,07/05/2009,,
96726,HI,1.92,,02/15/2008,,
96725,HI,9.4,,10/30/2009,,
96725,HI,2.2,,04/15/2009,,
96725,HI,2.7,,11/28/2008,,
96725,HI,18.0,,09/21/2008,,
96725,HI,2.25,,08/29/2008,,
96725,HI,2.25,,06/23/2008,,
96725,HI,2.25,,05/31/2008,,
96725,HI,18.0,,12/07/2007,,
96725,HI,1.94,,09/21/2007,,
96725,HI,5.0,,05/16/2007,,
96725,HI,5.0,,01/01/2004,,
96720,HI,18.9,,01/05/2010,,
96720,HI,100.0,,12/28/2009,,
96720,HI,95.0,,12/24/2009,,
96720,HI,2.1,,12/24/2009,,
96720,HI,4.0,,12/20/2009,,
96720,HI,5.4,,12/19/2009,,
96720,HI,2.5,,12/10/2009,,
96720,HI,2.0,,12/10/2009,,
96720,HI,8.0,,12/04/2009,,
96720,HI,1.9,,12/02/2009,,
96720,HI,5.94,,12/01/2009,,
96720,HI,4.32,,11/30/2009,,
96720,HI,1.9,,11/25/2009,,
96720,HI,1.44,,11/23/2009,,
96720,HI,2.0,,11/10/2009,,
96720,HI,2.5,,11/09/2009,,
96720,HI,2.25,,11/03/2009,,
96720,HI,7.0,,11/02/2009,,
96720,HI,1.75,,10/30/2009,,
96720,HI,4.0,,10/12/2009,,
96720,HI,5.4,,10/11/2009,,
96720,HI,1.6,,10/01/2009,,
96720,HI,10.0,,09/30/2009,,
96720,HI,5.0,,09/30/2009,,
96720,HI,1.87,,09/20/2009,,
96720,HI,6.5,,09/17/2009,,
96720,HI,1.8,,09/17/2009,,
96720,HI,2.8,,09/14/2009,,
96720,HI,3.5,,09/10/2009,,
96720,HI,3.35,,09/03/2009,,
96720,HI,5.0,,08/10/2009,,
96720,HI,3.0,,08/10/2009,,
96720,HI,0.68,,08/10/2009,,
96720,HI,1.56,,07/31/2009,,
96720,HI,4.0,,07/27/2009,,
96720,HI,1.57,,07/21/2009,,
96720,HI,7.0,,06/30/2009,,
96720,HI,2.25,,06/30/2009,,
96720,HI,50.0,,06/08/2009,,
96720,HI,5.0,,06/01/2009,,
96720,HI,7.0,,05/20/2009,,
96720,HI,2.0,,05/20/2009,,
96720,HI,2.3,,05/15/2009,,
96720,HI,4.0,,05/01/2009,,
96720,HI,7.0,,04/30/2009,,
96720,HI,5.0,,04/30/2009,,
96720,HI,4.0,,04/30/2009,,
96720,HI,3.0,,04/30/2009,,
96720,HI,95.0,,04/27/2009,,
96720,HI,4.5,,04/01/2009,,
96720,HI,2.2,,03/31/2009,,
96720,HI,1.8,,03/24/2009,,
96720,HI,1.35,,03/24/2009,,
96720,HI,3.5,,03/20/2009,,
96720,HI,35.0,,03/15/2009,,
96720,HI,14.0,,03/15/2009,,
96720,HI,3.67,,03/01/2009,,
96720,HI,1.75,,02/20/2009,,
96720,HI,2.8,,01/02/2009,,
96720,HI,4.0,,12/30/2008,,
96720,HI,0.78,,12/24/2008,,
96720,HI,1.84,,12/03/2008,,
96720,HI,7.0,,12/02/2008,,
96720,HI,7.0,,12/01/2008,,
96720,HI,3.15,,11/19/2008,,
96720,HI,5.0,,11/15/2008,,
96720,HI,7.0,,11/06/2008,,
96720,HI,7.0,,11/06/2008,,
96720,HI,3.0,,11/06/2008,,
96720,HI,2.26,,11/06/2008,,
96720,HI,14.0,,10/24/2008,,
96720,HI,7.0,,10/24/2008,,
96720,HI,1.35,,09/10/2008,,
96720,HI,1.35,,09/05/2008,,
96720,HI,1.8,,09/04/2008,,
96720,HI,2.0,,08/24/2008,,
96720,HI,1.4,,08/05/2008,,
96720,HI,1.12,,05/28/2008,,
96720,HI,1.8,,05/27/2008,,
96720,HI,3.0,,05/19/2008,,
96720,HI,3.6,,05/15/2008,,
96720,HI,1.35,,03/17/2008,,
96720,HI,5.4,,02/21/2008,,
96720,HI,1.28,,02/07/2008,,
96720,HI,64.5,,01/17/2008,,
96720,HI,22.0,,01/17/2008,,
96720,HI,3.5,,12/14/2007,,
96720,HI,5.8,,06/25/2007,,
96720,HI,2.9,,12/01/2006,,
96720,HI,4.0,,10/11/2006,,
96720,HI,3.87,,09/09/2006,,
96720,HI,10.4,,08/24/2006,,
96720,HI,1.8,,02/14/2006,,
96720,HI,20.0,,05/18/2005,,
96720,HI,3.0,,05/17/2005,,
96720,HI,1.32,,06/29/2004,,
96720,HI,2.5,,03/01/2004,,
96720,HI,1.2,,01/18/2002,,
96719,HI,6.3,,12/18/2009,,
96719,HI,4.05,,12/18/2009,,
96719,HI,7.02,,12/15/2009,,
96719,HI,12.0,,12/10/2009,,
96719,HI,3.8,,09/24/2009,,
96719,HI,3.1,,08/20/2009,,
96719,HI,6.8,,08/06/2009,,
96719,HI,4.86,,06/07/2009,,
96719,HI,1.55,,03/13/2009,,
96719,HI,3.69,,02/24/2009,,
96719,HI,32.4,,02/04/2009,,
96719,HI,2.5,,11/04/2008,,
96719,HI,3.8,,08/28/2008,,
96719,HI,4.51,,08/20/2008,,
