Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=ME
04032,ME,4.32,15725.96579,12/11/2012,,
04064,ME,6.12,18686.85724,07/09/2013,,
04106,ME,3.84,14552.48713,04/09/2013,,
04046,ME,5.28,20137.29673,09/04/2012,,
04092,ME,10.8,54731.88701,03/06/2012,,
04915,ME,7,22089.39739,01/08/2013,,
03903,ME,14,41284.10796,05/07/2013,,
04539,ME,3.5,8562.377399,10/08/2013,,
04038,ME,9.6,39702.59893,12/04/2012,,
04694,ME,8.75,26534.92009,05/07/2013,,
04072,ME,2.88,11875.31703,09/04/2012,,
04097,ME,5.208,18111.33827,08/07/2012,,
04236,ME,7.02,29484.63925,12/11/2012,,
04011,ME,3.92,14391.62992,04/09/2013,,
04416,ME,4.7,19765.86063,01/31/2012,,
04097,ME,2.82,10570.67232,03/20/2012,,
04345,ME,3.84,17539.82689,09/04/2012,,
04355,ME,4.32,16365.38995,09/04/2012,,
04953,ME,8,11150.24877,10/08/2013,,
04674,ME,7.76,27345.29491,08/07/2012,,
04676,ME,5.5,25015.52035,06/04/2013,,
04949,ME,3.78,17654.15983,07/09/2013,,
04989,ME,5.88,18107.60781,09/04/2012,,
04011,ME,5.76,22649.45688,10/09/2012,,
04011,ME,3,15544.93059,05/07/2013,,
04102,ME,3.92,15543.08248,04/09/2013,,
04849,ME,4.5,14919.66464,12/04/2012,,
04042,ME,7.2,26208.77632,08/07/2012,,
04090,ME,3.12,13839.09736,12/04/2012,,
04468,ME,2.94,11386.35367,11/06/2012,,
04679,ME,4.8,16677.64862,12/04/2012,,
04010,ME,5.52,28904.88738,12/27/2011,,
04473,ME,7.92,41775.37654,09/04/2012,,
04640,ME,3.5,11976.61282,01/08/2013,,
04849,ME,4.5,14919.66464,12/04/2012,,
04010,ME,4.8,12361.38633,05/08/2012,,
04412,ME,3.752,48162.09411,04/24/2012,,
04276,ME,4.68,16440.42546,03/05/2013,,
04988,ME,37.44,129021.5891,12/04/2012,,
04219,ME,6.9,37550.43526,01/24/2012,,
04974,ME,3.06,10498.79121,08/06/2013,,
04614,ME,3.8,14750.96253,04/09/2013,,
04038,ME,8.4,23074.04771,07/09/2013,,
04616,ME,4.59,14357.46578,10/08/2013,,
04093,ME,4,9711.280648,08/06/2013,,
04069,ME,3.5,12883.29023,12/04/2012,,
04614,ME,6.5,21929.24334,07/09/2013,,
04538,ME,27,89289.30838,07/09/2013,,
04210,ME,2.16,9904.461888,10/08/2013,,
04347,ME,2.16,8136.201364,03/05/2013,,
04074,ME,5.1,16743.61902,10/08/2013,,
04858,ME,6.5,18574.93547,04/09/2013,,
04108,ME,3.06,11758.44416,10/08/2013,,
04040,ME,4.68,17490.79888,03/05/2013,,
04680,ME,2.94,12200.76639,11/06/2012,,
04614,ME,9.36,34554.99937,07/03/2012,,
04105,ME,3.38,13641.74789,08/06/2013,,
04086,ME,3.84,15747.61838,12/04/2012,,
04021,ME,4.23,17574.18456,03/06/2012,,
04074,ME,9.18,28081.12859,08/06/2013,,
04669,ME,5.2,21862.66282,11/06/2012,,
04062,ME,10,21860.07704,09/04/2012,,
04473,ME,4.08,14765.8501,07/09/2013,,
04105,ME,6.75,24638.99843,10/09/2012,,
04988,ME,3.29,13725.91495,01/31/2012,,
04263,ME,3.3,12148.86035,06/04/2013,,
04856,ME,4.59,14973.60571,07/09/2013,,
04102,ME,7.2,25106.03852,05/07/2013,,
04046,ME,1.44,2032.751816,06/04/2013,,
04097,ME,2,12893.74222,10/08/2013,,
04074,ME,5.1,16221.90782,08/06/2013,,
04072,ME,7.5,36886.05594,02/05/2013,,
04032,ME,4,13826.30848,10/08/2013,,
04479,ME,4.8,20974.2574,07/03/2012,,
04444,ME,8.5,27597.61126,01/08/2013,,
04578,ME,3.84,14169.95878,11/06/2012,,
04973,ME,3.92,12188.80246,11/05/2013,,
04756,ME,3.27,10892.49281,08/07/2012,,
04428,ME,5.87,17813.02924,10/08/2013,,
04572,ME,6.44,24745.81557,12/04/2012,,
04097,ME,4.32,17398.81731,11/06/2012,,
04976,ME,6.48,24461.12655,01/08/2013,,
04841,ME,3,10410.71319,05/07/2013,,
04401,ME,2.75,11933.40569,09/03/2013,,
04987,ME,2.04,3864.763053,06/04/2013,,
04363,ME,3.25,11703.93515,02/05/2013,,
04847,ME,4.32,15544.40931,08/07/2012,,
04103,ME,4.32,24719.37993,02/14/2012,,
04937,ME,6.36,25700.87707,06/04/2013,,
04038,ME,6.12,18430.58141,08/06/2013,,
04043,ME,3.06,16430.42604,08/06/2013,,
04102,ME,2.115,14190.20716,03/27/2012,,
04330,ME,6.1,18242.82065,10/08/2013,,
04861,ME,3.22,11776.94606,12/04/2012,,
04939,ME,4.32,10289.06708,04/17/2012,,
04915,ME,4.32,16501.45277,09/04/2012,,
04941,ME,7.8,24695.73143,02/05/2013,,
04032,ME,4.8,18118.09931,07/03/2012,,
04090,ME,3.12,13839.09736,12/04/2012,,
04079,ME,9,30951.22835,09/03/2013,,
04006,ME,4.14,24382.88338,06/04/2013,,
04668,ME,5.61,21803.80465,10/08/2013,,
04605,ME,4,13490.94005,07/09/2013,,
04441,ME,3.36,15469.62887,02/05/2013,,
04938,ME,6,19343.5886,04/09/2013,,
04256,ME,3.9,20814.93719,08/07/2012,,
04106,ME,20.8,71532.8854,02/05/2013,,
04944,ME,25.85,135662.2142,01/31/2012,,
04092,ME,8.33,26063.36885,05/07/2013,,
04289,ME,6.2,21211.77202,04/09/2013,,
04863,ME,5.89,34667.1371,10/08/2013,,
04074,ME,3.9,15942.49168,12/11/2012,,
04614,ME,4.8,20147.10407,08/07/2012,,
04103,ME,2.88,13681.5168,11/06/2012,,
04680,ME,18,66547.24702,06/05/2012,,
04949,ME,3,12501.21651,04/24/2012,,
04553,ME,9,24683.47193,04/10/2012,,
04953,ME,3.18,14333.13797,10/08/2013,,
04051,ME,4.8,21508.33608,10/09/2012,,
04097,ME,5.17,20663.95414,02/14/2012,,
04027,ME,8.16,29468.90378,05/07/2013,,
03909,ME,9.5,28237.57413,09/03/2013,,
04090,ME,6.12,34856.90879,09/03/2013,,
04032,ME,2.35,10444.31209,01/31/2012,,
