Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IN
47408,IN,3.0,,06/21/2013,,
47725,IN,2.0,,06/21/2013,,
47630,IN,11.0,,06/21/2013,,
47630,IN,3.06,,06/21/2013,,
47714,IN,2.55,,06/21/2013,,
47714,IN,2.0,,06/21/2013,,
47714,IN,2.0,,06/21/2013,,
47713,IN,2.55,,06/21/2013,,
47708,IN,7.06,,06/21/2013,,
47713,IN,10.8,,06/21/2013,,
47725,IN,14.4,,06/21/2013,,
47712,IN,2.0,,06/21/2013,,
47712,IN,2.0,,06/21/2013,,
47712,IN,2.55,,06/21/2013,,
47712,IN,1.22,,06/21/2013,,
47712,IN,3.57,,06/21/2013,,
47713,IN,3.57,,06/21/2013,,
47712,IN,4.5,,06/21/2013,,
47611,IN,9.0,,12/31/2009,,
47546,IN,3.0,,12/31/2008,,
47201,IN,3.0,,06/21/2013,,
47401,IN,2.3,,06/21/2013,,
46241,IN,12500.0,,06/21/2013,,
47449,IN,4.5,,06/21/2013,,
47712,IN,2.0,,06/21/2011,,
47523,IN,16.8,,06/21/2012,,
47638,IN,8.58,,06/21/2012,,
47201,IN,2.0,,06/21/2013,,
47201,IN,3.5,,06/21/2011,,
47421,IN,6.0,,06/21/2013,,
47630,IN,17.0,,06/21/2012,,
47601,IN,9.0,,06/21/2012,,
47725,IN,14.0,,06/21/2012,,
47725,IN,9.36,,06/21/2013,,
47638,IN,5.0,,06/21/2013,,
47630,IN,6.0,,06/21/2013,,
47630,IN,30.06,,06/21/2013,,
47710,IN,11.22,,06/21/2013,,
47714,IN,4.0,,06/21/2012,,
47711,IN,8.16,,06/21/2013,,
47201,IN,1.075,,06/21/2011,,
47201,IN,2.52,,06/21/2010,,
47401,IN,9.8,,06/21/2013,,
47401,IN,6.75,,06/21/2013,,
47403,IN,4.5,,06/21/2013,,
47401,IN,8.32,,06/21/2012,,
47203,IN,5.0,,06/21/2013,,
47448,IN,5.0,,06/21/2013,,
47460,IN,9.0,,06/21/2013,,
47401,IN,4.42,,06/21/2013,,
47401,IN,2.32,,07/21/2011,,
47401,IN,6.0,,06/21/2013,,
47401,IN,8.0,,06/21/2013,,
47401,IN,2.08,,06/21/2013,,
47408,IN,4.56,,06/21/2013,,
47401,IN,6.0,,06/21/2013,,
47401,IN,2.45,,06/21/2013,,
47401,IN,5.0,,06/21/2013,,
47408,IN,5.0,,06/21/2013,,
47424,IN,3.0,,06/21/2013,,
47401,IN,4.5,,06/21/2013,,
47408,IN,24.0,,06/21/2013,,
47408,IN,18.36,,06/21/2013,,
