Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NV
89129,NV,2.205,13123.32,02/01/2012,,
89135,NV,11.772,65139.05,08/29/2012,,
89149,NV,11.52,65714.4,01/13/2012,,
89052,NV,5.67,32414.0,10/02/2012,,
89074,NV,1.84,10799.14,03/21/2012,,
89423,NV,2.25,19008.32,02/29/2012,,
89701,NV,61.1,235000.0,05/11/2012,,
89703,NV,61.1,235000.0,10/22/2012,,
89703,NV,60.63,235000.0,09/14/2012,,
89118,NV,5.2,23400.0,03/21/2012,,
89121,NV,31.94283567,142500.0,03/19/2012,,
89120,NV,26.88,161280.0,02/21/2012,,
89084,NV,59.21878244,259950.0,08/06/2012,,
89084,NV,59.21878244,253232.0,08/03/2012,,
89146,NV,52.05529578,338097.0,03/05/2012,,
89429,NV,406.56,1679075.0,11/08/2012,,
89084,NV,58.14,250600.0,09/27/2012,,
89145,NV,88.66854165,388000.0,06/11/2012,,
89118,NV,57.12,232597.21,03/21/2012,,
89523,NV,5.04,36942.25,02/07/2012,,
89074,NV,1.344,7786.57,11/08/2012,,
89015,NV,23.29805781,122549.0,02/06/2012,,
89113,NV,56.16,306247.16,10/12/2012,,
89113,NV,31.2,170139.41,10/09/2012,,
89134,NV,58.28,234751.84,08/29/2012,,
89014,NV,40.185,162466.35,10/31/2012,,
89703,NV,7.755,40800.0,12/04/2012,,
89511,NV,3.525,14449.0,02/27/2012,,
89506,NV,3.29,18162.34,10/09/2012,,
89509,NV,3.055,10284.85,03/20/2012,,
89509,NV,3.38,21673.0,08/23/2012,,
89440,NV,54.0060929,268800.0,04/10/2012,,
89436,NV,5.784,28949.58,08/03/2012,,
89704,NV,7.99,46930.0,07/05/2012,,
89445,NV,5.76,22500.64,09/04/2012,,
89815,NV,1.893282646,9400.0,09/13/2012,,
89441,NV,3.15,20146.0,05/30/2012,,
89029,NV,5.64,28750.0,01/12/2012,,
89052,NV,12.54,56430.0,03/16/2012,,
89120,NV,4.275,17987.0,05/15/2012,,
89149,NV,36.05805511,143021.0,04/30/2012,,
89107,NV,120.2991559,500000.0,02/13/2012,,
89081,NV,4.4,21890.0,12/21/2012,,
89424,NV,151.8382165,651226.0,03/05/2012,,
89419,NV,36.05805511,144071.0,03/27/2012,,
89509,NV,21.5937513,86466.0,03/26/2012,,
89512,NV,42.92927434,171898.0,03/06/2012,,
89502,NV,8.954651773,35854.0,03/06/2012,,
89502,NV,8.954651773,35854.0,03/06/2012,,
89502,NV,8.954651773,35856.0,03/06/2012,,
89513,NV,24.16547001,96763.0,03/06/2012,,
89512,NV,117.04,482649.0,08/31/2012,,
89703,NV,117.04,482750.0,08/29/2012,,
89512,NV,58.52,239350.6,05/30/2012,,
89146,NV,117.1745939,554490.0,03/08/2012,,
89115,NV,34.04,141450.78,04/18/2012,,
89146,NV,24.0,117470.41,11/13/2012,,
89142,NV,3.52,23500.0,01/13/2012,,
89110,NV,5.0,16282.0,03/21/2012,,
89431,NV,5.04,31430.0,04/26/2012,,
89423,NV,5.04,18900.0,04/25/2012,,
89503,NV,3.78,15900.0,04/18/2012,,
89460,NV,7.74,15267.0,04/25/2012,,
89410,NV,12.22,51700.0,02/22/2012,,
89030,NV,88.52768987,448895.0,05/02/2012,,
89512,NV,91.65,446673.91,09/30/2012,,
89521,NV,7.92,29442.79,03/28/2012,,
89074,NV,5.98,25037.0,10/12/2012,,
89501,NV,5.64,13070.0,04/12/2012,,
89121,NV,31.05,142500.0,03/19/2012,,
89701,NV,37.95,197310.0,02/27/2012,,
89701,NV,16.63694249,70151.0,01/26/2012,,
89701,NV,16.63694249,70151.0,01/17/2012,,
89511,NV,12.48,71327.45,08/31/2012,,
89002,NV,8.32,38301.0,03/08/2012,,
89501,NV,17.56186916,79022.0,02/22/2012,,
89408,NV,59.85,200000.0,01/23/2012,,
89119,NV,389.63,1667449.68,12/18/2012,,
89502,NV,61.44,235000.0,05/15/2012,,
89120,NV,12.22,47862.45,08/30/2012,,
89410,NV,14.72,99212.6,04/13/2012,,
89002,NV,98.56,403419.0,11/02/2012,,
89101,NV,18.9,74260.0,04/12/2012,,
89104,NV,55.2,262990.19,08/28/2012,,
89408,NV,59.85,200000.0,01/23/2012,,
89119,NV,389.63,1667449.68,12/18/2012,,
89502,NV,61.44,235000.0,05/15/2012,,
89120,NV,12.22,47862.45,08/30/2012,,
89410,NV,14.72,99212.6,04/13/2012,,
89002,NV,98.56,403419.0,11/02/2012,,
89101,NV,18.9,74260.0,04/12/2012,,
89104,NV,55.2,262990.19,08/28/2012,,
89012,NV,5.27,,06/29/2007,,
89436,NV,5.018,,02/17/2006,,
89432,NV,4.72,,05/10/2005,,
89828,NV,6.641,47023,09/19/2008,,
89183,NV,6.221,84097,08/29/2008,,
89511,NV,2.792,,06/15/2007,,
89148,NV,5.077,48875,07/29/2008,,
89135,NV,4.047,,12/15/2004,,
89015,NV,1000.0,,02/12/2012,,
89406,NV,24000.0,,12/01/2011,,
89019,NV,55000.0,,05/01/2012,,
89101,NV,6000.0,,01/12/2012,,
89046,NV,8000.0,,12/01/2008,,
89046,NV,55000.0,,12/01/2010,,
89408,NV,10.595,64407.0,02/07/2011,,
89512,NV,144.07,1107976.0,02/08/2011,,
89502,NV,56.131,643089.0,02/08/2011,,
89052,NV,6.183,23880.0,02/08/2011,,
89183,NV,7.57,39000.0,02/08/2011,,
89436,NV,50.161,303211.0,02/08/2011,,
89029,NV,1.995,14582.0,02/09/2011,,
89815,NV,5.944,34500.0,02/09/2011,,
89432,NV,101.192,612080.0,02/09/2011,,
89509,NV,3.62,29863.0,02/09/2011,,
89503,NV,5.272,36000.0,02/09/2011,,
89104,NV,24.66,158813.0,02/10/2011,,
89104,NV,44.158,284375.0,02/10/2011,,
89511,NV,102.187,500000.0,02/14/2011,,
89104,NV,14.719,94792.0,02/14/2011,,
89139,NV,5.371,33000.0,02/15/2011,,
89449,NV,3.325,25939.0,02/15/2011,,
89178,NV,2.379,23050.0,02/15/2011,,
89107,NV,5.11,36050.0,02/15/2011,,
89052,NV,5.214,25051.0,02/15/2011,,
89031,NV,7.57,39500.0,02/15/2011,,
89115,NV,4.966,31314.0,02/15/2011,,
89146,NV,50.384,260650.0,02/15/2011,,
89119,NV,44.389,285864.0,02/16/2011,,
89510,NV,4.7,45944.0,02/22/2011,,
89130,NV,10.419,44190.0,02/22/2011,,
89508,NV,4.065,34416.0,02/22/2011,,
89138,NV,5.244,30900.0,02/22/2011,,
89441,NV,39.658,202257.0,02/25/2011,,
89121,NV,4.88,26260.0,02/25/2011,,
89131,NV,6.988,38500.0,03/02/2011,,
89408,NV,7.103,56572.0,03/02/2011,,
89052,NV,9.698,70413.0,03/02/2011,,
89110,NV,8.404,44750.0,03/02/2011,,
89086,NV,4.584,26650.0,03/03/2011,,
89113,NV,91.714,675600.0,03/04/2011,,
89047,NV,12.455,80208.0,03/04/2011,,
89049,NV,103.7,523245.0,03/04/2011,,
89130,NV,4.634,25000.0,03/08/2011,,
89031,NV,6.988,35500.0,03/08/2011,,
89129,NV,8.072,35383.0,03/08/2011,,
89115,NV,24.863,146718.0,03/08/2011,,
89511,NV,10.462,84498.0,03/08/2011,,
89052,NV,8.823,49094.0,03/08/2011,,
89703,NV,7.752,67500.0,03/09/2011,,
89406,NV,10.148,56828.0,03/11/2011,,
89406,NV,31.304,166447.0,03/11/2011,,
89118,NV,31.105,313972.0,03/11/2011,,
89131,NV,24.779,172967.0,03/15/2011,,
89523,NV,0.978,6266.0,03/17/2011,,
89523,NV,4.8,40112.0,03/18/2011,,
89052,NV,7.085,50949.0,03/21/2011,,
89502,NV,49.969,357142.0,03/21/2011,,
89146,NV,50.697,357142.0,03/21/2011,,
89419,NV,1.968,20100.0,03/22/2011,,
89502,NV,29.976,163599.0,03/22/2011,,
89002,NV,4.657,24515.0,03/24/2011,,
89502,NV,134.743,674204.0,04/01/2011,,
89119,NV,7.398,47644.0,04/01/2011,,
89146,NV,16.83,84150.0,04/01/2011,,
89521,NV,5.631,34820.0,04/01/2011,,
89436,NV,1.777,12420.0,04/01/2011,,
89119,NV,19.626,127051.0,04/01/2011,,
89013,NV,50.332,300295.0,04/01/2011,,
89436,NV,1.777,12420.0,04/01/2011,,
89445,NV,130.512,677114.0,04/04/2011,,
89828,NV,10.109,79018.0,04/04/2011,,
89052,NV,3.924,26026.0,04/05/2011,,
89509,NV,102.26,500000.0,04/07/2011,,
89411,NV,99.875,509362.0,04/08/2011,,
89447,NV,2.162,17945.0,04/14/2011,,
89135,NV,2.042,15565.0,04/15/2011,,
89012,NV,5.567,32804.0,04/15/2011,,
89828,NV,2.712,19690.0,04/15/2011,,
89508,NV,6.265,53320.0,04/15/2011,,
89146,NV,7.849,47000.0,04/15/2011,,
89701,NV,151.684,914673.0,04/15/2011,,
89701,NV,200.277,1221183.0,04/15/2011,,
89146,NV,23.53,117313.0,04/18/2011,,
89146,NV,83.001,426107.0,04/18/2011,,
89406,NV,15.111,75980.0,04/19/2011,,
89119,NV,103.257,651135.0,04/20/2011,,
89130,NV,51.263,291065.0,04/20/2011,,
89149,NV,12.397,75760.0,04/21/2011,,
89521,NV,0.36,882.0,04/22/2011,,
89445,NV,13.001,69002.0,04/22/2011,,
89135,NV,5.622,39907.0,04/25/2011,,
89432,NV,101.118,534602.0,04/26/2011,,
89434,NV,101.118,534602.0,04/26/2011,,
89436,NV,3.988,22480.0,04/26/2011,,
89115,NV,50.369,317627.0,05/02/2011,,
89117,NV,4.408,16894.0,05/02/2011,,
89511,NV,10.257,88750.0,05/02/2011,,
89445,NV,50.49,267347.0,05/04/2011,,
89445,NV,5.424,35641.0,05/04/2011,,
89120,NV,9.105,96146.0,05/06/2011,,
89107,NV,95.24,537089.0,05/06/2011,,
89703,NV,3.625,16933.0,05/06/2011,,
89117,NV,117.96,512763.0,05/06/2011,,
89460,NV,7.055,49586.0,05/16/2011,,
89705,NV,51.567,250000.0,05/16/2011,,
89502,NV,48.268,400585.0,05/17/2011,,
89052,NV,10.175,39136.0,05/19/2011,,
89031,NV,73.611,436067.0,05/19/2011,,
89820,NV,49.14,319050.0,05/19/2011,,
89074,NV,40.641,280571.0,05/19/2011,,
89801,NV,71.019,351651.0,05/19/2011,,
89113,NV,44.729,310244.0,05/19/2011,,
89143,NV,4.494,26783.0,05/19/2011,,
89074,NV,1.37,10333.0,05/19/2011,,
89032,NV,6.94,36000.0,05/19/2011,,
89030,NV,12.469,80376.0,05/19/2011,,
89129,NV,33.632,389405.0,05/19/2011,,
89512,NV,74.673,375184.0,05/23/2011,,
89115,NV,424.329,2605493.0,05/23/2011,,
89506,NV,506.032,2776310.0,05/23/2011,,
89510,NV,7.178,56441.0,05/24/2011,,
89129,NV,52.366,250510.0,05/24/2011,,
89101,NV,118.162,572759.0,05/24/2011,,
89135,NV,52.366,250510.0,05/25/2011,,
89129,NV,4.786,24437.0,05/25/2011,,
89146,NV,6.336,33000.0,05/25/2011,,
89074,NV,37.153,261866.0,05/26/2011,,
89427,NV,16.273,146537.0,05/26/2011,,
89702,NV,302.506,1580089.0,05/27/2011,,
89148,NV,52.366,250510.0,05/27/2011,,
89183,NV,52.366,250510.0,05/27/2011,,
89074,NV,10.234,58500.0,05/27/2011,,
89052,NV,9.723,62850.0,05/27/2011,,
89106,NV,34.942,488750.0,05/27/2011,,
89120,NV,25.934,129669.0,05/27/2011,,
89108,NV,103.231,650970.0,05/31/2011,,
89108,NV,103.205,650804.0,05/31/2011,,
89101,NV,55.994,437000.0,05/31/2011,,
89012,NV,6.259,31040.0,06/02/2011,,
89183,NV,13.914,99446.0,06/02/2011,,
89131,NV,11.279,39962.0,06/03/2011,,
89118,NV,52.366,250510.0,06/06/2011,,
89419,NV,8.274,68600.0,06/07/2011,,
89108,NV,146.755,717360.0,06/07/2011,,
89104,NV,28.05,148907.0,06/07/2011,,
89509,NV,13.993,69945.0,06/07/2011,,
89104,NV,24.043,128277.0,06/08/2011,,
89445,NV,5.91,43030.0,06/08/2011,,
89143,NV,52.366,250510.0,06/08/2011,,
89178,NV,52.366,250510.0,06/08/2011,,
