Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NV
89121,NV,28.37,149980.0,11/15/2011,,
89041,NV,4.461,34400.0,11/21/2011,,
89445,NV,3.232,24299.0,11/21/2011,,
89436,NV,31.294,188641.0,12/01/2011,,
89431,NV,41.062,251521.0,12/01/2011,,
89155,NV,30.672,431085.0,12/01/2011,,
89506,NV,2.771,16000.0,12/02/2011,,
89436,NV,31.294,188641.0,12/08/2011,,
89511,NV,5.967,36060.0,12/14/2011,,
89406,NV,55.748,375527.0,12/22/2011,,
89509,NV,30.844,228808.0,12/22/2011,,
89434,NV,1000.0,5282361.0,12/22/2011,,
89501,NV,100.415,542359.0,12/22/2011,,
89705,NV,29.929,291850.0,12/22/2011,,
89074,NV,8.136,40555.0,12/27/2011,,
89015,NV,6.514,39560.0,12/27/2011,,
89117,NV,47.627,249788.0,12/27/2011,,
89101,NV,164.145,1444380.0,12/27/2011,,
89101,NV,137.39,1085152.0,12/27/2011,,
89509,NV,7.033,54000.0,12/28/2011,,
89509,NV,198.994,1065000.0,12/30/2011,,
89423,NV,50.444,235000.0,12/30/2011,,
89502,NV,51.915,199500.0,01/05/2009,,
89503,NV,14.017,143304.0,01/05/2009,,
89121,NV,4.43,27195.0,01/13/2009,,
89508,NV,2.59,31344.0,01/13/2009,,
89022,NV,2.58,28101.0,01/13/2009,,
89703,NV,7.911,72000.0,01/14/2009,,
89460,NV,8.391,79981.0,01/20/2009,,
89521,NV,5.1,59991.0,01/20/2009,,
89505,NV,29.768,224478.0,01/23/2009,,
89501,NV,19.981,224478.0,01/23/2009,,
89015,NV,5.55,50901.0,01/30/2009,,
89104,NV,5.368,47403.0,01/30/2009,,
89139,NV,5.021,48267.0,01/30/2009,,
89519,NV,3.738,42633.0,01/30/2009,,
89511,NV,4.172,47207.0,01/30/2009,,
89460,NV,4.911,44120.0,01/30/2009,,
89147,NV,4.995,46447.0,01/30/2009,,
89146,NV,5.157,44000.0,02/06/2009,,
89052,NV,4.995,45975.0,02/06/2009,,
89117,NV,5.021,44701.0,02/06/2009,,
89122,NV,5.184,45974.0,02/25/2009,,
89509,NV,5.964,56280.0,02/25/2009,,
89074,NV,3.894,33375.0,02/25/2009,,
89509,NV,4.724,50393.0,02/25/2009,,
89509,NV,5.964,56780.0,02/25/2009,,
89178,NV,5.065,44422.0,02/25/2009,,
89511,NV,5.289,32704.0,02/25/2009,,
89523,NV,2.515,21694.0,02/25/2009,,
89146,NV,5.647,41248.0,03/06/2009,,
89436,NV,5.154,53995.0,03/10/2009,,
89506,NV,5.181,55097.0,03/10/2009,,
89509,NV,4.86,45995.0,03/10/2009,,
89509,NV,4.295,47957.0,03/10/2009,,
89147,NV,5.021,46447.0,03/12/2009,,
89120,NV,3.66,41843.0,03/13/2009,,
89148,NV,5.184,44548.0,03/13/2009,,
89460,NV,2.163,27560.0,03/13/2009,,
89449,NV,29.979,239404.0,03/13/2009,,
89134,NV,5.368,49866.0,03/18/2009,,
89704,NV,4.935,47265.0,03/18/2009,,
89135,NV,5.184,44048.0,03/18/2009,,
89183,NV,6.221,49634.0,03/18/2009,,
89410,NV,5.047,53930.0,03/18/2009,,
89445,NV,2.455,22499.0,03/18/2009,,
89449,NV,3.233,38672.0,03/18/2009,,
89511,NV,3.885,31958.0,04/09/2009,,
89015,NV,3.873,34658.0,04/09/2009,,
89129,NV,5.184,56330.0,04/09/2009,,
89052,NV,4.125,31085.0,04/10/2009,,
89460,NV,5.094,44307.0,04/10/2009,,
89120,NV,9.477,46331.0,04/17/2009,,
89423,NV,2.384,27894.0,04/23/2009,,
89521,NV,4.486,46919.0,04/23/2009,,
89509,NV,4.813,28567.0,04/30/2009,,
89424,NV,30.663,163399.0,05/05/2009,,
89135,NV,5.368,49907.0,05/06/2009,,
89509,NV,5.329,54740.0,05/06/2009,,
89521,NV,4.302,30196.0,05/06/2009,,
89139,NV,4.995,38828.0,05/11/2009,,
89431,NV,4.325,44299.0,05/11/2009,,
89110,NV,4.995,50154.0,05/11/2009,,
89123,NV,3.6,25913.0,05/11/2009,,
89509,NV,5.077,50072.0,05/12/2009,,
89519,NV,4.733,39220.0,05/19/2009,,
89521,NV,5.031,52263.0,05/19/2009,,
89501,NV,29.267,180850.0,05/19/2009,,
89178,NV,5.34,47097.0,05/20/2009,,
89117,NV,5.157,41944.0,05/20/2009,,
89002,NV,5.184,36707.0,05/20/2009,,
89511,NV,4.962,49979.0,05/20/2009,,
89503,NV,1.859,23260.0,05/21/2009,,
89117,NV,4.995,39282.0,06/05/2009,,
89015,NV,5.022,45000.0,06/09/2009,,
89511,NV,5.147,46185.0,06/16/2009,,
89706,NV,4.002,45998.0,06/16/2009,,
89701,NV,5.933,101432.0,06/17/2009,,
89149,NV,5.964,51401.0,06/25/2009,,
89423,NV,2.972,32474.0,06/25/2009,,
89104,NV,2.735,21200.0,06/25/2009,,
89139,NV,4.389,44764.0,06/25/2009,,
89102,NV,50.036,300000.0,06/26/2009,,
89118,NV,30.062,200000.0,06/26/2009,,
89520,NV,21.817,114536.0,07/02/2009,,
89520,NV,49.417,270291.0,07/02/2009,,
89139,NV,2.045,18000.0,07/06/2009,,
89110,NV,4.07,36883.0,07/10/2009,,
89119,NV,4.2,23987.0,07/10/2009,,
89156,NV,5.184,38322.0,07/10/2009,,
89113,NV,5.021,39331.0,07/14/2009,,
89009,NV,34.342,204198.0,07/21/2009,,
89117,NV,4.995,40409.0,07/24/2009,,
89002,NV,4.995,38578.0,07/24/2009,,
89523,NV,4.85,30992.0,07/24/2009,,
89015,NV,5.021,38450.0,07/24/2009,,
89436,NV,1.439,14484.0,07/24/2009,,
89509,NV,3.223,33922.0,07/31/2009,,
89183,NV,4.446,13810.0,07/31/2009,,
89074,NV,4.424,37775.0,08/03/2009,,
89411,NV,7.044,71810.0,08/17/2009,,
89183,NV,5.232,42961.0,08/17/2009,,
89183,NV,5.34,43279.0,08/17/2009,,
89074,NV,5.021,38945.0,08/17/2009,,
89129,NV,4.995,41375.0,08/17/2009,,
89106,NV,4.366,38212.0,08/19/2009,,
89431,NV,5.043,48820.0,08/26/2009,,
89506,NV,4.414,51000.0,08/26/2009,,
89523,NV,5.031,52653.0,08/27/2009,,
89511,NV,4.947,45624.0,08/28/2009,,
89436,NV,3.478,33470.0,08/31/2009,,
89523,NV,2.39,29778.0,08/31/2009,,
89032,NV,5.177,27900.0,08/31/2009,,
89052,NV,4.138,45125.0,08/31/2009,,
89519,NV,3.506,32930.0,08/31/2009,,
89511,NV,5.581,40481.0,09/01/2009,,
89519,NV,3.506,32930.0,09/01/2009,,
89501,NV,2.254,27936.0,09/04/2009,,
89506,NV,3.745,34650.0,09/04/2009,,
89108,NV,2.718,32890.0,09/15/2009,,
89449,NV,4.964,58747.0,09/16/2009,,
89123,NV,5.157,36550.0,09/16/2009,,
89005,NV,5.016,26031.0,09/17/2009,,
89102,NV,4.44,33157.0,09/21/2009,,
89135,NV,4.871,41578.0,09/21/2009,,
89102,NV,4.995,39161.0,09/21/2009,,
89410,NV,1.497,7327.0,09/23/2009,,
89410,NV,14.967,97544.0,09/23/2009,,
89406,NV,29.376,284142.0,09/28/2009,,
89406,NV,12.096,114934.0,09/28/2009,,
89118,NV,5.067,43942.0,09/29/2009,,
89502,NV,5.232,41331.0,09/29/2009,,
89146,NV,5.259,41664.0,09/29/2009,,
89460,NV,1.957,24165.0,10/01/2009,,
89118,NV,5.196,36500.0,10/05/2009,,
89002,NV,6.482,27989.0,10/05/2009,,
89451,NV,2.393,34095.0,10/05/2009,,
89123,NV,5.44,40839.0,10/05/2009,,
89130,NV,5.368,34657.0,10/05/2009,,
89502,NV,1.424,27097.0,10/05/2009,,
89074,NV,4.802,38871.0,10/06/2009,,
89108,NV,2.246,18865.0,10/09/2009,,
89118,NV,5.184,35281.0,10/09/2009,,
89131,NV,4.871,39597.0,10/09/2009,,
89118,NV,5.021,27727.0,10/09/2009,,
89828,NV,5.199,39535.0,10/15/2009,,
89410,NV,4.782,44785.0,10/21/2009,,
89002,NV,4.263,34067.0,10/21/2009,,
89135,NV,5.184,33200.0,10/27/2009,,
89703,NV,3.808,35450.0,10/28/2009,,
89436,NV,6.428,55000.0,10/28/2009,,
89410,NV,3.914,53836.0,10/29/2009,,
89509,NV,0.364,3751.0,11/03/2009,,
89508,NV,1.295,11952.0,11/04/2009,,
89107,NV,5.259,43151.0,11/09/2009,,
89118,NV,0.682,4290.0,11/12/2009,,
89122,NV,5.184,34042.0,11/13/2009,,
89118,NV,4.126,27886.0,11/13/2009,,
89506,NV,2.606,29107.0,11/16/2009,,
89801,NV,9.52,55723.0,11/19/2009,,
89521,NV,5.033,42507.0,11/20/2009,,
89410,NV,3.206,32972.0,11/23/2009,,
89511,NV,0.85,6500.0,11/23/2009,,
89118,NV,15.552,141208.0,11/24/2009,,
89046,NV,5.177,32461.0,11/24/2009,,
89501,NV,4.63,27449.0,11/24/2009,,
89441,NV,5.547,50121.0,11/25/2009,,
89701,NV,5.126,30447.0,11/25/2009,,
89502,NV,5.065,45809.0,12/01/2009,,
89012,NV,5.016,26000.0,12/07/2009,,
89123,NV,5.016,27450.0,12/07/2009,,
89002,NV,5.15,39506.0,12/08/2009,,
89441,NV,2.105,21000.0,12/08/2009,,
89015,NV,6.143,33550.0,12/14/2009,,
89135,NV,5.184,45256.0,12/14/2009,,
89104,NV,5.232,37790.0,12/18/2009,,
89104,NV,5.259,38122.0,12/18/2009,,
89511,NV,3.451,27135.0,12/18/2009,,
89501,NV,29.583,366788.0,12/18/2009,,
89410,NV,4.097,30013.0,12/21/2009,,
89052,NV,3.181,26553.0,12/21/2009,,
89521,NV,3.754,31845.0,12/22/2009,,
89511,NV,99.361,519169.0,12/23/2009,,
89131,NV,5.34,38979.0,12/30/2009,,
89044,NV,4.33,32741.0,12/30/2009,,
89145,NV,5.065,31288.0,12/30/2009,,
89509,NV,4.118,44892.0,12/30/2009,,
89511,NV,4.858,45875.0,12/30/2009,,
89523,NV,4.473,44454.0,12/30/2009,,
89135,NV,5.232,41629.0,12/31/2009,,
89117,NV,5.169,31159.0,01/08/2010,,
89509,NV,3.725,31485.0,01/08/2010,,
89704,NV,4.935,44010.0,01/08/2010,,
89509,NV,2.124,14998.0,01/08/2010,,
89436,NV,4.321,44743.0,01/08/2010,,
89131,NV,5.15,30500.0,01/11/2010,,
89815,NV,4.953,28810.0,01/12/2010,,
89131,NV,6.952,45490.0,01/12/2010,,
89410,NV,19.848,130207.0,01/12/2010,,
89434,NV,149.03,762905.0,01/13/2010,,
89511,NV,5.047,45762.0,01/15/2010,,
89501,NV,29.722,313278.0,01/19/2010,,
89501,NV,29.722,313278.0,01/19/2010,,
89501,NV,30.067,313278.0,01/19/2010,,
89501,NV,29.894,313278.0,01/19/2010,,
89501,NV,29.894,313278.0,01/19/2010,,
89501,NV,29.722,313278.0,01/19/2010,,
89410,NV,4.498,31412.0,01/21/2010,,
89512,NV,2.248,17782.0,01/21/2010,,
89503,NV,2.421,23961.0,01/22/2010,,
89052,NV,5.232,40000.0,01/22/2010,,
89029,NV,3.264,26702.0,01/26/2010,,
89504,NV,5.169,30466.0,02/02/2010,,
89509,NV,3.725,35787.0,02/05/2010,,
89030,NV,2.074,37012.0,02/05/2010,,
89519,NV,3.867,40484.0,02/19/2010,,
89521,NV,4.953,42993.0,02/19/2010,,
89503,NV,4.098,27017.0,02/19/2010,,
89052,NV,10.076,48004.0,02/24/2010,,
89429,NV,5.284,45487.0,02/25/2010,,
89178,NV,5.232,37047.0,02/26/2010,,
89406,NV,5.046,42000.0,02/26/2010,,
89431,NV,25.658,202042.0,02/26/2010,,
89445,NV,3.914,38446.0,03/01/2010,,
89424,NV,29.301,149690.0,03/03/2010,,
89410,NV,2.111,29750.0,03/18/2010,,
89501,NV,31.137,156388.0,03/23/2010,,
89423,NV,4.086,36870.0,03/23/2010,,
89445,NV,2.86,28360.0,03/25/2010,,
89451,NV,26.948,211620.0,03/25/2010,,
89406,NV,31.899,238739.0,04/12/2010,,
89118,NV,4.686,28450.0,04/13/2010,,
89828,NV,13.945,76417.0,04/14/2010,,
89149,NV,4.65,37488.0,04/16/2010,,
89511,NV,17.698,136411.0,04/26/2010,,
89502,NV,2.455,13865.0,04/27/2010,,
89511,NV,4.373,28917.0,04/27/2010,,
89120,NV,4.718,37627.0,04/30/2010,,
89424,NV,18.783,102655.0,05/04/2010,,
89424,NV,30.813,155460.0,05/12/2010,,
89117,NV,5.147,46249.0,05/13/2010,,
89118,NV,5.185,34000.0,05/13/2010,,
89511,NV,4.767,20603.0,05/13/2010,,
89032,NV,4.737,26762.0,05/13/2010,,
89508,NV,1.144,9029.0,05/13/2010,,
89509,NV,5.219,51736.0,05/27/2010,,
89030,NV,5.368,24654.0,06/01/2010,,
89118,NV,19.73,99400.0,06/01/2010,,
89801,NV,4.953,25400.0,06/04/2010,,
89424,NV,30.813,154442.0,06/10/2010,,
89506,NV,5.284,31490.0,06/15/2010,,
89117,NV,4.465,33200.0,06/28/2010,,
89424,NV,105.943,528980.0,06/28/2010,,
89424,NV,30.813,155139.0,06/28/2010,,
89451,NV,5.81,30780.0,06/30/2010,,
89502,NV,50.274,456648.0,06/30/2010,,
89512,NV,30.73,361230.0,06/30/2010,,
89436,NV,30.849,167075.0,06/30/2010,,
89509,NV,3.98,32848.0,07/09/2010,,
89156,NV,3.515,23700.0,07/15/2010,,
89014,NV,9.493,59453.0,07/15/2010,,
89424,NV,18.783,102460.0,07/15/2010,,
89424,NV,10.468,52500.0,07/15/2010,,
89031,NV,5.17,32552.0,07/19/2010,,
89523,NV,6.672,48463.0,07/22/2010,,
89436,NV,2.838,22862.0,07/29/2010,,
89521,NV,3.542,28755.0,07/29/2010,,
89523,NV,7.872,62181.0,07/29/2010,,
89410,NV,6.298,54000.0,07/29/2010,,
89408,NV,31.304,156200.0,07/30/2010,,
89117,NV,8.67,42306.0,08/03/2010,,
89436,NV,5.503,44215.0,08/03/2010,,
89015,NV,4.51,34465.0,08/03/2010,,
89509,NV,4.827,37915.0,08/05/2010,,
89110,NV,6.561,36680.0,08/05/2010,,
89441,NV,4.35,29257.0,08/06/2010,,
89117,NV,6.898,62818.0,08/06/2010,,
89117,NV,5.44,41067.0,08/06/2010,,
89703,NV,4.906,34540.0,08/09/2010,,
89706,NV,4.63,33830.0,08/09/2010,,
89403,NV,2.816,25316.0,08/09/2010,,
89120,NV,5.18,30960.0,08/20/2010,,
89002,NV,2.632,17005.0,08/20/2010,,
89509,NV,3.916,38405.0,08/20/2010,,
89129,NV,9.97,77879.0,08/20/2010,,
89052,NV,4.351,28811.0,08/20/2010,,
89156,NV,13.122,75000.0,08/20/2010,,
89052,NV,7.113,40265.0,08/20/2010,,
89134,NV,7.926,44768.0,08/20/2010,,
89131,NV,6.406,25963.0,08/25/2010,,
89519,NV,3.107,27000.0,08/25/2010,,
89011,NV,33.766,196057.0,08/25/2010,,
89015,NV,27.316,158157.0,08/25/2010,,
89433,NV,50.161,263046.0,08/25/2010,,
89444,NV,2.413,21929.0,08/26/2010,,
89106,NV,26.787,199382.0,08/30/2010,,
89106,NV,5.549,41313.0,08/30/2010,,
89106,NV,100.086,735402.0,08/30/2010,,
89106,NV,100.086,735402.0,08/30/2010,,
89519,NV,9.999,68904.0,08/31/2010,,
89509,NV,5.706,51334.0,08/31/2010,,
89118,NV,12.93,82945.0,08/31/2010,,
89511,NV,2.615,21087.0,08/31/2010,,
89118,NV,6.679,40424.0,09/01/2010,,
89183,NV,10.417,62000.0,09/07/2010,,
89131,NV,6.015,42000.0,09/07/2010,,
89118,NV,7.222,37856.0,09/07/2010,,
89131,NV,10.094,64037.0,09/07/2010,,
89511,NV,2.628,21914.0,09/07/2010,,
89135,NV,9.409,69640.0,09/07/2010,,
89512,NV,30.118,168790.0,09/08/2010,,
89512,NV,50.274,312790.0,09/08/2010,,
89506,NV,2.6,18600.0,09/09/2010,,
89511,NV,4.655,36929.0,09/14/2010,,
89511,NV,1.566,15370.0,09/15/2010,,
89460,NV,6.522,52224.0,09/15/2010,,
89145,NV,5.804,46856.0,09/17/2010,,
89015,NV,10.031,40800.0,09/17/2010,,
89130,NV,51.425,274470.0,09/17/2010,,
89135,NV,31.875,361675.0,09/17/2010,,
89460,NV,5.13,21104.0,09/21/2010,,
89508,NV,4.223,33001.0,09/21/2010,,
89510,NV,1.777,11095.0,09/21/2010,,
89509,NV,4.022,32227.0,09/23/2010,,
89511,NV,5.257,41400.0,09/23/2010,,
89502,NV,29.469,217415.0,09/23/2010,,
89120,NV,5.779,40958.0,09/24/2010,,
89406,NV,21.866,138373.0,09/24/2010,,
89104,NV,46.855,331733.0,09/29/2010,,
89015,NV,5.157,31500.0,09/30/2010,,
89138,NV,9.471,59600.0,09/30/2010,,
89408,NV,2.38,20400.0,09/30/2010,,
89118,NV,5.431,21434.0,09/30/2010,,
89704,NV,7.43,42385.0,10/06/2010,,
89512,NV,26.893,169000.0,10/06/2010,,
89511,NV,5.592,56745.0,10/06/2010,,
89104,NV,3.374,24981.0,10/06/2010,,
89512,NV,29.469,240820.0,10/06/2010,,
89706,NV,3.184,22590.0,10/07/2010,,
89511,NV,3.07,20740.0,10/07/2010,,
89521,NV,2.909,24128.0,10/07/2010,,
89521,NV,1.233,11046.0,10/08/2010,,
89509,NV,4.699,36720.0,10/08/2010,,
89821,NV,50.151,288530.0,10/08/2010,,
89705,NV,5.578,48590.0,10/11/2010,,
89120,NV,9.082,82212.0,10/12/2010,,
89131,NV,5.284,31895.0,10/12/2010,,
89451,NV,3.007,38472.0,10/15/2010,,
89820,NV,50.332,274171.0,10/15/2010,,
89081,NV,4.841,28800.0,10/19/2010,,
89103,NV,2.308,18635.0,10/20/2010,,
89119,NV,7.392,39330.0,10/20/2010,,
89052,NV,10.627,78724.0,10/20/2010,,
89410,NV,4.852,44500.0,10/20/2010,,
89511,NV,47.46,266800.0,10/20/2010,,
89436,NV,6.036,42620.0,10/22/2010,,
89503,NV,3.533,47745.0,10/22/2010,,
89410,NV,3.107,38823.0,10/22/2010,,
89410,NV,3.98,31250.0,10/22/2010,,
89183,NV,4.307,34325.0,10/22/2010,,
89117,NV,5.846,43480.0,10/22/2010,,
89002,NV,11.351,61177.0,10/22/2010,,
89052,NV,6.561,38325.0,10/22/2010,,
89134,NV,6.561,38837.0,10/22/2010,,
89110,NV,5.314,38949.0,10/22/2010,,
89052,NV,7.795,51947.0,10/22/2010,,
89131,NV,4.634,29500.0,10/29/2010,,
89441,NV,2.657,17567.0,10/29/2010,,
89142,NV,5.284,31879.0,10/29/2010,,
89085,NV,5.904,43380.0,10/29/2010,,
89509,NV,4.606,37890.0,10/29/2010,,
89107,NV,1.466,13465.0,10/29/2010,,
89436,NV,3.202,30970.0,10/29/2010,,
89423,NV,5.458,32494.0,10/29/2010,,
89110,NV,5.567,32461.0,10/29/2010,,
89511,NV,5.013,31226.0,10/29/2010,,
89052,NV,6.504,35008.0,11/03/2010,,
89135,NV,4.349,8063.0,11/03/2010,,
89436,NV,1.431,13841.0,11/03/2010,,
89502,NV,1.175,11085.0,11/03/2010,,
89521,NV,2.077,11758.0,11/03/2010,,
89521,NV,6.817,40589.0,11/03/2010,,
89102,NV,6.707,41424.0,11/05/2010,,
89815,NV,3.698,27700.0,11/05/2010,,
89002,NV,4.374,29907.0,11/05/2010,,
89031,NV,2.783,21004.0,11/05/2010,,
89121,NV,9.344,62468.0,11/05/2010,,
89052,NV,12.93,84728.0,11/05/2010,,
89502,NV,26.198,126106.0,11/05/2010,,
89520,NV,28.934,194363.0,11/05/2010,,
89501,NV,31.135,361230.0,11/05/2010,,
89520,NV,21.164,118413.0,11/08/2010,,
89141,NV,6.465,45142.0,11/10/2010,,
89110,NV,10.037,71470.0,11/10/2010,,
89130,NV,10.162,60099.0,11/10/2010,,
89130,NV,6.707,35425.0,11/10/2010,,
89706,NV,5.257,44465.0,11/10/2010,,
89511,NV,7.337,57165.0,11/10/2010,,
89703,NV,3.149,28560.0,11/10/2010,,
89511,NV,4.866,41952.0,11/10/2010,,
89031,NV,4.747,30489.0,11/10/2010,,
89031,NV,6.561,38243.0,11/10/2010,,
89139,NV,2.357,21709.0,11/10/2010,,
89135,NV,5.904,46706.0,11/10/2010,,
89139,NV,4.689,29320.0,11/10/2010,,
89503,NV,3.963,33276.0,11/10/2010,,
89506,NV,5.229,41340.0,11/10/2010,,
89130,NV,7.57,37440.0,11/10/2010,,
89052,NV,7.57,40500.0,11/10/2010,,
89128,NV,12.929,58507.0,11/10/2010,,
89509,NV,1.424,11784.0,11/10/2010,,
89113,NV,9.552,59677.0,11/12/2010,,
89085,NV,5.284,29577.0,11/12/2010,,
89129,NV,7.085,49427.0,11/12/2010,,
89117,NV,5.284,32675.0,11/15/2010,,
89511,NV,2.769,20069.0,11/19/2010,,
89509,NV,3.21,37900.0,11/19/2010,,
89436,NV,5.272,56368.0,11/19/2010,,
89032,NV,5.244,29800.0,11/19/2010,,
89122,NV,2.966,19615.0,11/19/2010,,
89012,NV,4.479,25200.0,11/19/2010,,
89519,NV,2.276,20900.0,11/19/2010,,
89074,NV,7.57,39500.0,11/19/2010,,
89436,NV,50.161,307615.0,11/19/2010,,
89521,NV,50.161,293995.0,11/19/2010,,
89012,NV,6.465,45163.0,11/24/2010,,
89044,NV,9.698,75000.0,11/24/2010,,
89183,NV,5.903,54194.0,11/24/2010,,
89130,NV,6.561,38555.0,11/24/2010,,
89156,NV,1.995,21023.0,11/24/2010,,
89128,NV,5.009,37330.0,11/24/2010,,
89509,NV,3.582,32400.0,11/24/2010,,
89052,NV,9.224,33917.0,11/24/2010,,
89502,NV,4.022,30484.0,11/24/2010,,
89520,NV,101.156,585905.0,11/24/2010,,
89520,NV,100.762,679896.0,11/24/2010,,
89520,NV,48.608,414444.0,11/24/2010,,
89423,NV,7.022,64599.0,11/29/2010,,
89511,NV,7.899,68058.0,11/29/2010,,
89451,NV,7.732,56375.0,11/29/2010,,
89436,NV,1.764,12420.0,11/29/2010,,
89106,NV,15.504,91824.0,12/02/2010,,
89523,NV,49.958,292801.0,12/02/2010,,
89509,NV,46.227,280000.0,12/02/2010,,
89506,NV,50.161,287400.0,12/02/2010,,
89701,NV,29.877,202539.0,12/03/2010,,
89106,NV,76.527,486170.0,12/03/2010,,
89523,NV,4.840704,53700.0,12/06/2010,,
89436,NV,3.574,14982.0,12/06/2010,,
89129,NV,3.663,28995.0,12/06/2010,,
89521,NV,3.184,15165.0,12/06/2010,,
89135,NV,13.042,97425.0,12/06/2010,,
89135,NV,13.042,97425.0,12/06/2010,,
89509,NV,5.257,38830.0,12/06/2010,,
89509,NV,4.386,29591.0,12/06/2010,,
89511,NV,9.397,77220.0,12/06/2010,,
89131,NV,9.96,61823.0,12/06/2010,,
89441,NV,4.906,40785.0,12/06/2010,,
89149,NV,5.021,25400.0,12/06/2010,,
89519,NV,3.341,30605.0,12/06/2010,,
89502,NV,5.284,38546.0,12/06/2010,,
89701,NV,105.264,559730.0,12/07/2010,,
89146,NV,52.378,385292.0,12/07/2010,,
89406,NV,4.341,16876.0,12/07/2010,,
89117,NV,6.852,39785.0,12/08/2010,,
89123,NV,11.381,69801.0,12/08/2010,,
89501,NV,6.035,47482.0,12/08/2010,,
89441,NV,2.287,17103.0,12/08/2010,,
89509,NV,5.284,44975.0,12/08/2010,,
89122,NV,5.407,31000.0,12/08/2010,,
89521,NV,4.699,41040.0,12/08/2010,,
89030,NV,14.796,95288.0,12/08/2010,,
89135,NV,5.284,17801.0,12/08/2010,,
89523,NV,3.574,38810.0,12/09/2010,,
89130,NV,10.282,67400.0,12/09/2010,,
89434,NV,49.9584,262759.0,12/09/2010,,
89431,NV,47.46,262759.0,12/09/2010,,
89502,NV,48.709,262759.0,12/09/2010,,
89436,NV,49.95,262759.0,12/09/2010,,
89523,NV,49.958,292801.0,12/09/2010,,
89502,NV,50.161,292500.0,12/09/2010,,
89110,NV,7.933,25064.0,12/14/2010,,
89131,NV,5.904,43102.0,12/14/2010,,
89147,NV,7.085,48663.0,12/14/2010,,
89130,NV,3.627,29877.0,12/14/2010,,
89107,NV,4.699,35198.0,12/14/2010,,
89815,NV,3.574,47000.0,12/14/2010,,
89815,NV,3.32,30004.0,12/14/2010,,
89149,NV,5.407,25200.0,12/14/2010,,
89015,NV,2.404,9496.0,12/16/2010,,
89121,NV,5.338,35990.0,12/16/2010,,
89521,NV,7.531,47205.0,12/17/2010,,
89511,NV,9.43,74800.0,12/17/2010,,
89423,NV,5.033,32796.0,12/17/2010,,
89502,NV,2.011,10056.0,12/17/2010,,
89510,NV,9.406,64000.0,12/19/2010,,
89115,NV,10.794,80676.0,12/20/2010,,
89502,NV,51.058,299080.0,12/20/2010,,
89434,NV,47.332,290000.0,12/20/2010,,
89436,NV,50.161,296650.0,12/20/2010,,
89436,NV,50.161,298650.0,12/20/2010,,
89512,NV,49.178,278450.0,12/20/2010,,
89002,NV,50.121,265850.0,12/20/2010,,
89081,NV,50.121,260750.0,12/20/2010,,
89122,NV,50.121,256600.0,12/20/2010,,
89102,NV,25.501,437404.0,12/21/2010,,
89081,NV,3.061,27271.0,12/21/2010,,
89115,NV,14.796,95288.0,12/21/2010,,
89106,NV,44.478,437404.0,12/21/2010,,
89409,NV,30.731,161326.0,12/21/2010,,
89121,NV,6.707,35253.0,12/22/2010,,
89521,NV,2.077,12438.0,12/22/2010,,
89502,NV,2.451,19519.0,12/22/2010,,
89511,NV,3.928,33218.0,12/22/2010,,
89101,NV,50.432,357304.0,12/22/2010,,
89521,NV,30.603,212223.0,12/22/2010,,
89101,NV,46.157,437404.0,12/22/2010,,
89510,NV,7.092,48772.0,12/23/2010,,
89131,NV,12.989,91275.0,12/27/2010,,
89107,NV,6.707,37781.0,12/27/2010,,
89031,NV,2.359,17509.0,12/27/2010,,
89103,NV,7.849,47000.0,12/27/2010,,
89102,NV,11.178,67027.79,12/27/2010,,
89510,NV,9.521,70330.0,12/27/2010,,
89511,NV,7.092,53820.0,12/27/2010,,
89512,NV,4.906,25597.0,12/27/2010,,
89108,NV,6.707,37602.0,12/28/2010,,
89178,NV,6.011,28645.0,12/28/2010,,
89506,NV,49.178,276550.0,12/30/2010,,
89506,NV,47.211,273700.0,12/30/2010,,
89108,NV,5.314,39705.0,01/10/2011,,
89147,NV,6.988,39000.0,01/12/2011,,
89052,NV,10.419,40830.0,01/12/2011,,
89521,NV,4.703,35880.0,01/12/2011,,
89146,NV,8.623,48847.0,01/12/2011,,
89149,NV,10.094,56510.0,01/13/2011,,
89124,NV,10.3,54324.0,01/13/2011,,
89512,NV,74.797,397751.0,01/13/2011,,
89052,NV,9.471,62850.0,01/13/2011,,
89511,NV,5.43,46010.0,01/13/2011,,
89142,NV,4.36,19784.0,01/14/2011,,
89103,NV,5.657,39688.0,01/14/2011,,
89147,NV,6.465,39688.0,01/14/2011,,
89120,NV,6.494,46634.0,01/14/2011,,
89052,NV,4.448,27175.0,01/14/2011,,
89081,NV,5.021,26500.0,01/14/2011,,
89044,NV,6.757,37490.0,01/18/2011,,
89519,NV,3.149,25200.0,01/18/2011,,
89441,NV,2.56,21465.0,01/18/2011,,
89052,NV,5.039,30000.0,01/18/2011,,
89074,NV,4.36,,01/18/2011,,
89521,NV,2.741,22522.0,01/18/2011,,
89128,NV,6.406,33500.0,01/18/2011,,
89108,NV,49.288,331216.0,01/18/2011,,
89149,NV,9.401,63500.0,01/18/2011,,
89434,NV,14.078,43052.0,01/18/2011,,
89052,NV,6.988,40500.0,01/18/2011,,
89002,NV,6.406,27000.0,01/18/2011,,
89138,NV,4.33,32383.0,01/19/2011,,
89148,NV,101.108,651135.0,01/19/2011,,
89030,NV,14.796,95288.0,01/19/2011,,
