Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WI
54501,WI,1.872,22390.77,01/29/2007,,
53014,WI,7.2,65180,11/05/2007,,
54107,WI,5.1,44069,01/26/2009,,
53913,WI,3.6,28750,11/21/2008,,
53703,WI,9.936,88430,06/26/2008,,
54968,WI,6.012,43511.84,01/18/2006,,
54406,WI,2.672,22107.93,12/22/2004,,
53711,WI,3.675,24690,10/24/2006,,
54814,WI,1,14017.9,02/16/2004,,
54909,WI,5.344,43609.6,01/18/2006,,
53913,WI,1.8,20512.86,01/24/2008,,
54909,WI,8.4,77412.75,12/21/2007,,
54452,WI,0.256,0.0,10/03/2003,,
53593,WI,5.04,45695,08/22/2008,,
53551,WI,4.32,42190,07/21/2008,,
54406,WI,1.04,9921.53,12/11/2007,,
54481,WI,2.72,23478.84,04/25/2006,,
53951,WI,11.52,116920,11/25/2008,,
53704,WI,1.1,6171,10/29/2003,,
54960,WI,3.06,28555,11/26/2007,,
53151,WI,4.2,33200,07/26/2007,,
54981,WI,2.672,36738.8,01/23/2006,,
53713,WI,3.15,26220,06/26/2008,,
53901,WI,8.4,89917.78,06/27/2003,,
53705,WI,2.52,22830,01/10/2008,,
53190,WI,6.24,55710,08/24/2007,,
53562,WI,1.92,15260,09/25/2008,,
54209,WI,1.65,15539,06/03/2004,,
54234,WI,2.8,0.0,01/17/2004,,
54986,WI,1.8,13958.02,12/27/2006,,
53943,WI,7.2,67300,12/26/2008,,
53925,WI,5.056,34214,05/24/2004,,
54909,WI,0.249,2229.79,02/18/2004,,
53588,WI,6.24,49986,07/27/2007,,
54944,WI,5.344,48480.39,03/20/2006,,
54865,WI,1.872,18913.5,12/11/2007,,
53518,WI,4.76,47243.86,11/25/2008,,
54307,WI,2.4,32707.44,01/27/2009,,
53597,WI,0.632,3455,01/27/2009,,
53716,WI,4.51,36950,04/28/2009,,
53963,WI,5.6,62500,11/05/2007,,
54130,WI,4.92,45660,03/26/2009,,
54940,WI,2.524,21888.38,11/04/2003,,
53015,WI,2.88,29650,07/21/2008,,
53151,WI,3.24,21700,08/20/2008,,
53402,WI,11,92461,10/24/2006,,
53572,WI,11.52,118080,01/27/2009,,
53076,WI,2.48,20331.4,01/28/2009,,
54909,WI,2.8,24495.49,10/19/2006,,
53555,WI,4.51,35180,08/20/2008,,
53714,WI,1.58,12650,02/21/2005,,
53551,WI,10,90155,12/06/2007,,
53711,WI,1.336,11630,12/14/2004,,
53086,WI,1.32,13706.3,02/26/2007,,
53704,WI,0.9,10000,11/25/2008,,
54235,WI,3.456,60563.5,10/28/2008,,
53715,WI,1.75,15275,06/26/2007,,
54481,WI,4.2,29155.93,09/27/2006,,
53205,WI,10.8,76900,10/28/2008,,
53593,WI,2.88,35987.5,10/31/2008,,
54452,WI,2.6,26214.91,08/24/2006,,
53716,WI,2.414,22500,08/24/2007,,
53149,WI,3.85,25500,01/29/2007,,
54406,WI,2.528,19670.95,07/22/2004,,
54406,WI,2.5,18585,11/15/2002,,
53959,WI,3.584,35650.58,04/27/2009,,
53073,WI,1.17,18873.86,12/27/2006,,
53211,WI,3.5,25845.63,01/29/2007,,
53551,WI,2.6,29931.41,03/23/2007,,
53714,WI,2.16,18541.63,03/23/2007,,
54830,WI,0.51,5318.1,09/28/2005,,
53704,WI,1.11,3936.74,06/02/2004,,
53546,WI,5.6,37719.83,02/26/2009,,
53520,WI,5.76,59190,12/22/2009,,
53503,WI,0.48,5527.09,04/18/2003,,
53573,WI,5.76,57060,10/28/2008,,
54406,WI,1.14,3095.86,02/15/2004,,
53704,WI,2.1,18750,07/21/2008,,
53726,WI,3.328,26846.64,01/27/2009,,
53704,WI,2.528,15680.11,05/23/2005,,
54742,WI,2.88,20983,09/27/2007,,
54615,WI,5.76,58625,04/27/2009,,
53711,WI,3.136,29160,05/23/2007,,
54843,WI,1.44,15530,08/21/2008,,
54548,WI,0.48,1006,07/07/2003,,
53213,WI,2.04,17755,05/23/2007,,
54529,WI,1.8,22250,07/25/2006,,
53703,WI,1.376,11630.5,01/18/2006,,
53704,WI,4.008,31000,01/30/2006,,
53144,WI,2.82,28035,03/15/2010,,
53715,WI,1.845,16795,09/25/2008,,
54956,WI,3.6,31500,12/21/2007,,
53072,WI,4.424,41009.36,07/14/2003,,
53704,WI,2.5,16720.3,03/04/2004,,
54481,WI,3.24,24974.31,09/26/2008,,
53583,WI,2.6,22029.77,04/28/2009,,
53913,WI,3.15,23980,06/26/2008,,
53528,WI,5.535,39995,09/24/2008,,
53518,WI,5.04,53409.57,07/31/2008,,
53821,WI,17.28,229507.81,01/27/2009,,
53593,WI,1.896,22056.43,10/29/2004,,
53596,WI,1.04,17617.31,12/27/2006,,
53711,WI,5.76,57875,07/21/2008,,
54407,WI,5.6,55149.07,07/26/2007,,
53711,WI,6.3,58638.37,03/26/2009,,
54307,WI,2.4,28627.32,01/27/2009,,
54983,WI,5.6,56875.95,01/29/2007,,
53916,WI,3.06,25245.1,05/23/2008,,
54403,WI,2.672,0.0,12/26/2003,,
54981,WI,10,64500,07/26/2007,,
53581,WI,15.4,151900,02/28/2008,,
53562,WI,3.69,33929,02/26/2009,,
53150,WI,2.88,25840,08/20/2008,,
54981,WI,2.8,27414,09/27/2007,,
53172,WI,2.16,23700,06/26/2007,,
53522,WI,0.48,8349.14,05/07/2002,,
53226,WI,3.72,30760,12/26/2008,,
54406,WI,2.528,25129.85,07/20/2005,,
53532,WI,2.88,22417.5,03/27/2009,,
53716,WI,3.06,35243,05/23/2008,,
53146,WI,2.1,20693.93,07/26/2007,,
53704,WI,1.837,13495.6,10/27/2005,,
53115,WI,12.096,99600,07/29/2008,,
53066,WI,3.15,25170,09/27/2007,,
53821,WI,2.72,35416.76,11/26/2008,,
53042,WI,1.62,18900,12/26/2008,,
53402,WI,6.88,53900,06/30/2008,,
53951,WI,11.2,105906,10/26/2007,,
54926,WI,2.88,29837.73,07/21/2008,,
53588,WI,5.4,49238,04/28/2009,,
53120,WI,2.88,31225,01/27/2009,,
54154,WI,0.48,0.0,09/09/2003,,
53120,WI,3.36,27340,06/26/2007,,
53207,WI,7.7,63079,09/27/2007,,
54740,WI,4.16,31500,11/29/2007,,
54637,WI,2.94,26710,04/22/2010,,
54307,WI,4.2,65425.62,10/29/2007,,
53703,WI,25.2,265101,09/29/2008,,
53562,WI,6.012,41320,10/30/2007,,
54701,WI,1.17,13151.25,05/23/2007,,
53066,WI,3.465,39260,12/26/2008,,
54703,WI,1.085,9400,05/27/2008,,
53704,WI,1.575,13250,01/29/2007,,
54452,WI,7.2,48658,08/29/2006,,
53095,WI,3.08,17883.97,06/28/2004,,
54022,WI,0.74,5632,05/06/2004,,
53202,WI,4.26,37989,07/26/2007,,
53051,WI,3.674,28743,12/25/2004,,
53704,WI,1.87,12970,04/25/2006,,
53072,WI,1.896,12768.23,11/29/2006,,
53711,WI,2.8,23449,04/25/2006,,
53528,WI,10,84500,10/26/2007,,
53719,WI,19.04,125000,04/26/2007,,
53538,WI,10.082,76338,03/27/2007,,
53126,WI,2,18446.79,04/15/2005,,
54401,WI,0.207,0.0,09/15/2003,,
54426,WI,2.6,31404.19,02/28/2008,,
53188,WI,7.35,50139,04/24/2006,,
53589,WI,4.32,37125,02/26/2009,,
54210,WI,3.12,28743.48,06/28/2006,,
54149,WI,6.08,50360,09/24/2008,,
54406,WI,2.672,22879.44,12/09/2005,,
54217,WI,3.64,37250,12/27/2006,,
54406,WI,2.8,27215.32,07/26/2007,,
54956,WI,11.5,80907.56,03/28/2008,,
54981,WI,11.76,77170.72,04/27/2009,,
54307,WI,2.4,24993.04,02/28/2008,,
53703,WI,2.2,13249,01/10/2003,,
54847,WI,2.72,23147.84,07/28/2006,,
53188,WI,3.74,26180,12/23/2008,,
54481,WI,5.6,53896.16,06/27/2007,,
53105,WI,2.688,28000,12/10/2009,,
53593,WI,1.896,11640.14,08/30/2006,,
54303,WI,1.5,16159.44,10/25/2006,,
53029,WI,0.66,6616.2,11/18/2002,,
53150,WI,2.7,17800,06/30/2008,,
54307,WI,2.4,28791.66,01/26/2009,,
54909,WI,5.6,52335.52,06/26/2007,,
54401,WI,0.22,1008,10/29/2004,,
53717,WI,2.844,0.0,02/27/2003,,
53126,WI,2.64,0.0,07/23/2003,,
53080,WI,4.2,38390.5,06/28/2005,,
54603,WI,0.48,5667,12/15/2002,,
54981,WI,30,232067,04/28/2008,,
53523,WI,1.503,18893,10/18/2005,,
54403,WI,1.002,15454,06/22/2005,,
54156,WI,0.72,6979,09/28/2003,,
54742,WI,6.48,47423.45,05/23/2008,,
54130,WI,5.74,51775,10/28/2008,,
54421,WI,9.8,76959,04/28/2008,,
53716,WI,2.52,23618.65,12/26/2008,,
53151,WI,1.728,17700,02/02/2009,,
53402,WI,16.15,131585,08/08/2007,,
54909,WI,5.6,50608.69,11/07/2006,,
54307,WI,2.52,16859.44,04/26/2006,,
54406,WI,1.146,6343.15,12/20/2004,,
54913,WI,2.16,20535,08/14/2002,,
54865,WI,2.8,40033.15,02/26/2009,,
54307,WI,9.6,75062.07,06/07/2005,,
53913,WI,11.52,114920,11/25/2008,,
54130,WI,2.88,30660,01/28/2009,,
53704,WI,1.278,12345,12/21/2007,,
54501,WI,1.485,11492.56,12/27/2006,,
53913,WI,3.74,33573.1,07/21/2008,,
54201,WI,2.7,25700,12/23/2008,,
54658,WI,0.52,5341.83,03/27/2007,,
54426,WI,5.2,58684.38,08/24/2006,,
53713,WI,2.1,17269,04/28/2008,,
54121,WI,0.36,5435.08,01/28/2005,,
54827,WI,0.15,2776,07/22/2004,,
53039,WI,5.33,48250,03/26/2009,,
54915,WI,2.38,22062,07/24/2008,,
53221,WI,10,89759,08/24/2007,,
54552,WI,1.503,25713.45,01/18/2006,,
53208,WI,2.24,24530,10/28/2008,,
54209,WI,1.8,15559.05,07/18/2004,,
54940,WI,4.08,33703,06/30/2008,,
53711,WI,1.62,11564.65,12/26/2008,,
54501,WI,2.8,19844,06/13/2003,,
54481,WI,2.25,21762.45,04/04/2004,,
53597,WI,0.316,1875,09/03/2004,,
53222,WI,4.305,35130,08/20/2008,,
53522,WI,0.68,5600,11/29/2006,,
53014,WI,18,163372,01/30/2008,,
53502,WI,3.74,23978.51,04/13/2006,,
53916,WI,2.55,18787,05/22/2006,,
53711,WI,2.88,25162.33,11/25/2008,,
53717,WI,3.96,31250,01/29/2009,,
54423,WI,3.792,26681.78,11/17/2003,,
53115,WI,12.1,97000,06/26/2008,,
53705,WI,1.76,10400,06/14/2004,,
53558,WI,3.674,25598,01/18/2006,,
53105,WI,3.744,43204.51,01/29/2007,,
53027,WI,1.62,15347,10/26/2007,,
53711,WI,6.012,39495,10/24/2005,,
53703,WI,2.564,21768,09/29/2008,,
53716,WI,4.55,29934,04/26/2007,,
54481,WI,2.34,19137.12,05/23/2008,,
53147,WI,10,97000,12/20/2008,,
53704,WI,5.4,45067,05/29/2009,,
53703,WI,3.6,25733,04/28/2005,,
54452,WI,2.672,23189.72,12/12/2005,,
54810,WI,1.4,13939.87,11/25/2008,,
54154,WI,0.5,2040.08,04/22/2005,,
53066,WI,7.7,53851.64,01/29/2007,,
53207,WI,20,189860,06/30/2008,,
53555,WI,5.04,35905.0,01/26/2010,,
53726,WI,4.62,36595.0,01/26/2010,,
54751,WI,3.87,39621,01/26/2010,,
53711,WI,4.48,32102.06,01/27/2010,,
54872,WI,4.05,37488.0,01/27/2010,,
54426,WI,2.856,25451.0,01/29/2010,,
54449,WI,2.176,15716.0,01/29/2010,,
54449,WI,2.176,17838.0,01/29/2010,,
53703,WI,1.68,13133.0,01/29/2010,,
53527,WI,2.05,18510.0,02/11/2010,,
53074,WI,1.64,17690.0,02/11/2010,,
53074,WI,1.64,17690.0,02/11/2010,,
53805,WI,11.2,83965.0,02/12/2010,,
53105,WI,10.08,75150.0,02/12/2010,,
53703,WI,6.838,63684.0,02/12/2010,,
54481,WI,2.1,16500.0,02/12/2010,,
54235,WI,1.56,8592.98,02/12/2010,,
53925,WI,1.26,12620.0,02/17/2010,,
53142,WI,3.024,23280.0,02/24/2010,,
53575,WI,2.992,19990.0,02/24/2010,,
53575,WI,0.92,6710.0,02/24/2010,,
53206,WI,1.575,12443.0,02/24/2010,,
53206,WI,1.575,12443.0,02/24/2010,,
53206,WI,1.575,12443.0,02/24/2010,,
53206,WI,1.575,12443.0,02/24/2010,,
53403,WI,4.2,44540.0,03/10/2010,,
53212,WI,2.1,17955.0,03/15/2010,,
54313,WI,10.12,75482.0,03/15/2010,,
53039,WI,3.85,39500.0,03/15/2010,,
53566,WI,3.15,30450.0,03/15/2010,,
54401,WI,2.856,21904.0,03/15/2010,,
54403,WI,1.632,15254.0,03/15/2010,,
53149,WI,13.63,85000.0,03/25/2010,,
54247,WI,5.184,45070.0,03/25/2010,,
53718,WI,5.04,34630.0,03/25/2010,,
54601,WI,4.928,41943.0,03/25/2010,,
53715,WI,2.05,9273.25,03/25/2010,,
53703,WI,5.875,44217.5,03/26/2010,,
53588,WI,8.064,64512.0,04/12/2010,,
54494,WI,4.2,27000.0,04/13/2010,,
53533,WI,5.06,35420.0,04/13/2010,,
53528,WI,5.376,36387.3,04/13/2010,,
53521,WI,5.04,44370.0,04/13/2010,,
54204,WI,4.23,32076.0,04/13/2010,,
53037,WI,3.024,23280.0,04/13/2010,,
53533,WI,3.12,26628.47,04/13/2010,,
53581,WI,15.51,106085.0,04/14/2010,,
53711,WI,9.66,64385.0,04/28/2010,,
54750,WI,1.0,9440.0,04/28/2010,,
53925,WI,1.38,9660.0,04/28/2010,,
53593,WI,11.34,76470.0,04/28/2010,,
54022,WI,6.75,50340.38,04/28/2010,,
53705,WI,6.84,60734.0,04/28/2010,,
53073,WI,5.64,35562.5,04/28/2010,,
53092,WI,5.04,36850.0,04/28/2010,,
53185,WI,3.78,26900.0,04/28/2010,,
53705,WI,1.29,7042.0,04/28/2010,,
54646,WI,0.54,3046.17,04/28/2010,,
53536,WI,6.21,40225.04,05/13/2010,,
54913,WI,6.11,39408.0,05/13/2010,,
54456,WI,4.08,30940.0,05/13/2010,,
53142,WI,3.024,24000.0,05/13/2010,,
53597,WI,3.29,22442.0,05/13/2010,,
53705,WI,1.84,18890.0,05/13/2010,,
53715,WI,12.69,85349.01,05/13/2010,,
54022,WI,4.14,36362.0,05/13/2010,,
54947,WI,2.52,18871.0,05/27/2010,,
53147,WI,9.4,71533.0,05/27/2010,,
54652,WI,8.0,61857.32,05/27/2010,,
54521,WI,5.04,46017.26,05/27/2010,,
53704,WI,0.525,3150.0,05/27/2010,,
53150,WI,12.925,95175.0,06/02/2010,,
53716,WI,2.1,13800.0,06/10/2010,,
54665,WI,4.48,28371.65,06/10/2010,,
53705,WI,4.05,33349.0,06/10/2010,,
54417,WI,3.36,27167.0,06/14/2010,,
54481,WI,1.8,12000.0,06/28/2010,,
53121,WI,1.41,11326.0,06/28/2010,,
53916,WI,5.94,37998.09,06/28/2010,,
54759,WI,2.96,31900.37,06/28/2010,,
54126,WI,3.6,28442.0,06/28/2010,,
53072,WI,7.755,49236.0,07/14/2010,,
53719,WI,6.11,38402.0,07/14/2010,,
54913,WI,6.11,39175.0,07/14/2010,,
54235,WI,1.84,14564.28,07/14/2010,,
54421,WI,2.96,19645.44,07/14/2010,,
54101,WI,14.1,74025.0,07/28/2010,,
53562,WI,4.83,30300.0,07/28/2010,,
53188,WI,3.08,23280.0,07/28/2010,,
53704,WI,3.15,14019.51,07/28/2010,,
54930,WI,2.22,13858.52,07/28/2010,,
53538,WI,1.704,15450.19,07/28/2010,,
53536,WI,1.15,7894.88,07/28/2010,,
54529,WI,3.76,24600.0,07/29/2010,,
54751,WI,10.92,73649.0,08/12/2010,,
53582,WI,11.28,70916.0,08/13/2010,,
53118,WI,12.42,86054.0,08/26/2010,,
53536,WI,10.34,69745.0,08/26/2010,,
54738,WI,9.72,41720.0,08/26/2010,,
53014,WI,7.65,48000.0,08/26/2010,,
53521,WI,6.3,41805.0,08/26/2010,,
54937,WI,4.5,28074.0,08/26/2010,,
53546,WI,2.2,14000.0,08/26/2010,,
53719,WI,19.74,156756.0,08/26/2010,,
53719,WI,19.74,145313.48,08/26/2010,,
53406,WI,3.01,29566.0,08/26/2010,,
54661,WI,3.36,25900.0,08/27/2010,,
54449,WI,2.176,16000.0,08/27/2010,,
53703,WI,9.945,93367.0,08/27/2010,,
53703,WI,9.66,91830.0,08/27/2010,,
54962,WI,5.92,36000.0,09/13/2010,,
54130,WI,5.98,40900.0,09/13/2010,,
53137,WI,5.64,40910.0,09/13/2010,,
53716,WI,5.805,29000.0,09/13/2010,,
54966,WI,4.2,26400.0,09/13/2010,,
53705,WI,4.6,32700.0,09/13/2010,,
53925,WI,2.82,20244.0,09/13/2010,,
53704,WI,2.3,13209.0,09/13/2010,,
53923,WI,1.72,12556.0,09/13/2010,,
54956,WI,5.4,27507.0,09/13/2010,,
54913,WI,3.24,24293.0,09/13/2010,,
53968,WI,4.48,34390.72,09/14/2010,,
54552,WI,5.64,41003.82,09/15/2010,,
53704,WI,9.4,63750.0,09/15/2010,,
54110,WI,9.2,61870.0,09/15/2010,,
53556,WI,17.82,150452.0,09/27/2010,,
53078,WI,8.28,55973.0,09/27/2010,,
54130,WI,3.04,19565.0,09/27/2010,,
53717,WI,2.1,16810.0,09/27/2010,,
53703,WI,9.936,94239.0,09/27/2010,,
54634,WI,12.6,72450.0,10/15/2010,,
53506,WI,6.72,46367.0,10/15/2010,,
53221,WI,4.9,32327.0,10/15/2010,,
53548,WI,4.3,20199.01,10/15/2010,,
53562,WI,3.87,24963.0,10/15/2010,,
54935,WI,3.87,28063.0,10/15/2010,,
54481,WI,2.1,12100.0,10/15/2010,,
54772,WI,1.84,15279.37,10/15/2010,,
53589,WI,5.17,28979.0,10/15/2010,,
53954,WI,5.04,39160.0,10/15/2010,,
53095,WI,1.47,13965.0,10/15/2010,,
53005,WI,14.1,87000.0,10/27/2010,,
54956,WI,11.04,61254.36,10/27/2010,,
54960,WI,6.84,41000.0,10/27/2010,,
54949,WI,5.92,35900.0,10/27/2010,,
54956,WI,5.64,45150.0,10/27/2010,,
54494,WI,4.86,26680.0,10/27/2010,,
54986,WI,4.3,28780.0,10/27/2010,,
53208,WI,3.055,22500.0,10/27/2010,,
53711,WI,2.76,23232.0,10/27/2010,,
53726,WI,2.3,14975.0,10/27/2010,,
53566,WI,3.29,25559.0,11/02/2010,,
53516,WI,8.82,65747.6,11/10/2010,,
53076,WI,7.392,61400.0,11/10/2010,,
53037,WI,2.94,23280.0,11/10/2010,,
53037,WI,2.94,23280.0,11/10/2010,,
53037,WI,2.94,23280.0,11/10/2010,,
53074,WI,2.94,29100.0,11/10/2010,,
54452,WI,3.264,21604.0,11/10/2010,,
54208,WI,2.376,12013.67,11/10/2010,,
54161,WI,1.32,11880.0,11/10/2010,,
54655,WI,1.12,5485.16,11/10/2010,,
53533,WI,11.04,80730.0,11/30/2010,,
54026,WI,10.32,85725.0,11/30/2010,,
53566,WI,6.93,52140.0,11/30/2010,,
53925,WI,6.075,42140.0,11/30/2010,,
53545,WI,2.15,22215.0,11/30/2010,,
53959,WI,6.075,40350.0,11/30/2010,,
53118,WI,15.98,98180.0,12/14/2010,,
54632,WI,11.04,73350.0,12/14/2010,,
54665,WI,5.4,55133.0,12/14/2010,,
54412,WI,2.112,15247.26,12/14/2010,,
54727,WI,1.68,14830.0,12/14/2010,,
54013,WI,2.52,18450.0,12/14/2010,,
53704,WI,1.38,10182.54,12/14/2010,,
54751,WI,3.68,42618.0,12/15/2010,,
54952,WI,1.64,8650.0,12/15/2010,,
53713,WI,9.84,78754,10/29/2009,,
53074,WI,1.64,17690,12/29/2009,,
54914,WI,4.725,31182,11/12/2009,,
53211,WI,14.76,140862,08/27/2009,,
54644,WI,2.464,19588,12/29/2009,,
54406,WI,2.88,27826.59,11/30/2009,,
54738,WI,7.35,51274.63,07/30/2009,,
54660,WI,5.25,44741.34,09/30/2009,,
54165,WI,5.64,49500,09/30/2009,,
53059,WI,4.6,51425,12/30/2009,,
54208,WI,4.92,42970.15,09/29/2009,,
54466,WI,2.88,25326.45,09/29/2009,,
54945,WI,3.85,39500,12/29/2009,,
54977,WI,3,28490,07/30/2009,,
54407,WI,2.88,25978.33,08/25/2009,,
53566,WI,10.8,79331,12/29/2009,,
53551,WI,7.2,54942.29,10/29/2009,,
54481,WI,3.675,29300,08/25/2009,,
54981,WI,8.64,69193.09,08/31/2009,,
53533,WI,9.8,87028,07/30/2009,,
54411,WI,2.8,24112.03,06/29/2009,,
53224,WI,2.94,24000,11/30/2009,,
53532,WI,3.45,25250,12/14/2009,,
54401,WI,9.945,79360,08/25/2009,,
54658,WI,6.3,50568.4,07/30/2009,,
54002,WI,3.68,44275,12/29/2009,,
53821,WI,1.26,8920.1,09/29/2009,,
53705,WI,2.07,19500,07/27/2009,,
54738,WI,3.6,45496.2,05/29/2009,,
53704,WI,8.64,108845,10/29/2009,,
53589,WI,5.76,57850,11/24/2009,,
53531,WI,7.36,69300,05/29/2009,,
53575,WI,9.84,76382,07/31/2009,,
53544,WI,4.14,36020,09/29/2009,,
53574,WI,6.3,51229.91,10/30/2009,,
53214,WI,28.08,219488,09/25/2009,,
54729,WI,1.47,15624,09/29/2009,,
54501,WI,6.3,51900,11/24/2009,,
54660,WI,7.995,74134.6,08/31/2009,,
53563,WI,10.2,75500,06/30/2009,,
53217,WI,5.04,41725,10/29/2009,,
54407,WI,5.76,50003.66,11/24/2009,,
54235,WI,1.82,10793,12/29/2009,,
54926,WI,2.8,21011.52,07/30/2009,,
53549,WI,21.384,168000,07/30/2009,,
53516,WI,7.38,56227.05,08/31/2009,,
53963,WI,2.88,32290,11/24/2009,,
54601,WI,28,194804.77,10/30/2009,,
53913,WI,2.88,31000,12/30/2009,,
53961,WI,5.76,62981.58,11/24/2009,,
53951,WI,5.76,55529,11/24/2009,,
53951,WI,8.64,91900,12/17/2009,,
54401,WI,3.78,35080,12/29/2009,,
53711,WI,3.78,33702,07/31/2009,,
53559,WI,8.05,54700,08/26/2009,,
53158,WI,5.4,43370,11/24/2009,,
54655,WI,2.464,17711.05,12/29/2009,,
54914,WI,1.64,11350,11/30/2009,,
53215,WI,2.16,21045,09/30/2009,,
53051,WI,2.28,21410,07/30/2009,,
54020,WI,18.13,216575,05/28/2008,,
54466,WI,1.125,9889.98,12/29/2009,,
54235,WI,5.85,44294.18,07/30/2009,,
54962,WI,5.76,47811.3,08/25/2009,,
54481,WI,3,35016,06/29/2009,,
54110,WI,4.14,36500,12/29/2009,,
54750,WI,4,45700,09/25/2009,,
53705,WI,3.22,30160,10/28/2009,,
53562,WI,2.778,22370,12/29/2009,,
53154,WI,3.456,63560,12/29/2009,,
53188,WI,2.94,24000,12/21/2009,,
53703,WI,3.78,34000,07/30/2009,,
53704,WI,1.8,4484,12/04/2002,,
54909,WI,2.8,39987.74,09/27/2007,,
53126,WI,11,88154.57,10/29/2004,,
54665,WI,12.6,92112,10/28/2009,,
53402,WI,16.125,134583,05/29/2009,,
54170,WI,14.7,99286,08/19/2009,,
53913,WI,5.76,57700,10/29/2009,,
53072,WI,10.88,141260,12/14/2009,,
54956,WI,0.525,3845,12/29/2009,,
53142,WI,3.024,24000,12/30/2009,,
54406,WI,5.76,47406.35,10/29/2009,,
53151,WI,1.08,10800,12/29/2009,,
53718,WI,9.84,84185,05/29/2009,,
53216,WI,4.62,43100,06/29/2009,,
54984,WI,2.88,27737.15,09/30/2009,,
53072,WI,7.2,68940,10/29/2009,,
53142,WI,4.32,39725.22,09/29/2009,,
53094,WI,9.03,79300,06/30/2009,,
53036,WI,14.24,121446,08/18/2009,,
53085,WI,5.76,57948,10/29/2009,,
53924,WI,3.01,21796.81,08/25/2009,,
54241,WI,3.76,32500,09/29/2009,,
54768,WI,2.1,26000,12/29/2009,,
53118,WI,10.08,78984.5,10/28/2009,,
54467,WI,20,144942.72,11/24/2009,,
54814,WI,1.32,12403.01,07/30/2009,,
53037,WI,2.94,24000,11/12/2009,,
53821,WI,3.36,30010.78,10/29/2009,,
54407,WI,2.88,19762.75,12/29/2009,,
53508,WI,5.67,40750,12/29/2009,,
53704,WI,2.3,22734,12/29/2009,,
53213,WI,5.6,51264.27,11/12/2009,,
53566,WI,3.6,33660,07/27/2009,,
53716,WI,4.68,30935.4,09/28/2009,,
53036,WI,12.6,88200,11/12/2009,,
54930,WI,3.6,24547.43,08/18/2009,,
54426,WI,4.92,43466,09/29/2009,,
53212,WI,13.86,138600,10/29/2009,,
54406,WI,5.04,31696.88,12/29/2009,,
53092,WI,17.496,175950,12/29/2009,,
53593,WI,2.88,19910,12/29/2009,,
53703,WI,2.376,23432,09/29/2009,,
54495,WI,5.88,44979.43,12/29/2009,,
54140,WI,5.33,44970,05/29/2009,,
53105,WI,2.688,24250,12/29/2009,,
53561,WI,3.584,23786,11/30/2009,,
53154,WI,17.496,175950,12/29/2009,,
53115,WI,12.544,90956,08/25/2009,,
53703,WI,1.84,13462,12/29/2009,,
54209,WI,6.56,64291.7,12/29/2009,,
54208,WI,5.16,22800,12/21/2009,,
54631,WI,14.4,112450,09/28/2009,,
53575,WI,5.76,55000,12/29/2009,,
53588,WI,4.928,35840,12/29/2009,,
54639,WI,3.584,23041.03,11/23/2009,,
53559,WI,13.68,108228,05/29/2009,,
53156,WI,3.45,25355,09/29/2009,,
54491,WI,3.29,29812,10/30/2009,,
53097,WI,9.8,102630,11/23/2009,,
53211,WI,5.4,47508,07/30/2009,,
53963,WI,5.98,41400,12/29/2009,,
53212,WI,5.46,52416,12/29/2009,,
53020,WI,2.88,31293,09/25/2009,,
54558,WI,7,76321.8,09/28/2009,,
54927,WI,4.56,37590,07/30/2009,,
54001,WI,3.68,27699.48,12/29/2009,,
53716,WI,3.168,28400,12/29/2009,,
54138,WI,2.87,22175,08/25/2009,,
54981,WI,12.075,88329,06/30/2009,,
54729,WI,10.12,138733,11/24/2009,,
53588,WI,4.9,48957.31,06/29/2009,,
54423,WI,8.64,70230.3,12/29/2009,,
54911,WI,5.33,28840,11/24/2009,,
54558,WI,2.8,29039.2,08/31/2009,,
53589,WI,1.225,12630,07/31/2009,,
54915,WI,4,29973.21,07/31/2009,,
53548,WI,2.45,20432.19,10/29/2009,,
54806,WI,2.1,20260,05/29/2009,,
53149,WI,5.74,50260,07/30/2009,,
54407,WI,5.76,52377.82,11/24/2009,,
53562,WI,3.99,35667,11/24/2009,,
54220,WI,7.128,57800,07/30/2009,,
54977,WI,2.88,26469.12,11/24/2009,,
53598,WI,8.064,39400,07/30/2009,,
53188,WI,6.534,54325,06/30/2009,,
54101,WI,6.11,44300,11/24/2009,,
53547,WI,10.2,77220,08/25/2009,,
54913,WI,3.96,29800,05/29/2009,,
54639,WI,8.4,88504.99,10/29/2009,,
54639,WI,1.792,13525.7,11/23/2009,,
54126,WI,15.75,111565,12/29/2009,,
53097,WI,25.85,250000,12/29/2009,,
53147,WI,7.2,48301,10/29/2009,,
53546,WI,2.88,35350,10/29/2009,,
53211,WI,17.01,131354.59,12/29/2009,,
54981,WI,8.4,58210,12/14/2009,,
53021,WI,6.336,47731,08/26/2009,,
54426,WI,5.535,41424.58,08/31/2009,,
53901,WI,11.52,116000,12/29/2009,,
53185,WI,9.36,70000,08/31/2009,,
53582,WI,3.36,31132.74,10/29/2009,,
53575,WI,6.21,52934,07/30/2009,,
53590,WI,8.6,59500,05/29/2009,,
54915,WI,1.64,11350,11/30/2009,,
53027,WI,18.9,150353.92,09/29/2009,,
53590,WI,47.355,345414,10/29/2009,,
54202,WI,2.46,24141.57,08/26/2009,,
54701,WI,5.76,46940.34,09/28/2009,,
53807,WI,5.76,55930,08/31/2009,,
54016,WI,3.44,31704,11/30/2009,,
