Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WI
54981,WI,6.11,29493.75,01/30/2012,,
53713,WI,9.8,55175.0,04/03/2012,,
53221,WI,6.72,63652.3,02/28/2012,,
53589,WI,10.32,46646.4,02/28/2012,,
53913,WI,6.3,47524.0,02/28/2012,,
54981,WI,19.74,120000.0,01/30/2012,,
54452,WI,19.2,87900.0,04/17/2012,,
53015,WI,19.98,148851.0,01/30/2012,,
54406,WI,17.8,79514.0,03/29/2012,,
53526,WI,9.856,85400.0,01/02/2012,,
54956,WI,41.16,209746.0,01/30/2012,,
54230,WI,3.71,7878.085279,10/20/2014,,
53511,WI,0.96,2141.006428,03/29/2014,,
53049,WI,3.97,18245.98638,08/11/2014,,
53715,WI,0.8285,4970.366209,10/03/2014,,
54455,WI,20.28,79540.8153,10/15/2014,,
54603,WI,39.75,,12/20/2012,,
54629,WI,9.0,51995.0,04/23/2012,,
54629,WI,8.28,51995.0,08/19/2011,,
53076,WI,2.48,20331.4,10/08/1998,,
53572,WI,3.76,24600.0,06/16/2011,,
54664,WI,5.76,66650.0,01/26/2010,,
53105,WI,5.76,53089.0,01/26/2010,,
54771,WI,3.78,34727.03,01/26/2010,,
53821,WI,3.36,31405.0,01/26/2010,,
53073,WI,2.96,28687.0,01/26/2010,,
54771,WI,2.82,34919.0,01/26/2010,,
54494,WI,11.0,147800.0,01/27/2010,,
53593,WI,3.15,28300.0,01/27/2010,,
53189,WI,28.0,221491.0,01/28/2010,,
53711,WI,12.3,95200.0,01/28/2010,,
53517,WI,7.0,49900.0,01/28/2010,,
53562,WI,19.712,157715.69,01/28/2010,,
54626,WI,3.36,29405.0,01/29/2010,,
53572,WI,7.79,53212.0,02/10/2010,,
53211,WI,14.784,137094.0,02/10/2010,,
53029,WI,15.12,13693.0,02/10/2010,,
53583,WI,38.64,258579.0,02/10/2010,,
54937,WI,3.36,15200.0,02/10/2010,,
53821,WI,6.72,31593.15,02/10/2010,,
54729,WI,3.36,30010.78,02/10/2010,,
53066,WI,5.76,68390.0,02/10/2010,,
53507,WI,6.08,61676.57,02/11/2010,,
53213,WI,2.88,29570.0,02/11/2010,,
53901,WI,11.52,116000.0,02/12/2010,,
54981,WI,9.02,85000.0,02/12/2010,,
53403,WI,36.9,288250.0,02/18/2010,,
53588,WI,8.064,64512.0,02/19/2010,,
53033,WI,28.2,240000.0,02/24/2010,,
53951,WI,10.08,106969.0,02/24/2010,,
54235,WI,4.1,32726.1,02/24/2010,,
54902,WI,3.526,30482.41,03/08/2010,,
53575,WI,10.56,81410.0,03/08/2010,,
54981,WI,17.326,89501.0,03/08/2010,,
54913,WI,17.856,201460.0,03/15/2010,,
