Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=DE
19971,DE,7.43,,12/19/2014,,
19947,DE,8.8,,12/22/2014,,
19968,DE,5.5,,12/23/2014,,
19711,DE,3.92,,09/24/2014,,
19709,DE,8.82,,09/19/2014,,
19960,DE,8.82,,09/10/2014,,
19933,DE,8.82,,11/14/2014,,
19810,DE,7.35,,12/10/2014,,
19701,DE,4.5,,10/07/2014,,
19940,DE,8.25,,12/18/2014,,
19711,DE,10.08,,10/18/2014,,
19958,DE,7.56,,11/10/2014,,
19930,DE,10.92,,12/16/2014,,
19713,DE,7.56,,11/18/2014,,
19968,DE,9.24,,11/21/2014,,
19701,DE,8.53,,12/03/2014,,
19968,DE,5.5,,12/09/2014,,
19810,DE,8.4,,12/10/2014,,
19975,DE,7.5,,12/26/2014,,
19968,DE,5.5,,12/26/2014,,
19970,DE,6.0,,11/21/2014,,
19962,DE,5.78,,10/21/2014,,
19971,DE,4.0,,12/09/2014,,
19934,DE,13.72,,11/12/2014,,
19971,DE,6.3,,11/10/2014,,
19971,DE,6.12,,11/14/2014,,
19971,DE,16.24,,12/16/2014,,
19971,DE,6.48,,10/16/2014,,
19734,DE,14.85,,11/13/2014,,
19958,DE,5.1,,12/28/2014,,
19958,DE,5.5,,12/18/2014,,
19958,DE,5.5,,12/18/2014,,
19958,DE,2.0,,12/09/2014,,
19950,DE,103.0,272200.0,11/18/2014,,
19952,DE,25.2,86520.0,12/18/2014,,
19970,DE,15.12,,09/19/2014,,
19956,DE,9.12,,09/18/2014,,
19958,DE,5.61,,11/13/2014,,
19958,DE,3.32,,11/13/2014,,
19968,DE,5.5,,10/13/2014,,
19901,DE,5.5,,11/05/2014,,
19810,DE,4.9,,10/21/2014,,
19707,DE,10.56,,10/17/2014,,
19958,DE,25.22,,11/07/2014,,
19901,DE,10.14,,10/24/2014,,
19939,DE,10.92,,08/07/2014,,
19958,DE,5.25,,11/05/2014,,
19702,DE,11.55,,09/19/2014,,
19971,DE,5.61,,11/18/2014,,
19930,DE,8.0,,12/20/2013,,
19701,DE,107.25,,11/07/2014,,
19713,DE,6.36,,09/08/2014,,
19947,DE,6.36,,11/12/2014,,
19930,DE,6.5,,11/05/2014,,
19958,DE,4.0,,11/05/2014,,
19709,DE,9.54,,07/15/2014,,
19709,DE,10.0,,08/14/2014,,
