Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=WA
98109,WA,3.68,21034.4,08/03/2011,,
98119,WA,3.84,18300.4,08/08/2011,,
98119,WA,3.84,22392.0,08/17/2011,,
98109,WA,3.36,19185.6,08/10/2011,,
98109,WA,3.22,17162.6,07/22/2011,,
98119,WA,4.32,19911.6,08/05/2011,,
98119,WA,7.2,32084.0,07/28/2011,,
98119,WA,3.68,21188.8,07/28/2011,,
98119,WA,2.76,16602.4,08/10/2011,,
98119,WA,3.6,22364.0,07/08/2011,,
98109,WA,4.14,21034.4,06/22/2011,,
98109,WA,5.52,28898.4,07/07/2011,,
98119,WA,3.22,18037.8,07/20/2011,,
98119,WA,2.76,14629.2,07/08/2011,,
98119,WA,4.6,23782.0,06/24/2011,,
98119,WA,2.88,13252.8,06/24/2011,,
98119,WA,4.14,22438.8,08/23/2011,,
98119,WA,4.14,19968.4,06/15/2011,,
98119,WA,5.06,27570.2,05/25/2011,,
98109,WA,11.04,59502.2,06/03/2011,,
98119,WA,3.22,17613.4,05/13/2011,,
98109,WA,5.28,25316.8,04/21/2011,,
98199,WA,5.52,29388.4,05/12/2011,,
98253,WA,25.74,210000.0,06/21/2011,,
98075,WA,4.2,21000.0,05/21/2010,,
99109,WA,7.56,60431.0,07/13/2010,,
98368,WA,3.0,24769.0,06/18/2008,,
98368,WA,3.0,29769.0,06/18/2008,,
99352,WA,1.4,15000.0,10/15/2008,,
98950,WA,500.0,,10/07/2009,,
99353,WA,38.7,281000.0,05/02/2002,,
98816,WA,1.3,13000,03/03/2005,,
98033,WA,5.04,34367,10/12/2009,,
98126,WA,3,18000,12/11/2009,,
98801,WA,1.3,13000,09/20/2004,,
98816,WA,1.3,13000,03/31/2005,,
98801,WA,0.3,4800,05/03/2002,,
98801,WA,1.3,13000,04/05/2005,,
98362,WA,6,43468,01/15/2006,,
98801,WA,1.3,13000,04/21/2004,,
98826,WA,2.4,24000,08/01/2008,,
98816,WA,2.5,25000,06/26/2001,,
98815,WA,0.6,6000,05/02/2002,,
98801,WA,1.3,13000,12/30/2003,,
98801,WA,1.155,11550,06/01/2006,,
98801,WA,10,80000,10/10/2001,,
98826,WA,1.3,13000,07/20/2005,,
98826,WA,1.3,13000,04/19/2005,,
98108,WA,4.2,29870,09/30/2009,,
98801,WA,1.3,13000,03/04/2005,,
98831,WA,0.6,6000,05/06/2006,,
98815,WA,1.3,13000,04/21/2005,,
98466,WA,0.7,4230,04/04/2009,,
98826,WA,1.155,11550,05/20/2007,,
98801,WA,1.3,13000,04/28/2005,,
98118,WA,4.2,23000,12/04/2009,,
98665,WA,12.096,85713.0,05/19/2008,,
98826,WA,1.3,13000,12/21/2004,,
98826,WA,1.3,13000,12/14/2004,,
98801,WA,1.3,13000,04/05/2004,,
98801,WA,1.3,13000,07/08/2004,,
98801,WA,1.3,13000,07/02/2004,,
98815,WA,1.3,13000,03/14/2005,,
98831,WA,1.3,13000,03/07/2005,,
98801,WA,1.3,13000,03/10/2005,,
98822,WA,1.3,13000,03/11/2005,,
98362,WA,1.44,10947.64,05/25/2007,,
98362,WA,2.66,17500,07/10/2008,,
98852,WA,1.3,13000,05/30/2007,,
98801,WA,10,80000,10/01/2000,,
98801,WA,10.56,84480,12/17/2003,,
98801,WA,1.3,13000,05/12/2005,,
98801,WA,1.3,13000,07/06/2004,,
