Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=UT
84790,UT,2.04,22209.13,04/01/2006,,
84532,UT,0.64,3750.0,05/01/2006,,
84637,UT,1.2,7171.76,05/05/2006,,
84020,UT,4.0,30000.0,06/01/2006,,
84720,UT,1.56,15563.65,06/12/2006,,
84663,UT,2.5,23229.56,09/08/2006,,
84663,UT,2.5,23229.56,09/11/2006,,
84770,UT,4.8,49455.0,09/27/2006,,
84790,UT,3.15,24816.0,11/16/2006,,
84790,UT,3.15,24816.0,11/17/2006,,
84652,UT,2.0,15437.11,12/01/2006,,
84078,UT,1.485,9396.79,12/11/2006,,
84105,UT,1.7,16711.3,12/28/2006,,
84105,UT,1.7,13911.3,12/28/2006,,
84111,UT,2.0,8466.64,12/29/2006,,
84111,UT,92.0,389465.37,12/29/2006,,
84032,UT,1.04,8694.0,12/30/2006,,
84790,UT,1.2,9660.65,12/30/2006,,
84010,UT,0.75,1937.02,05/01/2007,,
84103,UT,2.76,21885.0,05/08/2007,,
84047,UT,2.4,24710.0,06/23/2007,,
84737,UT,0.99,10735.0,06/25/2007,,
84532,UT,8.1,72900.0,07/27/2007,,
84109,UT,4.18,39210.0,08/24/2007,,
84105,UT,1.4,12707.0,08/28/2007,,
84604,UT,2.9,18214.17,10/01/2007,,
84770,UT,2.04,18589.46,10/23/2007,,
84737,UT,1.98,17092.3,10/24/2007,,
84047,UT,2.28,22800.0,10/25/2007,,
84098,UT,2.342,21552.0,10/28/2007,,
84103,UT,3.04,26308.0,11/01/2007,,
84103,UT,2.66,26306.62,11/13/2007,,
84790,UT,2.625,21000.0,11/14/2007,,
84738,UT,0.22,1843.1,12/01/2007,,
84736,UT,2.97,23710.76,12/01/2007,,
84103,UT,2.4,20758.0,12/09/2007,,
84532,UT,1.44,14400.0,12/10/2007,,
84720,UT,1.98,18183.31,12/14/2007,,
84109,UT,2.0,21300.0,12/15/2007,,
84532,UT,1.44,12247.07,12/17/2007,,
84532,UT,1.44,12065.0,12/18/2007,,
84767,UT,1.98,20484.19,12/27/2007,,
84121,UT,1.2,8901.12,12/27/2007,,
84310,UT,2.88,26847.0,12/28/2007,,
84790,UT,3.08,24577.94,01/14/2008,,
84790,UT,3.08,24577.44,01/14/2008,,
84532,UT,3.6,22600.0,02/01/2008,,
84103,UT,3.04,27899.59,02/13/2008,,
84738,UT,1.98,20045.98,02/21/2008,,
84770,UT,5.61,45004.19,03/12/2008,,
84782,UT,0.34,3579.32,03/26/2008,,
84779,UT,2.04,19278.98,03/28/2008,,
84770,UT,2.04,20827.36,04/11/2008,,
84738,UT,4.03,32240.0,05/01/2008,,
84738,UT,4.08,38132.0,07/02/2008,,
84095,UT,2.0,20000.0,07/08/2008,,
84741,UT,4.08,33195.01,07/17/2008,,
84783,UT,1.258,11300.0,08/26/2008,,
84721,UT,3.06,23151.14,09/10/2008,,
84532,UT,1.44,13922.0,09/19/2008,,
84782,UT,1.04,10370.0,09/23/2008,,
84532,UT,4.56,47364.0,09/24/2008,,
84721,UT,9.9,104104.44,09/25/2008,,
84721,UT,2.97,25021.38,09/25/2008,,
84532,UT,4.56,38385.89,10/01/2008,,
84097,UT,1.46,11394.64,10/01/2008,,
84738,UT,4.08,44368.13,10/27/2008,,
84111,UT,3.38,30504.17,11/14/2008,,
