Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=UT
84401,UT,7.5,36527.11107,01/28/2014,,
84738,UT,7.14,18672.8978,05/19/2014,,
84092,UT,4.95,26368.30036,12/29/2014,,
84065,UT,4.335,15164.43844,05/02/2014,,
84096,UT,0.75,3495.640076,01/24/2014,,
84042,UT,28.08,134331.9486,11/25/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84095,UT,1.96,8966.812702,01/24/2014,,
84042,UT,27.04,132637.9749,12/17/2014,,
84041,UT,5.035,18010.81526,07/02/2014,,
84070,UT,28.08,127012.979,01/27/2014,,
84041,UT,3.825,14569.30259,09/22/2014,,
84087,UT,5.1,17324.39934,06/12/2014,,
84054,UT,6,19452.46913,11/25/2014,,
84042,UT,4.75,18001.52753,09/24/2014,,
84098,UT,4.8,25468.32107,02/20/2014,,
84120,UT,31.5,102467.1888,02/25/2014,,
84116,UT,34.5,96891.141,02/25/2014,,
84119,UT,28.08,133270.9773,09/08/2014,,
84095,UT,11.88,39111.00634,08/19/2014,,
84118,UT,9.62,28862.11762,09/08/2014,,
84070,UT,69.3,155383.9704,11/02/2014,,
84098,UT,4.32,11831.25546,07/14/2014,,
84096,UT,0.765,3482.761143,02/13/2014,,
84098,UT,7.83,32971.63761,09/08/2014,,
84101,UT,4.05,14013.89367,12/18/2014,,
84014,UT,10,48072.64146,01/27/2014,,
84057,UT,31.27,149061.133,10/01/2014,,
84103,UT,4.16,16930.38692,09/04/2014,,
84096,UT,0.75,3482.761143,02/03/2014,,
84317,UT,6.12,57175.5048,01/28/2014,,
84321,UT,29.12,82607.53624,10/01/2014,,
84117,UT,14.28,44031.85554,12/29/2014,,
84093,UT,4.335,15248.68112,11/25/2014,,
84115,UT,2.289,6458.694648,07/08/2014,,
84020,UT,5.46,27728.98999,02/20/2014,,
84763,UT,4.08,11788.53403,09/19/2014,,
84118,UT,0.75,4256.705894,01/24/2014,,
84096,UT,0.735,3495.640076,01/24/2014,,
84095,UT,2,8966.812702,01/24/2014,,
84115,UT,5,32293.47324,07/02/2014,,
84751,UT,25,93982.24018,11/02/2014,,
84090,UT,9.69,38983.37003,01/27/2014,,
84101,UT,4.05,15367.87214,01/27/2014,,
84092,UT,2.5,11629.38461,09/09/2014,,
