Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=PA
19438,PA,4.8,48661.82811,08/31/2004,,
19151,PA,2.88,28219.63653,08/09/2003,,
19464,PA,3.15,36439.51255,10/28/2006,,
18901,PA,4.8,41475.64749,08/31/2004,,
17522,PA,8.736,56518.0,12/13/2010,,
19438,PA,88.83,,07/20/2012,,
18073,PA,9.87,,10/03/2012,,
18930,PA,6.0,0.0,10/03/2012,,
17243,PA,3.5,16450.0,12/18/2012,,
16662,PA,10.0,42100.0,12/18/2012,,
16662,PA,17.25,71000.0,12/10/2012,,
17557,PA,1120.0,3640000.0,12/21/2012,,
17032,PA,113.4,,09/06/2011,,
19525,PA,8.12,,08/12/2011,,
17601,PA,10.08,,05/01/2011,,
18337,PA,8.96,,05/25/2011,,
17512,PA,8.82,,01/24/2011,,
17543,PA,17.94,,05/02/2011,,
19335,PA,8.36,,08/08/2011,,
16506,PA,4.48,25536.0,09/08/2011,,
16407,PA,3.84,22176.0,12/23/2010,,
16509,PA,2.7,20776.0,10/26/2011,,
16415,PA,6.88,46376.0,01/05/2011,,
16511,PA,4.14,25254.0,08/26/2011,,
18465,PA,4.0,28000.0,07/12/2010,,
16506,PA,5.6,41181.0,12/14/2009,,
16424,PA,5.0,22050.0,06/28/2012,,
16410,PA,10.0,53000.0,10/24/2011,,
16441,PA,3.96,26928.0,12/23/2010,,
16441,PA,6.37,26460.0,05/31/2012,,
16510,PA,4.8,32640.0,07/12/2010,,
16335,PA,8.55,56166.0,06/20/2011,,
16504,PA,2.2,13450.0,08/19/2011,,
16242,PA,10.0,71000.0,07/12/2010,,
16506,PA,1.96,8820.0,06/26/2012,,
16506,PA,6.16,38808.0,11/19/2010,,
16426,PA,6.1,30000.0,07/19/2011,,
16505,PA,2.52,14616.0,07/26/2011,,
16442,PA,10.0,46305.0,06/27/2012,,
16506,PA,3.43,15659.0,06/25/2012,,
16417,PA,9.8,37240.0,10/02/2012,,
16510,PA,3.84,24192.0,05/18/2011,,
16510,PA,2.76,17595.0,04/26/2011,,
16415,PA,3.92,17640.0,05/24/2012,,
16412,PA,8.72,55000.0,05/20/2010,,
16428,PA,3.92,13975.0,10/26/2011,,
16510,PA,9.2,62370.0,08/17/2010,,
16415,PA,1.44,8500.0,08/19/2011,,
16510,PA,1.92,11904.0,06/03/2011,,
16316,PA,22.4,137760.0,08/19/2010,,
16506,PA,6.8,46920.0,06/08/2010,,
16510,PA,11.0,67584.0,12/13/2010,,
16335,PA,1.68,8400.0,02/14/2011,,
19365,PA,7.65,,04/07/2011,,
15486,PA,7.98,,07/21/2011,,
19073,PA,7.82,,06/01/2011,,
17601,PA,10.12,,06/06/2011,,
17543,PA,121.0,,07/06/2011,,
17603,PA,68.64,,10/18/2011,,
19540,PA,108.0,,05/18/2012,,
18938,PA,10.5,,12/30/2011,,
17566,PA,6003.58,,09/14/2012,,
19380,PA,7.2,49000.0,12/22/2009,,
17327,PA,11.25,51900.0,08/30/2012,,
17844,PA,51.84,208400.0,07/20/2012,,
19148,PA,1008.0,,07/31/2012,,
19428,PA,1142.4,,07/31/2012,,
19428,PA,57.1,,07/31/2012,,
15205,PA,694.0,,07/17/2012,,
19320,PA,4.8,,07/07/2003,,
17837,PA,2.5,,08/11/2006,,
19341,PA,4.8,20546.0,05/27/2010,,
19382,PA,8.6,71380.0,06/18/2010,,
17032,PA,7.55,25000.0,07/18/2009,,
19464,PA,2.03,8000.0,07/11/2012,,
19464,PA,6.3,42000.0,08/10/2010,,
19512,PA,12.88,91000.0,09/30/2011,,
19454,PA,9.2,51000.0,10/12/2011,,
