Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MO
65068,MO,9.87,56000.0,07/05/2012,,
65049,MO,17.28,69120.0,06/26/2012,,
65109,MO,6.72,39984.0,06/13/2012,,
64772,MO,10.0,54500.0,05/21/2012,,
65109,MO,25.76,159250.0,05/14/2012,,
65109,MO,9.66,79700.0,05/11/2012,,
65109,MO,76.52,398432.0,05/09/2012,,
65035,MO,25.38,138918.0,04/25/2012,,
65233,MO,22.09,116881.0,03/28/2012,,
65039,MO,19.74,105468.0,03/06/2012,,
65026,MO,24.91,156784.0,02/27/2012,,
65065,MO,25.76,137500.0,02/09/2012,,
65101,MO,24.44,118518.0,01/19/2012,,
65109,MO,2.75,18725.0,01/12/2012,,
65101,MO,24.91,154260.0,01/10/2012,,
63363,MO,12.88,79856.0,01/10/2012,,
65109,MO,2.82,17907.0,12/30/2011,,
65101,MO,9.87,61687.0,12/06/2011,,
65043,MO,12.69,64719.0,12/02/2011,,
65270,MO,9.87,61684.0,11/17/2011,,
65202,MO,2.12,12470.0,10/28/2011,,
63363,MO,9.87,61687.0,10/25/2011,,
65109,MO,12.88,79856.0,10/03/2011,,
65270,MO,9.87,61687.0,09/15/2011,,
65233,MO,9.87,61684.0,08/10/2011,,
65043,MO,9.87,61687.0,08/01/2011,,
65109,MO,9.87,61687.0,07/20/2011,,
65203,MO,8.6,80000.0,07/08/2011,,
65043,MO,9.87,61687.0,06/30/2011,,
65101,MO,5.17,34122.0,06/22/2011,,
65109,MO,9.87,61687.0,05/24/2011,,
65109,MO,9.87,61687.0,05/24/2011,,
65043,MO,9.87,57960.0,03/28/2011,,
65109,MO,9.66,96535.0,03/15/2011,,
65101,MO,9.66,57900.0,03/08/2011,,
65101,MO,3.96,31500.0,04/16/2010,,
65203,MO,5.0,50000.0,07/25/2009,,
63105,MO,160.23,,09/10/2012,,
63103,MO,140.14,,01/02/2012,,
64110,MO,5.0,,11/15/2012,,
64110,MO,99.18,,12/01/2011,,
64110,MO,3.78,,06/07/2010,,
64106,MO,6.46,,09/20/2011,,
64117,MO,28.2,,07/26/2011,,
64116,MO,22.79,,01/03/2012,,
64116,MO,24.84,,11/04/2011,,
64063,MO,24.84,,03/17/2011,,
64507,MO,28.62,,03/16/2011,,
64501,MO,24.84,,08/18/2011,,
64106,MO,24.84,,09/14/2011,,
64114,MO,49.68,,07/26/2011,,
65301,MO,24.84,,08/12/2011,,
64068,MO,24.84,,08/15/2011,,
64501,MO,24.84,,08/11/2011,,
64093,MO,24.84,,10/03/2011,,
64086,MO,24.84,,08/12/2011,,
64102,MO,24.84,,08/15/2011,,
63025,MO,9.75,30000.0,12/29/2011,,
63366,MO,6.48,25972.0,11/15/2012,,
63303,MO,6.72,27082.0,11/14/2012,,
63301,MO,5.88,22925.0,10/24/2012,,
63385,MO,25.0,103709.0,10/22/2012,,
63016,MO,9.84,30163.0,10/12/2012,,
63348,MO,9.84,40453.0,10/02/2012,,
63126,MO,9.84,49589.0,10/01/2012,,
63028,MO,5.52,22838.46,10/01/2012,,
63052,MO,12.48,55929.0,09/29/2012,,
63366,MO,9.12,37755.0,09/28/2012,,
63303,MO,3.84,12897.27,09/26/2012,,
63303,MO,9.36,36384.93,09/10/2012,,
63303,MO,9.6,38677.54,09/10/2012,,
63050,MO,8.64,30251.0,08/29/2012,,
63010,MO,7.92,31625.0,08/23/2012,,
63303,MO,6.62,26679.0,08/14/2012,,
63090,MO,8.57,33871.0,08/12/2012,,
