Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NH
03249,NH,2.05,6000.0,05/21/2009,,
03077,NH,2.16,6000.0,08/05/2009,,
03224,NH,4.68,6000.0,12/20/2009,,
03770,NH,3.8,6000.0,04/02/2009,,
03470,NH,2.736,6000.0,05/14/2009,,
03244,NH,0.81,2430.0,07/03/2009,,
03841,NH,4.68,6000.0,07/01/2009,,
03051,NH,4.92,6000.0,08/13/2009,,
03241,NH,2.52,6000.0,12/10/2008,,
03820,NH,2.1,6000.0,07/08/2008,,
03431,NH,3.04,6000.0,07/16/2009,,
03818,NH,3.36,6000.0,08/06/2009,,
03603,NH,2.0,6000.0,07/20/2008,,
03063,NH,2.1,6000.0,01/27/2009,,
03049,NH,3.69,6000.0,07/06/2009,,
03580,NH,3.15,6000.0,07/29/2009,,
03784,NH,3.42,6000.0,07/15/2009,,
03038,NH,2.0,6000.0,01/22/2009,,
03823,NH,4.2,6000.0,07/25/2009,,
03603,NH,2.0,6000.0,07/22/2009,,
03755,NH,3.8,6000.0,08/29/2008,,
03223,NH,2.0,6000.0,05/15/2009,,
03253,NH,3.15,6000.0,06/16/2009,,
03801,NH,3.15,6000.0,04/30/2009,,
03598,NH,4.18,6000.0,11/05/2008,,
03825,NH,4.68,6000.0,10/20/2008,,
03816,NH,2.912,6000.0,08/28/2008,,
03576,NH,2.08,6000.0,07/14/2008,,
03765,NH,4.1,6000.0,06/10/2009,,
03226,NH,1.7,5100.0,11/15/2008,,
03608,NH,3.2,6000.0,09/15/2008,,
03253,NH,1.95,5850.0,11/12/2008,,
03824,NH,2.0,6000.0,06/01/2009,,
03249,NH,4.92,6000.0,05/05/2009,,
03110,NH,3.04,6000.0,02/01/2009,,
03431,NH,2.46,6000.0,06/15/2009,,
03449,NH,2.28,6000.0,05/08/2009,,
03768,NH,1.44,4320.0,10/04/2008,,
03570,NH,4.8,6000.0,05/06/2009,,
03222,NH,2.1,6000.0,11/25/2008,,
03264,NH,1.32,3960.0,10/08/2009,,
03103,NH,1.8,5400.0,07/18/2009,,
03602,NH,4.2,6000.0,09/08/2009,,
03233,NH,4.8,6000.0,06/22/2009,,
03307,NH,3.06,6000.0,10/13/2008,,
03581,NH,3.04,6000.0,11/08/2008,,
03561,NH,1.52,4500.0,08/20/2008,,
03275,NH,2.1,6000.0,07/21/2009,,
03240,NH,2.38,6000.0,12/14/2008,,
03264,NH,2.38,6000.0,11/24/2008,,
03269,NH,4.68,6000.0,03/24/2009,,
03031,NH,2.7,6000.0,06/23/2009,,
03049,NH,1.755,5265.0,07/31/2008,,
03229,NH,2.94,6000.0,08/12/2008,,
03602,NH,4.2,6000.0,02/24/2009,,
03848,NH,2.04,6000.0,08/21/2008,,
03227,NH,2.43,6000.0,06/05/2009,,
03431,NH,4.68,6000.0,05/29/2009,,
03226,NH,2.1,6000.0,08/01/2008,,
03561,NH,2.08,6000.0,08/20/2008,,
03576,NH,3.6,6000.0,10/08/2008,,
03461,NH,2.28,6000.0,07/10/2009,,
03447,NH,2.85,6000.0,08/21/2008,,
03864,NH,3.36,6000.0,03/10/2009,,
03062,NH,1.302,3675.0,09/04/2008,,
03226,NH,3.2,6000.0,07/22/2008,,
03281,NH,1.4,4200.0,02/12/2009,,
03053,NH,4.41,6000.0,02/06/2009,,
03301,NH,3.69,6000.0,07/10/2009,,
03583,NH,0.7,2100.0,07/10/2009,,
03285,NH,3.04,6000.0,09/16/2008,,
03245,NH,2.04,6000.0,08/06/2008,,
03748,NH,4.8,30000.0,10/19/2010,,
03101,NH,51.3,355891.23,07/08/2009,,
03053,NH,3.8,18000.0,06/09/2012,,
03856,NH,4.5,16200.0,12/21/2012,,
03820,NH,4.8,17750.0,12/24/2012,,
03769,NH,3.84,25461.34,08/01/2012,,
03766,NH,1.05,6000.0,12/07/2012,,
03301,NH,4.9,15739.9,12/15/2012,,
03592,NH,4.56,15200.0,12/01/2012,,
03034,NH,4.9,24000.0,12/11/2012,,
03781,NH,4.75,26880.0,10/29/2012,,
03449,NH,4.9,19000.0,12/01/2012,,
03281,NH,4.75,23000.0,11/30/2012,,
03570,NH,0.72,5500.0,10/17/2012,,
03255,NH,4.8,20400.0,08/25/2012,,
03884,NH,4.8,9115.0,12/03/2012,,
03077,NH,4.0,9500.0,10/28/2012,,
03264,NH,4.94,16293.0,12/01/2012,,
03102,NH,1.152,7360.0,10/10/2012,,
03266,NH,4.94,16200.0,11/01/2012,,
03574,NH,3.06,16524.0,11/30/2012,,
03605,NH,4.99,10000.0,12/15/2012,,
03266,NH,2.805,12173.0,11/01/2012,,
03837,NH,2.64,12409.0,10/22/2012,,
03820,NH,4.845,26163.0,11/30/2012,,
03845,NH,4.9,32792.0,11/01/2012,,
03237,NH,4.935,21350.0,11/17/2012,,
03281,NH,4.7,24000.0,10/12/2012,,
03450,NH,3.25,30280.0,11/30/2012,,
03447,NH,4.5,19050.0,11/09/2012,,
03782,NH,2.82,13500.0,10/30/2012,,
03824,NH,4.9,18000.0,12/01/2012,,
03256,NH,4.8,17930.78,12/01/2012,,
03226,NH,4.8,21484.0,12/01/2012,,
03223,NH,4.9,16543.0,11/01/2012,,
03303,NH,4.935,31500.0,10/28/2012,,
03470,NH,4.905,18550.0,10/31/2012,,
03820,NH,4.335,19181.0,12/01/2012,,
03447,NH,4.9,20283.0,10/07/2012,,
03045,NH,4.8,18310.0,09/28/2012,,
03452,NH,4.9,20580.0,09/30/2012,,
03884,NH,4.23,10500.0,09/06/2012,,
03817,NH,4.8,19086.0,12/01/2012,,
03224,NH,3.36,27664.0,11/05/2012,,
03249,NH,4.8,20791.0,10/01/2012,,
03824,NH,4.8,29769.0,10/01/2012,,
03467,NH,4.9,18794.0,08/11/2012,,
03062,NH,4.68,19516.0,10/01/2012,,
03801,NH,4.9,26705.0,10/30/2012,,
03451,NH,2.5,11645.0,08/15/2012,,
03824,NH,2.88,10653.0,10/01/2012,,
03593,NH,4.9,21755.0,10/01/2012,,
03246,NH,4.8,19064.0,09/11/2012,,
03281,NH,4.8,24000.0,09/21/2012,,
03462,NH,4.8,19104.0,09/04/2012,,
03242,NH,4.8,22500.0,09/28/2012,,
03593,NH,4.56,20399.0,09/01/2012,,
03848,NH,4.8,20000.0,10/01/2012,,
03222,NH,4.0,17500.0,09/06/2012,,
03043,NH,2.88,13410.0,09/01/2012,,
03224,NH,4.8,21350.0,09/15/2012,,
03223,NH,2.3,8712.03,09/01/2012,,
03258,NH,4.32,20000.0,08/30/2012,,
03833,NH,3.84,16116.0,09/01/2012,,
03894,NH,4.8,19641.0,10/01/2012,,
03748,NH,4.9,21676.0,07/31/2012,,
03243,NH,3.84,16417.0,10/01/2012,,
03768,NH,3.31467,17900.0,07/18/2012,,
03243,NH,4.8,23231.0,11/01/2012,,
03264,NH,4.9,20231.0,11/01/2012,,
03824,NH,4.32,19116.0,10/01/2012,,
03467,NH,4.8,23134.0,10/01/2012,,
03588,NH,2.88,11780.0,07/01/2012,,
03581,NH,4.9,17000.0,07/01/2012,,
03825,NH,5.0,21002.0,09/19/2012,,
03303,NH,4.88,20191.0,08/01/2012,,
03457,NH,4.9,29495.0,09/15/2012,,
03461,NH,4.9,20580.0,08/15/2012,,
03824,NH,4.8,20369.0,09/01/2012,,
03584,NH,4.0,9698.0,10/01/2012,,
03301,NH,3.84,15499.0,09/01/2012,,
03037,NH,2.115,23077.0,06/01/2012,,
