Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NH
03431,NH,2.94,12200.0,10/20/2009,,
03229,NH,4.92,33000.0,11/28/2009,,
03237,NH,3.78,42100.0,12/31/2009,,
03070,NH,4.92,19000.0,10/23/2009,,
03833,NH,2.442,6000.0,09/25/2009,,
03276,NH,2.4,6000.0,09/29/2009,,
03861,NH,2.64,6000.0,07/23/2009,,
03076,NH,2.05,5622.5,09/08/2009,,
03278,NH,4.92,6000.0,09/10/2009,,
03885,NH,4.62,6000.0,09/01/2009,,
03082,NH,1.9,5700.0,05/30/2009,,
03886,NH,4.6,26138.50415,12/01/2010,,
03755,NH,6,22854.00461,11/06/2013,,
03269,NH,4.94,27342.10091,05/01/2014,,
03216,NH,3.6,49044.2354,05/01/2014,,
03768,NH,2.75,10908.57575,08/06/2014,,
03601,NH,1.36,14202.99474,07/29/2009,,
03576,NH,2.08,17623.57477,07/14/2008,,
03046,NH,4.8,20268.55312,05/01/2012,,
03819,NH,9.9,32081.82679,07/01/2014,,
03257,NH,9.75,37013.75763,10/28/2013,,
03221,NH,1.92,8381.864887,10/01/2012,,
03755,NH,9.9,37440.84584,06/01/2014,,
03440,NH,3.22,18129.13101,07/01/2011,,
03285,NH,3.22,19473.09543,04/01/2011,,
03462,NH,1.8,15017.35527,05/20/2014,,
03101,NH,38.87,210485.9899,12/24/2011,,
03835,NH,4.6,26520.86078,12/01/2010,,
03043,NH,4.86,17228.57365,11/30/2014,,
03257,NH,6.36,24366.02749,12/01/2014,,
03260,NH,2.15,17840.988,08/23/2011,,
03773,NH,7.7,24608.99046,08/01/2014,,
03032,NH,8.745,43511.06179,05/23/2014,,
03851,NH,4.08,14282.45502,10/01/2013,,
03781,NH,4.75,17536.82808,05/01/2013,,
03603,NH,2,17588.84797,07/01/2014,,
03044,NH,4.94,19421.23103,09/01/2013,,
03581,NH,0.96,3985.771434,06/15/2014,,
03841,NH,2.94,29893.37513,05/30/2010,,
03281,NH,4.16,14386.26462,05/01/2014,,
03216,NH,4.5,18043.12983,10/02/2013,,
03222,NH,7.42,24123.67153,11/30/2013,,
03768,NH,3.3,16491.53155,07/15/2014,,
03051,NH,7.65,26574.72378,08/01/2014,,
03768,NH,1.75,8276.981383,08/14/2014,,
03823,NH,4.845,14425.38094,10/01/2013,,
03849,NH,5.72,18668.60847,07/01/2014,,
03466,NH,8.25,16218.54367,10/21/2013,,
03046,NH,4.77,11919.09139,06/30/2014,,
03223,NH,3,13805.19409,12/15/2011,,
03746,NH,4.16,14048.63572,06/15/2014,,
03227,NH,4.608,26061.36388,07/01/2010,,
03264,NH,5.4,17345.92998,10/01/2014,,
03608,NH,5.94,16673.20127,11/04/2014,,
03576,NH,0.345,3403.014297,09/01/2010,,
03276,NH,9.99,50649.87623,10/01/2014,,
03224,NH,5.88,27488.25748,04/05/2013,,
03588,NH,3,7085.57062,08/31/2013,,
03592,NH,0.6,5587.113854,06/01/2014,,
03280,NH,1.62,20528.38419,06/10/2014,,
03223,NH,2.1,18798.29598,10/20/2010,,
03584,NH,3.525,29658.1626,10/01/2010,,
03076,NH,2.05,12326.28905,09/08/2009,,
03049,NH,1.755,17219.98145,07/31/2008,,
03875,NH,9.99,31784.24372,06/20/2014,,
03246,NH,7.32,24334.8116,06/10/2014,,
03234,NH,5,16920.23611,08/01/2014,,
03455,NH,6.12,21851.66755,06/13/2014,,
03823,NH,4.93,8582.496466,12/31/2013,,
03244,NH,4.23,21984.59844,04/01/2011,,
03561,NH,2.08,20292.95382,08/20/2008,,
03603,NH,2,17219.98145,04/01/2014,,
03257,NH,4,18798.30577,10/14/2013,,
03241,NH,3.22,20980.53813,12/15/2011,,
03053,NH,2.25,19478.05241,10/22/2010,,
03304,NH,5.61,17404.79181,09/30/2014,,
03055,NH,6.13,19389.58295,12/23/2014,,
03216,NH,7.42,36112.76041,08/31/2014,,
03224,NH,4.75,35467.22251,01/01/2013,,
03602,NH,0.52,9137.378108,05/23/2014,,
03835,NH,10.4,34318.91658,12/30/2014,,
03848,NH,2.04,19826.15105,08/21/2008,,
03455,NH,4.23,26355.15787,06/08/2011,,
03886,NH,4.14,30294.86799,11/01/2010,,
03307,NH,5,17388.79328,07/01/2014,,
03256,NH,21.2,,09/19/2013,,
03857,NH,11.925,38272.20359,08/19/2013,,
03226,NH,9.805,46224.22501,11/01/2014,,
03582,NH,2.35,13059.3383,09/30/2010,,
03801,NH,3.36,25704.88913,09/15/2009,,
03431,NH,4.56,27076.62114,11/04/2011,,
03046,NH,9.805,50656.13842,06/17/2014,,
03462,NH,4.935,18767.09135,12/11/2011,,
03036,NH,5.38,10040.78937,05/01/2013,,
03256,NH,7.7,26211.02213,12/01/2014,,
03872,NH,4.8,23603.10539,12/30/2011,,
03307,NH,3.75,16721.79318,07/04/2013,,
03224,NH,7.14,24507.86114,03/31/2014,,
03605,NH,2.025,13052.39974,07/15/2010,,
03745,NH,5,17637.20462,07/14/2014,,
03857,NH,4.9,29244.41735,09/30/2011,,
03043,NH,4.75,20276.82609,06/13/2013,,
03864,NH,3.36,33932.9502,03/10/2009,,
03752,NH,4.88,14365.52334,09/01/2013,,
03278,NH,6.25,25987.54257,11/12/2013,,
03870,NH,9.8,40327.75156,12/20/2014,,
03470,NH,4.5,18984.56577,10/31/2012,,
03824,NH,4.94,24578.83226,08/03/2013,,
03227,NH,4.84,28211.5337,05/05/2010,,
03226,NH,4.83,26262.36383,04/01/2011,,
03255,NH,7.95,20648.47415,05/20/2014,,
03269,NH,6.63,29140.00808,11/01/2014,,
03087,NH,6,21928.87629,04/01/2014,,
03301,NH,5,23882.57251,05/01/2014,,
03264,NH,5.6,18775.29485,09/01/2014,,
03768,NH,4.95,14740.60061,10/18/2014,,
03062,NH,1.302,7953.129814,09/04/2008,,
03832,NH,6.72,21860.19727,07/30/2014,,
03254,NH,4.845,16674.28176,11/01/2013,,
03220,NH,3.68,19808.18889,10/01/2010,,
03451,NH,6.12,26565.90634,12/04/2014,,
03220,NH,3.68,19808.18889,10/01/2010,,
03304,NH,9.69,38830.66587,07/01/2014,,
03768,NH,4.95,19497.08854,08/05/2014,,
03752,NH,0.738,8252.427189,08/14/2014,,
03255,NH,7.425,17947.15983,10/15/2014,,
03894,NH,2.912,23502.22287,08/28/2008,,
03825,NH,4.8,18143.41381,09/01/2012,,
03842,NH,5.98,22811.42935,06/01/2013,,
03864,NH,8.4,21553.26041,11/30/2014,,
03227,NH,3.28,23582.1233,05/01/2014,,
03602,NH,2.76,29554.59363,08/05/2014,,
03431,NH,3.04,30890.41425,03/31/2014,,
03872,NH,8.06,30022.38386,05/01/2014,,
03861,NH,2.64,19409.29374,07/23/2009,,
03576,NH,4.9,14171.14124,08/01/2013,,
03266,NH,4.4,15457.24534,09/01/2014,,
03259,NH,4.68,28226.05096,07/15/2014,,
03894,NH,3.76,47153.9735,07/01/2011,,
03046,NH,5.94,18319.63917,08/01/2014,,
03458,NH,2.07,13492.84331,09/30/2010,,
03226,NH,3,27014.18199,12/28/2012,,
03053,NH,4.845,17289.80454,08/01/2013,,
03601,NH,2.94,19634.54104,03/04/2010,,
03254,NH,4.05,31056.45862,07/01/2010,,
03301,NH,8.48,35843.92554,09/01/2014,,
03464,NH,2.45,27573.83736,07/31/2014,,
03746,NH,5,16885.37947,06/13/2014,,
03042,NH,4.9,15556.10961,05/01/2013,,
03215,NH,4.1,25211.61833,09/28/2009,,
03768,NH,3.575,14301.89226,10/03/2014,,
03253,NH,1.35,13123.25725,12/01/2010,,
03601,NH,4.14,17713.92655,08/16/2013,,
03861,NH,7.8,23405.31576,07/01/2014,,
03443,NH,3.825,18694.95816,10/17/2014,,
03824,NH,3.76,22692.97405,12/01/2010,,
03245,NH,7.7,25258.03279,09/01/2014,,
03844,NH,4.8,19343.5886,04/01/2013,,
03860,NH,5.94,20049.54457,11/01/2014,,
03261,NH,9.54,42719.95158,05/09/2014,,
03244,NH,5,23228.83976,09/23/2013,,
03598,NH,4.18,40348.35105,04/01/2014,,
03825,NH,10,35087.60391,07/10/2014,,
03038,NH,2.25,20336.22722,04/15/2011,,
03588,NH,6.12,19613.40197,12/06/2014,,
03431,NH,2,9441.111548,10/20/2012,,
03846,NH,3.315,13656.69359,12/01/2013,,
03785,NH,4.94,20137.1917,08/09/2013,,
03031,NH,2.76,15508.41795,07/12/2011,,
03824,NH,11.225,40741.92318,12/28/2012,,
03215,NH,4.95,19078.63551,09/01/2014,,
03593,NH,5.72,19201.74205,10/01/2013,,
03303,NH,5.4,25843.91016,10/01/2014,,
03885,NH,7.8,23917.47762,11/01/2013,,
03458,NH,3.22,20916.61654,09/30/2010,,
03745,NH,5,18623.5803,06/27/2014,,
03264,NH,40,148817.7336,12/31/2013,,
03260,NH,4.9,17563.98541,01/31/2013,,
03574,NH,7.2,23736.19966,07/01/2014,,
03820,NH,9.88,33278.10317,06/20/2014,,
03824,NH,7.28,25984.62458,03/01/2014,,
03748,NH,2.46,12655.37389,08/27/2009,,
03103,NH,1.8,18303.39492,07/18/2009,,
03745,NH,7.65,28922.05523,12/15/2014,,
03246,NH,2.05,16168.32045,05/16/2014,,
03825,NH,4.68,18801.37342,06/30/2014,,
03077,NH,9.805,44763.72214,07/31/2014,,
03253,NH,8.829,40632.82829,12/31/2013,,
03853,NH,9.72,26272.64786,10/20/2014,,
03774,NH,1.8,13061.33765,06/17/2014,,
03216,NH,3,20649.89442,07/01/2013,,
03253,NH,6.48,25410.97754,05/25/2014,,
03102,NH,26.55,,10/23/2013,,
03458,NH,7.8,27179.29884,12/01/2013,,
03584,NH,4.5,16063.05587,07/01/2013,,
03842,NH,19.08,84012.59862,08/21/2013,,
03781,NH,8.4,27166.42623,05/15/2014,,
03582,NH,2.115,16236.2204,10/10/2010,,
03823,NH,6.76,24863.9883,09/20/2014,,
03443,NH,9.8,47899.19782,08/30/2014,,
03031,NH,4.86,26406.22516,07/07/2011,,
03266,NH,1.02,21045.12437,09/24/2009,,
03054,NH,9.54,37281.5728,07/01/2014,,
03256,NH,2.05,11783.69118,05/25/2014,,
03227,NH,3.28,15272.61656,04/30/2014,,
03051,NH,4.92,41477.11593,08/13/2009,,
03038,NH,4.42,18136.46291,12/01/2013,,
03229,NH,7.28,27723.34696,09/10/2014,,
03770,NH,5,14154.67929,09/10/2013,,
03766,NH,8.96,32776.70394,09/30/2014,,
03746,NH,3,10152.14167,08/05/2014,,
03259,NH,9.9,31784.24372,06/30/2014,,
03782,NH,13.8,62989.03955,03/02/2012,,
03768,NH,1.75,8219.502346,08/06/2014,,
03457,NH,7.65,17909.25569,11/30/2014,,
03104,NH,9.635,49715.13474,08/08/2011,,
03261,NH,10.675,34937.83665,06/01/2014,,
03870,NH,7.8,28336.31863,12/01/2013,,
03087,NH,1.5,13139.63778,09/29/2009,,
03224,NH,4.68,51962.66896,12/20/2009,,
03748,NH,4.86,19044.60227,07/01/2013,,
03037,NH,4.16,14020.3574,12/01/2013,,
03603,NH,4,44279.51519,07/31/2014,,
03780,NH,9.99,38312.20092,10/01/2014,,
03245,NH,14.025,,07/29/2014,,
03063,NH,2.1,30093.32178,01/27/2009,,
03064,NH,1,3208.225574,05/12/2014,,
03576,NH,8.96,42450.73212,09/27/2011,,
03820,NH,2.1,23659.17827,04/30/2014,,
03440,NH,9.805,51128.92905,06/06/2014,,
03281,NH,4.8,27840.98368,11/15/2010,,
03465,NH,1.75,17654.09593,06/27/2014,,
03253,NH,4.725,44513.87491,07/01/2011,,
03561,NH,11,38525.96958,06/07/2013,,
03057,NH,4.8,16074.38914,10/31/2011,,
03102,NH,7.84,27900.94623,11/15/2014,,
03087,NH,1.8,16152.39652,09/15/2010,,
03053,NH,4.41,44273.99313,02/06/2009,,
03259,NH,12,,11/19/2013,,
03462,NH,3.68,21161.09885,11/01/2011,,
03848,NH,5.2,10084.68678,04/30/2014,,
03287,NH,2.115,25114.15995,01/31/2014,,
03245,NH,4.9,20065.62036,05/18/2012,,
03070,NH,2.94,24821.41288,09/10/2010,,
03032,NH,6.72,30033.21529,11/18/2014,,
03110,NH,10,18879.26128,07/31/2014,,
03249,NH,4.92,32047.29912,12/17/2013,,
03110,NH,3.04,30562.48785,02/01/2009,,
03110,NH,9.6,,12/02/2013,,
03835,NH,8.215,19941.2887,10/20/2014,,
03223,NH,2.6,7955.519786,07/24/2013,,
03285,NH,2.1,19478.05241,10/22/2010,,
03264,NH,2.05,13153.88783,06/06/2014,,
03873,NH,1.5,13564.94682,09/25/2009,,
03745,NH,6,18612.25972,08/05/2014,,
03894,NH,4.14,24360.31974,11/15/2010,,
03753,NH,7.5,23191.5189,02/01/2014,,
03268,NH,7.95,39555.51072,05/07/2014,,
03259,NH,6,11923.74397,07/05/2014,,
03861,NH,3.06,16289.31875,11/01/2013,,
03034,NH,5.1,17804.02823,02/01/2014,,
03229,NH,5.94,18392.44971,11/01/2014,,
03833,NH,7.28,23688.33056,08/31/2014,,
03458,NH,3.22,20916.61654,09/30/2010,,
03782,NH,2.76,18192.4988,06/01/2010,,
03884,NH,4.62,30385.48088,08/07/2013,,
03755,NH,9.88,17285.92658,10/01/2013,,
03820,NH,4.9,19570.62124,04/01/2013,,
03281,NH,8.1,10081.93789,12/30/2014,,
03450,NH,5.5,21892.35813,05/16/2014,,
03825,NH,4.68,41060.12461,03/01/2014,,
03816,NH,10,36033.14727,11/23/2013,,
03451,NH,2.5,11966.32818,08/15/2012,,
03431,NH,4.75,20325.48456,05/17/2013,,
03801,NH,15.3,77225.78224,02/26/2013,,
03278,NH,11.52,78152.50452,12/14/2011,,
03857,NH,4.94,18392.84218,10/01/2013,,
03801,NH,4.845,17653.69961,05/01/2013,,
03773,NH,23.04,90729.6461,06/21/2012,,
03102,NH,4.59,15118.72862,08/01/2014,,
03087,NH,6.89,37311.38216,07/01/2014,,
03042,NH,2,17931.83016,06/30/2010,,
03846,NH,7.02,24745.33044,05/01/2014,,
03862,NH,3.06,10983.55333,03/28/2014,,
03038,NH,5.565,26778.17173,11/01/2014,,
03860,NH,5.04,15454.49874,10/30/2014,,
03608,NH,5.5,16703.73803,11/29/2013,,
03226,NH,7.02,30821.49233,12/01/2014,,
03768,NH,2.4,19143.29142,05/15/2014,,
03809,NH,4.2,28564.93841,06/01/2010,,
03301,NH,4.77,18249.14348,06/30/2013,,
03450,NH,6.12,21560.22418,12/15/2014,,
03884,NH,9,28314.58811,11/20/2013,,
03229,NH,3,5771.839101,06/20/2013,,
03258,NH,4.8,5996.395717,12/30/2012,,
03768,NH,4.95,19981.21395,07/15/2014,,
03033,NH,9.69,32013.56307,04/01/2014,,
03443,NH,4.8,19938.14943,04/01/2013,,
03042,NH,5.4,14762.40835,08/01/2014,,
03240,NH,4.72,18732.73843,04/19/2013,,
03824,NH,2,15531.57096,12/15/2013,,
03872,NH,6.12,20056.53144,03/01/2014,,
03886,NH,4.77,13665.02905,08/15/2013,,
03602,NH,4.2,44060.97517,09/08/2009,,
03842,NH,6.3,24296.46212,12/31/2014,,
03037,NH,5.1,17826.48505,09/01/2014,,
03253,NH,4.3,43278.38284,11/25/2010,,
03860,NH,12.24,30922.15979,06/17/2013,,
03245,NH,12.22,61374.95557,01/20/2012,,
03770,NH,2.5,8833.358559,08/19/2014,,
03218,NH,2.6,5510.214436,09/20/2013,,
03570,NH,0.94,11488.2128,06/01/2012,,
03275,NH,4.935,30727.04711,12/15/2011,,
03264,NH,1.175,7177.683039,08/01/2013,,
03301,NH,1.56,9479.738775,10/01/2013,,
03245,NH,9.35,74925.544,06/02/2014,,
03862,NH,7.56,25170.89166,10/30/2014,,
03833,NH,2.442,18932.19344,09/25/2009,,
03608,NH,6.05,18922.76017,11/18/2014,,
03258,NH,9.6,30702.80178,10/31/2012,,
03580,NH,3.15,25800.64137,07/29/2009,,
03245,NH,2.04,23396.3278,08/06/2008,,
03442,NH,5,21028.92173,07/09/2013,,
03824,NH,2.76,15126.971,09/30/2009,,
03253,NH,1.95,15901.34844,04/11/2014,,
03046,NH,3.92,18057.16048,05/01/2013,,
03287,NH,4,29374.55089,05/01/2014,,
03870,NH,6.12,15395.49305,06/14/2014,,
03227,NH,2.73,18086.59576,09/22/2009,,
03054,NH,2.16,21230.37495,06/14/2014,,
03221,NH,3.64,12190.06305,05/20/2014,,
03284,NH,2.66,20977.12131,05/31/2014,,
03258,NH,6,22854.00461,11/30/2013,,
03844,NH,5.04,17276.40877,12/29/2014,,
03431,NH,13.75,51802.41044,11/06/2013,,
03782,NH,8,27948.24883,08/15/2014,,
03443,NH,5.83,18421.19078,07/24/2014,,
03281,NH,1.4,13543.43056,02/12/2009,,
03867,NH,3.78,18162.88243,11/01/2014,,
03031,NH,3.01,25102.0026,09/18/2009,,
03055,NH,7.42,33274.13014,06/30/2014,,
03846,NH,4.68,17891.37882,02/01/2013,,
03590,NH,2.07,22759.01281,09/01/2010,,
03431,NH,3.57,13352.51854,12/21/2014,,
03225,NH,7.25,25375.23329,05/01/2014,,
03229,NH,0.94,5620.912972,10/21/2011,,
03608,NH,4.675,15381.71304,10/30/2014,,
03249,NH,4.5,26841.2937,04/01/2011,,
03824,NH,1.05,11710.82478,05/31/2014,,
03258,NH,7.2,42278.01043,06/18/2014,,
03304,NH,2.3,14531.0878,09/01/2010,,
03237,NH,4.8,21954.18142,11/17/2012,,
03301,NH,4.92,38301.36881,11/15/2010,,
03470,NH,2.736,22493.99372,04/20/2014,,
03873,NH,8.695,22750.10143,05/29/2012,,
03264,NH,4,12695.2839,09/01/2014,,
03259,NH,4.8,13407.6827,11/30/2013,,
03820,NH,4.42,13943.21037,04/30/2014,,
03458,NH,4.7,17042.11289,11/15/2014,,
03304,NH,9.01,36335.30416,12/01/2014,,
03886,NH,3.5,37883.19694,04/25/2014,,
03304,NH,7.42,27833.74307,09/30/2014,,
03768,NH,5.5,21770.90816,09/16/2014,,
03745,NH,7.56,25959.62343,08/01/2014,,
03257,NH,9.75,37896.21381,04/11/2014,,
03771,NH,4.8,19004.32806,05/01/2013,,
03222,NH,4.935,15433.88116,03/01/2014,,
03046,NH,9.805,40327.75156,12/01/2014,,
03840,NH,5.1,13600.82345,12/01/2013,,
03245,NH,1.92,30037.05825,01/20/2012,,
03865,NH,9.72,41991.11595,08/30/2013,,
03227,NH,3.84,20405.56955,11/01/2011,,
03768,NH,4.4,14905.13698,12/10/2014,,
03465,NH,6.5,14427.7302,07/01/2014,,
03234,NH,8.415,31758.10436,12/15/2014,,
03076,NH,5.2,18177.623,05/31/2014,,
03820,NH,2.178,18448.32768,09/03/2009,,
03445,NH,0.3,2496.456773,04/20/2014,,
03110,NH,6.36,26930.87249,12/01/2014,,
03037,NH,6.86,26949.44996,07/10/2013,,
03598,NH,3.04,27927.17937,04/01/2010,,
03840,NH,9.805,47917.40905,11/01/2014,,
03043,NH,6.05,21463.03746,11/14/2014,,
03110,NH,4.94,17195.0706,07/01/2013,,
03110,NH,8.28,35819.93541,10/01/2012,,
03245,NH,3.84,25148.78586,07/01/2011,,
03833,NH,8.58,27808.75281,11/01/2013,,
03886,NH,4.2,40518.7971,10/01/2009,,
03740,NH,3.36,35938.61386,09/29/2009,,
03886,NH,21.2,53862.53407,05/29/2013,,
03862,NH,4.77,27178.48785,07/30/2013,,
03824,NH,7.8,24676.66805,05/31/2014,,
03768,NH,6.48,9118.867711,09/01/2014,,
03826,NH,6.72,23530.72067,10/02/2014,,
03743,NH,2.28,23571.15487,08/04/2009,,
03603,NH,4.392,23390.14957,10/10/2011,,
03602,NH,4.2,47394.50414,02/24/2009,,
03860,NH,28.05,87071.87894,05/30/2014,,
03049,NH,2.07,12886.71458,12/12/2010,,
03605,NH,8.4,38311.36398,12/01/2014,,
03818,NH,3.36,24004.40783,05/01/2014,,
03110,NH,41.4,,12/02/2013,,
03768,NH,0.68,30833.32149,06/01/2014,,
03456,NH,6.75,29408.00947,12/31/2013,,
03820,NH,7.7,25774.11565,10/23/2014,,
03222,NH,5.94,22792.55335,08/01/2014,,
03870,NH,3.5,16502.11724,04/20/2013,,
03264,NH,3.22,13504.72719,09/01/2011,,
03457,NH,1.935,20977.22614,07/29/2010,,
03070,NH,3.12,12741.66274,10/19/2012,,
03882,NH,4.05,21098.21163,11/01/2010,,
03049,NH,6.095,23226.03523,04/25/2014,,
03608,NH,2.64,13716.35899,10/15/2010,,
03835,NH,3.36,12363.59899,10/09/2014,,
03824,NH,4.845,15914.44598,10/01/2013,,
03846,NH,8.1,26773.59426,12/01/2014,,
03259,NH,9.9,26717.13541,12/01/2014,,
03049,NH,3.69,32045.78171,07/06/2009,,
03844,NH,9.8,37389.91631,10/20/2014,,
03844,NH,7.84,25563.16933,11/15/2014,,
03230,NH,5.04,31571.07474,01/20/2014,,
03870,NH,5.5,22664.71638,06/15/2013,,
03049,NH,4.68,46170.72593,11/30/2013,,
03768,NH,6.05,24613.53264,10/30/2014,,
03449,NH,5.3,20773.53434,07/03/2013,,
03266,NH,1.84,10701.19451,08/02/2011,,
03235,NH,4.16,18910.85213,08/06/2014,,
03278,NH,5,20822.53753,11/07/2013,,
03284,NH,4.94,19827.17831,04/04/2013,,
03872,NH,2.76,14905.42798,12/01/2010,,
03574,NH,28.56,80456.20811,09/25/2013,,
03042,NH,10,38335.1334,10/01/2014,,
03458,NH,2.07,13492.84331,09/30/2010,,
03820,NH,4.845,14810.84978,09/01/2013,,
03287,NH,5.64,13179.93696,06/04/2013,,
03303,NH,4.8,20748.14361,08/01/2012,,
03603,NH,6.24,25846.54207,12/16/2013,,
03255,NH,6.89,29858.24489,08/01/2014,,
03809,NH,8.48,35422.2323,09/30/2014,,
03576,NH,19.11,72331.86675,07/02/2012,,
03235,NH,9.54,40099.08914,11/01/2014,,
03227,NH,4.29,20826.98906,05/12/2014,,
03451,NH,9.15,21676.16647,12/01/2014,,
03221,NH,7.8,26930.39438,03/01/2014,,
03598,NH,2.52,17279.93876,06/01/2011,,
03084,NH,3.75,18537.27986,09/20/2012,,
03590,NH,1.35,13928.37083,12/01/2011,,
03755,NH,4.8,37283.77411,10/15/2010,,
03743,NH,6.71,18156.75535,05/10/2013,,
03253,NH,2.7,20016.25206,11/01/2010,,
03824,NH,3.525,18226.8425,12/15/2011,,
03444,NH,6,25341.47448,10/04/2013,,
03857,NH,4.845,19804.13588,05/01/2013,,
03061,NH,2.025,12958.4961,08/25/2010,,
03766,NH,8.4,14407.85729,07/31/2014,,
03264,NH,9.2,40389.63395,12/13/2011,,
03773,NH,0.92,16438.77001,05/20/2009,,
03768,NH,6.6,23052.57167,07/31/2014,,
03037,NH,4.59,16059.05103,03/31/2014,,
03266,NH,2.45,33479.41887,12/12/2013,,
03087,NH,8.25,22505.61378,11/28/2014,,
03750,NH,7.7,34835.78023,08/10/2014,,
03740,NH,3.5,15380.74937,08/30/2013,,
03226,NH,2.1,23785.33011,08/01/2008,,
03264,NH,3.655,24029.68672,06/01/2011,,
03254,NH,7.15,19047.06734,11/28/2014,,
03873,NH,2,20483.11153,09/19/2010,,
03748,NH,3,14220.26953,11/01/2013,,
03450,NH,5.1,29039.50167,10/17/2014,,
03446,NH,4.18,17445.64928,09/30/2011,,
03249,NH,2.05,18628.39204,05/21/2009,,
03781,NH,5.2,18025.63922,06/01/2014,,
03844,NH,9.18,24151.7214,04/30/2014,,
03582,NH,3.552,14188.18815,07/10/2013,,
03227,NH,4.68,33597.22182,06/01/2014,,
03825,NH,4.23,22718.99327,09/02/2011,,
03458,NH,5.1,18296.54458,10/01/2013,,
03770,NH,3.5,12619.33801,06/27/2014,,
03809,NH,4.905,38613.33929,05/01/2013,,
03244,NH,9.72,37892.71818,09/23/2014,,
03458,NH,15.9,73647.00127,12/30/2013,,
03303,NH,5,24322.60826,07/20/2013,,
03745,NH,8.415,31343.23733,06/13/2014,,
03048,NH,4.905,46036.54578,12/01/2011,,
03301,NH,37.8,151136.3145,12/31/2014,,
03588,NH,4.68,18140.4411,10/01/2013,,
03823,NH,4.2,31802.24212,02/28/2014,,
03781,NH,3.36,33265.05281,07/01/2014,,
03830,NH,3.76,18823.73881,12/01/2011,,
03223,NH,2,21390.11647,05/15/2009,,
03456,NH,3,15735.40359,12/01/2011,,
03608,NH,6.6,20908.4412,10/22/2014,,
03855,NH,7,26870.88652,10/01/2014,,
03458,NH,2.5,9985.827091,04/30/2014,,
03752,NH,2.1,18086.59576,09/25/2009,,
03766,NH,5.775,22832.77556,10/18/2014,,
03449,NH,4.7,20140.70159,10/15/2014,,
03281,NH,5.2,17940.78749,05/01/2014,,
03842,NH,5.04,17529.89092,07/31/2014,,
03869,NH,5.2,18563.738,03/01/2014,,
03257,NH,4.24,18034.56534,11/07/2014,,
03608,NH,5.5,16265.19303,11/11/2014,,
03054,NH,4.23,29684.73218,09/03/2011,,
03579,NH,4.725,26064.40794,11/01/2014,,
03038,NH,5.775,25748.26118,12/21/2014,,
03257,NH,9.75,22807.32704,10/05/2013,,
03602,NH,4.5,35059.81794,11/07/2010,,
03266,NH,6.05,19439.03594,11/30/2014,,
03781,NH,17.68,62252.8736,07/22/2014,,
03220,NH,1.41,7825.864173,12/15/2012,,
03253,NH,3.15,30419.73033,06/16/2009,,
03216,NH,8,33265.27337,11/16/2013,,
03440,NH,5.3,18206.4121,06/01/2014,,
03449,NH,0.42,8502.81425,08/28/2009,,
03770,NH,8.4,32845.16422,08/25/2014,,
03216,NH,4.77,18212.6452,06/01/2013,,
03824,NH,4.9,19488.07459,05/01/2013,,
03768,NH,6.6,34282.38898,08/06/2014,,
03110,NH,12.24,64749.94616,02/10/2013,,
03818,NH,18.36,54150.68958,07/14/2014,,
03260,NH,1.56,14116.30937,03/01/2013,,
03218,NH,5,19002.03771,07/20/2013,,
03861,NH,4.845,22182.2099,02/01/2013,,
03064,NH,9.6,30111.08675,06/13/2013,,
03602,NH,3.2,37309.10581,09/15/2008,,
03245,NH,4.24,15082.52582,05/01/2013,,
03755,NH,3.8,29008.92876,08/29/2008,,
03264,NH,4.56,12144.80499,06/01/2013,,
03832,NH,9.54,27269.7123,10/01/2014,,
03864,NH,3.15,25900.10845,12/18/2008,,
03301,NH,9.805,66574.23715,07/01/2014,,
03216,NH,5.4,19782.74194,08/01/2014,,
03451,NH,5,18241.9562,07/10/2013,,
03233,NH,4.8,45570.68945,06/22/2009,,
03784,NH,3.42,32002.90889,04/30/2014,,
03743,NH,2.1,21872.94665,05/30/2014,,
03765,NH,4.1,40542.73436,09/10/2014,,
03770,NH,5,16920.23611,08/05/2014,,
03241,NH,2.52,19831.25135,12/10/2008,,
03226,NH,3.2,28438.79937,07/22/2008,,
03046,NH,0.51,2262.335099,08/01/2014,,
03237,NH,7.7,25856.55872,09/15/2014,,
03254,NH,1.7,19057.01118,04/10/2014,,
03748,NH,10.08,54367.00784,08/26/2014,,
03226,NH,6.48,18382.43861,07/15/2014,,
03307,NH,3.06,39925.48656,10/13/2008,,
03812,NH,4.48,14636.16754,11/05/2014,,
03285,NH,5,23845.54749,06/15/2013,,
03584,NH,4.24,26653.10372,12/05/2013,,
03447,NH,1,6584.011454,04/01/2011,,
03825,NH,9.52,33696.78965,10/01/2014,,
03833,NH,3.185,12794.25673,04/01/2013,,
03452,NH,6.6,24283.52475,08/05/2014,,
03584,NH,5.3,24136.51291,05/14/2013,,
03588,NH,4.59,13878.47837,01/30/2013,,
03431,NH,4.48,18675.56399,07/05/2014,,
03036,NH,6.63,18103.94937,10/01/2013,,
03037,NH,4.9,19378.20344,04/01/2013,,
03264,NH,6.16,11090.13168,12/14/2014,,
03824,NH,3.76,16036.47432,12/01/2011,,
03825,NH,6.12,19963.32834,07/01/2014,,
03223,NH,4.14,25602.11878,08/01/2011,,
03104,NH,6,23309.16625,07/14/2013,,
03304,NH,3.92,17202.50924,11/15/2014,,
