Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=NM
87120,NM,7.83,55901.84,11/30/2012,,
88011,NM,2.943,16370.0,10/24/2012,,
88005,NM,1.72,9244.0,11/19/2012,,
88007,NM,3.924,22375.0,11/19/2012,,
88011,NM,4.8,20500.0,10/26/2012,,
88005,NM,5.76,28178.0,08/09/2012,,
88005,NM,11.52,70582.0,09/11/2012,,
87109,NM,2.64,15001.93,11/02/2012,,
87109,NM,3.924,23469.2,12/04/2012,,
87109,NM,4.48,25428.0,02/13/2012,,
87123,NM,7.83,43775.0,11/29/2012,,
87124,NM,6.72,34869.38,12/04/2012,,
88001,NM,5.28,18060.0,09/01/2012,,
88011,NM,3.27,19839.0,07/31/2012,,
88011,NM,4.251,5710.0,10/31/2012,,
87048,NM,6.93,36652.0,12/05/2012,,
87111,NM,2.616,15565.15,12/04/2012,,
88355,NM,5.88,25389.9,11/17/2012,,
87931,NM,7.05,36550.0,06/29/2012,,
87107,NM,3.6,28694.87,12/03/2012,,
87501,NM,1.92,8876.4,12/03/2012,,
87114,NM,4.578,26346.8,11/29/2012,,
88001,NM,6.867,42690.73,11/14/2012,,
88061,NM,5.64,39559.09,12/11/2012,,
87505,NM,9.6,72500.0,03/29/2012,,
87043,NM,6.72,26900.0,10/23/2012,,
87109,NM,4.802,26854.35,08/14/2012,,
87036,NM,10.56,50537.6,11/29/2012,,
88030,NM,1.26,9682.45,12/04/2012,,
88005,NM,1.92,6717.0,09/07/2012,,
87114,NM,4.2,22729.0,10/16/2012,,
88007,NM,9.81,52700.0,09/14/2012,,
87505,NM,1.56,12181.37,02/01/2012,,
87008,NM,7.68,48810.11,06/04/2012,,
88011,NM,3.27,19621.0,11/28/2012,,
88337,NM,4.8,10940.96,12/06/2012,,
87122,NM,4.2,21010.0,10/22/2012,,
88011,NM,5.52,21000.0,08/17/2012,,
87144,NM,10.44,61262.0,12/10/2012,,
87508,NM,2.76,11250.0,08/01/2012,,
87508,NM,2.16,15407.56,12/07/2012,,
87111,NM,4.32,19740.77,11/27/2012,,
87016,NM,9.12,22386.1,11/19/2012,,
87031,NM,4.35,24940.0,12/18/2012,,
88081,NM,10.56,32305.93,11/27/2012,,
87048,NM,3.825,17080.7,12/03/2012,,
87110,NM,5.22,37306.9,12/07/2012,,
87106,NM,2.4,9797.52,11/02/2012,,
87505,NM,3.22,19238.0,06/08/2012,,
87144,NM,4.578,26346.8,12/13/2012,,
87499,NM,5.28,28275.0,09/26/2012,,
87123,NM,3.36,21514.0,03/19/2012,,
88081,NM,11.04,30473.96,12/03/2012,,
88011,NM,4.905,27850.0,11/20/2012,,
87144,NM,3.924,23076.8,12/20/2012,,
87124,NM,1.96,11873.0,11/30/2012,,
87008,NM,9.8,47700.0,12/17/2012,,
87710,NM,2.25,11702.13,12/10/2012,,
88011,NM,3.84,11980.62,11/03/2012,,
88011,NM,9.81,54140.0,11/19/2012,,
87059,NM,11.28,69135.52,12/17/2012,,
88007,NM,5.98,25000.0,07/03/2012,,
87505,NM,1.368,7484.8,06/01/2012,,
87123,NM,9.24,68799.0,11/26/2012,,
87048,NM,5.488,31295.6,08/29/2012,,
87122,NM,4.578,28674.13,05/21/2012,,
87122,NM,5.67,34179.59,05/11/2012,,
88011,NM,5.232,29450.0,12/10/2012,,
87059,NM,9.8,40485.0,09/20/2012,,
87109,NM,5.04,39763.0,03/30/2012,,
87107,NM,2.35,14848.83,07/04/2012,,
87123,NM,13.68,86980.0,06/29/2012,,
88011,NM,8.232,53370.44,11/30/2012,,
87124,NM,7.83,45485.0,12/26/2012,,
87124,NM,6.345,26104.22,11/30/2012,,
87111,NM,2.616,28760.15,12/17/2012,,
88046,NM,3.924,27028.0,12/11/2012,,
88011,NM,6.867,36391.0,12/05/2012,,
88061,NM,2.592,17450.0,02/20/2012,,
88201,NM,9.87,50600.0,03/25/2012,,
88012,NM,7.92,48148.0,12/21/2012,,
87931,NM,5.17,29011.0,06/27/2012,,
87144,NM,4.23,22579.58,10/01/2012,,
88001,NM,4.32,20120.0,07/31/2012,,
87508,NM,6.58,75110.0,11/01/2012,,
88001,NM,2.4,8800.0,08/17/2012,,
87112,NM,3.6,42019.4,12/10/2012,,
87122,NM,6.09,37232.0,12/20/2012,,
88011,NM,4.8,31620.0,04/11/2012,,
88011,NM,4.08,12590.92,06/01/2012,,
88007,NM,8.415,34024.0,11/20/2012,,
88001,NM,5.28,23940.0,08/30/2012,,
88007,NM,12.72,62380.0,04/26/2012,,
88012,NM,3.315,12550.0,11/09/2012,,
87111,NM,6.24,25296.58,12/19/2012,,
87144,NM,1.54,7316.56,06/01/2012,,
87701,NM,4.5,26623.0,10/03/2012,,
87701,NM,7.5,39530.0,11/30/2012,,
87745,NM,6.11,26644.0,11/29/2012,,
87144,NM,6.525,38555.0,12/13/2012,,
87106,NM,2.45,30728.39,07/31/2012,,
87114,NM,5.22,30986.0,12/13/2012,,
87120,NM,3.57,18642.44,12/11/2012,,
88001,NM,0.47,2150.0,10/09/2012,,
88005,NM,2.16,12064.0,09/28/2012,,
88005,NM,1.44,6590.0,10/01/2012,,
88007,NM,2.88,12850.0,10/23/2012,,
87122,NM,9.604,60308.0,12/01/2012,,
87104,NM,3.06,8208.83,12/13/2012,,
88325,NM,3.52,10087.75,06/01/2012,,
87121,NM,1.2,4135.0,12/19/2012,,
87110,NM,2.4,11252.0,12/05/2012,,
88011,NM,2.88,12979.0,04/26/2012,,
88001,NM,6.12,26890.0,11/28/2012,,
88011,NM,3.315,12680.0,11/20/2012,,
88011,NM,4.32,19070.0,10/12/2012,,
87107,NM,7.83,41702.24,12/28/2012,,
88011,NM,6.885,28360.0,11/30/2012,,
88011,NM,4.8,21300.0,10/30/2012,,
87043,NM,3.48,21134.0,12/21/2012,,
87111,NM,8.7,51170.0,12/21/2012,,
88007,NM,4.32,19350.0,10/02/2012,,
88011,NM,5.61,23940.0,12/04/2012,,
88012,NM,3.57,13590.0,12/13/2012,,
88005,NM,5.1,21340.0,11/06/2012,,
87107,NM,3.0,14805.0,12/03/2012,,
87015,NM,15.36,27567.86,12/06/2012,,
87544,NM,5.886,33302.0,12/05/2012,,
87122,NM,4.35,46500.0,12/20/2012,,
87107,NM,2.88,8394.0,09/07/2012,,
87114,NM,3.27,18676.0,12/06/2012,,
87109,NM,2.94,11117.6,07/27/2012,,
87031,NM,2.464,13362.8,12/14/2012,,
87114,NM,4.312,24612.85,12/20/2012,,
87031,NM,5.04,24496.0,11/06/2012,,
87506,NM,10.44,60262.0,12/07/2012,,
87124,NM,2.53,12787.0,08/01/2012,,
87122,NM,4.165,18942.0,12/13/2012,,
87502,NM,5.76,30456.0,12/18/2012,,
87508,NM,5.64,46338.0,11/20/2012,,
88012,NM,2.88,12475.0,06/15/2012,,
88011,NM,7.395,30789.0,12/10/2012,,
87002,NM,11.5,53800.0,01/27/2012,,
87110,NM,5.85,78383.75,02/29/2012,,
88001,NM,11.28,52400.0,08/14/2012,,
87047,NM,25.22,127500.0,04/24/2012,,
87109,NM,30.55,214859.0,03/29/2012,,
88011,NM,15.84,78249.0,06/15/2012,,
87107,NM,4.2,25630.0,03/29/2012,,
88005,NM,2.53,19638.33,05/25/2012,,
87048,NM,5.76,48650.0,02/01/2012,,
87048,NM,16.17,71458.0,09/21/2012,,
87047,NM,6.15,43261.88,12/19/2012,,
87507,NM,1.45,10142.97,02/06/2008,,
87120,NM,4.6,34221,12/11/2008,,
87505,NM,2.1,20138,12/11/2008,,
87517,NM,0.78,9003.23,02/21/2008,,
87035,NM,3.6,39418.13,05/15/2007,,
88011,NM,3.22,28666,12/02/2008,,
87512,NM,1500.0,,04/13/2012,,
88007,NM,12000.0,,06/19/2012,,
87031,NM,6000.0,,08/11/2012,,
88220,NM,10600.0,,12/01/2011,,
88240,NM,10600.0,,12/01/2011,,
87109,NM,2000.0,,04/11/2012,,
87507,NM,1000.0,,12/22/2010,,
88231,NM,10600.0,,12/01/2011,,
88252,NM,10700.0,,09/22/2011,,
88252,NM,10700.0,,09/22/2011,,
88063,NM,25000.0,,09/11/2012,,
87747,NM,30000.0,,11/01/2010,,
88310,NM,6000.0,,10/20/2011,,
88030,NM,6000.0,,08/17/2011,,
88312,NM,2.94,25258.37,10/01/2009,,
88072,NM,0.45,6000.0,10/01/2009,,
88011,NM,3.08,22882.51,10/01/2009,,
87507,NM,2.2,14775.87,10/02/2009,,
87507,NM,1.72,14018.3,10/02/2009,,
87015,NM,2.46,18937.0,10/06/2009,,
88220,NM,4.725,34711.74,10/08/2009,,
87122,NM,5.28,36516.79,10/08/2009,,
87053,NM,1.05,19530.19,10/12/2009,,
88317,NM,4.14,32994.0,10/13/2009,,
88033,NM,5.28,33993.76,10/13/2009,,
87108,NM,2.25,14079.0,10/13/2009,,
87508,NM,3.68,40644.66,10/15/2009,,
88011,NM,2.64,19689.24,10/16/2009,,
88011,NM,5.376,39004.0,10/20/2009,,
87507,NM,2.58,20638.76,10/23/2009,,
88030,NM,6.88,68266.2,10/27/2009,,
87557,NM,2.88,47563.96,10/27/2009,,
87107,NM,10.494,69480.0,10/28/2009,,
87507,NM,3.01,23278.0,10/29/2009,,
88011,NM,2.0,15992.0,10/30/2009,,
87107,NM,4.5,38377.5,10/30/2009,,
87571,NM,0.7,5322.49,11/01/2009,,
87509,NM,9.4,49396.74,11/01/2009,,
87109,NM,2.87,20684.0,11/01/2009,,
87104,NM,2.15,16321.83,11/03/2009,,
87102,NM,2.115,15060.0,11/03/2009,,
87120,NM,4.2,33600.0,11/04/2009,,
87106,NM,2.64,15618.0,11/04/2009,,
87505,NM,2.3,20951.42,11/05/2009,,
87501,NM,1.56,16824.0,11/06/2009,,
87122,NM,6.0,30200.0,11/06/2009,,
87048,NM,4.84,27728.0,11/06/2009,,
87402,NM,2.3,13716.0,11/11/2009,,
87043,NM,5.06,29097.73,11/11/2009,,
87111,NM,3.96,30580.0,11/12/2009,,
87123,NM,3.22,24187.0,11/13/2009,,
87043,NM,2.76,35481.0,11/16/2009,,
87002,NM,1.84,15939.0,11/17/2009,,
88310,NM,1.1,9310.44,11/18/2009,,
87123,NM,2.8,19971.14,11/18/2009,,
87122,NM,3.69,31023.27,11/18/2009,,
87108,NM,2.46,22965.0,11/20/2009,,
87056,NM,0.82,16335.94,11/20/2009,,
87059,NM,4.48,23168.0,11/23/2009,,
88005,NM,3.01,23420.0,11/24/2009,,
87508,NM,4.56,35384.42,11/24/2009,,
87047,NM,2.25,16417.0,11/25/2009,,
87508,NM,1.824,12136.2,11/26/2009,,
87107,NM,2.58,21753.0,11/30/2009,,
87059,NM,7.38,42101.0,11/30/2009,,
87110,NM,2.3,18872.5,12/01/2009,,
87105,NM,6.8,38325.45,12/01/2009,,
87104,NM,3.68,29910.0,12/01/2009,,
87048,NM,3.9,28502.57,12/01/2009,,
87122,NM,4.725,27178.46,12/02/2009,,
87122,NM,4.14,22980.0,12/02/2009,,
87110,NM,2.1,9074.04,12/02/2009,,
88011,NM,1.125,8800.0,12/03/2009,,
88007,NM,2.58,18896.0,12/04/2009,,
87114,NM,3.22,17920.0,12/04/2009,,
87544,NM,3.42,35813.2,12/08/2009,,
87108,NM,4.14,35388.0,12/08/2009,,
87107,NM,2.2,15950.0,12/08/2009,,
87105,NM,1.84,12629.3,12/08/2009,,
87043,NM,4.14,27738.0,12/08/2009,,
87043,NM,3.52,28680.0,12/08/2009,,
87015,NM,4.3,26471.4,12/08/2009,,
87122,NM,4.18,23450.0,12/09/2009,,
87508,NM,3.87,33500.0,12/10/2009,,
87507,NM,2.3,14400.0,12/10/2009,,
87505,NM,3.01,33910.0,12/10/2009,,
87048,NM,3.45,21000.0,12/10/2009,,
88011,NM,1.1,9063.0,12/11/2009,,
88007,NM,5.16,37078.0,12/11/2009,,
87144,NM,3.15,26550.0,12/11/2009,,
88005,NM,0.86,5494.0,12/12/2009,,
87508,NM,1.61,10300.0,12/12/2009,,
87507,NM,2.2,10865.0,12/12/2009,,
87031,NM,3.15,26197.5,12/12/2009,,
87144,NM,2.912,21052.47,12/14/2009,,
87048,NM,6.21,40360.0,12/14/2009,,
87122,NM,3.68,25740.0,12/15/2009,,
87106,NM,4.14,26775.0,12/15/2009,,
87110,NM,7.02,31683.5,12/15/2009,,
88310,NM,2.25,15471.48,12/16/2009,,
88061,NM,3.325,22699.31,12/16/2009,,
87567,NM,13.76,99409.0,12/16/2009,,
87122,NM,5.52,36140.0,12/16/2009,,
87114,NM,5.74,26020.8,12/16/2009,,
87105,NM,5.28,27146.3,12/16/2009,,
87042,NM,3.68,42447.93,12/16/2009,,
88337,NM,6.72,50438.89,12/17/2009,,
88004,NM,3.5,50132.0,12/17/2009,,
87507,NM,2.016,23580.0,12/17/2009,,
87505,NM,2.912,31360.0,12/17/2009,,
87501,NM,10.12,86917.25,12/17/2009,,
87501,NM,2.8,37367.0,12/17/2009,,
87031,NM,2.15,16500.0,12/17/2009,,
88005,NM,7.56,64176.0,12/18/2009,,
87569,NM,3.12,29807.59,12/18/2009,,
87122,NM,4.14,25875.0,12/18/2009,,
87114,NM,6.048,42000.0,12/18/2009,,
87106,NM,1.56,13126.25,12/18/2009,,
87120,NM,8.6,68290.0,12/20/2009,,
88061,NM,2.34,19863.73,12/21/2009,,
87571,NM,4.1,31627.0,12/21/2009,,
87113,NM,5.06,32680.0,12/21/2009,,
87107,NM,2.475,14537.14,12/21/2009,,
88002,NM,3.08,22400.0,12/21/2009,,
88030,NM,10.12,114015.0,12/22/2009,,
87125,NM,2.665,22884.15,12/22/2009,,
87111,NM,2.3,14280.0,12/22/2009,,
87059,NM,3.15,22511.26,12/22/2009,,
87047,NM,4.6,24380.0,12/22/2009,,
88011,NM,1.23,24500.0,12/23/2009,,
87144,NM,11.18,76185.0,12/23/2009,,
87144,NM,6.9,47960.0,12/23/2009,,
87111,NM,2.87,23062.6,12/23/2009,,
87111,NM,2.3,17440.0,12/23/2009,,
87102,NM,9.225,140765.21,12/24/2009,,
87740,NM,3.5,38706.0,12/27/2009,,
87106,NM,5.52,44818.99,12/28/2009,,
87015,NM,12.32,81297.57,12/28/2009,,
88310,NM,2.912,21000.0,12/29/2009,,
88061,NM,3.69,28834.05,12/29/2009,,
88061,NM,3.5,28326.98,12/29/2009,,
88007,NM,5.67,51774.27,12/29/2009,,
87505,NM,4.2,26246.22,12/29/2009,,
88011,NM,6.75,52080.0,12/30/2009,,
87507,NM,3.36,26364.5,12/30/2009,,
88310,NM,1.35,10500.0,12/31/2009,,
87575,NM,0.44,9209.0,12/31/2009,,
87508,NM,3.15,23835.0,12/31/2009,,
87122,NM,4.6,35010.0,12/31/2009,,
87111,NM,2.88,17940.0,12/31/2009,,
87106,NM,3.15,25410.0,12/31/2009,,
87059,NM,1.84,11849.11,12/31/2009,,
87048,NM,2.64,16250.0,12/31/2009,,
87107,NM,1.152,9800.0,01/10/2010,,
87110,NM,3.22,28870.0,01/20/2010,,
87031,NM,4.14,25410.0,01/20/2010,,
87043,NM,3.78,33025.35,01/23/2010,,
87043,NM,3.44,27730.0,01/25/2010,,
88007,NM,2.64,16600.0,01/27/2010,,
87120,NM,6.6,38286.0,01/27/2010,,
87043,NM,5.28,37190.0,01/28/2010,,
88011,NM,4.62,31965.36,02/01/2010,,
88005,NM,4.14,30135.16,02/03/2010,,
87120,NM,7.74,56010.0,02/04/2010,,
88203,NM,3.15,24805.0,02/05/2010,,
87107,NM,3.808,25910.0,02/05/2010,,
87123,NM,6.58,40677.69,02/09/2010,,
87109,NM,3.68,25270.0,02/09/2010,,
87181,NM,1.68,13205.95,02/10/2010,,
87105,NM,2.94,27493.0,02/10/2010,,
87059,NM,9.24,68900.0,02/12/2010,,
87048,NM,11.04,61615.2,02/15/2010,,
87120,NM,3.22,19320.0,02/17/2010,,
87501,NM,5.52,44370.0,02/18/2010,,
87106,NM,2.07,18507.31,02/18/2010,,
87048,NM,5.52,32883.6,02/18/2010,,
87043,NM,10.08,65534.0,02/18/2010,,
87123,NM,7.995,52335.0,02/19/2010,,
87122,NM,4.725,29673.55,02/20/2010,,
88316,NM,2.4,23721.0,02/22/2010,,
88011,NM,9.68,63085.0,02/22/2010,,
87122,NM,3.52,22976.8,02/22/2010,,
87110,NM,1.32,12640.0,02/22/2010,,
88310,NM,3.52,28609.0,02/23/2010,,
87122,NM,4.032,33060.0,02/23/2010,,
87108,NM,4.6,32663.0,02/23/2010,,
87048,NM,7.2,38985.0,02/23/2010,,
88011,NM,3.3,20949.0,02/25/2010,,
88005,NM,4.4,25985.0,02/25/2010,,
88012,NM,3.08,18308.0,02/26/2010,,
87506,NM,3.01,26333.0,02/26/2010,,
87113,NM,3.5,20826.91,02/26/2010,,
87112,NM,2.25,14109.05,02/28/2010,,
87109,NM,2.3,17250.0,03/01/2010,,
88011,NM,2.76,21110.0,03/02/2010,,
88011,NM,1.84,14815.0,03/02/2010,,
88007,NM,5.52,31802.04,03/02/2010,,
87122,NM,2.3,20390.0,03/02/2010,,
87113,NM,3.44,25090.0,03/02/2010,,
87107,NM,5.52,27600.0,03/02/2010,,
87105,NM,1.38,10774.83,03/03/2010,,
88011,NM,4.14,16980.0,03/04/2010,,
88001,NM,2.2,14400.0,03/05/2010,,
87107,NM,8.28,63298.42,03/05/2010,,
87505,NM,3.68,29282.0,03/07/2010,,
87122,NM,1.8,10000.0,03/07/2010,,
87123,NM,3.22,19803.0,03/09/2010,,
87043,NM,3.01,22660.0,03/09/2010,,
87043,NM,2.25,15550.0,03/09/2010,,
88005,NM,2.76,16108.0,03/10/2010,,
87002,NM,7.425,38800.0,03/10/2010,,
87111,NM,2.15,18444.0,03/11/2010,,
87505,NM,1.8,15162.0,03/14/2010,,
88012,NM,0.525,5500.0,03/15/2010,,
87048,NM,2.64,18765.0,03/16/2010,,
87507,NM,1.8,14688.75,03/17/2010,,
87122,NM,6.9,59880.0,03/17/2010,,
88012,NM,2.7,14958.0,03/18/2010,,
88011,NM,1.925,14793.0,03/18/2010,,
87004,NM,3.22,19320.0,03/18/2010,,
87508,NM,1.72,20260.0,03/19/2010,,
87507,NM,2.76,20057.0,03/19/2010,,
88012,NM,2.365,18434.0,03/24/2010,,
87122,NM,3.6,26814.0,03/24/2010,,
87112,NM,1.75,9594.29,03/25/2010,,
87043,NM,2.15,15525.0,03/30/2010,,
87507,NM,2.07,17712.6,03/31/2010,,
87505,NM,1.98,12408.0,03/31/2010,,
87122,NM,5.52,40230.0,04/02/2010,,
87120,NM,9.2,67200.0,04/02/2010,,
88011,NM,4.05,17350.0,04/04/2010,,
87108,NM,3.68,26864.0,04/04/2010,,
87108,NM,0.66,2801.3,04/04/2010,,
87047,NM,3.24,18737.23,04/05/2010,,
87505,NM,2.76,32074.31,04/06/2010,,
87114,NM,4.725,32770.37,04/06/2010,,
88012,NM,1.52,15696.4,04/07/2010,,
87031,NM,4.05,32290.0,04/08/2010,,
87508,NM,4.6,38110.0,04/09/2010,,
87113,NM,2.025,12303.75,04/09/2010,,
87111,NM,3.22,25477.0,04/09/2010,,
87105,NM,5.52,44768.0,04/09/2010,,
87120,NM,2.2,14800.0,04/12/2010,,
88310,NM,3.74,22955.0,04/13/2010,,
87501,NM,0.86,7993.0,04/13/2010,,
87107,NM,2.808,18588.92,04/14/2010,,
87104,NM,3.6,27900.0,04/14/2010,,
88007,NM,3.68,31298.01,04/15/2010,,
87501,NM,0.86,7993.0,04/15/2010,,
87123,NM,3.3,16980.0,04/15/2010,,
87109,NM,5.4,41058.0,04/15/2010,,
87043,NM,2.3,14930.0,04/15/2010,,
88007,NM,4.4,29779.0,04/16/2010,,
88005,NM,2.53,19600.0,04/16/2010,,
87513,NM,5.88,34505.59,04/16/2010,,
87043,NM,0.875,4867.48,04/16/2010,,
88061,NM,8.82,43938.75,04/19/2010,,
88030,NM,3.96,44279.0,04/19/2010,,
88008,NM,1.48,15574.0,04/19/2010,,
88012,NM,1.84,11127.0,04/20/2010,,
87529,NM,1.8,12344.55,04/21/2010,,
87106,NM,2.64,18580.0,04/21/2010,,
87507,NM,5.52,45509.0,04/23/2010,,
87507,NM,4.5,31904.0,04/23/2010,,
87107,NM,2.99,19020.0,04/23/2010,,
88011,NM,4.14,26714.0,04/27/2010,,
87506,NM,3.44,28402.0,04/27/2010,,
87505,NM,2.795,26632.0,04/27/2010,,
87107,NM,4.6,25948.6,04/27/2010,,
87043,NM,3.44,35797.0,04/27/2010,,
88012,NM,3.96,24000.0,04/29/2010,,
87508,NM,1.72,19950.0,04/29/2010,,
88012,NM,2.76,15895.0,05/03/2010,,
88001,NM,3.3,20967.0,05/03/2010,,
87509,NM,2.76,35050.0,05/04/2010,,
87505,NM,3.68,29757.0,05/04/2010,,
87144,NM,3.96,26090.8,05/04/2010,,
87107,NM,2.64,19514.61,05/04/2010,,
88044,NM,6.75,38694.0,05/05/2010,,
87120,NM,6.21,53107.0,05/05/2010,,
88011,NM,6.075,37567.0,05/06/2010,,
87122,NM,4.95,27687.21,05/06/2010,,
87111,NM,2.912,17831.55,05/07/2010,,
87106,NM,2.925,18296.1,05/10/2010,,
87106,NM,2.25,18559.39,05/10/2010,,
87544,NM,5.4,37269.55,05/11/2010,,
87122,NM,1.72,13893.62,05/12/2010,,
87109,NM,2.3,16980.0,05/12/2010,,
87056,NM,3.01,7413.46,05/13/2010,,
88052,NM,3.6,22262.0,05/14/2010,,
87106,NM,1.575,13800.0,05/16/2010,,
88005,NM,0.92,4786.0,05/17/2010,,
87111,NM,5.4,29500.0,05/17/2010,,
87107,NM,0.884,26080.0,05/18/2010,,
87111,NM,2.64,16480.3,05/20/2010,,
87111,NM,4.6,34045.0,05/21/2010,,
87043,NM,2.7,17090.0,05/21/2010,,
87501,NM,2.15,18110.0,05/25/2010,,
87107,NM,3.69,15605.0,05/27/2010,,
87505,NM,3.68,28564.0,05/28/2010,,
87108,NM,2.2,13022.7,05/28/2010,,
88043,NM,5.5,32408.0,06/02/2010,,
87501,NM,5.16,44256.0,06/02/2010,,
87113,NM,4.725,24995.0,06/02/2010,,
87108,NM,2.1,13805.0,06/02/2010,,
88007,NM,6.75,42048.07,06/03/2010,,
87106,NM,3.08,18580.4,06/03/2010,,
88007,NM,6.075,39067.0,06/04/2010,,
87508,NM,3.68,30415.0,06/04/2010,,
88006,NM,6.3,37407.0,06/04/2010,,
88012,NM,2.45,14097.0,06/08/2010,,
87507,NM,1.72,14773.0,06/09/2010,,
87144,NM,9.0,52230.0,06/09/2010,,
87059,NM,4.725,36592.5,06/09/2010,,
87508,NM,2.76,15300.0,06/10/2010,,
87059,NM,1.84,16583.65,06/10/2010,,
88061,NM,5.28,42371.0,06/11/2010,,
87508,NM,3.87,27300.0,06/11/2010,,
87008,NM,1.72,12450.0,06/11/2010,,
87722,NM,3.44,25760.0,06/14/2010,,
88011,NM,5.4,12327.0,06/15/2010,,
87124,NM,3.22,17500.0,06/15/2010,,
87124,NM,2.7,21025.0,06/15/2010,,
87111,NM,2.76,17940.0,06/17/2010,,
87043,NM,1.025,6300.0,06/17/2010,,
87124,NM,3.44,22570.0,06/18/2010,,
87124,NM,1.84,14700.0,06/18/2010,,
87111,NM,3.15,24937.5,06/18/2010,,
88201,NM,5.52,58536.0,06/20/2010,,
88310,NM,3.52,27434.0,06/21/2010,,
88011,NM,3.6,22187.0,06/22/2010,,
88011,NM,3.6,20617.0,06/22/2010,,
88005,NM,1.72,14036.0,06/22/2010,,
87508,NM,6.88,72590.0,06/22/2010,,
87508,NM,4.14,31260.0,06/22/2010,,
87506,NM,10.35,74080.0,06/22/2010,,
87122,NM,6.88,49960.0,06/22/2010,,
87048,NM,6.88,49970.0,06/22/2010,,
87043,NM,5.376,78050.0,06/22/2010,,
87508,NM,2.7,15022.0,06/24/2010,,
87144,NM,3.85,19250.0,06/24/2010,,
87031,NM,4.05,29500.0,06/24/2010,,
87059,NM,4.92,50400.0,06/25/2010,,
87113,NM,10.32,72000.0,06/29/2010,,
87507,NM,4.3,32790.0,06/30/2010,,
87111,NM,6.88,50301.0,06/30/2010,,
88310,NM,6.3,40997.0,07/02/2010,,
87123,NM,7.5,42930.0,07/02/2010,,
87048,NM,0.816,24152.0,07/02/2010,,
87144,NM,3.96,24750.0,07/06/2010,,
87015,NM,5.4,30780.0,07/06/2010,,
88044,NM,4.809,28282.0,07/07/2010,,
88044,NM,4.704,28828.0,07/07/2010,,
88006,NM,2.3,13500.0,07/07/2010,,
87508,NM,2.25,13420.0,07/07/2010,,
88007,NM,3.15,20217.0,07/08/2010,,
87506,NM,7.168,93913.58,07/08/2010,,
87110,NM,3.68,28582.0,07/08/2010,,
88061,NM,9.87,56923.72,07/09/2010,,
87120,NM,3.01,18495.55,07/09/2010,,
88005,NM,4.14,32646.0,07/12/2010,,
87059,NM,5.04,28875.0,07/14/2010,,
87031,NM,3.96,26400.0,07/14/2010,,
87144,NM,5.16,39661.0,07/15/2010,,
87122,NM,5.04,31752.0,07/15/2010,,
88030,NM,4.2,28860.09,07/16/2010,,
88030,NM,3.15,25800.0,07/16/2010,,
88007,NM,5.16,44679.0,07/16/2010,,
87508,NM,1.505,12000.0,07/16/2010,,
87507,NM,3.44,38990.0,07/17/2010,,
88061,NM,4.7,24776.75,07/19/2010,,
87191,NM,9.2,77911.0,07/19/2010,,
88011,NM,3.15,21225.0,07/20/2010,,
88007,NM,10.8,97127.0,07/20/2010,,
87122,NM,4.05,25759.0,07/20/2010,,
87043,NM,6.02,42375.0,07/20/2010,,
87120,NM,5.16,37362.0,07/21/2010,,
87046,NM,3.15,36727.04,07/21/2010,,
87031,NM,3.995,21037.5,07/21/2010,,
88007,NM,4.032,29798.0,07/22/2010,,
87508,NM,0.864,6814.0,07/22/2010,,
88011,NM,3.44,25174.0,07/23/2010,,
87144,NM,2.7,16200.0,07/23/2010,,
87047,NM,3.87,27959.0,07/23/2010,,
88310,NM,4.2,16397.51,07/27/2010,,
87122,NM,2.76,18630.0,07/28/2010,,
87122,NM,6.076,42525.0,07/29/2010,,
87122,NM,3.6,23760.0,07/29/2010,,
87106,NM,1.935,10129.76,07/29/2010,,
87047,NM,4.5,20020.05,07/30/2010,,
87501,NM,3.675,26309.0,07/30/2010,,
88345,NM,5.64,33020.0,07/31/2010,,
87111,NM,5.75,41498.0,08/03/2010,,
87105,NM,4.5,28800.0,08/03/2010,,
88011,NM,4.7,28800.0,08/04/2010,,
88007,NM,6.45,48412.0,08/04/2010,,
88044,NM,4.4,25740.0,08/05/2010,,
87508,NM,4.14,32241.75,08/05/2010,,
87120,NM,4.05,30260.0,08/08/2010,,
88012,NM,2.25,10514.0,08/09/2010,,
87505,NM,3.44,39635.0,08/09/2010,,
88061,NM,3.375,22878.42,08/10/2010,,
88005,NM,1.72,5822.4,08/10/2010,,
87122,NM,1.575,9292.5,08/10/2010,,
87107,NM,2.76,15425.0,08/10/2010,,
87059,NM,1.84,15206.0,08/10/2010,,
88011,NM,2.0,8732.04,08/11/2010,,
87110,NM,3.29,19412.0,08/11/2010,,
88012,NM,1.0,6000.0,08/12/2010,,
88011,NM,2.688,16252.0,08/12/2010,,
88011,NM,3.01,21170.0,08/13/2010,,
87122,NM,5.16,56484.0,08/13/2010,,
87122,NM,1.8,14384.71,08/13/2010,,
87048,NM,4.906,29601.0,08/13/2010,,
87122,NM,6.88,48370.0,08/16/2010,,
87114,NM,5.4,36390.0,08/16/2010,,
87124,NM,6.44,47646.0,08/17/2010,,
87124,NM,5.04,38998.0,08/17/2010,,
87120,NM,4.725,34795.0,08/17/2010,,
87120,NM,3.45,18266.25,08/17/2010,,
87106,NM,1.84,15000.0,08/17/2010,,
87508,NM,1.505,11134.0,08/18/2010,,
87120,NM,0.45,3487.5,08/18/2010,,
87111,NM,3.22,17926.0,08/18/2010,,
