Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=IL
60515,IL,4.94,31000.0,12/31/2012,,
60531,IL,5.64,28100.0,05/15/2012,,
62565,IL,19.2,101109.0,09/06/2012,,
62450,IL,5.8,16796.0,05/14/2012,,
60440,IL,4.8,26500.0,12/21/2012,,
60188,IL,3.0,9158.13,11/30/2012,,
61075,IL,5.0,16116.0,08/09/2012,,
60637,IL,3.12,24885.0,06/29/2012,,
60022,IL,6.24,41365.0,02/17/2012,,
60646,IL,1.2,10800.0,06/20/2012,,
60192,IL,2.0,6252.85,07/26/2012,,
60459,IL,1.5,10000.0,10/25/2012,,
60169,IL,4.14,28900.0,03/02/2012,,
60053,IL,2.16,18212.0,06/15/2012,,
62711,IL,7.5,36220.0,04/01/2012,,
60636,IL,1.11,10250.0,01/12/2012,,
61820,IL,2.0,19994.0,03/30/2012,,
62298,IL,4.32,,12/30/2011,,
60142,IL,19.74,299750.0,11/18/2011,,
62526,IL,4.5,25000.0,06/15/2012,,
61802,IL,11.28,23000.0,04/10/2012,,
60002,IL,5.74,16683.0,07/13/2012,,
60173,IL,867.0,,07/25/2012,,
60440,IL,1124.0,,07/25/2012,,
62568,IL,19.2,,05/13/2012,,
62040,IL,5.39,,05/01/2012,,
62226,IL,9.6,,02/22/2012,,
61853,IL,8.0,25300.0,08/16/2007,,
62441,IL,0.2,390.0,10/01/2010,,
62441,IL,1.23,7540.0,07/01/2009,,
62441,IL,0.52,3650.0,05/01/2008,,
62441,IL,0.36,3400.0,05/01/1999,,
62441,IL,0.1,500.0,03/01/1997,,
61951,IL,11.52,44800.0,12/31/2011,,
60115,IL,5.088,37101.0,09/21/2010,,
62298,IL,23.5,,08/15/2011,,
61801,IL,1.8,,05/24/2011,,
60551,IL,3.76,21790.0,08/31/2011,,
62626,IL,6.75,35000.0,06/30/2011,,
60601,IL,8.4,58000.0,07/16/2008,,
60090,IL,10.0,65000.0,10/10/2007,,
61109,IL,10.56,85000.0,10/13/1997,,
60123,IL,4.0,48000.0,08/04/1997,,
61109,IL,12.3,103000.0,06/30/2010,,
60561,IL,2.4,15000.0,06/06/2011,,
60103,IL,11.5,61000.0,05/23/2011,,
61455,IL,2.72,24135.0,12/17/2009,,
61548,IL,5.1,46000.0,12/29/2009,,
60518,IL,1.755,15000.0,12/29/2009,,
62896,IL,2.34,19865.8,12/29/2009,,
61063,IL,1.755,17000.0,12/29/2009,,
60010,IL,6.3,41130.0,12/29/2009,,
61455,IL,1.4,10120.0,12/29/2009,,
61065,IL,1.36,13025.0,12/29/2009,,
60010,IL,3.0,26260.0,01/14/2010,,
61084,IL,2.8,21226.0,01/14/2010,,
61089,IL,1.4,8642.0,01/14/2010,,
61047,IL,4.2,23815.0,01/14/2010,,
60068,IL,2.73,28260.0,01/14/2010,,
