Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=TN
37211,TN,4.27,,03/04/2010,,
37209,TN,4.27,,02/25/2010,,
37204,TN,1.35,,01/07/2010,,
37069,TN,16.2,,12/29/2009,,
37205,TN,4.41,,12/29/2009,,
37363,TN,4.5,,12/23/2009,,
37388,TN,4.6,,12/16/2009,,
37367,TN,29.44,,12/16/2009,,
37062,TN,8.28,,12/13/2009,,
37098,TN,1.02,,12/12/2009,,
37342,TN,1.94,,12/09/2009,,
37212,TN,4.6,,11/13/2009,,
37129,TN,5.52,,11/13/2009,,
38068,TN,16.56,,11/10/2009,,
37221,TN,6.9,,11/10/2009,,
37064,TN,2.04,,11/01/2009,,
37412,TN,5.16,,10/22/2009,,
37203,TN,13.8,,10/07/2009,,
37027,TN,24.8,,09/23/2009,,
37030,TN,3.15,,09/22/2009,,
38501,TN,25.6,,09/15/2009,,
37027,TN,6.2,,08/28/2009,,
37916,TN,6.9,,08/20/2009,,
37205,TN,3.7,,07/17/2009,,
37220,TN,6.08,,07/17/2009,,
37215,TN,5.4,,07/10/2009,,
37064,TN,14.7,,06/29/2009,,
37129,TN,1.8,,06/24/2009,,
37069,TN,8.28,,06/16/2009,,
37167,TN,8.0,,06/16/2009,,
37014,TN,9.45,,06/16/2009,,
38372,TN,6.08,,06/05/2009,,
38501,TN,5.4,,02/24/2009,,
38476,TN,2.0,,02/02/2009,,
37153,TN,3.22,,01/16/2009,,
37209,TN,3.15,,01/02/2009,,
38483,TN,4.05,,12/22/2008,,
37830,TN,51.24,,11/05/2008,,
37064,TN,2.03,,10/31/2008,,
37356,TN,3.0,,10/23/2008,,
37228,TN,10.8,,10/08/2008,,
37046,TN,13.5,,08/18/2008,,
37076,TN,11.0,,07/01/2008,,
38572,TN,2.6,,06/01/2008,,
37204,TN,1.8,,06/01/2008,,
37218,TN,3.7,,02/28/2008,,
37723,TN,1.0,,02/02/2008,,
37015,TN,2.0,,12/01/2007,,
37208,TN,6.8,,10/30/2007,,
37205,TN,2.56,,10/12/2007,,
37916,TN,5.1,,09/07/2007,,
37215,TN,4.0,,07/18/2007,,
37205,TN,5.6,,05/11/2007,,
38543,TN,7.56,,05/01/2007,,
37027,TN,12.24,,04/29/2007,,
37205,TN,12.24,,02/12/2007,,
37206,TN,5.0,,01/09/2007,,
38501,TN,3.84,,07/25/2006,,
37013,TN,2.88,,06/16/2006,,
37044,TN,2.82,32800.0,07/16/2010,,
37334,TN,3000.0,9450000.0,11/02/2011,,
37774,TN,109.98,599500.0,03/18/2011,,
38571,TN,9.2,63824.0,09/27/2011,,
38571,TN,14.1,79996.0,09/27/2011,,
38305,TN,37.6,218123.0,09/13/2011,,
37814,TN,29.61,187500.0,09/27/2011,,
37870,TN,28.2,180068.0,09/29/2011,,
37405,TN,33.84,180000.0,09/21/2011,,
37421,TN,1000.0,4300000.0,12/18/2011,,
37183,TN,10.08,,05/17/2011,,
37086,TN,7.14,,05/17/2011,,
37069,TN,8.092,,05/17/2011,,
37090,TN,9.8,,05/17/2011,,
37087,TN,71.68,,05/17/2011,,
37064,TN,17.64,,05/17/2011,,
37091,TN,8.064,,05/17/2011,,
37069,TN,3.22,,05/17/2011,,
37206,TN,2.94,,05/17/2011,,
37037,TN,5.71,,05/17/2011,,
37206,TN,4.05,,05/17/2011,,
37067,TN,30.0,,05/17/2011,,
37167,TN,30.0,,05/17/2011,,
37604,TN,2.38,,05/17/2011,,
37040,TN,57.6,,05/17/2011,,
37033,TN,21.6,,05/17/2011,,
37211,TN,29.4,,05/17/2011,,
37037,TN,5.71,,05/17/2011,,
37027,TN,5.4,,05/17/2011,,
37027,TN,11.42,,05/17/2011,,
38501,TN,8.82,,05/17/2011,,
37062,TN,3.33,,05/17/2011,,
37208,TN,5.88,,05/17/2011,,
38555,TN,47.04,,05/17/2011,,
37027,TN,29.4,,05/17/2011,,
37040,TN,1.8,,05/17/2011,,
37066,TN,20.58,,05/17/2011,,
37211,TN,30.0,,05/17/2011,,
38462,TN,70.35,,05/17/2011,,
38401,TN,59.28,,05/17/2011,,
37129,TN,66.15,,05/17/2011,,
37601,TN,20.13,,05/17/2011,,
38023,TN,16.56,,05/17/2011,,
37190,TN,29.4,,05/17/2011,,
37604,TN,2.94,,05/17/2011,,
37375,TN,6.21,,05/17/2011,,
37643,TN,13.5,,05/17/2011,,
38571,TN,1.92,,05/17/2011,,
37813,TN,4.03,,05/17/2011,,
37037,TN,5.71,,05/17/2011,,
37215,TN,4.6,,05/17/2011,,
38401,TN,2.94,,05/17/2011,,
37046,TN,5.88,,05/17/2011,,
37087,TN,4.6,,05/17/2011,,
37064,TN,4.28,,05/17/2011,,
37211,TN,4.14,,05/17/2011,,
37090,TN,59.78,,05/17/2011,,
37221,TN,23.52,,05/17/2011,,
37204,TN,3.68,,05/17/2011,,
37172,TN,11.76,,05/17/2011,,
38483,TN,17.28,,05/17/2011,,
37643,TN,12.96,,05/17/2011,,
37062,TN,26.46,,05/17/2011,,
38483,TN,59.52,,05/17/2011,,
37150,TN,7.2,,05/17/2011,,
37601,TN,10.56,,05/17/2011,,
37066,TN,34.56,,05/17/2011,,
37067,TN,2.82,,05/17/2011,,
37209,TN,29.28,,05/17/2011,,
37060,TN,4.14,,05/17/2011,,
37027,TN,14.4,,05/17/2011,,
37830,TN,25.76,,05/17/2011,,
37640,TN,5.38,,05/17/2011,,
38119,TN,11.04,,05/17/2011,,
38501,TN,13.44,,05/17/2011,,
38544,TN,7.2,,05/17/2011,,
37055,TN,22.01,,05/17/2011,,
37013,TN,11.0,,05/17/2011,,
37075,TN,29.89,,05/17/2011,,
37075,TN,1.84,,05/17/2011,,
37069,TN,3.22,,05/17/2011,,
37075,TN,87.5,,05/17/2011,,
37062,TN,5.16,,05/17/2011,,
37062,TN,4.05,,05/17/2011,,
37743,TN,2.25,,05/17/2011,,
37205,TN,4.27,,05/17/2011,,
37209,TN,4.27,,05/17/2011,,
37204,TN,1.35,,05/17/2011,,
37098,TN,1.02,,05/17/2011,,
37342,TN,1.6,,05/17/2011,,
37064,TN,2.04,,05/17/2011,,
37205,TN,4.41,,05/17/2011,,
37363,TN,4.88,,05/17/2011,,
37367,TN,29.44,,05/17/2011,,
38068,TN,16.56,,05/17/2011,,
37069,TN,16.2,,05/17/2011,,
37412,TN,5.16,,05/17/2011,,
37221,TN,6.9,,05/17/2011,,
37916,TN,2.23,,05/17/2011,,
37062,TN,8.28,,05/17/2011,,
37212,TN,4.6,,05/17/2011,,
38501,TN,6.9,,05/17/2011,,
37203,TN,13.8,,05/17/2011,,
37027,TN,6.2,,05/17/2011,,
37030,TN,3.15,,05/17/2011,,
37388,TN,4.6,,05/17/2011,,
38501,TN,24.84,,05/17/2011,,
37013,TN,6.9,,05/17/2011,,
37129,TN,1.8,,05/17/2011,,
37205,TN,3.7,,05/17/2011,,
38372,TN,6.08,,05/17/2011,,
37129,TN,5.52,,05/17/2011,,
38562,TN,25.6,,05/17/2011,,
37069,TN,8.28,,05/17/2011,,
37064,TN,14.7,,05/17/2011,,
37167,TN,8.0,,05/17/2011,,
37215,TN,5.4,,05/17/2011,,
37014,TN,9.45,,05/17/2011,,
37086,TN,51.24,,05/17/2011,,
38501,TN,5.4,,05/17/2011,,
37220,TN,6.08,,05/17/2011,,
37153,TN,3.22,,05/17/2011,,
37209,TN,3.15,,05/17/2011,,
37356,TN,3.0,,05/17/2011,,
38483,TN,4.05,,05/17/2011,,
37228,TN,10.8,,05/17/2011,,
38476,TN,2.0,,05/17/2011,,
37064,TN,2.03,,05/17/2011,,
37830,TN,51.24,,05/17/2011,,
37013,TN,11.0,,05/17/2011,,
37046,TN,13.5,,05/17/2011,,
38572,TN,2.6,,05/17/2011,,
37204,TN,1.8,,05/17/2011,,
37723,TN,1.0,,05/17/2011,,
37367,TN,0.72,,05/17/2011,,
37015,TN,2.0,,05/17/2011,,
38570,TN,7.5,,05/17/2011,,
37211,TN,3.7,,05/17/2011,,
37206,TN,5.0,,05/17/2011,,
37208,TN,6.8,,05/17/2011,,
37205,TN,2.56,,05/17/2011,,
37916,TN,5.1,,05/17/2011,,
37027,TN,12.24,,05/17/2011,,
37205,TN,12.24,,05/17/2011,,
37215,TN,4.0,,05/17/2011,,
37205,TN,5.6,,05/17/2011,,
38501,TN,4.0,,05/17/2011,,
37013,TN,2.88,,05/17/2011,,
37013,TN,6.9,45000.0,08/01/2009,,
38571,TN,1.645,8534.57,12/27/2010,,
37405,TN,57.96,,01/07/2011,,
37087,TN,99.36,,12/23/2010,,
38069,TN,10.78,,12/20/2010,,
38305,TN,40.32,,12/15/2010,,
38012,TN,14.3,,11/24/2010,,
38358,TN,28.8,,11/23/2010,,
38305,TN,7.2,,12/17/2009,,
37209,TN,29.44000053,,09/17/2010,,
37604,TN,4.0,,09/16/2010,,
37914,TN,2.200000048,,09/16/2010,,
37809,TN,10.0,,09/14/2010,,
37205,TN,3.299999952,,09/08/2010,,
37205,TN,3.220000029,,09/08/2010,,
37402,TN,20.0,,09/07/2010,,
37043,TN,1.0,,09/03/2010,,
37329,TN,3.599999905,,08/31/2010,,
37303,TN,3.599999905,,08/31/2010,,
37826,TN,2.200000048,,08/31/2010,,
37303,TN,9.5,,08/31/2010,,
37329,TN,2.200000048,,08/31/2010,,
37371,TN,2.400000095,,08/31/2010,,
