Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MD
21801,MD,158.0,,06/24/2013,,
20912,MD,0.92,12500.0,07/24/2012,,
21403,MD,0.92,12000.0,07/31/2012,,
21060,MD,0.92,12500.0,06/13/2012,,
21619,MD,0.92,11900.0,05/04/2012,,
21045,MD,0.92,12000.0,05/18/2012,,
21122,MD,0.92,13083.0,04/09/2012,,
21114,MD,0.92,12250.0,05/31/2012,,
21060,MD,0.92,12500.0,03/26/2012,,
21042,MD,0.94,5000.0,07/11/2012,,
21286,MD,1.0,11021.0,08/29/2012,,
21158,MD,1.0,10521.0,09/07/2012,,
21220,MD,1.0,12121.0,07/02/2012,,
21060,MD,1.0,10521.0,06/05/2012,,
21146,MD,1.0,9821.0,05/15/2012,,
21045,MD,1.0,9952.0,07/13/2012,,
21228,MD,1.0,10521.0,06/12/2012,,
21037,MD,1.0,9821.0,06/15/2012,,
21108,MD,1.0,10521.0,05/09/2012,,
21114,MD,1.0,10721.0,03/20/2012,,
21061,MD,1.0,9821.0,05/14/2012,,
21158,MD,1.0,10000.0,03/09/2012,,
20723,MD,1.0,9521.0,01/04/2012,,
21144,MD,1.0,12821.0,02/20/2012,,
20715,MD,1.0,10521.0,04/26/2012,,
21144,MD,1.0,9821.0,02/24/2012,,
21234,MD,1.0,10421.0,02/21/2012,,
21223,MD,1.0,12321.0,02/29/2012,,
21102,MD,1.0,10521.0,01/24/2012,,
21227,MD,1.0,12321.0,01/03/2012,,
21212,MD,1.15,5000.0,08/01/2012,,
21120,MD,1.175,3000.0,04/14/2012,,
21620,MD,1.175,5988.0,04/02/2012,,
20877,MD,1.38,15870.0,01/23/2012,,
21403,MD,1.38,20700.0,02/22/2012,,
20871,MD,1.38,18000.0,05/16/2012,,
20855,MD,1.38,16500.0,01/24/2012,,
21409,MD,1.38,20148.0,01/18/2012,,
21217,MD,1.5,8034.0,08/30/2012,,
20743,MD,1.665,10989.0,06/01/2012,,
21231,MD,1.665,12870.0,04/12/2012,,
21755,MD,1.68,9895.0,10/15/2012,,
20853,MD,1.71,7265.0,05/01/2012,,
20782,MD,1.71,11714.0,05/29/2012,,
20815,MD,1.71,11710.0,06/18/2012,,
20774,MD,1.71,13218.0,02/13/2012,,
21077,MD,1.84,16525.0,03/27/2012,,
21140,MD,1.84,25500.0,03/07/2012,,
21228,MD,1.84,4255.65,03/31/2012,,
21161,MD,1.88,8999.0,03/27/2012,,
20904,MD,1.9,9975.0,02/16/2012,,
21102,MD,2.0,16121.0,11/09/2012,,
21237,MD,2.0,16121.0,11/06/2012,,
21061,MD,2.0,16021.0,10/23/2012,,
21222,MD,2.0,18421.0,10/22/2012,,
21144,MD,2.0,18421.0,10/01/2012,,
21771,MD,2.0,16021.0,10/12/2012,,
21226,MD,2.0,17821.0,09/20/2012,,
21231,MD,2.0,17000.0,06/25/2012,,
20841,MD,2.0,18421.0,07/30/2012,,
20878,MD,2.0,18521.0,07/18/2012,,
20708,MD,2.0,18421.0,09/24/2012,,
21723,MD,2.0,18421.0,07/25/2012,,
20746,MD,2.0,18421.0,08/16/2012,,
21078,MD,2.0,17821.0,07/16/2012,,
21035,MD,2.0,16471.0,05/31/2012,,
20878,MD,2.0,18421.0,01/20/2012,,
21160,MD,2.0,17521.0,07/06/2012,,
20748,MD,2.0,20421.0,03/26/2012,,
20832,MD,2.0,20421.0,03/06/2012,,
21131,MD,2.0,20421.0,05/30/2012,,
20613,MD,2.0,22421.0,05/01/2012,,
20876,MD,2.0,17750.0,05/22/2012,,
20837,MD,2.0,17421.0,04/12/2012,,
20901,MD,2.0,18421.0,04/19/2012,,
21787,MD,2.0,18421.0,03/19/2012,,
20906,MD,2.0,15087.0,02/14/2012,,
20832,MD,2.0,17521.0,04/11/2012,,
21228,MD,2.0,18521.0,03/13/2012,,
21085,MD,2.0,17721.0,03/15/2012,,
21401,MD,2.0,18021.0,04/24/2012,,
20906,MD,2.0,16453.0,01/13/2012,,
20603,MD,2.0,20421.0,03/08/2012,,
21085,MD,2.04,9600.0,03/01/2012,,
20910,MD,2.05,15539.0,06/07/2012,,
21042,MD,2.115,16000.0,08/01/2012,,
21043,MD,2.115,12000.0,06/27/2012,,
21093,MD,2.115,15500.0,05/16/2012,,
21236,MD,2.115,14000.0,07/18/2012,,
21204,MD,2.115,13000.0,07/18/2012,,
21047,MD,2.115,9000.0,05/18/2012,,
21227,MD,2.115,14488.0,07/09/2012,,
21093,MD,2.115,15000.0,03/27/2012,,
21146,MD,2.115,16000.0,05/03/2012,,
20777,MD,2.115,16000.0,02/24/2012,,
21234,MD,2.115,18980.0,03/22/2012,,
20708,MD,2.115,18980.0,02/18/2012,,
21014,MD,2.115,18980.0,03/10/2012,,
21236,MD,2.115,20980.0,01/18/2012,,
21047,MD,2.115,18980.0,02/02/2012,,
21042,MD,2.115,16000.0,02/03/2012,,
21222,MD,2.28,10000.0,04/15/2012,,
21047,MD,2.28,17624.0,02/29/2012,,
20744,MD,2.28,14830.0,01/25/2012,,
21045,MD,2.3,29900.0,07/12/2012,,
20851,MD,2.3,14100.0,04/06/2012,,
21236,MD,2.34,12383.0,02/06/2012,,
21009,MD,2.35,14600.0,08/06/2012,,
21742,MD,2.35,14922.5,01/29/2012,,
21157,MD,2.35,15200.0,01/30/2012,,
21755,MD,2.35,16100.0,02/08/2012,,
21224,MD,2.35,16098.0,04/17/2012,,
21042,MD,2.35,10868.0,01/05/2012,,
21236,MD,2.4,12504.0,04/23/2012,,
21157,MD,2.4,15000.0,07/23/2012,,
21228,MD,2.45,16783.0,06/09/2012,,
21224,MD,2.5,19635.0,02/02/2012,,
20850,MD,2.58,19556.0,03/29/2012,,
20904,MD,2.58,13441.8,03/15/2012,,
21085,MD,2.64,13134.0,08/08/2012,,
20636,MD,2.66,12000.0,04/01/2012,,
21222,MD,2.66,18221.0,07/02/2012,,
20814,MD,2.695,18460.75,07/05/2012,,
20601,MD,2.76,29000.0,07/30/2012,,
20851,MD,2.82,21375.6,03/13/2012,,
20895,MD,2.82,21375.0,01/06/2012,,
20904,MD,2.82,14792.0,03/30/2012,,
20877,MD,2.85,19523.0,07/09/2012,,
21037,MD,2.88,13150.0,06/20/2012,,
20705,MD,2.88,29199.0,06/10/2012,,
21045,MD,2.88,20160.0,04/05/2012,,
20707,MD,2.88,15120.0,03/01/2012,,
21157,MD,2.9,17050.0,07/12/2012,,
20902,MD,2.94,20139.0,05/16/2012,,
21403,MD,2.96,14800.0,03/15/2012,,
20902,MD,3.0,11844.0,09/17/2012,,
21797,MD,3.0,24321.0,10/15/2012,,
21222,MD,3.0,25000.0,10/02/2012,,
21061,MD,3.0,25921.0,09/27/2012,,
21754,MD,3.0,12999.0,08/02/2012,,
21053,MD,3.0,14999.0,06/04/2012,,
21757,MD,3.0,13950.0,04/01/2012,,
20733,MD,3.0,24250.0,08/06/2012,,
21075,MD,3.0,25721.0,07/03/2012,,
21111,MD,3.0,25821.0,05/18/2012,,
21146,MD,3.0,24500.0,07/10/2012,,
21154,MD,3.0,12999.0,05/13/2012,,
21234,MD,3.0,13800.0,05/01/2012,,
21014,MD,3.0,23250.0,06/27/2012,,
21146,MD,3.0,24021.0,05/16/2012,,
21619,MD,3.0,19921.0,02/29/2012,,
21769,MD,3.01,24019.8,12/14/2012,,
20841,MD,3.01,15682.1,04/09/2012,,
21036,MD,3.04,20824.0,07/18/2012,,
20895,MD,3.04,18118.0,06/13/2012,,
21244,MD,3.15,14490.0,05/15/2012,,
21701,MD,3.29,16040.0,05/28/2012,,
21078,MD,3.29,15930.0,07/13/2012,,
21228,MD,3.29,17400.0,07/27/2012,,
20854,MD,3.29,15983.0,07/02/2012,,
21085,MD,3.29,23521.0,04/09/2012,,
21157,MD,3.29,14956.0,04/03/2012,,
21044,MD,3.29,25431.0,05/15/2012,,
20735,MD,3.3,17193.0,06/11/2012,,
20744,MD,3.33,25741.0,03/05/2012,,
20901,MD,3.33,41471.45,03/19/2012,,
20735,MD,3.33,15984.0,01/15/2012,,
20817,MD,3.36,16716.0,08/20/2012,,
21045,MD,3.36,16716.0,07/18/2012,,
20783,MD,3.36,17505.6,04/16/2012,,
20895,MD,3.36,17505.6,04/09/2012,,
20678,MD,3.36,23926.0,04/23/2012,,
20912,MD,3.42,28601.0,03/23/2012,,
20817,MD,3.42,26437.0,01/03/2012,,
21701,MD,3.43,26514.0,05/28/2012,,
21658,MD,3.45,23225.0,09/24/2012,,
20743,MD,3.5,27400.0,09/11/2012,,
20723,MD,3.5,16275.0,04/25/2012,,
21043,MD,3.525,18700.0,08/17/2012,,
21236,MD,3.525,21009.0,07/16/2012,,
21222,MD,3.525,26719.5,02/01/2012,,
21044,MD,3.525,24146.0,06/27/2012,,
20902,MD,3.525,27248.0,04/19/2012,,
21742,MD,3.6,21600.0,02/23/2012,,
20901,MD,3.6,27720.0,04/23/2012,,
21230,MD,3.64,18382.0,04/15/2012,,
20854,MD,3.675,28408.0,06/25/2012,,
20659,MD,3.68,19320.0,02/24/2012,,
20711,MD,3.68,16920.0,03/23/2012,,
20707,MD,3.7,28601.0,05/03/2012,,
21144,MD,3.76,19000.0,07/23/2012,,
21087,MD,3.76,19000.0,07/26/2012,,
21014,MD,3.76,28500.8,04/30/2012,,
21093,MD,3.76,22000.0,03/15/2012,,
20783,MD,3.76,29065.0,03/12/2012,,
20910,MD,3.8,35180.0,08/04/2012,,
21144,MD,3.8,17430.0,03/01/2012,,
21001,MD,3.84,20650.0,07/30/2012,,
20817,MD,3.84,20006.0,04/09/2012,,
21773,MD,3.87,29335.0,04/23/2012,,
21108,MD,3.87,29335.0,02/27/2012,,
20910,MD,3.87,29334.0,02/08/2012,,
20910,MD,3.87,29334.0,01/27/2012,,
21234,MD,3.87,29335.0,01/18/2012,,
21128,MD,3.885,30032.0,04/30/2012,,
