Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=MD
21078,MD,6.44,30771.0,02/14/2012,,
21028,MD,6.44,31776.0,01/17/2012,,
21102,MD,6.45,48891.0,05/22/2012,,
20817,MD,6.45,33604.5,04/25/2012,,
21042,MD,6.45,48891.0,04/23/2012,,
20723,MD,6.45,48891.0,03/06/2012,,
20855,MD,6.45,48891.0,02/23/2012,,
20770,MD,6.45,48891.0,02/03/2012,,
20878,MD,6.45,51471.0,01/18/2012,,
20850,MD,6.48,32238.0,09/04/2012,,
20904,MD,6.48,33760.8,07/30/2012,,
20886,MD,6.48,33760.8,06/15/2012,,
20886,MD,6.48,33760.8,05/18/2012,,
20854,MD,6.48,33760.8,04/23/2012,,
20783,MD,6.48,33760.8,03/26/2012,,
21710,MD,6.48,52981.0,02/25/2012,,
21029,MD,6.5,26000.0,10/01/2012,,
21209,MD,6.5,24570.0,07/12/2012,,
20879,MD,6.5,36590.0,06/11/2012,,
21244,MD,6.54,36624.0,09/01/2012,,
21102,MD,6.58,34281.8,03/26/2012,,
20602,MD,6.58,49876.0,02/27/2012,,
21054,MD,6.58,50863.0,02/22/2012,,
21921,MD,6.66,51482.0,03/06/2012,,
21601,MD,6.66,33400.0,06/15/2012,,
20646,MD,6.665,55210.0,03/16/2012,,
20601,MD,6.665,53186.7,01/23/2012,,
21770,MD,6.72,27720.0,08/25/2012,,
20707,MD,6.72,31784.0,04/01/2012,,
21144,MD,6.72,33432.0,06/20/2012,,
20886,MD,6.72,35011.2,06/19/2012,,
20603,MD,6.72,35011.2,06/11/2012,,
21042,MD,6.72,35011.2,04/23/2012,,
21228,MD,6.72,35011.2,04/20/2012,,
21136,MD,6.72,35011.2,04/09/2012,,
20622,MD,6.72,32130.0,07/24/2012,,
21756,MD,6.75,27028.0,06/13/2012,,
21053,MD,6.75,40162.0,01/01/2012,,
21666,MD,6.76,28300.0,01/11/2012,,
21713,MD,6.815,26775.0,01/12/2012,,
21030,MD,6.815,45610.0,01/20/2012,,
21153,MD,6.84,34100.0,11/03/2012,,
20855,MD,6.84,34925.0,04/01/2012,,
20904,MD,6.84,46854.0,05/07/2012,,
21666,MD,6.84,52873.0,05/30/2012,,
21136,MD,6.84,30780.0,03/01/2012,,
21162,MD,6.84,31464.0,11/17/2012,,
21132,MD,6.84,48699.0,01/10/2012,,
21043,MD,6.84,52873.0,07/11/2012,,
21043,MD,6.84,52873.0,02/08/2012,,
20774,MD,6.84,38186.0,06/11/2012,,
21773,MD,6.88,35844.8,04/16/2012,,
20904,MD,6.88,54902.4,01/09/2012,,
21036,MD,6.96,29076.0,04/20/2012,,
21078,MD,6.96,29749.0,03/12/2012,,
21409,MD,7.0,28750.0,06/20/2012,,
21288,MD,7.0,34554.0,03/29/2012,,
20716,MD,7.0,19500.0,04/30/2012,,
21811,MD,7.02,29860.0,07/12/2012,,
20910,MD,7.03,41899.0,07/30/2012,,
21756,MD,7.03,38665.0,01/01/2012,,
20877,MD,7.05,53439.0,03/05/2012,,
20904,MD,7.05,36730.5,02/23/2012,,
21015,MD,7.05,43400.0,01/04/2012,,
21001,MD,7.05,53439.0,01/23/2012,,
20832,MD,7.05,53439.0,01/06/2012,,
20904,MD,7.095,53780.0,03/08/2012,,
21043,MD,7.105,48669.0,04/02/2012,,
20866,MD,7.2,39250.0,08/05/2012,,
20724,MD,7.2,34520.0,05/01/2012,,
20705,MD,7.2,35820.0,06/18/2012,,
21043,MD,7.2,35820.0,06/14/2012,,
21236,MD,7.2,37512.0,03/30/2012,,
20818,MD,7.2,37512.0,02/16/2012,,
21794,MD,7.215,36436.0,01/23/2012,,
20910,MD,7.26,37824.6,05/03/2012,,
21075,MD,7.285,55220.3,01/12/2012,,
20850,MD,7.31,55410.0,03/25/2012,,
20880,MD,7.35,36240.0,07/09/2012,,
20862,MD,7.36,39744.0,10/01/2012,,
21075,MD,7.36,55788.0,02/01/2012,,
21054,MD,7.4,50690.0,04/05/2012,,
21921,MD,7.4,57202.0,03/06/2012,,
21061,MD,7.44,38762.4,04/26/2012,,
20707,MD,7.5,39323.0,10/12/2012,,
21048,MD,7.5,24219.0,04/15/2012,,
21048,MD,7.5,24144.0,04/16/2012,,
21666,MD,7.5,28875.0,06/15/2012,,
20854,MD,7.5,27640.0,08/15/2012,,
20706,MD,7.5,31875.0,06/01/2012,,
21286,MD,7.52,57001.0,03/19/2012,,
20879,MD,7.59,34155.0,10/01/2012,,
20708,MD,7.6,52060.0,06/04/2012,,
21042,MD,7.6,32000.0,03/01/2012,,
20854,MD,7.6,58748.0,06/27/2012,,
21046,MD,7.6,59830.0,04/10/2012,,
21050,MD,7.6,58748.0,02/13/2012,,
21108,MD,7.6,35288.0,04/02/2012,,
21032,MD,7.65,27500.0,10/22/2012,,
20895,MD,7.68,40012.8,05/03/2012,,
21014,MD,7.7,59290.0,02/03/2012,,
21108,MD,7.74,58669.0,03/05/2012,,
21085,MD,7.75,39334.0,06/26/2012,,
20866,MD,7.75,27438.0,06/11/2012,,
21029,MD,7.75,31938.0,04/23/2012,,
20871,MD,7.755,58782.9,03/08/2012,,
21043,MD,7.755,58782.0,02/08/2012,,
21042,MD,7.755,58783.0,01/23/2012,,
21013,MD,7.8,39950.0,04/30/2012,,
21638,MD,7.8,34400.0,03/15/2012,,
20674,MD,7.8,38805.0,08/07/2012,,
21030,MD,7.84,30968.0,09/01/2012,,
20724,MD,7.9,34520.0,05/08/2012,,
21074,MD,7.92,32800.0,06/04/2012,,
21015,MD,7.92,41263.2,07/10/2012,,
20613,MD,7.92,39402.0,06/29/2012,,
20794,MD,7.92,39402.0,05/29/2012,,
20602,MD,7.92,41263.2,04/26/2012,,
20905,MD,7.92,47051.0,05/01/2012,,
20842,MD,7.955,41445.55,04/26/2012,,
20882,MD,7.98,39900.0,02/10/2012,,
20711,MD,7.99,41000.0,03/30/2012,,
21044,MD,8.0,35735.0,04/16/2012,,
21919,MD,8.0,30950.0,01/27/2012,,
21085,MD,8.06,32804.0,03/01/2012,,
20769,MD,8.085,37191.0,02/02/2012,,
21208,MD,8.085,33191.0,01/10/2012,,
20854,MD,8.14,62922.2,04/16/2012,,
21704,MD,8.16,41520.0,06/11/2012,,
20905,MD,8.16,34680.0,09/01/2012,,
20818,MD,8.16,32640.0,07/01/2012,,
20902,MD,8.16,40596.0,07/17/2012,,
21155,MD,8.16,43258.64,01/30/2012,,
20721,MD,8.17,42565.7,04/03/2012,,
21221,MD,8.225,62346.0,02/07/2012,,
20720,MD,8.23,33801.0,01/18/2012,,
21163,MD,8.25,33415.5,06/01/2012,,
20639,MD,8.25,35062.5,06/01/2012,,
21120,MD,8.25,44625.0,04/24/2012,,
21054,MD,8.28,43852.0,01/01/2012,,
21811,MD,8.28,48000.0,01/01/2012,,
21502,MD,8.28,26820.0,09/17/2012,,
21108,MD,8.32,41392.0,07/27/2012,,
20882,MD,8.36,64623.0,06/27/2012,,
21043,MD,8.36,57266.0,05/16/2012,,
21286,MD,8.4,48123.5,05/01/2012,,
21797,MD,8.4,38640.0,07/01/2012,,
20882,MD,8.4,63672.0,03/12/2012,,
21784,MD,8.4,35700.0,04/16/2012,,
21093,MD,8.46,41265.4,06/29/2012,,
20603,MD,8.46,34571.0,06/28/2012,,
21012,MD,8.46,39785.0,03/12/2012,,
20841,MD,8.46,44076.6,07/23/2012,,
20853,MD,8.46,44076.6,02/23/2012,,
20871,MD,8.46,64126.8,02/16/2012,,
20721,MD,8.46,64126.0,01/06/2012,,
21146,MD,8.5,31229.0,05/22/2012,,
21409,MD,8.5,32287.0,04/02/2012,,
21219,MD,8.51,47230.0,11/28/2012,,
20759,MD,8.55,66092.0,05/08/2012,,
21651,MD,8.6,39000.0,11/29/2012,,
21236,MD,8.61,65263.8,06/06/2012,,
20715,MD,8.64,34806.0,05/31/2012,,
21157,MD,8.64,39950.0,06/20/2012,,
21776,MD,8.64,37620.0,03/26/2012,,
20850,MD,8.64,45014.4,08/01/2012,,
21015,MD,8.64,45014.4,07/10/2012,,
21043,MD,8.64,42984.0,06/18/2012,,
21219,MD,8.64,45014.4,06/04/2012,,
20720,MD,8.64,45014.4,05/20/2012,,
20876,MD,8.64,65491.2,05/03/2012,,
20715,MD,8.64,45014.4,03/27/2012,,
20715,MD,8.64,45014.4,03/27/2012,,
21074,MD,8.64,45014.4,03/22/2012,,
20882,MD,8.64,45014.4,03/19/2012,,
20705,MD,8.67,36414.0,07/01/2012,,
21220,MD,8.75,35813.0,09/04/2012,,
21222,MD,8.75,32500.0,06/01/2012,,
21043,MD,8.75,35313.0,05/29/2012,,
21074,MD,8.82,47658.0,08/01/2012,,
21108,MD,8.82,34021.0,04/01/2012,,
21043,MD,8.82,60417.0,06/18/2012,,
20707,MD,8.84,43152.0,04/24/2012,,
21623,MD,8.88,37740.0,04/18/2012,,
20876,MD,8.93,67689.4,02/14/2012,,
20854,MD,8.93,67689.0,01/25/2012,,
21044,MD,9.0,37870.0,08/01/2012,,
21102,MD,9.0,36353.0,05/17/2012,,
21122,MD,9.0,36900.0,06/18/2012,,
20853,MD,9.0,35100.0,05/15/2012,,
20837,MD,9.0,55755.0,02/01/2012,,
20678,MD,9.03,68447.0,03/08/2012,,
21076,MD,9.03,68447.4,01/23/2012,,
21921,MD,9.1,39593.0,07/31/2012,,
20705,MD,9.12,41405.75,06/01/2012,,
21053,MD,9.12,32193.0,04/10/2012,,
21157,MD,9.12,37704.0,04/09/2012,,
21409,MD,9.12,37104.0,04/16/2012,,
21774,MD,9.12,37804.0,03/05/2012,,
21087,MD,9.12,47515.2,04/18/2012,,
20878,MD,9.165,69470.7,05/24/2012,,
20874,MD,9.165,69470.0,03/26/2012,,
20707,MD,9.2,49895.0,03/15/2012,,
21701,MD,9.25,38062.5,08/20/2012,,
21078,MD,9.25,36925.0,05/25/2012,,
21015,MD,9.31,45000.0,09/27/2012,,
20619,MD,9.31,40464.0,02/09/2012,,
20878,MD,9.31,39764.0,03/07/2012,,
21401,MD,9.36,46566.0,07/30/2012,,
21120,MD,9.36,39312.0,04/05/2012,,
20601,MD,9.36,48765.6,06/11/2012,,
20634,MD,9.36,46566.0,06/07/2012,,
20817,MD,9.36,48765.6,05/24/2012,,
21042,MD,9.36,48765.6,04/25/2012,,
21042,MD,9.4,43500.0,09/11/2012,,
20772,MD,9.4,71252.0,04/16/2012,,
20905,MD,9.4,72380.0,02/01/2012,,
21161,MD,9.4,43033.2,01/19/2012,,
21757,MD,9.4,58890.0,01/20/2012,,
20878,MD,9.43,57896.0,02/01/2012,,
21029,MD,9.5,73435.0,02/13/2012,,
21043,MD,9.5,65075.0,05/16/2012,,
21144,MD,9.5,36630.0,02/04/2012,,
20705,MD,9.6,45500.0,06/04/2012,,
20707,MD,9.6,39324.8,05/17/2012,,
20723,MD,9.6,47760.0,05/15/2012,,
20623,MD,9.6,50016.0,05/04/2012,,
21060,MD,9.6,52320.0,01/01/2012,,
20772,MD,9.6,60960.0,01/01/2012,,
21403,MD,9.62,74074.0,01/04/2012,,
20748,MD,9.635,47934.13,03/08/2012,,
20882,MD,9.635,73033.0,01/30/2012,,
20853,MD,9.66,47000.0,09/01/2012,,
20910,MD,9.66,39606.0,05/07/2012,,
20765,MD,9.69,66377.0,06/18/2012,,
21244,MD,9.74,41790.0,02/10/2012,,
20876,MD,9.8,67130.0,05/08/2012,,
21911,MD,9.8,75460.0,03/05/2012,,
21702,MD,9.87,67610.0,05/02/2012,,
20906,MD,9.87,51422.7,04/13/2012,,
20832,MD,9.87,51422.7,03/20/2012,,
20895,MD,9.87,74814.0,02/23/2012,,
21722,MD,9.87,78762.6,02/07/2012,,
20871,MD,9.87,39995.0,01/23/2012,,
20776,MD,9.88,37500.0,06/18/2012,,
21144,MD,9.88,67678.0,07/02/2012,,
21087,MD,9.99,49450.0,02/01/2012,,
21043,MD,10.0,45500.0,05/30/2012,,
21104,MD,10.0,42950.0,04/25/2012,,
20817,MD,10.0,40772.0,02/03/2012,,
21050,MD,10.0,43400.0,04/01/2012,,
21015,MD,10.045,68808.0,06/12/2012,,
21043,MD,10.08,41836.0,05/02/2012,,
21117,MD,10.08,52516.8,07/13/2012,,
20854,MD,10.08,50148.0,06/27/2012,,
21128,MD,10.08,50148.0,06/18/2012,,
20772,MD,10.08,52516.8,05/09/2012,,
20895,MD,10.08,52516.8,05/02/2012,,
20744,MD,10.08,52516.8,04/23/2012,,
21075,MD,10.08,59280.0,12/01/2012,,
20861,MD,10.105,76596.0,03/19/2012,,
20876,MD,10.12,80758.0,01/03/2012,,
21219,MD,10.2,42840.0,10/01/2012,,
20882,MD,10.25,41062.5,07/10/2012,,
20759,MD,10.25,40025.0,06/18/2012,,
20814,MD,10.26,79309.0,03/20/2012,,
20772,MD,10.26,79310.0,01/09/2012,,
21784,MD,10.32,42144.0,05/09/2012,,
21042,MD,10.32,78225.0,02/01/2012,,
21044,MD,10.333,46934.0,01/03/2012,,
20878,MD,10.34,46445.0,05/15/2012,,
21921,MD,10.34,43428.0,04/19/2012,,
21702,MD,10.34,53871.4,05/09/2012,,
20871,MD,10.34,78377.2,05/03/2012,,
21638,MD,10.34,56322.58,03/30/2012,,
20850,MD,10.34,78377.0,03/16/2012,,
20723,MD,10.34,53871.4,02/23/2012,,
21043,MD,10.34,78377.0,02/23/2012,,
20814,MD,10.34,78377.0,02/23/2012,,
21093,MD,10.4,45880.0,02/13/2012,,
21219,MD,10.5,40950.0,05/01/2012,,
21659,MD,10.5,55775.0,03/28/2012,,
21111,MD,10.56,55017.6,05/03/2012,,
20878,MD,10.56,55017.6,04/26/2012,,
20777,MD,10.56,55017.6,04/23/2012,,
20874,MD,10.75,42875.0,06/21/2012,,
21013,MD,10.8,44899.0,04/02/2012,,
20708,MD,10.8,62100.0,01/15/2012,,
20716,MD,10.81,56320.1,06/25/2012,,
20744,MD,10.83,45285.0,04/11/2012,,
21784,MD,10.83,51443.0,02/21/2012,,
20883,MD,10.92,47386.0,07/01/2012,,
20853,MD,11.0,83380.0,07/10/2012,,
21286,MD,11.025,49164.0,01/05/2012,,
20650,MD,11.045,57544.45,04/16/2012,,
21403,MD,11.18,84744.4,02/08/2012,,
21901,MD,11.2,86240.0,02/27/2012,,
21801,MD,11.25,61650.0,01/11/2012,,
20720,MD,11.27,47279.0,03/01/2012,,
20833,MD,11.28,52454.0,07/13/2012,,
21042,MD,11.28,46876.0,02/06/2012,,
21122,MD,11.28,85502.4,04/16/2012,,
21930,MD,11.28,54600.0,04/26/2012,,
21930,MD,11.28,54600.0,03/22/2012,,
21131,MD,11.4,54630.0,01/09/2012,,
21797,MD,11.5,40650.0,05/23/2012,,
21102,MD,11.52,75000.0,11/30/2012,,
21658,MD,11.7,49427.0,05/21/2012,,
20774,MD,11.75,48688.5,08/20/2012,,
20777,MD,11.75,48150.0,04/09/2012,,
20723,MD,11.76,80556.0,06/05/2012,,
21158,MD,11.78,111312.0,05/01/2012,,
20772,MD,11.88,59103.0,06/04/2012,,
21613,MD,12.0,57900.0,09/01/2012,,
21704,MD,12.0,69144.0,01/18/2012,,
21842,MD,12.005,49000.0,07/21/2012,,
20723,MD,12.05,50750.0,06/12/2012,,
21152,MD,12.48,65020.8,05/29/2012,,
20895,MD,12.48,69960.0,06/01/2012,,
21157,MD,12.495,47875.0,07/02/2012,,
20720,MD,12.495,52450.0,08/07/2012,,
21797,MD,12.5,49375.0,06/01/2012,,
21042,MD,12.72,96417.6,01/23/2012,,
21144,MD,12.74,56967.0,01/05/2012,,
21060,MD,12.75,51725.0,04/30/2012,,
21015,MD,12.92,52200.0,04/25/2012,,
21645,MD,12.936,53995.0,02/06/2012,,
21804,MD,13.0,52300.0,06/25/2012,,
20777,MD,13.2,52870.0,07/18/2012,,
21158,MD,13.25,51837.0,06/01/2012,,
21723,MD,13.3,102809.0,01/10/2012,,
20871,MD,13.33,101041.4,03/26/2012,,
21921,MD,13.63,54520.0,04/03/2012,,
20662,MD,13.68,71272.8,06/25/2012,,
20895,MD,13.8,110124.0,01/30/2012,,
21208,MD,13.92,61640.0,03/08/2012,,
21710,MD,14.0,80000.0,09/24/2012,,
20841,MD,14.25,57425.0,07/09/2012,,
21047,MD,14.4,57850.0,07/23/2012,,
20692,MD,14.4,59980.0,01/31/2012,,
20721,MD,14.4,71640.0,06/18/2012,,
21771,MD,14.72,60330.0,05/07/2012,,
21158,MD,14.8,77780.0,04/25/2012,,
21639,MD,14.88,62095.0,05/21/2012,,
21654,MD,15.0,56736.0,06/06/2012,,
21061,MD,15.0,64450.0,06/01/2012,,
20854,MD,15.04,114003.2,02/27/2012,,
20636,MD,15.19,67355.0,02/21/2012,,
20639,MD,15.51,87631.5,03/12/2012,,
20855,MD,15.51,117565.0,02/14/2012,,
21157,MD,15.6,61930.0,06/26/2012,,
20779,MD,15.8,75480.0,05/29/2012,,
21152,MD,16.2,88257.57,04/01/2012,,
21643,MD,16.32,67246.0,04/04/2012,,
20659,MD,16.45,58704.5,04/09/2012,,
21108,MD,16.75,66838.0,06/25/2012,,
21042,MD,17.01,129935.8,04/16/2012,,
20854,MD,17.28,130982.4,05/24/2012,,
21037,MD,17.67,158870.0,08/24/2012,,
20716,MD,17.67,143525.0,05/21/2012,,
21219,MD,17.85,66045.0,10/01/2012,,
21795,MD,17.94,72657.0,05/21/2012,,
21161,MD,18.13,83024.0,01/09/2012,,
21776,MD,18.2,69000.0,07/05/2012,,
21771,MD,18.75,85750.0,09/10/2012,,
21224,MD,19.2,99750.0,08/31/2012,,
21084,MD,19.2,76700.0,03/26/2012,,
21755,MD,19.52,91546.15,07/25/2012,,
21104,MD,19.61,151585.0,01/17/2012,,
21120,MD,20.7,95220.0,03/15/2012,,
21722,MD,21.6,99792.0,01/31/2012,,
21208,MD,22.56,87985.0,01/31/2012,,
21797,MD,23.75,94300.0,12/29/2012,,
21401,MD,26.4,114915.0,04/12/2012,,
21769,MD,26.88,114464.0,12/01/2012,,
21811,MD,27.26,96384.0,03/12/2012,,
21045,MD,30.1,114000.0,09/01/2012,,
21035,MD,30.8,130098.0,01/04/2012,,
21797,MD,35.84,168880.0,02/06/2012,,
21234,MD,45.36,230500.0,10/11/2012,,
21035,MD,48.48,198768.0,05/10/2012,,
21791,MD,49.92,217282.5,05/26/2012,,
21043,MD,50.94,233290.0,07/17/2012,,
20910,MD,51.2,271710.0,12/27/2012,,
21842,MD,51.545,309270.0,01/09/2012,,
21658,MD,62.5,343750.0,05/01/2012,,
21226,MD,63.36,253440.0,04/01/2012,,
21740,MD,87.45,285000.0,06/18/2012,,
21660,MD,90.0,328644.0,09/24/2012,,
21093,MD,90.72,494423.0,09/18/2012,,
20910,MD,94.0,658000.0,02/21/2012,,
21742,MD,101.92,310000.0,04/25/2012,,
20772,MD,106.08,406371.0,02/01/2012,,
21077,MD,124.135,391025.0,06/25/2012,,
21620,MD,157.92,683571.0,03/16/2012,,
21078,MD,5.28,,12/01/2012,,
21224,MD,65.8,,10/17/2011,,
21620,MD,809.4,,12/18/2012,,
21903,MD,2674.9,,04/18/2013,,
20716,MD,6.9,25299.0,12/03/2012,,
20716,MD,8.82,47400.0,10/07/2011,,
20715,MD,3.6,19890.0,04/04/2011,,
21034,MD,9.87,,08/07/2012,,
21871,MD,3660.0,,04/22/2013,,
21830,MD,6.75,27800.0,01/24/2013,,
21045,MD,7.5,42078.74122,03/05/2014,,
20723,MD,3.57,13423.71909,08/18/2014,,
20715,MD,3,23967.71902,07/23/2014,,
21157,MD,7.5,31120.71,01/24/2014,,
20650,MD,6.25,22047.00259,07/08/2014,,
21617,MD,10.5,43467.78844,01/08/2014,,
21162,MD,9.25,34289.16472,03/09/2014,,
21136,MD,15,53481.65925,02/07/2014,,
21076,MD,3,23414.35915,02/05/2014,,
21208,MD,6.63,23048.54298,06/26/2014,,
21755,MD,16.2,60115.5425,07/02/2014,,
20850,MD,7,51614.8361,01/16/2014,,
21771,MD,22,59985.36781,02/12/2014,,
21014,MD,7.88,17803.14339,07/25/2014,,
21136,MD,9.8,34868.95284,02/25/2014,,
21043,MD,3.57,14212.99834,08/12/2014,,
21221,MD,7.83,24775.12133,01/06/2014,,
21120,MD,8.83,34141.65356,07/25/2014,,
21776,MD,13.52,42726.74921,07/31/2014,,
20855,MD,6.149,54756.76812,05/23/2014,,
21076,MD,4,31671.69608,08/15/2014,,
21701,MD,2,17153.0983,03/06/2014,,
21113,MD,5.355,17752.88765,09/12/2014,,
20715,MD,11.5,42839.36444,05/01/2014,,
21122,MD,10,32845.16422,08/21/2014,,
21050,MD,11.7,49662.88081,06/12/2014,,
20732,MD,5.61,17637.20462,07/17/2014,,
20685,MD,4.2,15065.6505,07/31/2014,,
21048,MD,2,16012.30603,06/27/2014,,
21048,MD,7.5,20289.01446,09/29/2014,,
20861,MD,5.4,23438.89323,06/10/2014,,
21784,MD,2,16132.75017,09/29/2014,,
21085,MD,3,23958.36696,06/06/2014,,
21029,MD,6.03,41418.84259,06/17/2014,,
20815,MD,3.44,14398.2059,05/12/2014,,
20601,MD,6.21,19872.90661,07/13/2014,,
20602,MD,6.12,26806.07734,10/15/2014,,
21117,MD,6.5,24902.55738,05/05/2014,,
21784,MD,5,17225.55173,04/30/2014,,
21044,MD,16.575,48521.26532,08/18/2014,,
21044,MD,4.5,15500.86716,07/29/2014,,
21111,MD,15.696,55359.03133,08/25/2014,,
21102,MD,2,18794.32517,04/25/2014,,
21782,MD,6,21339.93305,03/27/2014,,
21811,MD,15,61412.54645,01/17/2014,,
21046,MD,10.45,34859.66763,08/20/2014,,
20832,MD,9.54,37629.59223,04/04/2014,,
21221,MD,6.63,24068.34068,09/15/2014,,
20754,MD,17.5,56548.60719,01/31/2014,,
20705,MD,9.8,38458.11317,01/24/2014,,
20662,MD,17,59668.715,08/14/2014,,
20882,MD,13.08,48548.3076,01/16/2014,,
21113,MD,2,17795.74246,04/01/2014,,
21075,MD,5.22,21976.78756,01/07/2014,,
21043,MD,9,45374.7109,02/10/2014,,
21044,MD,3,24411.79336,01/08/2014,,
21043,MD,7.65,23585.97931,09/19/2014,,
21042,MD,18.87,55467.5199,08/13/2014,,
21227,MD,6.75,24470.88789,06/12/2014,,
21014,MD,7.56,24676.49222,06/18/2014,,
21122,MD,2,28308.55033,08/27/2014,,
20871,MD,10,32770.62454,02/04/2014,,
20650,MD,15.3,44714.03987,07/21/2014,,
21117,MD,10,30803.00525,07/21/2014,,
20723,MD,10.72,40799.3947,05/28/2014,,
21784,MD,18,62747.4478,01/24/2014,,
21131,MD,8.84,26370.34048,05/22/2014,,
21738,MD,17.395,64172.0641,10/16/2014,,
21207,MD,3.06,12182.57,08/18/2014,,
21737,MD,16.32,48760.13925,08/20/2014,,
21221,MD,4.59,15320.99873,06/18/2014,,
20639,MD,16,36351.90244,05/06/2014,,
21050,MD,13.05,51662.40271,01/17/2014,,
21158,MD,4,34472.0737,04/23/2014,,
20740,MD,2.97,9920.292596,10/10/2014,,
20723,MD,2,15050.05237,08/13/2014,,
21738,MD,3,24238.41036,09/17/2014,,
20816,MD,12.15,42726.74921,07/28/2014,,
21050,MD,15,46675.1619,06/16/2014,,
20852,MD,2,15223.64011,07/21/2014,,
21286,MD,15.08,54449.65308,02/12/2014,,
21201,MD,42,139343.1209,08/08/2014,,
21804,MD,8.1,29458.18992,04/22/2014,,
21901,MD,9.18,30101.49164,07/14/2014,,
20852,MD,13.47,50038.27918,09/15/2014,,
21075,MD,3,25296.61982,05/07/2014,,
21120,MD,2,16297.86839,04/15/2014,,
21787,MD,3,24699.55551,05/21/2014,,
21236,MD,3.27,16697.9055,01/03/2014,,
21769,MD,15.7,56426.96517,06/30/2014,,
21014,MD,2.7,13662.62329,07/03/2014,,
21146,MD,3,11464.28773,09/13/2014,,
21220,MD,6.21,22093.70392,07/07/2014,,
21133,MD,6.12,20818.12013,09/18/2014,,
20759,MD,5.2,24036.32073,01/15/2014,,
21146,MD,12,45491.89966,01/23/2014,,
21013,MD,8.25,28107.11259,02/06/2014,,
20616,MD,7.14,29859.2402,08/05/2014,,
21120,MD,9.5,56615.68412,06/20/2014,,
21131,MD,6.75,20000.0,02/03/2013,,
21155,MD,13.5,54900.0,12/31/2012,,
21911,MD,7.0,25925.0,10/17/2012,,
21850,MD,2.0,8900.0,12/13/2012,,
21863,MD,25.0,108000.0,12/21/2012,,
21640,MD,24.0,132000.0,11/28/2012,,
21853,MD,15.0,60900.0,11/16/2012,,
21853,MD,115.0,425500.0,11/01/2012,,
21040,MD,2400.0,,12/18/2012,,
20646,MD,7.68,34900.0,10/22/2012,,
21042,MD,44.16,,10/02/2012,,
21851,MD,155.52,,09/06/2012,,
21131,MD,9.0,32000.0,11/29/2012,,
20879,MD,4.05,39488,09/15/2008,,
21660,MD,919.0,,10/25/2012,,
21916,MD,135.0,,08/31/2012,,
21875,MD,9.165,,08/04/2011,,
21132,MD,2.5,11875.0,08/24/2012,,
21093,MD,5.75,27200.0,08/06/2012,,
21875,MD,18.0,83900.0,09/27/2012,,
21850,MD,24.0,121900.0,09/25/2012,,
21837,MD,150.0,671900.0,08/15/2012,,
21236,MD,618.2,,12/08/2011,,
20842,MD,20.0,,03/26/2012,,
21704,MD,3.96,,10/12/2009,,
21727,MD,28.0,119000.0,03/28/2012,,
21224,MD,736.9,,06/14/2011,,
21230,MD,66.512,,05/19/2011,,
20722,MD,20.16,121300.0,12/01/2010,,
20743,MD,19.6,121300.0,12/30/2010,,
20706,MD,20.16,121300.0,10/28/2010,,
20712,MD,15.4,95300.0,08/26/2010,,
20722,MD,19.6,121300.0,12/01/2010,,
20710,MD,20.2,121300.0,10/08/2010,,
20776,MD,10.0,85000.0,12/10/2010,,
21108,MD,750.0,,03/04/2011,,
21043,MD,462.0,,12/30/2011,,
21750,MD,104.34,,02/03/2012,,
21601,MD,890.0,,06/28/2011,,
21220,MD,82.0,,10/17/2011,,
20850,MD,701.0,,11/18/2010,,
21240,MD,505.0,,04/19/2012,,
20746,MD,333.0,2500000.0,08/01/2012,,
20874,MD,370.0,2500000.0,08/01/2012,,
21788,MD,40.0,136000.0,09/07/2012,,
21722,MD,3.29,19740.0,04/14/2011,,
21215,MD,670.0,3000000.0,10/06/2011,,
21244,MD,259.0,,07/11/2012,,
21738,MD,4.56,22400.0,05/30/2012,,
21838,MD,3.84,22500.0,02/23/2012,,
21657,MD,24.0,119900.0,06/22/2012,,
21643,MD,17.28,91600.0,04/24/2012,,
21853,MD,8.16,40000.0,03/06/2012,,
21601,MD,34.56,164900.0,03/09/2012,,
21154,MD,23.04,102800.0,05/01/2012,,
21801,MD,8.0,40100.0,05/07/2012,,
21853,MD,41.28,190700.0,05/08/2012,,
21625,MD,20.16,101200.0,06/20/2012,,
21620,MD,3.36,14845.0,06/21/2012,,
21704,MD,10.14,36740.0,03/23/2012,,
21903,MD,11.04,,11/11/2011,,
21801,MD,4.7,,12/29/2011,,
21798,MD,3.91,,12/27/2011,,
21797,MD,5.64,,12/20/2011,,
21784,MD,9.03,,09/19/2011,,
21784,MD,4.23,,11/02/2011,,
21769,MD,7.755,,12/09/2011,,
21703,MD,4.7,,12/14/2011,,
21409,MD,6.02,,09/16/2011,,
21403,MD,2.99,,09/29/2011,,
21152,MD,7.13,,11/18/2011,,
21144,MD,9.89,,10/17/2011,,
21144,MD,5.805,,08/15/2011,,
21111,MD,4.945,,11/03/2011,,
21074,MD,14.1,,12/08/2011,,
21074,MD,4.73,,08/25/2011,,
21060,MD,9.66,,10/26/2011,,
21047,MD,11.5,,09/29/2011,,
21044,MD,8.93,,12/07/2011,,
21044,MD,7.74,,10/24/2011,,
21044,MD,3.22,,08/17/2011,,
21043,MD,8.46,,12/30/2011,,
21043,MD,7.59,,12/29/2011,,
21032,MD,14.405,,09/13/2011,,
