Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97023,OR,3.22,17050.0,07/01/2012,,
97023,OR,3.29,14970.0,07/01/2012,,
97022,OR,3.29,15957.0,07/01/2012,,
97022,OR,5.04,27010.0,07/01/2012,,
97019,OR,3.06,16200.0,07/01/2012,,
97019,OR,3.06,17000.0,07/01/2012,,
97019,OR,3.25,14788.0,07/01/2012,,
97017,OR,3.29,25986.0,07/01/2012,,
97017,OR,3.29,15957.0,07/01/2012,,
97015,OR,2.94,13045.0,07/01/2012,,
97015,OR,3.29,14970.0,07/01/2012,,
97015,OR,3.29,17108.0,07/01/2012,,
97015,OR,3.315,18285.0,07/01/2012,,
97013,OR,3.22,18478.0,07/01/2012,,
97013,OR,3.22,16600.0,07/01/2012,,
97013,OR,3.22,18861.0,07/01/2012,,
97013,OR,3.22,16100.0,07/01/2012,,
97013,OR,3.22,17100.0,07/01/2012,,
97013,OR,3.25,14787.0,07/01/2012,,
97013,OR,3.29,14970.0,07/01/2012,,
97013,OR,3.29,17108.0,07/01/2012,,
97013,OR,3.36,14570.0,07/01/2012,,
97009,OR,3.08,15323.0,07/01/2012,,
97009,OR,3.29,15791.0,07/01/2012,,
97009,OR,3.29,17108.0,07/01/2012,,
97009,OR,3.68,31050.0,07/01/2012,,
97009,OR,4.32,21671.0,07/01/2012,,
97009,OR,5.52,39744.0,07/01/2012,,
97009,OR,6.11,29328.0,07/01/2012,,
97008,OR,2.04,16995.0,07/01/2012,,
97008,OR,3.06,22400.0,07/01/2012,,
97008,OR,6.24,32510.0,07/01/2012,,
97007,OR,3.22,19589.0,07/01/2012,,
97007,OR,3.25,14787.0,07/01/2012,,
97007,OR,3.29,25781.0,07/01/2012,,
97007,OR,3.36,13280.0,07/01/2012,,
97007,OR,3.5,17109.0,07/01/2012,,
97007,OR,3.68,17180.0,07/01/2012,,
97007,OR,4.0,19400.0,07/01/2012,,
97007,OR,4.32,22507.0,07/01/2012,,
97007,OR,4.7,24487.0,07/01/2012,,
97006,OR,2.82,14692.0,07/01/2012,,
97006,OR,3.25,14787.0,07/01/2012,,
97006,OR,3.25,14787.0,07/01/2012,,
97006,OR,3.25,14787.0,07/01/2012,,
97006,OR,3.43,14970.0,07/01/2012,,
97006,OR,3.43,15956.0,07/01/2012,,
97006,OR,3.43,14970.0,07/01/2012,,
97006,OR,3.43,14970.0,07/01/2012,,
97006,OR,3.43,14970.0,07/01/2012,,
97006,OR,3.43,14970.0,07/01/2012,,
97006,OR,3.43,14970.0,07/01/2012,,
97006,OR,5.28,27509.0,07/01/2012,,
97005,OR,3.06,17515.0,07/01/2012,,
97005,OR,5.28,27509.0,07/01/2012,,
97005,OR,70.0,427000.0,10/31/2012,,
97004,OR,2.76,25684.0,07/01/2012,,
97004,OR,5.76,37422.0,07/01/2012,,
97002,OR,3.29,17108.0,07/01/2012,,
97002,OR,3.5,13700.0,07/01/2012,,
97002,OR,4.08,27600.0,07/01/2012,,
97002,OR,1690.445,9750000.0,01/19/2012,,
97846,OR,4.95,29000.0,04/16/2012,,
97838,OR,360.64,1338876.92,06/05/2012,,
97828,OR,9.9,70000.0,04/17/2012,,
97828,OR,9.9,70000.0,04/17/2012,,
97828,OR,9.9,,03/06/2012,,
97828,OR,10.0,,06/07/2012,,
97828,OR,10.0,62000.0,02/16/2012,,
97828,OR,32.175,155200.0,04/17/2012,,
97801,OR,9.87,,10/08/2012,,
97801,OR,9.87,,10/08/2012,,
97801,OR,9.87,,10/02/2012,,
97756,OR,4.08,20298.0,08/27/2012,,
97756,OR,4.32,34473.6,08/27/2012,,
97756,OR,7.2,,12/18/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/04/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/04/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/04/2012,,
97754,OR,9.165,73136.7,05/04/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/08/2012,,
97754,OR,9.165,73136.7,05/04/2012,,
97754,OR,9.165,73136.7,05/04/2012,,
97754,OR,9.66,,12/11/2012,,
97754,OR,9.9,37000.0,10/02/2012,,
97754,OR,10.0,58000.0,04/02/2012,,
97753,OR,9.36,43992.0,06/21/2012,,
97741,OR,6.72,,11/06/2012,,
97702,OR,4.9,8575.0,01/10/2012,,
97633,OR,10.0,,10/03/2012,,
97633,OR,10.0,,08/01/2012,,
97633,OR,10.0,,08/01/2012,,
97633,OR,10.0,,10/03/2012,,
97633,OR,10.0,,10/03/2012,,
97633,OR,10.0,,07/25/2012,,
97633,OR,10.0,42550.0,10/03/2012,,
97633,OR,10.0,42550.0,11/09/2012,,
97633,OR,10.0,,07/25/2012,,
97633,OR,10.0,29750.0,11/09/2012,,
97632,OR,3.0,,12/07/2012,,
97632,OR,10.0,54900.0,01/19/2012,,
97632,OR,10.0,54900.0,02/06/2012,,
97627,OR,10.0,54900.0,01/30/2012,,
97623,OR,9.9,67105.0,07/17/2012,,
97623,OR,10.0,44000.0,06/02/2012,,
97623,OR,10.0,53500.0,01/25/2012,,
97623,OR,10.0,53500.0,01/09/2012,,
97623,OR,10.0,53500.0,01/25/2012,,
97603,OR,7.68,,09/21/2012,,
97603,OR,9.9,,04/19/2012,,
97603,OR,9.9,73755.0,01/12/2012,,
97603,OR,10.0,43627.0,05/30/2012,,
97601,OR,3.84,25354.0,01/25/2012,,
97601,OR,5.72,,11/06/2012,,
97601,OR,7.0,,12/28/2012,,
97601,OR,9.9,39290.5,10/04/2012,,
97601,OR,9.9,,09/07/2012,,
97601,OR,9.9,59400.0,02/17/2012,,
97601,OR,10.0,43000.0,08/01/2012,,
97601,OR,10.0,43000.0,08/01/2012,,
97601,OR,10.0,,10/03/2012,,
97526,OR,97.76,441089.0,03/23/2012,,
97523,OR,9.8,58652.0,01/30/2012,,
97520,OR,9.75,48397.0,07/02/2012,,
97504,OR,9.9,,08/03/2012,,
97501,OR,9.87,,07/09/2012,,
97426,OR,3.76,30004.8,08/24/2012,,
97408,OR,9.9,,01/04/2012,,
97383,OR,4.23,33755.4,03/06/2012,,
97377,OR,5.28,,12/03/2012,,
97371,OR,6.54,37900.0,06/04/2012,,
97368,OR,8.28,,12/19/2012,,
97355,OR,9.84,,07/23/2012,,
97352,OR,4.32,21492.0,08/03/2012,,
97352,OR,5.28,27163.5,10/08/2012,,
97352,OR,9.9,49252.5,10/17/2012,,
97351,OR,8.4,,12/24/2012,,
97351,OR,9.6,47760.0,09/27/2012,,
97338,OR,6.58,52508.4,01/04/2012,,
97333,OR,5.28,,12/17/2012,,
97333,OR,9.03,,12/11/2012,,
97330,OR,5.52,,12/11/2012,,
97325,OR,6.96,,11/07/2012,,
97322,OR,77.28,,09/25/2012,,
97322,OR,99.82,,06/28/2012,,
97321,OR,9.6,42984.0,10/17/2012,,
97321,OR,9.6,,11/07/2012,,
97321,OR,9.6,,09/25/2012,,
97321,OR,9.6,,09/11/2012,,
97321,OR,9.719,,12/03/2012,,
97321,OR,9.72,,07/03/2012,,
97321,OR,9.89,20618.0,12/19/2012,,
97321,OR,68.77,,09/26/2012,,
97321,OR,99.82,,09/05/2012,,
97220,OR,1.84,18753.0,02/17/2012,,
97220,OR,3.87,,02/17/2012,,
97220,OR,4.23,33755.4,04/30/2012,,
97220,OR,4.7,23382.5,01/30/2012,,
97218,OR,2.88,,12/03/2012,,
97218,OR,4.59,23554.85,05/07/2012,,
97216,OR,4.8,,10/29/2012,,
97213,OR,10.0,48722.8,09/28/2012,,
97146,OR,9.0,,12/27/2012,,
97110,OR,6.345,50633.1,05/11/2012,,
97039,OR,9.45,74769.0,04/10/2012,,
97031,OR,6.24,43555.2,07/11/2012,,
97031,OR,6.345,23871.4,08/28/2012,,
97031,OR,6.58,25053.7,08/01/2012,,
97031,OR,6.58,,12/18/2012,,
97031,OR,9.68,,12/18/2012,,
97330,OR,37.0,145000.0,05/08/2013,,
97333,OR,289.17,,01/11/2013,,
97333,OR,481.95,,01/09/2013,,
97527,OR,9.72,,12/15/2011,,
97862,OR,4.335,19000.0,09/15/2012,,
97031,OR,3.22,13990.0,09/10/2012,,
97405,OR,2.15,,07/01/2010,,
97401,OR,32.0,,02/01/2008,,
97220,OR,497.3,,03/28/2012,,
97058,OR,2.16,18000.0,08/07/2007,,
97058,OR,0.33,6000.0,11/07/2007,,
97058,OR,2.992,27599.0,12/07/2007,,
97846,OR,4.08,62280.0,08/08/2008,,
97862,OR,3.52,39540.0,11/08/2008,,
97058,OR,1.188,19000.0,11/08/2008,,
97031,OR,3.168,25094.0,08/01/2009,,
97058,OR,7.4,37000.0,10/07/2009,,
97801,OR,5.04,35280.0,11/12/2009,,
97031,OR,35.0,262500.0,12/15/2009,,
97058,OR,25.0,156250.0,07/01/2010,,
97039,OR,20.0,140000.0,11/10/2010,,
97031,OR,4.5,12000.0,01/20/2011,,
97641,OR,150.0,750000.0,07/01/2011,,
97039,OR,9.45,62000.0,10/01/2011,,
97031,OR,3.75,20000.0,11/01/2011,,
97031,OR,4.8,34000.0,04/04/2012,,
97039,OR,5.28,42000.0,05/12/2012,,
97058,OR,6.88,32000.0,05/30/2012,,
97058,OR,2.8,8500.0,07/05/2012,,
97058,OR,1.44,14000.0,07/20/2012,,
97204,OR,0.9,11500.0,04/15/2012,,
97504,OR,55.86,336900.0,05/20/2011,,
97396,OR,3.78,,01/04/2011,,
97381,OR,9.6,,01/27/2011,,
97381,OR,7.14,,02/04/2011,,
97381,OR,2.52,,04/08/2011,,
97317,OR,2.73,,03/23/2011,,
97305,OR,5.04,,01/14/2011,,
97302,OR,6.11,,02/22/2011,,
97302,OR,5.04,,12/21/2010,,
97267,OR,6.3,,01/31/2011,,
97267,OR,4.62,,04/13/2011,,
97236,OR,5.17,,02/22/2011,,
97231,OR,2.73,,03/23/2011,,
97229,OR,7.74,,11/19/2010,,
97229,OR,6.3,,06/30/2011,,
97229,OR,5.46,,01/25/2011,,
97229,OR,5.04,,01/25/2011,,
97229,OR,3.225,,12/16/2010,,
97229,OR,2.58,,12/03/2010,,
97225,OR,6.51,,11/09/2010,,
97224,OR,7.56,,12/29/2010,,
97224,OR,3.78,,01/04/2011,,
97223,OR,4.7,,03/10/2011,,
97223,OR,4.2,,03/25/2011,,
97223,OR,4.2,,05/02/2011,,
97223,OR,3.78,,03/02/2011,,
97222,OR,8.19,,12/16/2010,,
97222,OR,5.16,,11/18/2010,,
97222,OR,4.6,,08/01/2011,,
97222,OR,2.73,,12/30/2010,,
97221,OR,7.755,,02/25/2011,,
97219,OR,2.82,,09/20/2011,,
97217,OR,6.93,,07/05/2011,,
97217,OR,4.62,,05/24/2011,,
97217,OR,3.78,,04/14/2011,,
97217,OR,3.01,,10/07/2011,,
97215,OR,4.62,,04/15/2011,,
97213,OR,3.15,,01/04/2011,,
97211,OR,3.78,,02/04/2011,,
97206,OR,3.15,,02/15/2011,,
97206,OR,3.15,,02/22/2011,,
97206,OR,2.94,,04/29/2011,,
97206,OR,2.82,,03/30/2011,,
97206,OR,2.73,,02/02/2011,,
97206,OR,2.73,,04/20/2011,,
97206,OR,1.89,,06/21/2011,,
97203,OR,5.46,,03/03/2011,,
97203,OR,5.04,,02/08/2011,,
97203,OR,3.76,,05/24/2011,,
97203,OR,2.94,,03/07/2011,,
97203,OR,2.52,,05/09/2011,,
97202,OR,2.52,,05/19/2011,,
97140,OR,6.02,,07/08/2011,,
97140,OR,5.46,,02/08/2011,,
97140,OR,3.15,,04/06/2011,,
97132,OR,8.385,,09/06/2011,,
97132,OR,4.2,,01/14/2011,,
97124,OR,394.68,,01/27/2011,,
97124,OR,394.68,,01/27/2011,,
97124,OR,4.2,,02/09/2011,,
97124,OR,3.15,,04/05/2011,,
97124,OR,3.15,,08/15/2011,,
97123,OR,5.59,,01/07/2011,,
97123,OR,5.04,,05/24/2011,,
97123,OR,4.7,,05/31/2011,,
97123,OR,2.31,,01/28/2011,,
97115,OR,8.46,,01/18/2011,,
97113,OR,5.17,,04/01/2011,,
97103,OR,49.35,,07/14/2011,,
97086,OR,6.11,,12/16/2010,,
97086,OR,4.23,,02/23/2011,,
97086,OR,2.76,,09/07/2011,,
97086,OR,2.52,,05/24/2011,,
97086,OR,2.115,,06/10/2011,,
97080,OR,4.7,,01/31/2011,,
97080,OR,4.23,,04/18/2011,,
97071,OR,7.56,,05/04/2011,,
97071,OR,4.14,,03/02/2011,,
97070,OR,5.04,,04/11/2011,,
97062,OR,6.72,,05/06/2011,,
97062,OR,6.3,,03/28/2011,,
97062,OR,4.2,,04/01/2011,,
97060,OR,4.62,,12/28/2010,,
97045,OR,9.66,,03/03/2011,,
97045,OR,8.82,,01/21/2011,,
97045,OR,7.77,,03/08/2011,,
97045,OR,5.04,,06/07/2011,,
97038,OR,7.56,,06/22/2011,,
97038,OR,7.35,,02/02/2011,,
97038,OR,5.46,,05/10/2011,,
97035,OR,8.46,,01/14/2011,,
97032,OR,3.78,,03/04/2011,,
97030,OR,6.58,,02/22/2011,,
97030,OR,5.04,,02/25/2011,,
97030,OR,3.78,,04/13/2011,,
97030,OR,3.44,,12/16/2010,,
97027,OR,5.67,,08/15/2011,,
97027,OR,3.15,,04/19/2011,,
97008,OR,4.62,,02/04/2011,,
97008,OR,4.23,,03/02/2011,,
97007,OR,54.12,,02/10/2010,,
97007,OR,4.62,,02/23/2011,,
97007,OR,3.78,,01/27/2011,,
97007,OR,3.78,,09/20/2011,,
97007,OR,2.31,,05/02/2011,,
97006,OR,61.18,,04/27/2011,,
97006,OR,8.19,,01/25/2011,,
97006,OR,8.19,,02/24/2011,,
97006,OR,2.82,,01/26/2011,,
97005,OR,1.88,,12/16/2010,,
97004,OR,5.67,,03/08/2011,,
97702,OR,3.78,,09/30/2011,,
97405,OR,6.11,,12/30/2011,,
97404,OR,5.64,,12/19/2011,,
97401,OR,5.52,,09/09/2011,,
97383,OR,3.76,,11/11/2011,,
97383,OR,3.22,,10/13/2011,,
97381,OR,6.11,,12/02/2011,,
97381,OR,5.98,,09/30/2011,,
97381,OR,5.16,,12/20/2011,,
97381,OR,4.14,,06/20/2011,,
97381,OR,3.01,,12/01/2011,,
97378,OR,6.44,,10/12/2011,,
97362,OR,6.02,,12/05/2011,,
97355,OR,4.14,,07/19/2011,,
97333,OR,3.76,,10/25/2011,,
97333,OR,3.68,,05/19/2011,,
97333,OR,3.68,,09/08/2011,,
97330,OR,6.45,,10/28/2011,,
97330,OR,4.7,,08/08/2011,,
97330,OR,3.68,,06/23/2011,,
97330,OR,2.73,,07/08/2011,,
97325,OR,3.22,,09/27/2011,,
97322,OR,5.06,,09/21/2011,,
97322,OR,4.3,,11/04/2011,,
97322,OR,3.76,,12/08/2011,,
97321,OR,4.14,,09/08/2011,,
97317,OR,6.11,,12/16/2011,,
97317,OR,4.7,,11/29/2011,,
97306,OR,6.72,,06/30/2011,,
97306,OR,5.52,,06/23/2011,,
97306,OR,4.3,,12/02/2011,,
97306,OR,3.22,,05/19/2011,,
97306,OR,2.53,,05/18/2011,,
97305,OR,6.45,,09/30/2011,,
97305,OR,5.98,,05/20/2011,,
97305,OR,5.98,,06/23/2011,,
97305,OR,5.98,,08/11/2011,,
97305,OR,4.23,,11/15/2011,,
97305,OR,3.68,,09/30/2011,,
97305,OR,3.22,,11/10/2011,,
97304,OR,5.98,,10/25/2011,,
97303,OR,5.52,,04/13/2011,,
97303,OR,5.17,,12/27/2011,,
97303,OR,4.3,,06/14/2011,,
97302,OR,8.28,,05/24/2011,,
97302,OR,6.11,,12/02/2011,,
97302,OR,6.02,,08/15/2011,,
97302,OR,5.98,,08/15/2011,,
97302,OR,5.88,,08/12/2011,,
97302,OR,5.06,,07/06/2011,,
97302,OR,3.68,,05/23/2011,,
97301,OR,5.52,,05/13/2011,,
97301,OR,3.76,,12/08/2011,,
97267,OR,5.98,,08/15/2011,,
97267,OR,3.78,,08/22/2011,,
97266,OR,5.67,,07/08/2011,,
97266,OR,5.04,,04/29/2011,,
97266,OR,4.73,,05/18/2011,,
97266,OR,2.94,,05/20/2011,,
97266,OR,2.795,,11/07/2011,,
97239,OR,5.17,,12/13/2011,,
97236,OR,5.52,,08/15/2011,,
97236,OR,5.52,,09/06/2011,,
97236,OR,3.78,,08/12/2011,,
97236,OR,2.3,,07/27/2011,,
97233,OR,4.6,,12/16/2011,,
97233,OR,3.225,,12/06/2011,,
97230,OR,5.16,,11/22/2011,,
97230,OR,4.6,,08/29/2011,,
97230,OR,2.82,,04/14/2011,,
97229,OR,6.45,,12/19/2011,,
97229,OR,6.44,,10/19/2011,,
97229,OR,6.44,,10/24/2011,,
97229,OR,6.11,,12/09/2011,,
97229,OR,5.98,,08/10/2011,,
97229,OR,5.98,,08/26/2011,,
97229,OR,5.64,,12/27/2011,,
97229,OR,5.59,,10/27/2011,,
97229,OR,5.17,,11/21/2011,,
97229,OR,5.16,,08/12/2011,,
97229,OR,5.16,,11/07/2011,,
97229,OR,4.73,,06/15/2011,,
97229,OR,4.73,,10/04/2011,,
97229,OR,4.7,,12/12/2011,,
97229,OR,4.2,,03/30/2011,,
97229,OR,3.87,,06/22/2011,,
97229,OR,3.76,,12/07/2011,,
97229,OR,3.68,,05/26/2011,,
97229,OR,3.225,,06/20/2011,,
97229,OR,3.225,,10/27/2011,,
97229,OR,2.07,,08/10/2011,,
97225,OR,6.3,,06/08/2011,,
97225,OR,5.52,,09/07/2011,,
97225,OR,4.23,,11/30/2011,,
97225,OR,3.87,,08/15/2011,,
97225,OR,2.76,,08/15/2011,,
97224,OR,4.6,,06/23/2011,,
97224,OR,4.085,,09/07/2011,,
97223,OR,7.05,,10/06/2011,,
97223,OR,6.45,,12/15/2011,,
97223,OR,6.02,,11/07/2011,,
97223,OR,5.98,,05/12/2011,,
97223,OR,5.98,,06/15/2011,,
97223,OR,5.98,,10/14/2011,,
97223,OR,5.52,,04/04/2011,,
97223,OR,5.46,,06/10/2011,,
97223,OR,5.46,,08/02/2011,,
97223,OR,4.3,,08/18/2011,,
97223,OR,3.76,,11/22/2011,,
97223,OR,3.22,,08/12/2011,,
97223,OR,3.22,,08/25/2011,,
97223,OR,2.53,,09/13/2011,,
97222,OR,5.64,,12/01/2011,,
97222,OR,5.59,,05/23/2011,,
97222,OR,5.52,,10/17/2011,,
97222,OR,3.68,,09/30/2011,,
97222,OR,3.22,,08/04/2011,,
97222,OR,3.01,,11/15/2011,,
97222,OR,2.585,,11/09/2011,,
97221,OR,3.22,,06/23/2011,,
97221,OR,2.99,,08/15/2011,,
97220,OR,3.78,,08/24/2011,,
97220,OR,3.68,,08/04/2011,,
97220,OR,3.22,,06/22/2011,,
97219,OR,6.665,,12/27/2011,,
97219,OR,4.6,,12/07/2011,,
97218,OR,4.23,,12/05/2011,,
97218,OR,2.82,,11/22/2011,,
97217,OR,2.99,,07/29/2011,,
97217,OR,2.82,,12/30/2011,,
97217,OR,2.53,,08/26/2011,,
97216,OR,5.59,,12/08/2011,,
97216,OR,4.6,,07/29/2011,,
97216,OR,4.23,,11/15/2011,,
97216,OR,2.82,,11/10/2011,,
97215,OR,5.98,,05/11/2011,,
97215,OR,3.15,,03/31/2011,,
97214,OR,4.2,,05/13/2011,,
97213,OR,5.64,,11/01/2011,,
97213,OR,4.6,,07/21/2011,,
97213,OR,3.225,,12/07/2011,,
97213,OR,2.585,,12/09/2011,,
97213,OR,2.15,,07/27/2011,,
97212,OR,9.66,,08/26/2011,,
97212,OR,3.87,,10/24/2011,,
97212,OR,2.94,,06/20/2011,,
97212,OR,2.3,,05/19/2011,,
97211,OR,5.06,,09/19/2011,,
97211,OR,4.3,,10/14/2011,,
97211,OR,2.365,,11/17/2011,,
97206,OR,5.52,,10/04/2011,,
97206,OR,4.14,,09/12/2011,,
97206,OR,3.87,,10/17/2011,,
97206,OR,3.68,,12/06/2011,,
97206,OR,3.225,,11/21/2011,,
97206,OR,3.15,,04/29/2011,,
97206,OR,2.31,,07/21/2011,,
97203,OR,3.22,,11/04/2011,,
97202,OR,5.17,,12/16/2011,,
97202,OR,5.16,,08/25/2011,,
97202,OR,3.87,,12/27/2011,,
97202,OR,3.68,,08/17/2011,,
97202,OR,3.44,,08/09/2011,,
97202,OR,3.36,,06/30/2011,,
97202,OR,2.585,,12/30/2011,,
97201,OR,5.88,,07/12/2011,,
97201,OR,4.14,,03/30/2011,,
97148,OR,4.6,,08/15/2011,,
97140,OR,6.02,,08/11/2011,,
97140,OR,4.62,,08/18/2011,,
97140,OR,4.3,,09/09/2011,,
97140,OR,2.3,,09/29/2011,,
97133,OR,5.52,,09/30/2011,,
97132,OR,5.98,,06/24/2011,,
97132,OR,5.98,,10/05/2011,,
97132,OR,5.59,,11/16/2011,,
97132,OR,5.52,,08/02/2011,,
97132,OR,3.87,,10/31/2011,,
97132,OR,3.68,,08/02/2011,,
97127,OR,6.02,,08/15/2011,,
97127,OR,5.64,,10/25/2011,,
97127,OR,5.16,,12/30/2011,,
97124,OR,100.8,,01/02/2009,,
97124,OR,6.11,,12/27/2011,,
97124,OR,6.02,,10/05/2011,,
97124,OR,5.98,,07/25/2011,,
97124,OR,5.98,,10/07/2011,,
97124,OR,5.59,,11/09/2011,,
97124,OR,5.06,,09/30/2011,,
97124,OR,4.6,,10/13/2011,,
97124,OR,3.87,,11/08/2011,,
97124,OR,3.87,,11/21/2011,,
97124,OR,3.76,,09/26/2011,,
97124,OR,3.68,,09/26/2011,,
97124,OR,3.055,,12/15/2011,,
97124,OR,3.01,,09/19/2011,,
97123,OR,6.11,,10/12/2011,,
97123,OR,6.11,,12/06/2011,,
97123,OR,6.02,,08/15/2011,,
97123,OR,5.64,,12/14/2011,,
97123,OR,5.52,,08/15/2011,,
97123,OR,4.73,,08/15/2011,,
97123,OR,4.73,,10/05/2011,,
97123,OR,4.62,,08/08/2011,,
97123,OR,3.68,,08/26/2011,,
97123,OR,3.29,,10/31/2011,,
97123,OR,2.76,,10/05/2011,,
97123,OR,2.53,,10/05/2011,,
97119,OR,3.78,,05/20/2011,,
97116,OR,5.52,,07/11/2011,,
97116,OR,5.06,,07/21/2011,,
97116,OR,2.53,,12/07/2011,,
97115,OR,5.98,,11/16/2011,,
97115,OR,5.52,,09/30/2011,,
97115,OR,5.16,,10/07/2011,,
97114,OR,2.3,,06/20/2011,,
97113,OR,5.64,,11/22/2011,,
97113,OR,5.06,,08/09/2011,,
97111,OR,5.17,,12/15/2011,,
97111,OR,3.225,,10/05/2011,,
97103,OR,4.14,,10/19/2011,,
97089,OR,5.64,,11/07/2011,,
97089,OR,5.59,,05/24/2011,,
97089,OR,5.06,,05/19/2011,,
97086,OR,7.36,,09/28/2011,,
97086,OR,5.98,,07/27/2011,,
97086,OR,5.98,,11/09/2011,,
97086,OR,5.59,,09/14/2011,,
97086,OR,5.52,,08/15/2011,,
97086,OR,2.07,,03/30/2011,,
97080,OR,6.88,,09/06/2011,,
97080,OR,5.59,,11/22/2011,,
97080,OR,5.52,,04/29/2011,,
97080,OR,4.73,,12/15/2011,,
97080,OR,3.68,,09/30/2011,,
97080,OR,3.01,,11/17/2011,,
97071,OR,6.11,,11/01/2011,,
97071,OR,5.98,,10/17/2011,,
97071,OR,5.52,,06/28/2011,,
97071,OR,4.14,,10/17/2011,,
97071,OR,2.82,,10/05/2011,,
97070,OR,5.16,,08/15/2011,,
97070,OR,2.58,,06/09/2011,,
97068,OR,4.73,,05/24/2011,,
97062,OR,6.02,,11/01/2011,,
97062,OR,5.98,,06/27/2011,,
97062,OR,5.98,,07/07/2011,,
97062,OR,5.98,,08/15/2011,,
97062,OR,5.98,,09/30/2011,,
97062,OR,5.59,,05/03/2011,,
97062,OR,5.06,,07/14/2011,,
97062,OR,2.99,,08/02/2011,,
97060,OR,6.45,,06/29/2011,,
97060,OR,5.16,,08/18/2011,,
97060,OR,4.14,,08/22/2011,,
97060,OR,3.68,,07/05/2011,,
97060,OR,2.76,,03/31/2011,,
97060,OR,2.76,,10/05/2011,,
97055,OR,5.98,,06/28/2011,,
97055,OR,5.98,,09/01/2011,,
97045,OR,6.21,,05/20/2011,,
97045,OR,6.11,,12/09/2011,,
97045,OR,5.98,,06/21/2011,,
97045,OR,5.98,,09/29/2011,,
97045,OR,5.64,,12/01/2011,,
97045,OR,5.52,,08/11/2011,,
97045,OR,5.16,,12/05/2011,,
97045,OR,5.06,,07/14/2011,,
97045,OR,5.06,,08/18/2011,,
97045,OR,4.6,,06/29/2011,,
97045,OR,4.6,,08/12/2011,,
97045,OR,4.23,,12/06/2011,,
97045,OR,3.76,,09/22/2011,,
97038,OR,3.36,,09/30/2011,,
97034,OR,4.2,,06/08/2011,,
97031,OR,6.44,,10/14/2011,,
97031,OR,5.67,,05/09/2011,,
97031,OR,4.73,,08/03/2011,,
97030,OR,8.28,,06/13/2011,,
97030,OR,5.805,,10/27/2011,,
97027,OR,5.52,,08/22/2011,,
97027,OR,3.68,,05/17/2011,,
97024,OR,6.44,,07/11/2011,,
97024,OR,3.87,,10/10/2011,,
97023,OR,6.44,,08/09/2011,,
97023,OR,5.52,,05/18/2011,,
97023,OR,5.52,,08/15/2011,,
97009,OR,4.6,,05/18/2011,,
97008,OR,5.98,,09/30/2011,,
97008,OR,3.68,,08/12/2011,,
97007,OR,7.74,,11/10/2011,,
97007,OR,5.98,,10/24/2011,,
97007,OR,5.64,,12/27/2011,,
97007,OR,5.52,,08/09/2011,,
97007,OR,5.52,,09/15/2011,,
97007,OR,5.04,,07/08/2011,,
97007,OR,4.73,,06/14/2011,,
97007,OR,4.73,,09/12/2011,,
97007,OR,4.6,,06/29/2011,,
97007,OR,3.87,,11/10/2011,,
97007,OR,3.76,,12/29/2011,,
97007,OR,3.68,,05/02/2011,,
97007,OR,2.58,,06/22/2011,,
97006,OR,6.58,,10/21/2011,,
97006,OR,5.64,,12/01/2011,,
97006,OR,5.59,,08/15/2011,,
97006,OR,5.06,,05/06/2011,,
97006,OR,5.06,,07/06/2011,,
97006,OR,4.7,,05/20/2011,,
97006,OR,4.14,,09/15/2011,,
97006,OR,4.14,,10/03/2011,,
97006,OR,3.92,,12/27/2011,,
97006,OR,3.68,,08/15/2011,,
97006,OR,2.99,,08/15/2011,,
97006,OR,2.82,,12/22/2011,,
97005,OR,4.14,,07/06/2011,,
97005,OR,3.76,,12/01/2011,,
97005,OR,3.68,,11/01/2011,,
97005,OR,2.76,,11/04/2011,,
97002,OR,5.98,,11/01/2011,,
97002,OR,5.98,,11/04/2011,,
97701,OR,28.98,,07/15/2010,,
97520,OR,40.02,,11/16/2010,,
97392,OR,7.755,,07/28/2011,,
97317,OR,2.82,,10/29/2010,,
97306,OR,7.05,,01/25/2011,,
97306,OR,4.41,,10/26/2010,,
97306,OR,4.23,,02/24/2011,,
97306,OR,3.43,,11/04/2010,,
97306,OR,3.055,,11/09/2010,,
97306,OR,3.055,,12/17/2010,,
97306,OR,2.45,,10/29/2010,,
97305,OR,5.17,,11/22/2010,,
97304,OR,3.92,,08/30/2011,,
97304,OR,2.82,,11/15/2010,,
97304,OR,2.58,,10/28/2010,,
97303,OR,3.185,,12/07/2010,,
97303,OR,2.99,,10/19/2010,,
97302,OR,3.92,,01/04/2011,,
97302,OR,3.76,,12/14/2010,,
97302,OR,2.585,,11/11/2010,,
97302,OR,2.585,,02/09/2011,,
97302,OR,2.365,,11/12/2010,,
97301,OR,5.88,,01/06/2011,,
97301,OR,3.43,,11/30/2010,,
97301,OR,3.225,,10/19/2010,,
97266,OR,4.2,,08/05/2010,,
97266,OR,3.01,,05/13/2010,,
97266,OR,2.52,,08/02/2010,,
