Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=OR
97478,OR,2.88,12980.0,07/01/2012,,
97478,OR,4.05,21251.0,07/01/2012,,
97477,OR,3.0,14060.0,07/01/2012,,
97471,OR,3.29,21484.0,07/01/2012,,
97470,OR,36.96,196560.0,03/09/2012,,
97456,OR,6.12,24847.0,07/01/2012,,
97455,OR,6.0,24680.0,07/01/2012,,
97448,OR,3.06,13790.0,07/01/2012,,
97423,OR,11.52,44034.0,10/30/2012,,
97420,OR,3.22,22325.0,07/01/2012,,
97420,OR,3.825,21995.0,07/01/2012,,
97415,OR,2.76,25656.0,07/01/2012,,
97410,OR,3.22,16430.0,07/01/2012,,
97408,OR,2.55,12617.0,07/01/2012,,
97408,OR,2.76,13887.0,07/01/2012,,
97408,OR,2.88,14820.0,07/01/2012,,
97408,OR,2.88,13705.0,07/01/2012,,
97405,OR,2.0,12290.0,07/01/2012,,
97405,OR,2.3,11499.0,07/01/2012,,
97405,OR,2.4,12430.0,07/01/2012,,
97405,OR,2.76,14580.0,07/01/2012,,
97405,OR,2.76,13280.0,07/01/2012,,
97405,OR,2.82,13329.0,07/01/2012,,
97405,OR,2.82,13930.0,07/01/2012,,
97405,OR,2.88,13570.0,07/01/2012,,
97405,OR,2.88,15100.0,07/01/2012,,
97405,OR,2.88,12931.0,07/01/2012,,
97405,OR,2.88,14380.0,07/01/2012,,
97405,OR,2.88,13705.0,07/01/2012,,
97405,OR,2.88,14180.0,07/01/2012,,
97405,OR,2.88,16290.0,07/01/2012,,
97405,OR,2.94,15580.0,07/01/2012,,
97405,OR,2.94,14090.0,07/01/2012,,
97405,OR,3.0,14140.0,07/01/2012,,
97405,OR,3.0,14100.0,07/01/2012,,
97405,OR,3.0,14997.0,07/01/2012,,
97405,OR,3.06,16296.0,07/01/2012,,
97405,OR,3.12,14275.0,07/01/2012,,
97405,OR,3.12,14970.0,07/01/2012,,
97405,OR,3.315,37905.0,07/01/2012,,
97405,OR,4.08,20425.0,07/01/2012,,
97405,OR,4.23,20516.0,07/01/2012,,
97405,OR,5.76,27956.0,07/01/2012,,
97405,OR,973.84,5512468.0,03/10/2012,,
97404,OR,2.4,12144.0,07/01/2012,,
97404,OR,2.82,13572.0,07/01/2012,,
97404,OR,2.88,12940.0,07/01/2012,,
97404,OR,3.08,12470.0,07/01/2012,,
97404,OR,3.76,30644.0,07/01/2012,,
97403,OR,2.76,14502.0,07/01/2012,,
97403,OR,2.88,14860.0,07/01/2012,,
97403,OR,3.75,18860.0,07/01/2012,,
97402,OR,2.76,15851.0,07/01/2012,,
97402,OR,2.76,13281.0,07/01/2012,,
97402,OR,2.88,15140.0,07/01/2012,,
97402,OR,2.88,14070.0,07/01/2012,,
97402,OR,2.88,13570.0,07/01/2012,,
97402,OR,2.94,14435.0,07/01/2012,,
97402,OR,4.165,19460.0,07/01/2012,,
97401,OR,2.0,11480.0,07/01/2012,,
97401,OR,2.295,12370.0,07/01/2012,,
97401,OR,2.45,12450.0,07/01/2012,,
97401,OR,2.88,14190.0,07/01/2012,,
97401,OR,2.88,13570.0,07/01/2012,,
97401,OR,2.88,14850.0,07/01/2012,,
97401,OR,3.0,14300.0,07/01/2012,,
97401,OR,3.06,15306.0,07/01/2012,,
97401,OR,4.32,20490.0,07/01/2012,,
97386,OR,2.82,20900.0,07/01/2012,,
97386,OR,3.29,22290.0,07/01/2012,,
97386,OR,6.0,28300.0,07/01/2012,,
97383,OR,2.55,12463.0,07/01/2012,,
97381,OR,3.29,27700.0,07/01/2012,,
97381,OR,3.76,31561.0,07/01/2012,,
97381,OR,9.0,33315.0,07/01/2012,,
97381,OR,51.48,245869.0,08/01/2012,,
97378,OR,7.05,26590.0,07/01/2012,,
97374,OR,4.9,31946.0,07/01/2012,,
97370,OR,3.0,13350.0,07/01/2012,,
97370,OR,3.06,21922.0,07/01/2012,,
97370,OR,3.25,15275.0,07/01/2012,,
97370,OR,3.76,24795.0,07/01/2012,,
97370,OR,4.0,16106.0,07/01/2012,,
97361,OR,2.99,12408.0,07/01/2012,,
97361,OR,7.65,29988.0,07/01/2012,,
97357,OR,2.0,11200.0,07/01/2012,,
97355,OR,2.99,12440.0,07/01/2012,,
97355,OR,3.22,15633.0,07/01/2012,,
97355,OR,3.52,22965.0,07/01/2012,,
97355,OR,3.76,26320.0,07/01/2012,,
97355,OR,6.0,23676.0,07/01/2012,,
97351,OR,2.82,23045.0,07/01/2012,,
97351,OR,2.99,12409.0,07/01/2012,,
97351,OR,5.1,20655.0,07/01/2012,,
97348,OR,2.99,12440.0,07/01/2012,,
97338,OR,5.06,20493.0,07/01/2012,,
97333,OR,2.6,11050.0,07/01/2012,,
97333,OR,2.88,12099.0,07/01/2012,,
97333,OR,3.0,13570.0,07/01/2012,,
97333,OR,3.0,14390.0,07/01/2012,,
97333,OR,3.06,14684.0,07/01/2012,,
97333,OR,3.06,14551.0,07/01/2012,,
97333,OR,3.06,14734.0,07/01/2012,,
97333,OR,3.25,15275.0,07/01/2012,,
97333,OR,3.25,14788.0,07/01/2012,,
97333,OR,3.29,27217.0,07/01/2012,,
97333,OR,3.36,16300.0,07/01/2012,,
97333,OR,3.57,15057.0,07/01/2012,,
97333,OR,3.825,22988.0,07/01/2012,,
97333,OR,4.0,16762.0,07/01/2012,,
97330,OR,2.295,11900.0,07/01/2012,,
97330,OR,2.55,11478.0,07/01/2012,,
97330,OR,2.97,16714.0,07/01/2012,,
97330,OR,3.06,22559.0,07/01/2012,,
97330,OR,3.06,14725.0,07/01/2012,,
97330,OR,3.5,13900.0,07/01/2012,,
97330,OR,3.64,17710.0,07/01/2012,,
97330,OR,3.995,19990.0,07/01/2012,,
97330,OR,4.0,18928.0,07/01/2012,,
97330,OR,4.08,11840.0,07/01/2012,,
97330,OR,4.2,21280.0,07/01/2012,,
97330,OR,4.25,17509.0,07/01/2012,,
97330,OR,4.845,18819.0,07/01/2012,,
97330,OR,8.16,34375.0,07/01/2012,,
97327,OR,8.82,40572.0,07/01/2012,,
97327,OR,15.18,65350.0,07/01/2012,,
97326,OR,3.29,13000.0,07/01/2012,,
97326,OR,5.76,29487.0,07/01/2012,,
97322,OR,1.88,14453.0,07/01/2012,,
97322,OR,4.0,19806.0,07/01/2012,,
97321,OR,3.06,14954.0,07/01/2012,,
97321,OR,3.22,15633.0,07/01/2012,,
97321,OR,3.76,29270.0,07/01/2012,,
97321,OR,3.76,25180.0,07/01/2012,,
97321,OR,4.59,20531.0,07/01/2012,,
97321,OR,8.16,30447.0,07/01/2012,,
97306,OR,2.25,12500.0,07/01/2012,,
97306,OR,4.94,22230.0,07/01/2012,,
97306,OR,5.28,25080.0,07/01/2012,,
97306,OR,7.848,37440.0,07/01/2012,,
97305,OR,2.76,14076.0,07/01/2012,,
97305,OR,3.22,27370.0,07/01/2012,,
97305,OR,3.25,14787.0,07/01/2012,,
97304,OR,3.76,20928.0,07/01/2012,,
97304,OR,4.7,30262.0,07/01/2012,,
97303,OR,2.88,13883.0,07/01/2012,,
97303,OR,4.23,27883.0,07/01/2012,,
97303,OR,75.529,81200.0,08/15/2012,,
97302,OR,2.94,12348.0,07/01/2012,,
97302,OR,3.76,19590.0,07/01/2012,,
97302,OR,4.56,23758.0,07/01/2012,,
97302,OR,4.7,34545.0,07/01/2012,,
97302,OR,5.76,30010.0,07/01/2012,,
97302,OR,41.85,204970.0,12/12/2012,,
97301,OR,3.225,16802.0,07/01/2012,,
97301,OR,4.23,22038.0,07/01/2012,,
